nation,pos,age,born,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,league,season,stat_type
,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,,,
ENG,GK,24,1998,38.0,1,0,0,0,4,0,0,0,1,0,0,0,33,6,0,100.0,ENG-Premier League,2022,misc
BEL,MF,22,1999,2.2,0,0,0,1,5,0,0,5,1,0,0,0,14,3,2,60.0,ENG-Premier League,2022,misc
ENG,DF,24,1997,33.9,5,0,0,28,30,1,57,22,31,0,0,0,155,33,41,44.6,ENG-Premier League,2022,misc
ENG,FW,20,2001,35.3,6,0,0,43,65,9,172,14,34,0,0,0,127,16,38,29.6,ENG-Premier League,2022,misc
POR,DF,30,1991,0.3,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0.0,ENG-Premier League,2022,misc
ENG,FW,23,1999,12.1,3,0,0,30,25,8,5,1,9,1,0,0,30,10,31,24.4,ENG-Premier League,2022,misc
ENG,"MF,FW",22,2000,1.9,0,0,0,1,1,1,5,0,1,0,0,0,8,0,2,0.0,ENG-Premier League,2022,misc
ENG,FW,15,2007,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ENG-Premier League,2022,misc
POR,"MF,FW",22,2000,5.7,0,0,0,3,5,0,20,4,4,0,0,0,34,3,5,37.5,ENG-Premier League,2022,misc
BRA,FW,25,1997,22.9,6,0,0,43,56,16,11,11,25,2,0,0,79,44,78,36.1,ENG-Premier League,2022,misc
BRA,DF,24,1997,37.9,5,0,0,25,40,1,5,32,30,0,2,0,191,100,76,56.8,ENG-Premier League,2022,misc
BRA,FW,21,2001,31.0,3,0,0,39,37,8,113,9,18,0,0,0,103,14,63,18.2,ENG-Premier League,2022,misc
SUI,MF,29,1992,33.3,4,0,0,26,39,5,39,15,27,0,0,0,152,37,30,55.2,ENG-Premier League,2022,misc
POL,DF,22,2000,4.7,0,0,0,1,1,0,1,6,5,0,0,0,20,8,10,44.4,ENG-Premier League,2022,misc
ITA,MF,30,1991,9.5,0,0,0,6,18,0,2,9,13,0,0,0,69,10,8,55.6,ENG-Premier League,2022,misc
SCO,DF,25,1997,8.8,0,0,0,5,9,1,24,11,11,0,0,0,43,6,18,25.0,ENG-Premier League,2022,misc
