composite_key,nation,pos,age,born,Playing Time,Playing Time.1,Playing Time.2,Playing Time.3,Performance,Performance.1,Performance.2,Performance.3,Performance.4,Performance.5,Performance.6,Performance.7,Expected,Expected.1,Expected.2,Expected.3,Progression,Progression.1,Progression.2,Per 90 Minutes,Per 90 Minutes.1,Per 90 Minutes.2,Per 90 Minutes.3,Per 90 Minutes.4,Per 90 Minutes.5,Per 90 Minutes.6,Per 90 Minutes.7,Per 90 Minutes.8,Per 90 Minutes.9,league,season,stat_type,nation_dup,pos_dup,age_dup,born_dup,90s,Standard,Standard.1,Standard.2,Standard.3,Standard.4,Standard.5,Standard.6,Standard.7,Standard.8,Standard.9,Standard.10,Standard.11,Expected_dup,Expected.1_dup,Expected.2_dup,Expected.3_dup,Expected.4,league_dup,season_dup,stat_type_dup,nation_dup,pos_dup,age_dup,born_dup,90s_dup,Total,Total.1,Total.2,Total.3,Total.4,Short,Short.1,Short.2,Medium,Medium.1,Medium.2,Long,Long.1,Long.2,Ast,xAG,Expected_dup,Expected.1_dup,KP,1/3,PPA,CrsPA,PrgP,league_dup,season_dup,stat_type_dup,nation_dup,pos_dup,age_dup,born_dup,90s_dup,Touches,Touches.1,Touches.2,Touches.3,Touches.4,Touches.5,Touches.6,Take-Ons,Take-Ons.1,Take-Ons.2,Take-Ons.3,Take-Ons.4,Carries,Carries.1,Carries.2,Carries.3,Carries.4,Carries.5,Carries.6,Carries.7,Receiving,Receiving.1,league_dup,season_dup,stat_type_dup,nation_dup,pos_dup,age_dup,born_dup,90s_dup,Tackles,Tackles.1,Tackles.2,Tackles.3,Tackles.4,Challenges,Challenges.1,Challenges.2,Challenges.3,Blocks,Blocks.1,Blocks.2,Int,Tkl+Int,Clr,Err,league_dup,season_dup,stat_type_dup,nation_dup,pos_dup,age_dup,born_dup,90s_dup,Performance_dup,Performance.1_dup,Performance.2_dup,Performance.3_dup,Performance.4_dup,Performance.5_dup,Performance.6_dup,Performance.7_dup,Performance.8,Performance.9,Performance.10,Performance.11,Performance.12,Aerial Duels,Aerial Duels.1,Aerial Duels.2,league_dup,season_dup,stat_type_dup
ALB_FW_21.0_2001.0,ALB,FW,21.0,2001.0,13,6,454,5.0,1,0,1,1,0,0,0,0,2.4,2.4,0.2,2.5,11,6,37,0.2,0.0,0.2,0.2,0.2,0.47,0.03,0.5,0.47,0.5,ENG-Premier League,2023.0,standard,ALB,FW,21.0,2001.0,5.0,1,13,2,15.4,2.58,0.4,0.08,0.5,11.1,0,0,0,2.4,2.4,0.18,-1.4,-1.4,ENG-Premier League,2023.0,shooting,ALB,FW,21.0,2001.0,5.0,83,94,88.3,932,91,60,64,93.8,15,18,83.3,1,2,50.0,0.0,0.2,0.3,-0.2,3.0,2.0,2.0,0.0,6.0,ENG-Premier League,2023.0,passing,ALB,FW,21.0,2001.0,5.0,167,3,9,56,106,35,167,31,13,41.9,16,51.6,117,695,286,11,4,8,17,14,131,37,ENG-Premier League,2023.0,possession,ALB,FW,21.0,2001.0,5.0,3,0,0,1,2,1,2,50.0,1,5,1,4,0.0,3.0,3.0,0.0,ENG-Premier League,2023.0,defense,ALB,FW,21.0,2001.0,5.0,0,0,0,4,8,6,1,0,0,1,0,0,13,4,14,22.2,ENG-Premier League,2023.0,misc
"ALG_DF,MF_22.0_2001.0",ALG,"DF,MF",22.0,2001.0,33,29,2329,25.9,2,1,3,2,0,0,7,0,3.3,3.3,2.4,5.6,67,99,99,0.08,0.04,0.12,0.08,0.12,0.13,0.09,0.22,0.13,0.22,ENG-Premier League,2023.0,standard,ALG,"DF,MF",22.0,2001.0,25.9,2,24,8,33.3,0.93,0.31,0.08,0.25,16.8,0,0,0,3.3,3.3,0.14,-1.3,-1.3,ENG-Premier League,2023.0,shooting,ALG,"DF,MF",22.0,2001.0,25.9,1005,1190,84.5,13946,3935,627,688,91.1,297,344,86.3,38,72,52.8,1.0,2.4,1.7,-1.4,25.0,60.0,13.0,4.0,99.0,ENG-Premier League,2023.0,passing,ALG,"DF,MF",22.0,2001.0,25.9,1523,56,406,699,446,49,1523,115,62,53.9,39,33.9,868,4898,2435,67,48,8,51,56,1007,99,ENG-Premier League,2023.0,possession,ALG,"DF,MF",22.0,2001.0,25.9,71,44,41,23,7,28,49,57.1,21,32,6,26,15.0,86.0,38.0,0.0,ENG-Premier League,2023.0,defense,ALG,"DF,MF",22.0,2001.0,25.9,7,0,0,25,53,8,41,15,44,1,1,0,136,21,25,45.7,ENG-Premier League,2023.0,misc
ALG_DF_22.0_2001.0,ALG,DF,22.0,2001.0,11,6,531,5.9,0,0,0,0,0,0,1,0,0.2,0.2,0.3,0.5,18,14,12,0.0,0.0,0.0,0.0,0.0,0.04,0.05,0.09,0.04,0.09,ENG-Premier League,2023.0,standard,ALG,DF,22.0,2001.0,5.9,0,6,1,16.7,1.02,0.17,0.0,0.0,19.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2,ENG-Premier League,2023.0,shooting,ALG,DF,22.0,2001.0,5.9,131,185,70.8,1969,714,76,89,85.4,45,59,76.3,6,17,35.3,0.0,0.3,0.1,-0.3,2.0,11.0,0.0,0.0,14.0,ENG-Premier League,2023.0,passing,ALG,DF,22.0,2001.0,5.9,262,29,101,112,56,7,262,17,10,58.8,7,41.2,137,1225,741,18,13,4,1,5,134,12,ENG-Premier League,2023.0,possession,ALG,DF,22.0,2001.0,5.9,17,9,10,5,2,10,14,71.4,4,6,1,5,7.0,24.0,20.0,1.0,ENG-Premier League,2023.0,defense,ALG,DF,22.0,2001.0,5.9,1,0,0,5,5,1,6,7,9,0,0,0,34,1,4,20.0,ENG-Premier League,2023.0,misc
"ALG_FW,MF_27.0_1995.0",ALG,"FW,MF",27.0,1995.0,13,5,620,6.9,0,1,1,0,0,1,1,0,1.8,1.0,1.4,2.5,28,28,70,0.0,0.15,0.15,0.0,0.15,0.27,0.21,0.47,0.15,0.36,ENG-Premier League,2023.0,standard,ALG,"FW,MF",27.0,1995.0,6.9,0,18,5,27.8,2.61,0.73,0.0,0.0,19.8,0,0,1,1.8,1.0,0.06,-1.8,-1.0,ENG-Premier League,2023.0,shooting,ALG,"FW,MF",27.0,1995.0,6.9,193,257,75.1,2587,504,116,138,84.1,56,76,73.7,8,15,53.3,1.0,1.4,0.8,-0.4,11.0,11.0,11.0,2.0,28.0,ENG-Premier League,2023.0,passing,ALG,"FW,MF",27.0,1995.0,6.9,355,11,65,128,168,35,354,38,14,36.8,21,55.3,238,1687,790,28,17,15,14,8,245,70,ENG-Premier League,2023.0,possession,ALG,"FW,MF",27.0,1995.0,6.9,8,4,5,3,0,4,15,26.7,11,8,0,8,5.0,13.0,7.0,0.0,ENG-Premier League,2023.0,defense,ALG,"FW,MF",27.0,1995.0,6.9,1,0,0,5,6,1,17,5,4,0,0,0,43,1,5,16.7,ENG-Premier League,2023.0,misc
"ARG_DF,FW_19.0_2004.0",ARG,"DF,FW",19.0,2004.0,6,3,307,3.4,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,8,14,20,0.0,0.0,0.0,0.0,0.0,0.05,0.07,0.13,0.05,0.13,ENG-Premier League,2023.0,standard,ARG,"DF,FW",19.0,2004.0,3.4,0,4,2,50.0,1.17,0.59,0.0,0.0,24.2,0,0,0,0.2,0.2,0.05,-0.2,-0.2,ENG-Premier League,2023.0,shooting,ARG,"DF,FW",19.0,2004.0,3.4,179,233,76.8,2509,864,120,131,91.6,47,64,73.4,7,23,30.4,0.0,0.2,0.4,-0.2,4.0,10.0,3.0,0.0,14.0,ENG-Premier League,2023.0,passing,ARG,"DF,FW",19.0,2004.0,3.4,274,7,73,102,100,5,274,11,5,45.5,4,36.4,181,697,367,8,4,0,5,4,188,20,ENG-Premier League,2023.0,possession,ARG,"DF,FW",19.0,2004.0,3.4,11,5,4,5,2,6,8,75.0,2,3,0,3,4.0,15.0,3.0,1.0,ENG-Premier League,2023.0,defense,ARG,"DF,FW",19.0,2004.0,3.4,1,0,0,7,7,0,30,4,5,0,0,0,16,1,7,12.5,ENG-Premier League,2023.0,misc
ARG_DF_26.0_1997.0,ARG,DF,26.0,1997.0,31,26,2242,24.9,4,5,9,4,0,0,13,0,2.0,2.0,1.7,3.7,31,127,4,0.16,0.2,0.36,0.16,0.36,0.08,0.07,0.15,0.08,0.15,ENG-Premier League,2023.0,standard,ARG,DF,26.0,1997.0,24.9,4,13,4,30.8,0.52,0.16,0.31,1.0,12.3,0,0,0,2.0,2.0,0.16,2.0,2.0,ENG-Premier League,2023.0,shooting,ARG,DF,26.0,1997.0,24.9,1005,1297,77.5,21763,9395,307,340,90.3,511,570,89.6,181,345,52.5,5.0,1.7,2.5,3.3,22.0,156.0,31.0,11.0,127.0,ENG-Premier League,2023.0,passing,ARG,DF,26.0,1997.0,24.9,1614,184,743,762,129,20,1614,20,11,55.0,8,40.0,910,4789,3098,31,34,3,19,11,950,4,ENG-Premier League,2023.0,possession,ARG,DF,26.0,1997.0,24.9,55,32,28,23,4,24,56,42.9,32,50,23,27,35.0,90.0,109.0,1.0,ENG-Premier League,2023.0,defense,ARG,DF,26.0,1997.0,24.9,13,0,0,41,11,0,25,35,32,0,0,0,164,37,40,48.1,ENG-Premier League,2023.0,misc
"ARG_FW,MF_18.0_2004.0",ARG,"FW,MF",18.0,2004.0,27,17,1364,15.2,3,1,4,3,0,0,7,0,2.4,2.4,1.8,4.2,23,42,69,0.2,0.07,0.26,0.2,0.26,0.16,0.12,0.28,0.16,0.28,ENG-Premier League,2023.0,standard,ARG,"FW,MF",18.0,2004.0,15.2,3,21,8,38.1,1.39,0.53,0.14,0.38,16.8,0,0,0,2.4,2.4,0.11,0.6,0.6,ENG-Premier League,2023.0,shooting,ARG,"FW,MF",18.0,2004.0,15.2,404,478,84.5,5038,1028,270,306,88.2,95,109,87.2,9,15,60.0,1.0,1.8,1.2,-0.8,18.0,26.0,14.0,1.0,42.0,ENG-Premier League,2023.0,passing,ARG,"FW,MF",18.0,2004.0,15.2,673,21,91,316,277,35,673,52,18,34.6,28,53.8,421,2342,898,23,25,8,42,33,480,69,ENG-Premier League,2023.0,possession,ARG,"FW,MF",18.0,2004.0,15.2,42,22,13,22,7,14,44,31.8,30,22,3,19,8.0,50.0,5.0,0.0,ENG-Premier League,2023.0,defense,ARG,"FW,MF",18.0,2004.0,15.2,7,0,0,34,41,3,6,8,22,0,0,0,66,6,16,27.3,ENG-Premier League,2023.0,misc
ARG_FW_19.0_2004.0,ARG,FW,19.0,2004.0,36,30,2565,28.5,7,4,11,7,0,0,4,0,8.4,8.3,5.1,13.4,178,62,281,0.25,0.14,0.39,0.25,0.39,0.29,0.18,0.47,0.29,0.47,ENG-Premier League,2023.0,standard,ARG,FW,19.0,2004.0,28.5,7,100,27,27.0,3.51,0.95,0.07,0.26,15.8,0,0,0,8.4,8.3,0.08,-1.4,-1.3,ENG-Premier League,2023.0,shooting,ARG,FW,19.0,2004.0,28.5,675,901,74.9,9269,1365,422,506,83.4,189,233,81.1,34,63,54.0,4.0,5.1,2.9,-1.1,46.0,26.0,22.0,4.0,62.0,ENG-Premier League,2023.0,passing,ARG,FW,19.0,2004.0,28.5,1312,13,180,403,741,248,1312,131,48,36.6,63,48.1,940,8034,4211,178,83,102,69,49,1007,281,ENG-Premier League,2023.0,possession,ARG,FW,19.0,2004.0,28.5,22,15,7,6,9,12,45,26.7,33,26,2,24,18.0,40.0,18.0,0.0,ENG-Premier League,2023.0,defense,ARG,FW,19.0,2004.0,28.5,4,0,0,20,54,15,58,18,15,2,0,0,106,6,25,19.4,ENG-Premier League,2023.0,misc
"ARG_MF,FW_23.0_2000.0",ARG,"MF,FW",23.0,2000.0,36,31,2647,29.4,11,8,19,9,2,2,2,0,13.0,11.5,6.4,17.9,64,103,180,0.37,0.27,0.65,0.31,0.58,0.44,0.22,0.66,0.39,0.61,ENG-Premier League,2023.0,standard,ARG,"MF,FW",23.0,2000.0,29.4,11,96,37,38.5,3.26,1.26,0.09,0.24,17.8,13,2,2,13.0,11.5,0.12,-2.0,-2.5,ENG-Premier League,2023.0,shooting,ARG,"MF,FW",23.0,2000.0,29.4,1011,1258,80.4,13977,2992,615,679,90.6,272,328,82.9,58,145,40.0,8.0,6.4,6.3,1.6,67.0,43.0,41.0,4.0,103.0,ENG-Premier League,2023.0,passing,ARG,"MF,FW",23.0,2000.0,29.4,1554,20,107,473,988,149,1552,42,20,47.6,22,52.4,914,4459,2092,64,59,28,56,36,1103,180,ENG-Premier League,2023.0,possession,ARG,"MF,FW",23.0,2000.0,29.4,24,13,5,8,11,8,32,25.0,24,30,0,30,2.0,26.0,14.0,1.0,ENG-Premier League,2023.0,defense,ARG,"MF,FW",23.0,2000.0,29.4,2,0,0,23,13,2,137,2,13,2,0,0,98,4,24,14.3,ENG-Premier League,2023.0,misc
"ARG_MF,FW_25.0_1998.0",ARG,"MF,FW",25.0,1998.0,26,19,1495,16.6,2,2,4,2,0,0,4,0,1.3,1.3,1.0,2.3,14,91,43,0.12,0.12,0.24,0.12,0.24,0.08,0.06,0.14,0.08,0.14,ENG-Premier League,2023.0,standard,ARG,"MF,FW",25.0,1998.0,16.6,2,22,6,27.3,1.32,0.36,0.09,0.33,16.9,0,0,0,1.3,1.3,0.06,0.7,0.7,ENG-Premier League,2023.0,shooting,ARG,"MF,FW",25.0,1998.0,16.6,714,843,84.7,10894,3223,380,424,89.6,254,298,85.2,45,61,73.8,2.0,1.0,1.3,1.0,10.0,61.0,16.0,1.0,91.0,ENG-Premier League,2023.0,passing,ARG,"MF,FW",25.0,1998.0,16.6,1049,39,266,542,248,33,1049,17,7,41.2,8,47.1,492,2030,1106,14,13,2,21,7,628,43,ENG-Premier League,2023.0,possession,ARG,"MF,FW",25.0,1998.0,16.6,63,34,35,27,1,23,48,47.9,25,31,5,26,18.0,81.0,24.0,0.0,ENG-Premier League,2023.0,defense,ARG,"MF,FW",25.0,1998.0,16.6,4,0,0,26,16,2,6,18,34,0,0,0,108,21,19,52.5,ENG-Premier League,2023.0,misc
