league,season,team,player,nation,pos,age,born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,stat_type,nation_possession,pos_possession,age_possession,born_possession,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Tkld,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,stat_type_possession,nation_misc,pos_misc,age_misc,born_misc,Performance CrdY_misc,Performance CrdR_misc,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,stat_type_misc,nation_defense,pos_defense,age_defense,born_defense,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,stat_type_defense,nation_passing,pos_passing,age_passing,born_passing,90s_passing,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,stat_type_passing,nation_shooting,pos_shooting,age_shooting,born_shooting,Standard Gls,Standard Sh,Standard SoT,Standard Sh/90,Standard SoT/90,Standard FK,Standard PK,Standard PKatt,Expected xG_shooting,Expected npxG_shooting,Expected G-xG,Expected np:G-xG,stat_type_shooting,player_norm_x,player_matched,player_norm_y,Valeur marchande (euros)
ESP-La Liga,2020,Atlético Madrid,Ángel Correa,ARG,"FW,MF",25.0,1995.0,38,29,2393,26.6,9,8,17,9,0,0,3,0,7.8,7.7,5.7,13.4,64,84,186,0.34,0.3,0.64,0.34,0.64,0.29,0.21,0.51,0.29,0.51,standard,ARG,"FW,MF",25.0,1995.0,26.6,1218,16,157,489,585,147,1218,90,53,37,721,3199,1546,64,32,33,77,57,884,186,possession,ARG,"FW,MF",25.0,1995.0,3,0,0,37,30,13,35,22,21,0,0,0,118,10,34,misc,ARG,"FW,MF",25.0,1995.0,38,21,10,23,5,15,45,30,18,1,17,22,60,16,0,defense,ARG,"FW,MF",25.0,1995.0,26.6,690,898,76.8,8438,1861,407,480,84.8,168,222,75.7,28,56,8,5.7,4.8,2.3,38,46,32,2,84,passing,ARG,"FW,MF",25.0,1995.0,9,52,23,1.96,0.87,0,0,0,7.8,7.7,1.2,1.3,shooting,angel correa,angel correa,angel correa,40000000.0
ESP-La Liga,2020,Granada,Ángel Montoro,ESP,MF,32.0,1988.0,22,17,1362,15.1,1,1,2,0,1,1,6,0,1.3,0.5,2.7,3.2,1,91,22,0.07,0.07,0.13,0.0,0.07,0.09,0.18,0.26,0.04,0.21,standard,ESP,MF,32.0,1988.0,15.1,844,26,146,473,230,5,843,6,4,2,404,1562,591,1,9,0,11,8,515,22,possession,ESP,MF,32.0,1988.0,6,0,0,23,20,1,77,22,9,0,0,0,74,8,14,misc,ESP,MF,32.0,1988.0,15,9,7,7,1,4,16,12,13,3,10,22,37,21,0,defense,ESP,MF,32.0,1988.0,15.1,515,733,70.3,11096,3887,195,226,86.3,203,257,79.0,105,194,1,2.7,2.5,-1.7,22,74,20,8,91,passing,ESP,MF,32.0,1988.0,1,14,1,0.93,0.07,3,1,1,1.3,0.5,-0.3,-0.5,shooting,angel montoro,angel montoro,angel montoro,1200000.0
ESP-La Liga,2020,Getafe,Ángel Rodríguez,ESP,"FW,MF",33.0,1987.0,33,12,1374,15.3,5,0,5,4,1,2,4,0,5.7,4.1,0.6,4.7,23,15,94,0.33,0.0,0.33,0.26,0.26,0.37,0.04,0.41,0.27,0.31,standard,ESP,"FW,MF",33.0,1987.0,15.3,478,8,21,200,260,57,476,26,11,15,278,1389,433,23,14,10,54,25,364,94,possession,ESP,"FW,MF",33.0,1987.0,4,0,0,27,22,12,17,2,4,1,0,0,35,22,53,misc,ESP,"FW,MF",33.0,1987.0,7,4,1,4,2,1,16,15,7,0,7,2,9,8,0,defense,ESP,"FW,MF",33.0,1987.0,15.3,198,301,65.8,2668,351,114,150,76.0,49,77,63.6,15,27,0,0.6,0.8,-0.6,6,8,3,1,15,passing,ESP,"FW,MF",33.0,1987.0,5,36,12,2.36,0.79,0,1,2,5.7,4.1,-0.7,-0.1,shooting,angel rodriguez,angel rodriguez,angel rodriguez,3000000.0
ESP-La Liga,2020,Real Madrid,Éder Militão,BRA,DF,22.0,1998.0,14,13,1133,12.6,1,0,1,1,0,0,3,1,1.1,1.1,0.0,1.1,13,24,5,0.08,0.0,0.08,0.08,0.08,0.08,0.0,0.08,0.08,0.08,standard,BRA,DF,22.0,1998.0,12.6,917,106,496,377,48,15,917,2,2,0,538,2811,1415,13,4,1,9,1,650,5,possession,BRA,DF,22.0,1998.0,3,1,0,15,12,0,2,19,8,0,1,0,70,31,13,misc,BRA,DF,22.0,1998.0,20,8,13,6,1,8,14,6,19,6,13,19,39,42,0,defense,BRA,DF,22.0,1998.0,12.6,714,791,90.3,14621,4670,230,240,95.8,368,391,94.1,106,140,0,0.0,0.2,0.0,0,34,1,1,24,passing,BRA,DF,22.0,1998.0,1,12,3,0.95,0.24,0,0,0,1.1,1.1,-0.1,-0.1,shooting,eder militao,eder militao,eder militao,40000000.0
ESP-La Liga,2020,Elche,Édgar Badía,ESP,GK,28.0,1992.0,30,30,2700,30.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ESP,GK,28.0,1992.0,30.0,1228,1117,1226,2,1,1,1228,0,0,0,591,2683,1693,1,1,1,1,0,507,0,possession,ESP,GK,28.0,1992.0,0,0,0,0,3,0,0,0,0,0,0,0,50,6,2,misc,ESP,GK,28.0,1992.0,1,0,1,0,0,1,3,2,0,0,0,0,1,17,3,defense,ESP,GK,28.0,1992.0,30.0,865,1150,75.2,24979,18958,154,155,99.4,385,396,97.2,306,578,0,0.0,0.0,0.0,0,13,0,0,1,passing,ESP,GK,28.0,1992.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,shooting,edgar badia,edgar badia,edgar badia,2000000.0
ESP-La Liga,2020,Alavés,Édgar Méndez,ESP,"MF,FW",30.0,1990.0,33,26,2090,23.2,5,1,6,5,0,0,12,1,5.5,5.5,1.6,7.0,47,23,115,0.22,0.04,0.26,0.22,0.26,0.24,0.07,0.3,0.24,0.3,standard,ESP,"MF,FW",30.0,1990.0,23.2,743,18,138,325,294,55,743,39,18,21,413,2610,1055,47,21,15,66,25,458,115,possession,ESP,"MF,FW",30.0,1990.0,12,1,1,52,51,8,62,19,29,0,0,0,107,58,50,misc,ESP,"MF,FW",30.0,1990.0,39,29,18,13,8,15,48,33,20,3,17,19,58,14,0,defense,ESP,"MF,FW",30.0,1990.0,23.2,259,475,54.5,4339,1237,136,201,67.7,89,156,57.1,28,72,1,1.6,0.8,-0.6,18,14,15,9,23,passing,ESP,"MF,FW",30.0,1990.0,5,35,10,1.51,0.43,0,0,0,5.5,5.5,-0.5,-0.5,shooting,edgar mendez,edgar mendez,edgar mendez,2200000.0
ESP-La Liga,2020,Villarreal,Étienne Capoue,FRA,MF,32.0,1988.0,16,15,1185,13.2,1,0,1,1,0,0,5,1,0.3,0.3,0.1,0.5,10,58,4,0.08,0.0,0.08,0.08,0.08,0.03,0.01,0.03,0.03,0.03,standard,FRA,MF,32.0,1988.0,13.2,872,40,238,555,83,3,872,18,12,6,474,2068,935,10,11,0,10,8,640,4,possession,FRA,MF,32.0,1988.0,5,1,0,26,22,0,0,20,10,0,2,0,56,23,12,misc,FRA,MF,32.0,1988.0,20,10,14,6,0,8,18,10,7,1,6,20,40,23,0,defense,FRA,MF,32.0,1988.0,13.2,686,764,89.8,11117,2894,335,353,94.9,280,306,91.5,47,68,0,0.1,0.5,-0.1,3,56,8,0,58,passing,FRA,MF,32.0,1988.0,1,8,3,0.61,0.23,0,0,0,0.3,0.3,0.7,0.7,shooting,etienne capoue,etienne capoue,etienne capoue,2000000.0
ESP-La Liga,2020,Sevilla,Óliver Torres,ESP,"MF,FW",25.0,1994.0,33,15,1400,15.6,0,3,3,0,0,0,2,0,1.1,1.1,2.1,3.2,39,130,82,0.0,0.19,0.19,0.0,0.19,0.07,0.14,0.2,0.07,0.2,standard,ESP,"MF,FW",25.0,1994.0,15.6,1168,7,137,675,367,21,1168,41,34,7,741,3728,1645,39,35,2,31,25,925,82,possession,ESP,"MF,FW",25.0,1994.0,2,0,0,21,17,0,38,15,22,0,0,0,102,3,13,misc,ESP,"MF,FW",25.0,1994.0,34,22,13,15,6,19,53,34,15,0,15,15,49,9,0,defense,ESP,"MF,FW",25.0,1994.0,15.6,860,1026,83.8,16344,3870,413,448,92.2,257,304,84.5,154,210,3,2.1,2.2,0.9,27,104,23,5,130,passing,ESP,"MF,FW",25.0,1994.0,0,10,3,0.64,0.19,0,0,0,1.1,1.1,-1.1,-1.1,shooting,oliver torres,oliver torres,oliver torres,13000000.0
ESP-La Liga,2020,Granada,Álvaro Bravo,ESP,MF,22.0,1998.0,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ESP,MF,22.0,1998.0,0.2,12,0,5,5,2,0,12,0,0,0,8,44,8,0,0,0,1,1,8,0,possession,ESP,MF,22.0,1998.0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,misc,ESP,MF,22.0,1998.0,1,1,1,0,0,1,2,1,0,0,0,1,2,0,0,defense,ESP,MF,22.0,1998.0,0.2,8,9,88.9,104,26,5,6,83.3,3,3,100.0,0,0,0,0.0,0.0,0.0,0,1,0,0,1,passing,ESP,MF,22.0,1998.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,shooting,alvaro bravo,alvaro bravo,alvaro bravo,200000.0
ESP-La Liga,2020,Huesca,Álvaro Fernández,ESP,GK,22.0,1998.0,22,22,1980,22.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ESP,GK,22.0,1998.0,22.0,869,740,862,5,2,2,869,0,0,0,415,1898,1180,0,0,0,0,0,416,0,possession,ESP,GK,22.0,1998.0,0,0,0,0,3,0,0,2,1,0,0,0,31,5,0,misc,ESP,GK,22.0,1998.0,1,1,0,1,0,1,3,2,0,0,0,2,3,7,0,defense,ESP,GK,22.0,1998.0,22.0,615,816,75.4,17429,11546,95,96,99.0,283,286,99.0,231,420,0,0.0,0.0,0.0,1,9,0,0,0,passing,ESP,GK,22.0,1998.0,0,1,0,0.05,0.0,0,0,0,0.1,0.1,-0.1,-0.1,shooting,alvaro fernandez,alvaro fernandez,alvaro fernandez,100000.0
