league,season,team,player,nation,pos,age,born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,stat_type,nation_shooting,pos_shooting,age_shooting,born_shooting,90s,Standard Gls,Standard Sh,Standard SoT,Standard Sh/90,Standard SoT/90,Standard FK,Standard PK,Standard PKatt,Expected xG_shooting,Expected npxG_shooting,Expected G-xG,Expected np:G-xG,stat_type_shooting,nation_misc,pos_misc,age_misc,born_misc,Performance CrdY_misc,Performance CrdR_misc,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,stat_type_misc,nation_possession,pos_possession,age_possession,born_possession,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Tkld,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,stat_type_possession,nation_passing,pos_passing,age_passing,born_passing,90s_passing,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,stat_type_passing,nation_defense,pos_defense,age_defense,born_defense,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,stat_type_defense,player_norm_x,player_matched,player_norm_y,Valeur marchande (euros)
ITA-Serie A,2020,Crotone,Vladimir Golemić,SVN,DF,29,1991,30,26,2341,26.0,2,0,2,1,1,1,4,1,1.2,0.4,0.5,0.9,9,59,5,0.08,0.0,0.08,0.04,0.04,0.05,0.02,0.07,0.02,0.04,standard,SVN,DF,29,1991,26.0,2,5,2,0.19,0.08,0,1,1,1.2,0.4,0.8,0.6,shooting,SVN,DF,29,1991,4,1,0,30,8,0,2,40,16,0,2,0,112,45,42,misc,SVN,DF,29,1991,1554,233,955,565,41,14,1553,5,4,1,813,3547,1723,9,4,0,11,5,962,5,possession,SVN,DF,29,1991,26.0,1116,1311,85.1,21371,8884,387,427,90.6,610,664,91.9,109,190,0,0.5,0.4,-0.5,6,44,3,0,59,passing,SVN,DF,29,1991,33,16,17,13,3,14,19,5,38,26,12,40,73,97,2,defense,vladimir golemic,vladimir golemic,vladimir golemic,900000.0
ITA-Serie A,2020,Udinese,Walace,BRA,MF,25,1995,30,23,2055,22.8,0,0,0,0,0,0,4,0,0.7,0.7,0.3,1.0,17,95,16,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,standard,BRA,MF,25,1995,22.8,0,17,4,0.74,0.18,0,0,0,0.7,0.7,-0.7,-0.7,shooting,BRA,MF,25,1995,4,0,0,31,26,1,2,34,23,0,0,0,179,13,14,misc,BRA,MF,25,1995,1431,56,403,866,174,12,1431,33,24,9,801,3645,1671,17,13,2,40,16,936,16,possession,BRA,MF,25,1995,22.8,1027,1165,88.2,18080,4710,452,484,93.4,432,464,93.1,103,135,0,0.3,0.6,-0.3,9,99,6,1,95,passing,BRA,MF,25,1995,50,23,28,19,3,21,60,39,36,3,33,34,84,23,0,defense,walace,walace,walace,5000000.0
ITA-Serie A,2020,Lazio,Wesley Hoedt,NED,DF,26,1994,17,10,952,10.6,0,0,0,0,0,0,6,0,0.1,0.1,0.1,0.2,2,48,1,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,standard,NED,DF,26,1994,10.6,0,2,0,0.19,0.0,0,0,0,0.1,0.1,-0.1,-0.1,shooting,NED,DF,26,1994,6,0,0,11,2,0,1,17,16,0,2,0,76,19,9,misc,NED,DF,26,1994,796,108,386,403,12,4,796,4,3,1,488,2502,1225,2,2,1,4,1,530,1,possession,NED,DF,26,1994,10.6,609,680,89.6,14302,5058,118,134,88.1,355,371,95.7,133,169,0,0.1,0.1,-0.1,3,54,0,0,48,passing,NED,DF,26,1994,22,16,18,4,0,10,17,7,9,5,4,17,39,48,1,defense,wesley hoedt,wesley hoedt,wesley hoedt,4000000.0
ITA-Serie A,2020,Juventus,Weston McKennie,USA,MF,21,1998,34,18,1702,18.9,5,2,7,5,0,0,5,0,4.9,4.9,3.3,8.3,35,79,110,0.26,0.11,0.37,0.26,0.37,0.26,0.18,0.44,0.26,0.44,standard,USA,MF,21,1998,18.9,5,29,14,1.53,0.74,0,0,0,4.9,4.9,0.1,0.1,shooting,USA,MF,21,1998,5,0,0,44,7,4,9,28,19,0,0,0,100,29,28,misc,USA,MF,21,1998,1001,42,181,478,350,71,1001,23,19,4,457,2278,1255,35,27,6,38,22,689,110,possession,USA,MF,21,1998,18.9,659,785,83.9,9928,2170,383,428,89.5,205,240,85.4,42,56,2,3.3,2.4,-1.3,27,39,16,0,79,passing,USA,MF,21,1998,34,19,9,20,5,12,33,21,21,3,18,28,62,26,0,defense,weston mckennie,weston mckennie,weston mckennie,25000000.0
ITA-Serie A,2020,Torino,Wilfried Singo,CIV,DF,19,2000,28,20,1854,20.6,1,2,3,1,0,0,4,1,1.2,1.2,2.8,4.1,73,62,100,0.05,0.1,0.15,0.05,0.15,0.06,0.14,0.2,0.06,0.2,standard,CIV,DF,19,2000,20.6,1,10,1,0.49,0.05,0,0,0,1.2,1.2,-0.2,-0.2,shooting,CIV,DF,19,2000,4,1,1,27,50,2,79,29,14,1,0,0,129,50,26,misc,CIV,DF,19,2000,1205,62,303,548,382,29,1205,90,52,38,658,4527,2781,73,48,12,41,14,686,100,possession,CIV,DF,19,2000,20.6,723,963,75.1,10923,3562,406,452,89.8,254,349,72.8,44,104,2,2.8,1.9,-0.8,24,35,20,11,62,passing,CIV,DF,19,2000,29,14,16,6,7,17,33,16,13,3,10,29,58,40,0,defense,wilfried singo,wilfried singo,wilfried singo,7000000.0
ITA-Serie A,2020,Juventus,Wojciech Szczęsny,POL,GK,30,1990,30,30,2677,29.7,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.03,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.0,standard,POL,GK,30,1990,29.7,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,shooting,POL,GK,30,1990,0,0,0,0,1,0,0,3,0,0,0,0,59,7,0,misc,POL,GK,30,1990,1076,881,1067,9,0,0,1076,1,1,0,618,2957,1820,0,1,1,0,0,595,0,possession,POL,GK,30,1990,29.7,919,1016,90.5,21589,13534,214,214,100.0,482,489,98.6,221,307,1,0.0,0.0,1.0,1,5,0,0,1,passing,POL,GK,30,1990,0,0,0,0,0,0,0,0,2,0,2,3,3,5,1,defense,wojciech szczesny,wojciech szczesny,wojciech szczesny,25000000.0
ITA-Serie A,2020,Parma,Wylan Cyprien,FRA,MF,25,1995,13,2,410,4.6,0,0,0,0,0,0,2,0,0.3,0.3,0.2,0.5,4,20,2,0.0,0.0,0.0,0.0,0.0,0.06,0.05,0.1,0.06,0.1,standard,FRA,MF,25,1995,4.6,0,6,1,1.32,0.22,3,0,0,0.3,0.3,-0.3,-0.3,shooting,FRA,MF,25,1995,2,0,0,6,7,0,19,5,4,0,0,0,26,5,1,misc,FRA,MF,25,1995,345,16,106,185,57,1,345,5,2,3,191,836,388,4,3,0,5,4,238,2,possession,FRA,MF,25,1995,4.6,248,299,82.9,4730,1033,94,105,89.5,119,130,91.5,30,52,0,0.2,0.3,-0.2,4,18,3,1,20,passing,FRA,MF,25,1995,9,4,5,3,1,2,4,2,13,8,5,5,14,6,1,defense,wylan cyprien,wylan cyprien,wylan cyprien,6000000.0
ITA-Serie A,2020,Parma,Vasilios Zagaritis,GRE,DF,19,2001,2,0,65,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,5,11,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.0,0.08,standard,GRE,DF,19,2001,0.7,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,shooting,GRE,DF,19,2001,0,0,0,0,1,1,7,0,0,0,0,0,4,0,0,misc,GRE,DF,19,2001,57,0,10,23,24,1,57,3,2,1,39,222,142,2,3,0,2,0,40,11,possession,GRE,DF,19,2001,0.7,41,50,82.0,528,198,31,32,96.9,9,11,81.8,1,4,0,0.1,0.1,-0.1,1,3,1,0,5,passing,GRE,DF,19,2001,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,defense,vasilios zagaritis,vasilios zagaritis,vasilios zagaritis,500000.0
ITA-Serie A,2020,Lazio,Vedat Muriqi,KVX,FW,26,1994,27,7,832,9.2,1,0,1,1,0,0,1,0,3.2,3.2,0.6,3.8,9,20,79,0.11,0.0,0.11,0.11,0.11,0.34,0.07,0.41,0.34,0.41,standard,KVX,FW,26,1994,9.2,1,31,8,3.35,0.87,0,0,0,3.2,3.2,-2.2,-2.2,shooting,KVX,FW,26,1994,1,0,0,14,19,15,3,3,1,0,0,0,30,54,43,misc,KVX,FW,26,1994,384,20,41,158,188,63,384,7,2,5,204,874,216,9,2,4,32,17,304,79,possession,KVX,FW,26,1994,9.2,171,252,67.9,2359,375,111,148,75.0,39,56,69.6,12,16,0,0.6,0.6,-0.6,10,11,8,0,20,passing,KVX,FW,26,1994,3,1,0,2,1,0,8,8,9,2,7,3,6,20,0,defense,vedat muriqi,vedat muriqi,vedat muriqi,9000000.0
ITA-Serie A,2020,Napoli,Victor Osimhen,NGA,FW,21,1998,24,16,1573,17.5,10,3,13,10,0,0,4,0,10.6,10.6,2.5,13.1,41,9,100,0.57,0.17,0.74,0.57,0.74,0.61,0.14,0.75,0.61,0.75,standard,NGA,FW,21,1998,17.5,10,66,24,3.78,1.37,0,0,0,10.6,10.6,-0.6,-0.6,shooting,NGA,FW,21,1998,4,0,0,34,36,20,14,7,15,1,0,0,37,45,63,misc,NGA,FW,21,1998,452,11,20,167,276,106,452,27,12,15,248,1800,877,41,30,27,45,17,334,100,possession,NGA,FW,21,1998,17.5,171,249,68.7,2223,267,105,135,77.8,43,71,60.6,8,16,3,2.5,1.1,0.5,25,5,4,1,9,passing,NGA,FW,21,1998,22,15,2,6,14,3,15,12,6,0,6,7,29,10,0,defense,victor osimhen,victor osimhen,victor osimhen,50000000.0
