league,season,team,player,nation,pos,age,born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,stat_type,nation_shooting,pos_shooting,age_shooting,born_shooting,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG_shooting,Expected npxG_shooting,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,stat_type_shooting,nation_possession,pos_possession,age_possession,born_possession,90s_possession,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,stat_type_possession,nation_passing,pos_passing,age_passing,born_passing,90s_passing,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,stat_type_passing,nation_misc,pos_misc,age_misc,born_misc,90s_misc,Performance CrdY_misc,Performance CrdR_misc,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,stat_type_misc,nation_defense,pos_defense,age_defense,born_defense,90s_defense,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,stat_type_defense
ESP-La Liga,2023,Las Palmas,Aarón Escandell,ESP,GK,27.0,1995.0,2,1,153,1.7,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ESP,GK,27.0,1995.0,1.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,ESP,GK,27.0,1995.0,1.7,88,69,87,1,0,0,88,0,0,,0,,42,156,108,0,0,0,0,0,44,0,possession,ESP,GK,27.0,1995.0,1.7,64,86,74.4,1579,1172,15,15,100.0,29,29,100.0,18,39,46.2,0,0.0,0.0,0.0,0,1,0,0,0,passing,ESP,GK,27.0,1995.0,1.7,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,,misc,ESP,GK,27.0,1995.0,1.7,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,defense
ESP-La Liga,2023,Barcelona,Abde Ezzalzouli,MAR,"FW,MF",21.0,2001.0,2,0,68,0.8,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,7,1,12,0.0,0.0,0.0,0.0,0.0,0.28,0.09,0.37,0.28,0.37,standard,MAR,"FW,MF",21.0,2001.0,0.8,0,4,1,25.0,5.29,1.32,0.0,0.0,19.1,0,0,0,0.2,0.2,0.05,-0.2,-0.2,shooting,MAR,"FW,MF",21.0,2001.0,0.8,54,0,2,13,39,7,54,4,2,50.0,2,50.0,41,302,143,7,3,4,4,2,43,12,possession,MAR,"FW,MF",21.0,2001.0,0.8,23,37,62.2,289,83,18,23,78.3,4,8,50.0,1,4,25.0,0,0.1,0.0,-0.1,2,0,2,1,1,passing,MAR,"FW,MF",21.0,2001.0,0.8,0,0,0,1,3,0,7,0,1,0,0,0,2,1,2,33.3,misc,MAR,"FW,MF",21.0,2001.0,0.8,1,1,0,0,1,0,1,0.0,1,1,0,1,0,1,0,0,defense
ESP-La Liga,2023,Betis,Abde Ezzalzouli,MAR,FW,21.0,2001.0,26,6,865,9.6,1,0,1,1,0,1,1,0,3.0,2.2,0.3,2.5,57,25,89,0.1,0.0,0.1,0.1,0.1,0.31,0.03,0.34,0.23,0.26,standard,MAR,FW,21.0,2001.0,9.6,1,33,8,24.2,3.43,0.83,0.03,0.13,17.8,0,0,1,3.0,2.2,0.07,-2.0,-1.2,shooting,MAR,FW,21.0,2001.0,9.6,518,7,58,194,271,60,517,50,21,42.0,23,46.0,300,2801,1587,57,34,35,29,31,377,89,possession,MAR,FW,21.0,2001.0,9.6,232,353,65.7,2777,769,159,204,77.9,51,77,66.2,5,17,29.4,0,0.3,0.5,-0.3,4,11,9,1,25,passing,MAR,FW,21.0,2001.0,9.6,1,0,0,9,16,4,33,5,14,0,0,0,44,23,23,50.0,misc,MAR,FW,21.0,2001.0,9.6,17,14,7,5,5,4,14,28.6,10,10,0,10,5,22,5,0,defense
ESP-La Liga,2023,Atlético Madrid,Abdellah Raihani,MAR,FW,19.0,2004.0,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,MAR,FW,19.0,2004.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,MAR,FW,19.0,2004.0,0.1,1,0,0,0,1,1,1,0,0,,0,,1,0,0,0,0,0,1,0,1,1,possession,MAR,FW,19.0,2004.0,0.1,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,passing,MAR,FW,19.0,2004.0,0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,misc,MAR,FW,19.0,2004.0,0.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,defense
ESP-La Liga,2023,Alavés,Abderrahman Rebbach,ALG,"FW,MF",24.0,1998.0,23,6,722,8.0,1,0,1,1,0,0,1,0,0.8,0.8,1.8,2.6,34,14,78,0.12,0.0,0.12,0.12,0.12,0.1,0.22,0.33,0.1,0.33,standard,ALG,"FW,MF",24.0,1998.0,8.0,1,17,4,23.5,2.12,0.5,0.06,0.25,19.4,1,0,0,0.8,0.8,0.05,0.2,0.2,shooting,ALG,"FW,MF",24.0,1998.0,8.0,343,6,46,102,198,36,343,28,10,35.7,16,57.1,180,1419,763,34,15,18,28,12,196,78,possession,ALG,"FW,MF",24.0,1998.0,8.0,124,225,55.1,2213,845,63,84,75.0,40,67,59.7,17,45,37.8,0,1.8,1.7,-1.8,18,12,6,3,14,passing,ALG,"FW,MF",24.0,1998.0,8.0,1,0,0,13,10,3,63,3,5,0,0,0,31,7,13,35.0,misc,ALG,"FW,MF",24.0,1998.0,8.0,9,5,4,2,3,5,15,33.3,10,10,1,9,3,12,7,0,defense
ESP-La Liga,2023,Rayo Vallecano,Abdul Mumin,GHA,DF,25.0,1998.0,20,19,1694,18.8,1,0,1,1,0,0,5,1,0.4,0.4,0.3,0.7,6,38,4,0.05,0.0,0.05,0.05,0.05,0.02,0.01,0.03,0.02,0.03,standard,GHA,DF,25.0,1998.0,18.8,1,6,1,16.7,0.32,0.05,0.17,1.0,15.9,0,0,0,0.4,0.4,0.06,0.6,0.6,shooting,GHA,DF,25.0,1998.0,18.8,956,127,578,359,25,8,956,4,2,50.0,1,25.0,492,2318,989,6,2,0,7,3,558,4,possession,GHA,DF,25.0,1998.0,18.8,617,773,79.8,12936,4915,179,203,88.2,355,393,90.3,76,163,46.6,0,0.3,0.1,-0.3,4,34,4,0,38,passing,GHA,DF,25.0,1998.0,18.8,5,1,0,15,16,0,2,22,10,0,0,0,79,39,31,55.7,misc,GHA,DF,25.0,1998.0,18.8,19,10,13,4,2,8,10,80.0,2,27,19,8,22,41,82,1,defense
ESP-La Liga,2023,Mallorca,Abdón Prats,ESP,"FW,MF",30.0,1992.0,34,11,1270,14.1,6,1,7,6,0,0,4,0,3.2,3.2,2.4,5.6,9,26,49,0.43,0.07,0.5,0.43,0.5,0.23,0.17,0.4,0.23,0.4,standard,ESP,"FW,MF",30.0,1992.0,14.1,6,33,14,42.4,2.34,0.99,0.18,0.43,14.8,2,0,0,3.2,3.2,0.1,2.8,2.8,shooting,ESP,"FW,MF",30.0,1992.0,14.1,376,16,34,171,181,43,376,18,8,44.4,10,55.6,183,830,285,9,9,5,41,10,266,49,possession,ESP,"FW,MF",30.0,1992.0,14.1,132,240,55.0,2042,475,73,110,66.4,42,71,59.2,12,23,52.2,1,2.4,1.2,-1.4,14,12,8,0,26,passing,ESP,"FW,MF",30.0,1992.0,14.1,4,0,0,18,18,5,8,2,4,0,0,0,30,39,60,39.4,misc,ESP,"FW,MF",30.0,1992.0,14.1,6,4,2,2,2,3,5,60.0,2,6,3,3,2,8,12,0,defense
ESP-La Liga,2023,Betis,Abner,BRA,DF,23.0,2000.0,23,15,1400,15.6,0,1,1,0,0,0,3,0,0.1,0.1,1.0,1.1,14,33,58,0.0,0.06,0.06,0.0,0.06,0.01,0.06,0.07,0.01,0.07,standard,BRA,DF,23.0,2000.0,15.6,0,4,0,0.0,0.26,0.0,0.0,,15.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,shooting,BRA,DF,23.0,2000.0,15.6,966,72,344,405,226,28,966,13,7,53.8,5,38.5,447,1802,949,14,10,5,18,11,502,58,possession,BRA,DF,23.0,2000.0,15.6,615,797,77.2,9211,4552,351,394,89.1,203,265,76.6,37,79,46.8,1,1.0,1.0,0.0,8,20,7,2,33,passing,BRA,DF,23.0,2000.0,15.6,3,0,0,16,2,2,26,15,19,0,1,0,79,14,10,58.3,misc,BRA,DF,23.0,2000.0,15.6,25,19,15,9,1,17,34,50.0,17,23,5,18,15,40,62,0,defense
ESP-La Liga,2023,Sevilla,Adnan Januzaj,BEL,"FW,MF",28.0,1995.0,8,0,193,2.1,0,0,0,0,0,0,0,0,0.6,0.6,0.0,0.6,1,9,17,0.0,0.0,0.0,0.0,0.0,0.28,0.02,0.3,0.28,0.3,standard,BEL,"FW,MF",28.0,1995.0,2.1,0,6,1,16.7,2.8,0.47,0.0,0.0,16.8,0,0,0,0.6,0.6,0.1,-0.6,-0.6,shooting,BEL,"FW,MF",28.0,1995.0,2.1,119,1,8,56,57,5,119,11,5,45.5,4,36.4,79,383,156,1,3,0,10,1,92,17,possession,BEL,"FW,MF",28.0,1995.0,2.1,70,88,79.5,1250,244,35,38,92.1,23,28,82.1,10,18,55.6,0,0.0,0.2,0.0,2,6,1,1,9,passing,BEL,"FW,MF",28.0,1995.0,2.1,0,0,0,3,9,0,8,1,3,0,0,0,9,3,1,75.0,misc,BEL,"FW,MF",28.0,1995.0,2.1,3,3,2,0,1,0,1,0.0,1,2,0,2,1,4,0,0,defense
ESP-La Liga,2023,Granada,Adri Bosch,ESP,DF,22.0,2001.0,1,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ESP,DF,22.0,2001.0,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,ESP,DF,22.0,2001.0,0.3,17,2,10,8,0,0,17,0,0,,0,,8,86,43,1,0,0,0,0,9,1,possession,ESP,DF,22.0,2001.0,0.3,11,14,78.6,211,61,6,7,85.7,2,2,100.0,3,5,60.0,0,0.0,0.0,0.0,0,2,0,0,1,passing,ESP,DF,22.0,2001.0,0.3,0,0,0,0,0,0,0,0,1,0,0,1,2,0,1,0.0,misc,ESP,DF,22.0,2001.0,0.3,1,1,1,0,0,0,0,,0,0,0,0,0,1,1,0,defense
