league,season,team,player,nation,pos,age,born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,stat_type,nation_possession,pos_possession,age_possession,born_possession,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,stat_type_possession,nation_misc,pos_misc,age_misc,born_misc,90s_misc,Performance CrdY_misc,Performance CrdR_misc,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,stat_type_misc,nation_defense,pos_defense,age_defense,born_defense,90s_defense,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,stat_type_defense,nation_passing,pos_passing,age_passing,born_passing,90s_passing,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,stat_type_passing,nation_shooting,pos_shooting,age_shooting,born_shooting,90s_shooting,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG_shooting,Expected npxG_shooting,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,stat_type_shooting
ESP-La Liga,2024,Betis,Abde Ezzalzouli,MAR,"FW,MF",23-115,2001.0,25,19,1613,17.9,1,1,2,1,0,1,2,0,7.2,6.4,1.7,8.1,100,58,172,0.06,0.06,0.11,0.06,0.11,0.4,0.1,0.5,0.36,0.45,standard,MAR,"FW,MF",23-115,2001.0,17.9,892,8,93,337,490,125,891,91,42,46.2,35,38.5,582,4396,2576,100,66,45,50,45,661,172,possession,MAR,"FW,MF",23-115,2001.0,17.9,2,0,0,18,32,3,42,5,22,1,0,0,84,19,31,38.0,misc,MAR,"FW,MF",23-115,2001.0,17.9,32,22,14,15,3,12,21,57.1,9,18,3,15,5,37,11,0,defense,MAR,"FW,MF",23-115,2001.0,17.9,442,627,70.5,5509,1624,305,376,81.1,110,160,68.8,9,29,31.0,1,1.7,1.6,-0.7,23,34,15,2,58,passing,MAR,"FW,MF",23-115,2001.0,17.9,1,50,18,36.0,2.79,1.0,0.02,0.06,15.8,1,0,1,7.2,6.4,0.13,-6.2,-5.4,shooting
ESP-La Liga,2024,Alavés,Abderrahman Rebbach,ALG,"FW,MF",26-243,1998.0,8,4,385,4.3,0,0,0,0,0,0,1,0,0.2,0.2,0.3,0.5,16,5,34,0.0,0.0,0.0,0.0,0.0,0.04,0.07,0.11,0.04,0.11,standard,ALG,"FW,MF",26-243,1998.0,4.3,173,4,27,62,85,18,173,14,3,21.4,9,64.3,103,674,389,16,6,7,9,5,107,34,possession,ALG,"FW,MF",26-243,1998.0,4.3,1,0,0,5,6,2,17,0,2,0,0,0,16,1,11,8.3,misc,ALG,"FW,MF",26-243,1998.0,4.3,3,2,3,0,0,0,6,0.0,6,4,0,4,0,3,6,0,defense,ALG,"FW,MF",26-243,1998.0,4.3,74,118,62.7,1234,255,41,58,70.7,24,35,68.6,8,17,47.1,0,0.3,0.4,-0.3,6,2,5,3,5,passing,ALG,"FW,MF",26-243,1998.0,4.3,0,6,1,16.7,1.4,0.23,0.0,0.0,20.3,0,0,0,0.2,0.2,0.03,-0.2,-0.2,shooting
ESP-La Liga,2024,Getafe,Abdoulaye Keita,ESP,"FW,MF",22-222,2002.0,3,1,95,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,4,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,standard,ESP,"FW,MF",22-222,2002.0,1.1,41,3,10,19,12,1,41,3,1,33.3,2,66.7,22,84,24,1,0,0,3,3,25,4,possession,ESP,"FW,MF",22-222,2002.0,1.1,0,0,0,6,0,0,1,0,2,0,0,0,6,3,3,50.0,misc,ESP,"FW,MF",22-222,2002.0,1.1,2,2,0,1,1,2,4,50.0,2,1,0,1,0,2,3,0,defense,ESP,"FW,MF",22-222,2002.0,1.1,15,27,55.6,257,66,8,11,72.7,6,6,100.0,1,6,16.7,0,0.0,0.1,0.0,0,3,1,1,2,passing,ESP,"FW,MF",22-222,2002.0,1.1,0,2,0,0.0,1.89,0.0,0.0,,25.8,0,0,0,0.0,0.0,0.02,0.0,0.0,shooting
ESP-La Liga,2024,Rayo Vallecano,Abdul Mumin,GHA,DF,26-309,1998.0,24,24,2017,22.4,2,1,3,2,0,0,6,1,0.6,0.6,0.2,0.8,12,40,6,0.09,0.04,0.13,0.09,0.13,0.03,0.01,0.03,0.03,0.03,standard,GHA,DF,26-309,1998.0,22.4,1351,253,874,447,39,13,1351,10,5,50.0,4,40.0,725,3467,1525,12,5,2,16,5,819,6,possession,GHA,DF,26-309,1998.0,22.4,6,1,0,22,12,0,6,23,25,0,0,0,93,31,25,55.4,misc,GHA,DF,26-309,1998.0,22.4,37,25,30,7,0,17,27,63.0,10,40,29,11,23,60,125,0,defense,GHA,DF,26-309,1998.0,22.4,900,1085,82.9,17231,7016,315,339,92.9,492,536,91.8,87,190,45.8,1,0.2,0.1,0.8,1,40,1,0,40,passing,GHA,DF,26-309,1998.0,22.4,2,10,3,30.0,0.45,0.13,0.2,0.67,12.9,0,0,0,0.6,0.6,0.06,1.4,1.4,shooting
ESP-La Liga,2024,Mallorca,Abdón Prats,ESP,"FW,MF",32-125,1992.0,21,2,376,4.2,2,0,2,1,1,1,4,0,1.9,1.1,0.0,1.2,0,6,9,0.48,0.0,0.48,0.24,0.24,0.46,0.0,0.47,0.27,0.28,standard,ESP,"FW,MF",32-125,1992.0,4.2,118,5,14,62,42,21,117,2,1,50.0,1,50.0,60,171,32,0,0,0,13,10,82,9,possession,ESP,"FW,MF",32-125,1992.0,4.2,4,0,0,5,15,2,0,1,1,1,0,0,12,15,28,34.9,misc,ESP,"FW,MF",32-125,1992.0,4.2,1,1,1,0,0,0,1,0.0,1,2,1,1,1,2,4,0,defense,ESP,"FW,MF",32-125,1992.0,4.2,47,69,68.1,721,146,25,33,75.8,15,22,68.2,4,6,66.7,0,0.0,0.1,0.0,1,4,1,0,6,passing,ESP,"FW,MF",32-125,1992.0,4.2,2,11,4,36.4,2.63,0.96,0.09,0.25,15.1,0,1,1,1.9,1.1,0.1,0.1,-0.1,shooting
ESP-La Liga,2024,Osasuna,Abel,ESP,DF,24-233,2000.0,28,16,1688,18.8,2,0,2,2,0,0,3,0,0.4,0.4,0.8,1.3,41,60,69,0.11,0.0,0.11,0.11,0.11,0.02,0.04,0.07,0.02,0.07,standard,ESP,DF,24-233,2000.0,18.8,1052,58,321,475,265,12,1052,29,14,48.3,11,37.9,468,2614,1419,41,34,5,21,12,511,69,possession,ESP,DF,24-233,2000.0,18.8,3,0,0,19,24,1,68,15,29,0,1,0,92,16,14,53.3,misc,ESP,DF,24-233,2000.0,18.8,47,29,21,19,7,29,46,63.0,17,22,2,20,15,62,55,2,defense,ESP,DF,24-233,2000.0,18.8,602,847,71.1,10127,4262,302,343,88.0,238,310,76.8,50,136,36.8,0,0.8,1.1,-0.8,11,46,10,8,60,passing,ESP,DF,24-233,2000.0,18.8,2,10,4,40.0,0.53,0.21,0.2,0.5,24.7,0,0,0,0.4,0.4,0.04,1.6,1.6,shooting
ESP-La Liga,2024,Girona,Abel Ruiz,ESP,FW,25-073,2000.0,18,15,1166,13.0,4,0,4,3,1,2,3,0,4.5,3.0,0.4,3.3,17,19,62,0.31,0.0,0.31,0.23,0.23,0.35,0.03,0.38,0.23,0.26,standard,ESP,FW,25-073,2000.0,13.0,339,11,27,159,155,53,337,16,5,31.3,8,50.0,201,1048,316,17,7,9,32,18,245,62,possession,ESP,FW,25-073,2000.0,13.0,3,0,0,6,13,5,4,4,2,0,0,0,20,7,19,26.9,misc,ESP,FW,25-073,2000.0,13.0,6,2,2,2,2,2,5,40.0,3,5,2,3,4,10,7,0,defense,ESP,FW,25-073,2000.0,13.0,198,227,87.2,2981,405,119,129,92.2,64,68,94.1,14,21,66.7,0,0.4,0.6,-0.4,4,13,4,0,19,passing,ESP,FW,25-073,2000.0,13.0,4,20,7,35.0,1.54,0.54,0.15,0.43,13.7,0,1,2,4.5,3.0,0.15,-0.5,0.0,shooting
ESP-La Liga,2024,Las Palmas,Aboubacar Bassinga,CIV,MF,19-272,2005.0,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,CIV,MF,19-272,2005.0,0.0,4,0,0,4,0,0,4,0,0,,0,,3,11,4,0,0,0,0,1,3,0,possession,CIV,MF,19-272,2005.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,misc,CIV,MF,19-272,2005.0,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense,CIV,MF,19-272,2005.0,0.0,2,4,50.0,53,0,1,1,100.0,0,0,,1,3,33.3,0,0.0,0.0,0.0,0,0,0,0,0,passing,CIV,MF,19-272,2005.0,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ESP-La Liga,2024,Valladolid,Adam Aznou,MAR,DF,18-313,2006.0,7,6,463,5.1,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,7,13,19,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.02,0.02,0.02,standard,MAR,DF,18-313,2006.0,5.1,282,17,93,142,53,5,282,17,7,41.2,5,29.4,130,686,380,7,4,1,17,7,135,19,possession,MAR,DF,18-313,2006.0,5.1,1,0,0,5,8,0,8,7,14,0,0,0,31,5,1,83.3,misc,MAR,DF,18-313,2006.0,5.1,16,14,12,4,0,13,24,54.2,11,12,2,10,7,23,10,0,defense,MAR,DF,18-313,2006.0,5.1,146,203,71.9,2249,625,80,91,87.9,50,71,70.4,11,24,45.8,0,0.0,0.1,0.0,1,12,1,0,13,passing,MAR,DF,18-313,2006.0,5.1,0,1,0,0.0,0.19,0.0,0.0,,14.6,0,0,0,0.1,0.1,0.1,-0.1,-0.1,shooting
ESP-La Liga,2024,Athletic Club,Adama Boiro,ESP,DF,22-293,2002.0,13,10,819,9.1,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,14,34,20,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,standard,ESP,DF,22-293,2002.0,9.1,482,21,117,246,121,8,482,15,6,40.0,7,46.7,214,1157,627,14,14,2,15,9,244,20,possession,ESP,DF,22-293,2002.0,9.1,1,0,0,8,7,0,25,9,7,0,0,0,38,14,5,73.7,misc,ESP,DF,22-293,2002.0,9.1,15,7,8,5,2,7,11,63.6,4,8,3,5,9,24,25,1,defense,ESP,DF,22-293,2002.0,9.1,316,392,80.6,4903,1467,170,185,91.9,137,175,78.3,8,20,40.0,0,0.2,0.3,-0.2,3,33,5,4,34,passing,ESP,DF,22-293,2002.0,9.1,0,3,0,0.0,0.33,0.0,0.0,,13.8,0,0,0,0.2,0.2,0.06,-0.2,-0.2,shooting
