league,season,team,player,nation,pos,age,born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,stat_type,nation_defense,pos_defense,age_defense,born_defense,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,stat_type_defense,nation_shooting,pos_shooting,age_shooting,born_shooting,90s_shooting,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG_shooting,Expected npxG_shooting,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,stat_type_shooting,nation_passing,pos_passing,age_passing,born_passing,90s_passing,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,stat_type_passing,nation_possession,pos_possession,age_possession,born_possession,90s_possession,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,stat_type_possession,nation_misc,pos_misc,age_misc,born_misc,90s_misc,Performance CrdY_misc,Performance CrdR_misc,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,stat_type_misc
FRA-Ligue 1,2023,Lille,Aaron Malouda,FRA,FW,17,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,FRA,FW,17,2005,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense,FRA,FW,17,2005,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,FRA,FW,17,2005,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,passing,FRA,FW,17,2005,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,possession,FRA,FW,17,2005,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,misc
FRA-Ligue 1,2023,Strasbourg,Abakar Sylla,CIV,DF,20,2002,22,19,1792,19.9,2,0,2,2,0,0,4,0,1.6,1.6,0.5,2.0,8,72,2,0.1,0.0,0.1,0.1,0.1,0.08,0.02,0.1,0.08,0.1,standard,CIV,DF,20,2002,19.9,54,23,30,19,5,29,40,72.5,11,40,11,29,26,80,70,2,defense,CIV,DF,20,2002,19.9,2,11,5,45.5,0.55,0.25,0.18,0.4,14.6,0,0,0,1.6,1.6,0.14,0.4,0.4,shooting,CIV,DF,20,2002,19.9,1111,1266,87.8,19769,6698,436,473,92.2,567,618,91.7,81,139,58.3,0,0.5,0.2,-0.5,5,52,4,0,72,passing,CIV,DF,20,2002,19.9,1490,201,717,729,56,18,1490,13,9,69.2,4,30.8,1060,5999,3215,8,11,0,14,7,962,2,possession,CIV,DF,20,2002,19.9,4,0,0,30,4,1,3,26,23,0,0,1,124,32,21,60.4,misc
FRA-Ligue 1,2023,Clermont Foot,Abdellah Baallal,MAR,MF,18,2004,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,MAR,MF,18,2004,0.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,defense,MAR,MF,18,2004,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,MAR,MF,18,2004,0.0,3,4,75.0,40,0,2,3,66.7,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,passing,MAR,MF,18,2004,0.0,5,0,2,2,1,0,5,0,0,,0,,3,17,6,0,0,0,0,0,2,0,possession,MAR,MF,18,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0,misc
FRA-Ligue 1,2023,Nantes,Abdoul Kader Bamba,FRA,"FW,MF",29,1994,23,1,611,6.8,2,1,3,2,0,0,2,0,2.1,2.1,1.0,3.2,41,31,73,0.29,0.15,0.44,0.29,0.44,0.31,0.15,0.46,0.31,0.46,standard,FRA,"FW,MF",29,1994,6.8,10,7,2,5,3,5,15,33.3,10,4,0,4,4,14,4,1,defense,FRA,"FW,MF",29,1994,6.8,2,14,5,35.7,2.06,0.74,0.14,0.4,16.1,1,0,0,2.1,2.1,0.16,-0.1,-0.1,shooting,FRA,"FW,MF",29,1994,6.8,267,336,79.5,4343,1133,127,151,84.1,103,128,80.5,22,36,61.1,1,1.0,1.1,0.0,11,18,10,2,31,passing,FRA,"FW,MF",29,1994,6.8,423,8,46,177,204,26,423,31,10,32.3,14,45.2,346,2364,1179,41,25,13,17,13,327,73,possession,FRA,"FW,MF",29,1994,6.8,2,0,0,3,35,5,26,4,7,1,0,0,44,6,6,50.0,misc
FRA-Ligue 1,2023,Reims,Abdoul Koné,FRA,DF,18,2005,3,3,193,2.1,0,0,0,0,0,0,1,0,0.0,0.0,0.7,0.7,3,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,standard,FRA,DF,18,2005,2.1,7,7,5,2,0,4,11,36.4,7,2,0,2,2,9,9,0,defense,FRA,DF,18,2005,2.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,FRA,DF,18,2005,2.1,53,85,62.4,1041,401,19,24,79.2,26,42,61.9,8,17,47.1,0,0.7,0.0,-0.7,2,6,1,0,5,passing,FRA,DF,18,2005,2.1,115,12,55,54,9,1,115,3,2,66.7,1,33.3,65,359,116,3,1,1,4,0,52,1,possession,FRA,DF,18,2005,2.1,1,0,0,2,4,0,1,2,7,1,0,0,14,0,1,0.0,misc
FRA-Ligue 1,2023,Le Havre,Abdoulaye Touré,GUI,MF,29,1994,30,27,2284,25.4,2,0,2,0,2,2,4,0,3.0,1.4,0.9,2.3,22,148,25,0.08,0.0,0.08,0.0,0.0,0.12,0.04,0.15,0.05,0.09,standard,GUI,MF,29,1994,25.4,47,28,22,22,3,30,60,50.0,30,30,8,22,25,72,33,0,defense,GUI,MF,29,1994,25.4,2,31,8,25.8,1.22,0.32,0.0,0.0,27.4,0,2,2,3.0,1.4,0.04,-1.0,-1.4,shooting,GUI,MF,29,1994,25.4,1031,1238,83.3,18110,5195,413,483,85.5,475,546,87.0,92,122,75.4,0,0.9,0.9,-0.9,12,119,7,0,148,passing,GUI,MF,29,1994,25.4,1504,77,385,946,194,17,1502,42,29,69.0,12,28.6,1107,5683,2425,22,37,2,37,28,1006,25,possession,GUI,MF,29,1994,25.4,4,0,0,27,32,0,4,25,28,0,0,0,173,42,40,51.2,misc
FRA-Ligue 1,2023,Lens,Abdukodir Khusanov,UZB,DF,19,2004,11,9,809,9.0,0,0,0,0,0,0,5,0,0.2,0.2,0.1,0.2,5,23,1,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,standard,UZB,DF,19,2004,9.0,21,12,13,8,0,9,17,52.9,8,13,8,5,13,34,32,2,defense,UZB,DF,19,2004,9.0,0,5,2,40.0,0.56,0.22,0.0,0.0,18.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2,shooting,UZB,DF,19,2004,9.0,383,439,87.2,7213,2415,140,152,92.1,203,219,92.7,36,59,61.0,0,0.1,0.2,-0.1,1,28,1,0,23,passing,UZB,DF,19,2004,9.0,535,61,275,234,29,3,535,2,1,50.0,1,50.0,388,1981,757,5,4,0,6,0,349,1,possession,UZB,DF,19,2004,9.0,5,0,0,9,7,0,2,13,12,0,1,0,41,6,5,54.5,misc
FRA-Ligue 1,2023,Metz,Ablie Jallow,GAM,"MF,FW",24,1998,17,10,918,10.2,3,2,5,2,1,1,1,0,2.0,1.2,1.0,2.2,29,42,53,0.29,0.2,0.49,0.2,0.39,0.19,0.1,0.29,0.12,0.22,standard,GAM,"MF,FW",24,1998,10.2,8,5,2,3,3,3,5,60.0,2,4,0,4,8,16,3,0,defense,GAM,"MF,FW",24,1998,10.2,3,17,6,35.3,1.67,0.59,0.12,0.33,21.7,1,1,1,2.0,1.2,0.07,1.0,0.8,shooting,GAM,"MF,FW",24,1998,10.2,248,318,78.0,4487,1116,112,138,81.2,97,120,80.8,30,46,65.2,2,1.0,0.7,1.0,12,22,10,0,42,passing,GAM,"MF,FW",24,1998,10.2,419,4,56,226,151,15,418,38,16,42.1,21,55.3,324,2436,1153,29,27,3,21,14,304,53,possession,GAM,"MF,FW",24,1998,10.2,1,0,0,8,14,0,23,8,5,0,0,0,49,5,18,21.7,misc
FRA-Ligue 1,2023,Metz,Abou Lô,SEN,"MF,DF",23,2000,6,2,197,2.2,0,0,0,0,0,0,0,1,0.1,0.1,0.3,0.5,0,4,2,0.0,0.0,0.0,0.0,0.0,0.06,0.16,0.22,0.06,0.22,standard,SEN,"MF,DF",23,2000,2.2,3,1,2,1,0,1,4,25.0,3,5,2,3,4,7,8,0,defense,SEN,"MF,DF",23,2000,2.2,0,1,0,0.0,0.46,0.0,0.0,,7.8,0,0,0,0.1,0.1,0.13,-0.1,-0.1,shooting,SEN,"MF,DF",23,2000,2.2,65,74,87.8,1319,446,20,21,95.2,39,42,92.9,6,9,66.7,0,0.3,0.0,-0.3,2,6,1,0,4,passing,SEN,"MF,DF",23,2000,2.2,99,15,49,42,8,2,99,3,2,66.7,1,33.3,66,377,79,0,2,0,2,0,58,2,possession,SEN,"MF,DF",23,2000,2.2,0,1,0,3,2,0,0,4,1,0,0,0,10,2,2,50.0,misc
FRA-Ligue 1,2023,Strasbourg,Aboubacar Ali,COM,"MF,FW",17,2006,9,1,130,1.4,0,1,1,0,0,0,0,0,0.2,0.2,0.1,0.3,3,3,12,0.0,0.69,0.69,0.0,0.69,0.17,0.05,0.22,0.17,0.22,standard,COM,"MF,FW",17,2006,1.4,2,0,0,2,0,0,0,,0,1,0,1,1,3,2,0,defense,COM,"MF,FW",17,2006,1.4,0,4,2,50.0,2.77,1.38,0.0,0.0,19.4,0,0,0,0.2,0.2,0.06,-0.2,-0.2,shooting,COM,"MF,FW",17,2006,1.4,22,34,64.7,287,51,14,19,73.7,7,12,58.3,0,0,,1,0.1,0.1,0.9,1,4,1,0,3,passing,COM,"MF,FW",17,2006,1.4,56,1,4,19,35,7,56,3,1,33.3,2,66.7,41,312,79,3,1,1,4,2,36,12,possession,COM,"MF,FW",17,2006,1.4,0,0,0,4,1,0,6,1,0,0,0,0,5,1,5,16.7,misc
