league,season,team,player,nation,pos,age,born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,stat_type,nation_misc,pos_misc,age_misc,born_misc,90s,Performance CrdY_misc,Performance CrdR_misc,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,stat_type_misc,nation_passing,pos_passing,age_passing,born_passing,90s_passing,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,stat_type_passing,nation_shooting,pos_shooting,age_shooting,born_shooting,90s_shooting,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG_shooting,Expected npxG_shooting,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,stat_type_shooting,nation_possession,pos_possession,age_possession,born_possession,90s_possession,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,stat_type_possession,nation_defense,pos_defense,age_defense,born_defense,90s_defense,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,stat_type_defense
GER-Bundesliga,2022,Mainz 05,Aarón Martín,ESP,DF,25,1997,28,20,1847,20.5,5,3,8,5,0,1,3,0,2.2,1.4,2.8,4.2,25,86,61,0.24,0.15,0.39,0.24,0.39,0.11,0.14,0.24,0.07,0.2,standard,ESP,DF,25,1997,20.5,3,0,0,28,12,2,145,15,27,0,0,0,104,1,13,7.1,misc,ESP,DF,25,1997,20.5,761,1028,74.0,12672,5222,385,424,90.8,283,356,79.5,73,187,39.0,3,2.8,3.4,0.2,27,68,29,16,86,passing,ESP,DF,25,1997,20.5,5,18,7,38.9,0.88,0.34,0.28,0.71,25.9,8,0,1,2.2,1.4,0.08,2.8,3.6,shooting,ESP,DF,25,1997,20.5,1192,47,303,523,380,14,1191,21,10,47.6,8,38.1,582,2815,1217,25,19,3,15,14,621,61,possession,ESP,DF,25,1997,20.5,42,27,25,11,6,21,40,52.5,19,22,1,21,15,57,31,0,defense
GER-Bundesliga,2022,RB Leipzig,Abdou Diallo,SEN,"DF,MF",26,1996,8,5,478,5.3,1,0,1,1,0,0,2,0,0.4,0.4,0.1,0.5,11,24,3,0.19,0.0,0.19,0.19,0.19,0.07,0.02,0.09,0.07,0.09,standard,SEN,"DF,MF",26,1996,5.3,2,0,0,3,2,1,1,8,5,0,1,0,40,12,11,52.2,misc,SEN,"DF,MF",26,1996,5.3,323,381,84.8,6092,2643,128,139,92.1,157,174,90.2,36,60,60.0,0,0.1,0.3,-0.1,1,25,4,0,24,passing,SEN,"DF,MF",26,1996,5.3,1,4,1,25.0,0.75,0.19,0.25,1.0,8.0,0,0,0,0.4,0.4,0.1,0.6,0.6,shooting,SEN,"DF,MF",26,1996,5.3,443,57,203,216,27,8,443,5,3,60.0,1,20.0,277,1519,942,11,3,1,3,6,305,3,possession,SEN,"DF,MF",26,1996,5.3,6,5,5,1,0,1,3,33.3,2,8,5,3,8,14,22,0,defense
GER-Bundesliga,2022,Leverkusen,Adam Hložek,CZE,"FW,MF",20,2002,29,16,1286,14.3,5,3,8,5,0,0,2,0,2.7,2.7,2.5,5.3,22,32,70,0.35,0.21,0.56,0.35,0.56,0.19,0.18,0.37,0.19,0.37,standard,CZE,"FW,MF",20,2002,14.3,2,0,0,19,20,1,15,6,4,0,0,0,37,24,43,35.8,misc,CZE,"FW,MF",20,2002,14.3,241,332,72.6,3525,988,145,178,81.5,63,88,71.6,20,30,66.7,3,2.5,1.3,0.5,18,21,6,0,32,passing,CZE,"FW,MF",20,2002,14.3,5,30,11,36.7,2.1,0.77,0.17,0.45,16.9,2,0,0,2.7,2.7,0.09,2.3,2.3,shooting,CZE,"FW,MF",20,2002,14.3,490,11,49,236,210,42,490,22,9,40.9,7,31.8,251,1125,535,22,17,9,43,22,356,70,possession,CZE,"FW,MF",20,2002,14.3,9,4,4,3,2,3,9,33.3,6,9,2,7,6,15,9,0,defense
GER-Bundesliga,2022,Hertha BSC,Agustín Rogel,URU,DF,24,1997,20,14,1426,15.8,0,1,1,0,0,0,7,0,0.8,0.8,0.0,0.8,1,23,2,0.0,0.06,0.06,0.0,0.06,0.05,0.0,0.05,0.05,0.05,standard,URU,DF,24,1997,15.8,7,0,0,21,6,1,0,11,9,0,0,0,62,49,35,58.3,misc,URU,DF,24,1997,15.8,426,572,74.5,8612,3341,117,155,75.5,251,298,84.2,51,100,51.0,1,0.0,0.1,1.0,1,11,0,0,23,passing,URU,DF,24,1997,15.8,0,5,0,0.0,0.32,0.0,0.0,,7.6,0,0,0,0.8,0.8,0.16,-0.8,-0.8,shooting,URU,DF,24,1997,15.8,726,110,434,275,20,11,726,0,0,,0,,305,1300,668,1,1,0,12,0,349,2,possession,URU,DF,24,1997,15.8,18,9,13,5,0,11,17,64.7,6,15,8,7,11,29,74,1,defense
GER-Bundesliga,2022,Gladbach,Alassane Pléa,FRA,FW,29,1993,29,20,1774,19.7,2,9,11,1,1,2,5,0,5.0,3.4,4.0,7.4,41,94,156,0.1,0.46,0.56,0.05,0.51,0.25,0.2,0.46,0.17,0.38,standard,FRA,FW,29,1993,19.7,5,0,0,24,32,4,48,12,8,0,1,0,88,14,29,32.6,misc,FRA,FW,29,1993,19.7,529,763,69.3,8211,2867,295,355,83.1,153,219,69.9,47,92,51.1,9,4.0,5.3,5.0,32,72,34,7,94,passing,FRA,FW,29,1993,19.7,2,27,11,40.7,1.37,0.56,0.04,0.09,18.6,1,1,2,5.0,3.4,0.13,-3.0,-2.4,shooting,FRA,FW,29,1993,19.7,947,18,94,462,400,57,945,31,16,51.6,13,41.9,568,2803,1321,41,32,13,39,22,727,156,possession,FRA,FW,29,1993,19.7,16,8,5,7,4,8,26,30.8,18,23,3,20,12,28,14,0,defense
GER-Bundesliga,2022,Schalke 04,Alex Král,CZE,MF,24,1998,29,26,2357,26.2,0,0,0,0,0,0,3,0,1.5,1.5,0.7,2.2,41,100,70,0.0,0.0,0.0,0.0,0.0,0.06,0.03,0.08,0.06,0.08,standard,CZE,MF,24,1998,26.2,3,0,0,21,18,3,27,17,24,0,0,1,158,48,50,49.0,misc,CZE,MF,24,1998,26.2,586,847,69.2,10138,3421,255,335,76.1,256,331,77.3,51,103,49.5,0,0.7,1.8,-0.7,11,73,16,5,100,passing,CZE,MF,24,1998,26.2,0,32,2,6.3,1.22,0.08,0.0,0.0,20.1,0,0,0,1.5,1.5,0.05,-1.5,-1.5,shooting,CZE,MF,24,1998,26.2,1108,72,273,610,241,47,1108,51,23,45.1,22,43.1,552,2960,1364,41,21,4,30,21,600,70,possession,CZE,MF,24,1998,26.2,34,24,10,22,2,17,37,45.9,20,31,6,25,17,51,53,0,defense
GER-Bundesliga,2022,Mainz 05,Alexander Hack,GER,DF,28,1993,19,14,1132,12.6,0,0,0,0,0,0,2,1,0.1,0.1,0.1,0.2,1,52,0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,standard,GER,DF,28,1993,12.6,2,1,0,25,12,1,2,24,18,0,2,0,87,33,32,50.8,misc,GER,DF,28,1993,12.6,430,586,73.4,9125,4776,144,171,84.2,191,236,80.9,87,149,58.4,0,0.1,0.8,-0.1,4,35,4,1,52,passing,GER,DF,28,1993,12.6,0,3,0,0.0,0.24,0.0,0.0,,12.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,shooting,GER,DF,28,1993,12.6,735,74,350,367,27,13,735,2,2,100.0,0,0.0,344,1473,818,1,4,0,3,1,336,0,possession,GER,DF,28,1993,12.6,30,18,21,9,0,19,33,57.6,14,18,5,13,24,54,45,1,defense
GER-Bundesliga,2022,Dortmund,Alexander Meyer,GER,GK,31,1991,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,GER,GK,31,1991,7.0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,100.0,misc,GER,GK,31,1991,7.0,280,323,86.7,6953,4124,56,57,98.2,145,146,99.3,79,117,67.5,0,0.0,0.0,0.0,0,4,0,0,1,passing,GER,GK,31,1991,7.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,GER,GK,31,1991,7.0,335,230,327,7,1,1,335,0,0,,0,,216,1193,669,0,0,0,0,0,186,0,possession,GER,GK,31,1991,7.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,defense
GER-Bundesliga,2022,Schalke 04,Alexander Schwolow,GER,GK,30,1992,23,22,2035,22.6,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,standard,GER,GK,30,1992,22.6,1,0,0,0,4,0,0,1,0,0,0,0,30,3,1,75.0,misc,GER,GK,30,1992,22.6,567,853,66.5,18860,15113,87,88,98.9,231,234,98.7,246,524,46.9,0,0.1,0.2,-0.1,1,32,2,0,0,passing,GER,GK,30,1992,22.6,0,1,0,0.0,0.04,0.0,0.0,,5.5,0,0,0,0.1,0.1,0.08,-0.1,-0.1,shooting,GER,GK,30,1992,22.6,916,752,910,5,1,1,916,0,0,,0,,494,2288,1124,0,0,0,0,0,443,0,possession,GER,GK,30,1992,22.6,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,6,3,defense
GER-Bundesliga,2022,RB Leipzig,Alexander Sørloth,NOR,FW,26,1995,1,0,6,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,NOR,FW,26,1995,0.1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,misc,NOR,FW,26,1995,0.1,2,2,100.0,21,0,2,2,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,passing,NOR,FW,26,1995,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,NOR,FW,26,1995,0.1,3,0,0,0,3,3,3,1,0,0.0,1,100.0,1,2,0,0,0,0,0,0,1,1,possession,NOR,FW,26,1995,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense
