league,season,team,player,nation,pos,age,born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,stat_type,nation_shooting,pos_shooting,age_shooting,born_shooting,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG_shooting,Expected npxG_shooting,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,stat_type_shooting,nation_defense,pos_defense,age_defense,born_defense,90s_defense,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,stat_type_defense,nation_possession,pos_possession,age_possession,born_possession,90s_possession,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,stat_type_possession,nation_misc,pos_misc,age_misc,born_misc,90s_misc,Performance CrdY_misc,Performance CrdR_misc,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,stat_type_misc,nation_passing,pos_passing,age_passing,born_passing,90s_passing,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,stat_type_passing
GER-Bundesliga,2023,Darmstadt 98,Aaron Seydel,GER,FW,27.0,1996.0,16,5,619,6.9,1,0,1,1,0,0,1,0,1.0,1.0,0.7,1.7,7,10,35,0.15,0.0,0.15,0.15,0.15,0.15,0.1,0.25,0.15,0.25,standard,GER,FW,27.0,1996.0,6.9,1,14,6,42.9,2.04,0.87,0.07,0.17,16.8,0,0,0,1.0,1.0,0.07,0.0,0.0,shooting,GER,FW,27.0,1996.0,6.9,3,2,0,2,1,0,3,0.0,3,8,2,6,1,4,9,0,defense,GER,FW,27.0,1996.0,6.9,283,13,20,136,128,31,283,11,3,27.3,7,63.6,123,451,117,7,3,3,26,12,214,35,possession,GER,FW,27.0,1996.0,6.9,1,0,0,9,7,2,1,1,2,0,0,0,14,45,31,59.2,misc,GER,FW,27.0,1996.0,6.9,110,190,57.9,1535,254,66,99,66.7,33,65,50.8,4,6,66.7,0,0.7,0.6,-0.7,9,9,1,0,10,passing
GER-Bundesliga,2023,Leverkusen,Adam Hložek,CZE,"MF,FW",21.0,2002.0,23,5,459,5.1,2,3,5,2,0,0,1,0,3.1,3.1,0.9,4.0,14,13,33,0.39,0.59,0.98,0.39,0.98,0.6,0.18,0.78,0.6,0.78,standard,CZE,"MF,FW",21.0,2002.0,5.1,2,18,6,33.3,3.53,1.18,0.11,0.33,14.6,0,0,0,3.1,3.1,0.17,-1.1,-1.1,shooting,CZE,"MF,FW",21.0,2002.0,5.1,10,4,2,4,4,3,7,42.9,4,4,1,3,2,12,1,0,defense,CZE,"MF,FW",21.0,2002.0,5.1,222,4,21,99,105,29,222,14,4,28.6,9,64.3,135,812,386,14,9,5,10,13,177,33,possession,CZE,"MF,FW",21.0,2002.0,5.1,1,0,0,8,7,1,0,2,4,0,0,0,20,8,10,44.4,misc,CZE,"MF,FW",21.0,2002.0,5.1,123,152,80.9,1739,280,78,88,88.6,34,42,81.0,6,8,75.0,3,0.9,1.2,2.1,9,5,2,0,13,passing
GER-Bundesliga,2023,Heidenheim,Adrian Beck,GER,"MF,FW",26.0,1997.0,23,11,974,10.8,1,1,2,1,0,0,1,0,1.7,1.7,0.8,2.5,17,29,43,0.09,0.09,0.18,0.09,0.18,0.16,0.07,0.23,0.16,0.23,standard,GER,"MF,FW",26.0,1997.0,10.8,1,12,3,25.0,1.11,0.28,0.08,0.33,13.5,0,0,0,1.7,1.7,0.15,-0.7,-0.7,shooting,GER,"MF,FW",26.0,1997.0,10.8,22,13,8,12,2,9,24,37.5,15,17,0,17,4,26,15,0,defense,GER,"MF,FW",26.0,1997.0,10.8,560,12,96,304,169,31,560,34,21,61.8,13,38.2,314,1759,702,17,12,0,25,18,341,43,possession,GER,"MF,FW",26.0,1997.0,10.8,1,0,0,14,10,2,6,4,13,0,0,0,76,18,26,40.9,misc,GER,"MF,FW",26.0,1997.0,10.8,311,431,72.2,5102,1027,157,203,77.3,122,149,81.9,23,36,63.9,1,0.8,0.6,0.2,11,25,5,0,29,passing
GER-Bundesliga,2023,Gladbach,Alassane Pléa,FRA,"FW,MF",30.0,1993.0,27,24,1913,21.3,7,4,11,6,1,1,1,0,7.0,6.2,4.0,10.2,56,115,157,0.33,0.19,0.52,0.28,0.47,0.33,0.19,0.52,0.29,0.48,standard,FRA,"FW,MF",30.0,1993.0,21.3,7,57,18,31.6,2.68,0.85,0.11,0.33,17.6,0,1,1,7.0,6.2,0.11,0.0,-0.2,shooting,FRA,"FW,MF",30.0,1993.0,21.3,17,7,5,8,4,7,15,46.7,8,11,0,11,2,19,6,0,defense,FRA,"FW,MF",30.0,1993.0,21.3,972,6,71,472,446,90,971,53,21,39.6,26,49.1,635,3074,1633,56,44,21,34,33,766,157,possession,FRA,"FW,MF",30.0,1993.0,21.3,1,0,0,15,29,6,44,2,7,1,0,0,72,15,27,35.7,misc,FRA,"FW,MF",30.0,1993.0,21.3,541,774,69.9,8777,2694,282,345,81.7,186,267,69.7,52,87,59.8,4,4.0,4.1,0.0,36,47,38,3,115,passing
GER-Bundesliga,2023,Bayern Munich,Aleksandar Pavlovic,GER,MF,19.0,2004.0,19,14,1227,13.6,2,2,4,2,0,0,6,0,1.2,1.2,1.0,2.2,14,105,14,0.15,0.15,0.29,0.15,0.29,0.09,0.07,0.16,0.09,0.16,standard,GER,MF,19.0,2004.0,13.6,2,8,2,25.0,0.59,0.15,0.25,1.0,16.0,0,0,0,1.2,1.2,0.15,0.8,0.8,shooting,GER,MF,19.0,2004.0,13.6,28,16,10,14,4,17,33,51.5,16,13,3,10,17,45,12,0,defense,GER,MF,19.0,2004.0,13.6,1082,25,195,714,179,10,1082,11,5,45.5,5,45.5,701,3804,1714,14,21,3,12,14,823,14,possession,GER,MF,19.0,2004.0,13.6,6,0,0,20,16,0,18,17,16,0,0,0,75,10,13,43.5,misc,GER,MF,19.0,2004.0,13.6,897,971,92.4,15356,4023,430,452,95.1,370,388,95.4,80,98,81.6,2,1.0,1.8,1.0,11,95,12,1,105,passing
GER-Bundesliga,2023,Union Berlin,Alex Král,CZE,MF,25.0,1998.0,24,13,1370,15.2,0,0,0,0,0,0,2,0,1.7,1.7,0.4,2.0,15,44,41,0.0,0.0,0.0,0.0,0.0,0.11,0.02,0.13,0.11,0.13,standard,CZE,MF,25.0,1998.0,15.2,0,18,5,27.8,1.18,0.33,0.0,0.0,20.6,0,0,0,1.7,1.7,0.09,-1.7,-1.7,shooting,CZE,MF,25.0,1998.0,15.2,19,14,7,10,2,8,20,40.0,12,15,4,11,11,30,30,0,defense,CZE,MF,25.0,1998.0,15.2,618,37,164,311,151,17,618,12,5,41.7,5,41.7,287,1688,837,15,16,1,15,12,338,41,possession,CZE,MF,25.0,1998.0,15.2,2,0,0,16,13,2,17,11,14,0,0,0,85,16,17,48.5,misc,CZE,MF,25.0,1998.0,15.2,340,487,69.8,5624,1533,158,196,80.6,149,196,76.0,24,55,43.6,0,0.4,0.5,-0.4,5,32,6,2,44,passing
GER-Bundesliga,2023,Darmstadt 98,Alexander Brunst,GER,GK,28.0,1995.0,3,3,270,3.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,GER,GK,28.0,1995.0,3.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,GER,GK,28.0,1995.0,3.0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,2,1,defense,GER,GK,28.0,1995.0,3.0,155,94,150,5,0,0,155,0,0,,0,,89,394,226,0,0,0,0,0,75,0,possession,GER,GK,28.0,1995.0,3.0,2,0,0,0,2,0,0,0,0,0,0,0,7,0,0,,misc,GER,GK,28.0,1995.0,3.0,103,150,68.7,3309,2597,19,20,95.0,36,37,97.3,47,92,51.1,0,0.0,0.0,0.0,0,7,0,0,0,passing
GER-Bundesliga,2023,Dortmund,Alexander Meyer,GER,GK,32.0,1991.0,8,7,695,7.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,GER,GK,32.0,1991.0,7.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,GER,GK,32.0,1991.0,7.7,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,2,1,defense,GER,GK,32.0,1991.0,7.7,382,290,380,2,0,0,382,1,1,100.0,0,0.0,270,1316,685,0,0,0,0,0,242,0,possession,GER,GK,32.0,1991.0,7.7,0,0,0,0,0,0,0,0,1,0,0,0,12,0,0,,misc,GER,GK,32.0,1991.0,7.7,302,366,82.5,7428,4615,64,65,98.5,163,166,98.2,75,134,56.0,0,0.0,0.0,0.0,0,2,1,0,1,passing
GER-Bundesliga,2023,Stuttgart,Alexander Nübel,GER,GK,26.0,1996.0,30,30,2700,30.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,GER,GK,26.0,1996.0,30.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,GER,GK,26.0,1996.0,30.0,2,2,2,0,0,2,4,50.0,2,0,0,0,0,2,13,4,defense,GER,GK,26.0,1996.0,30.0,1278,1050,1265,13,0,0,1278,0,0,,0,,762,3696,2160,0,0,0,0,0,733,0,possession,GER,GK,26.0,1996.0,30.0,1,0,0,0,4,0,0,0,2,0,0,1,65,8,1,88.9,misc,GER,GK,26.0,1996.0,30.0,998,1218,81.9,24812,17557,199,200,99.5,539,556,96.9,258,456,56.6,0,0.0,0.0,0.0,0,13,1,0,1,passing
GER-Bundesliga,2023,Union Berlin,Alexander Schwolow,GER,GK,31.0,1992.0,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,GER,GK,31.0,1992.0,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,GER,GK,31.0,1992.0,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,defense,GER,GK,31.0,1992.0,1.0,41,36,41,0,0,0,41,0,0,,0,,10,56,39,0,0,0,0,0,18,0,possession,GER,GK,31.0,1992.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,misc,GER,GK,31.0,1992.0,1.0,29,36,80.6,814,589,4,4,100.0,15,15,100.0,10,17,58.8,0,0.0,0.0,0.0,0,0,0,0,0,passing
