league,season,team,player,nation,pos,age,born,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,stat_type
ENG-Premier League,2022,Arsenal,Albert Sambi Lokonga,BEL,MF,22,1999,2.2,0,0,0,1,5,0,0,5,1,0,0,0,14,3,2,60.0,misc
ENG-Premier League,2022,Arsenal,Ben White,ENG,DF,24,1997,33.9,5,0,0,28,30,1,57,22,31,0,0,0,155,33,41,44.6,misc
ENG-Premier League,2022,Arsenal,Bukayo Saka,ENG,FW,20,2001,35.3,6,0,0,43,65,9,172,14,34,0,0,0,127,16,38,29.6,misc
ENG-Premier League,2022,Arsenal,Cédric Soares,POR,DF,30,1991,0.3,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0.0,misc
ENG-Premier League,2022,Arsenal,Eddie Nketiah,ENG,FW,23,1999,12.1,3,0,0,30,25,8,5,1,9,1,0,0,30,10,31,24.4,misc
ENG-Premier League,2022,Arsenal,Emile Smith Rowe,ENG,"MF,FW",22,2000,1.9,0,0,0,1,1,1,5,0,1,0,0,0,8,0,2,0.0,misc
ENG-Premier League,2022,Arsenal,Ethan Nwaneri,ENG,FW,15,2007,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,misc
ENG-Premier League,2022,Arsenal,Fabio Vieira,POR,"MF,FW",22,2000,5.7,0,0,0,3,5,0,20,4,4,0,0,0,34,3,5,37.5,misc
ENG-Premier League,2022,Arsenal,Gabriel Jesus,BRA,FW,25,1997,22.9,6,0,0,43,56,16,11,11,25,2,0,0,79,44,78,36.1,misc
ENG-Premier League,2022,Arsenal,Gabriel Magalhães,BRA,DF,24,1997,37.9,5,0,0,25,40,1,5,32,30,0,2,0,191,100,76,56.8,misc
ENG-Premier League,2022,Arsenal,Gabriel Martinelli,BRA,FW,21,2001,31.0,3,0,0,39,37,8,113,9,18,0,0,0,103,14,63,18.2,misc
ENG-Premier League,2022,Arsenal,Granit Xhaka,SUI,MF,29,1992,33.3,4,0,0,26,39,5,39,15,27,0,0,0,152,37,30,55.2,misc
ENG-Premier League,2022,Arsenal,Jakub Kiwior,POL,DF,22,2000,4.7,0,0,0,1,1,0,1,6,5,0,0,0,20,8,10,44.4,misc
ENG-Premier League,2022,Arsenal,Jorginho,ITA,MF,30,1991,9.5,0,0,0,6,18,0,2,9,13,0,0,0,69,10,8,55.6,misc
ENG-Premier League,2022,Arsenal,Kieran Tierney,SCO,DF,25,1997,8.8,0,0,0,5,9,1,24,11,11,0,0,0,43,6,18,25.0,misc
ENG-Premier League,2022,Arsenal,Leandro Trossard,BEL,FW,27,1994,10.3,0,0,0,9,17,4,55,6,7,0,0,0,46,1,4,20.0,misc
ENG-Premier League,2022,Arsenal,Marquinhos,BRA,MF,19,2003,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,misc
ENG-Premier League,2022,Arsenal,Martin Ødegaard,NOR,MF,23,1998,34.7,4,0,0,30,26,1,91,6,23,0,0,0,178,13,20,39.4,misc
ENG-Premier League,2022,Arsenal,Mohamed Elneny,EGY,MF,30,1992,1.3,0,0,0,1,1,0,0,0,1,0,0,0,10,0,2,0.0,misc
ENG-Premier League,2022,Arsenal,Oleksandr Zinchenko,UKR,DF,25,1996,23.5,3,0,0,6,11,1,37,22,18,0,0,0,163,51,20,71.8,misc
ENG-Premier League,2022,Arsenal,Reiss Nelson,ENG,FW,22,1999,2.4,0,0,0,8,4,0,12,0,1,0,0,0,16,2,5,28.6,misc
ENG-Premier League,2022,Arsenal,Rob Holding,ENG,DF,26,1995,6.3,0,0,0,5,2,0,0,3,5,0,1,0,40,22,17,56.4,misc
ENG-Premier League,2022,Arsenal,Takehiro Tomiyasu,JPN,DF,23,1998,7.4,2,0,0,6,3,0,12,14,18,0,0,0,42,17,20,45.9,misc
ENG-Premier League,2022,Arsenal,Thomas Partey,GHA,MF,29,1993,27.6,5,0,0,37,23,0,9,28,40,0,0,0,225,37,25,59.7,misc
ENG-Premier League,2022,Arsenal,William Saliba,FRA,DF,21,2001,26.8,4,0,0,19,13,0,1,19,20,0,2,1,206,53,43,55.2,misc
ENG-Premier League,2022,Aston Villa,Ashley Young,ENG,DF,37,1985,22.6,7,0,0,24,28,1,42,21,27,0,1,0,131,13,11,54.2,misc
ENG-Premier League,2022,Aston Villa,Bertrand Traoré,BFA,"FW,MF",26,1995,2.6,1,0,0,2,8,3,5,2,1,0,0,0,8,2,4,33.3,misc
ENG-Premier League,2022,Aston Villa,Boubacar Kamara,FRA,MF,22,1999,19.7,4,0,0,34,31,0,1,19,25,0,0,0,126,22,17,56.4,misc
ENG-Premier League,2022,Aston Villa,Calum Chambers,ENG,"DF,MF",27,1995,3.9,2,0,0,7,2,0,4,7,6,0,0,0,23,3,6,33.3,misc
ENG-Premier League,2022,Aston Villa,Cameron Archer,ENG,"FW,MF",21,2001,0.5,0,0,0,2,1,1,1,0,0,0,0,0,2,0,0,,misc
ENG-Premier League,2022,Aston Villa,Danny Ings,ENG,FW,30,1992,9.2,3,0,0,8,5,9,4,1,5,0,0,0,19,16,12,57.1,misc
ENG-Premier League,2022,Aston Villa,Diego Carlos,BRA,DF,29,1993,2.3,0,0,0,2,0,0,1,1,0,0,0,0,14,6,3,66.7,misc
ENG-Premier League,2022,Aston Villa,Douglas Luiz,BRA,MF,24,1998,32.5,6,1,0,48,42,2,106,40,42,0,0,0,197,25,22,53.2,misc
ENG-Premier League,2022,Aston Villa,Emi Buendía,ARG,"MF,FW",25,1996,26.8,0,0,0,43,44,1,18,20,23,0,0,0,138,23,54,29.9,misc
ENG-Premier League,2022,Aston Villa,Emiliano Martínez,ARG,GK,29,1992,34.9,7,0,0,1,6,0,0,1,0,0,1,1,41,13,0,100.0,misc
ENG-Premier League,2022,Aston Villa,Ezri Konsa,ENG,DF,24,1997,36.9,6,0,0,12,64,0,4,26,20,0,0,0,164,55,37,59.8,misc
ENG-Premier League,2022,Aston Villa,Jacob Ramsey,ENG,"MF,FW",21,2001,29.3,5,0,0,35,45,2,18,23,39,0,1,1,141,16,33,32.7,misc
ENG-Premier League,2022,Aston Villa,Jan Bednarek,POL,DF,26,1996,1.1,0,0,0,1,1,0,0,2,3,0,0,0,4,0,0,,misc
ENG-Premier League,2022,Aston Villa,John McGinn,SCO,"MF,FW",27,1994,29.9,7,0,0,41,66,0,50,24,36,2,0,0,176,22,21,51.2,misc
ENG-Premier League,2022,Aston Villa,Jáder Durán,COL,"FW,MF",18,2003,1.5,1,0,0,9,3,3,2,2,2,0,0,0,5,7,10,41.2,misc
ENG-Premier League,2022,Aston Villa,Leander Dendoncker,BEL,MF,27,1995,7.7,0,0,0,1,1,0,2,10,9,0,0,0,36,10,8,55.6,misc
ENG-Premier League,2022,Aston Villa,Leon Bailey,JAM,"FW,MF",24,1997,21.9,4,0,0,29,22,9,96,6,6,0,1,0,72,24,46,34.3,misc
ENG-Premier League,2022,Aston Villa,Lucas Digne,FRA,DF,29,1993,16.7,5,0,0,19,23,2,77,18,12,0,1,1,86,26,17,60.5,misc
ENG-Premier League,2022,Aston Villa,Ludwig Augustinsson,SWE,DF,28,1994,0.9,1,0,0,1,3,0,5,0,1,0,0,0,9,4,1,80.0,misc
ENG-Premier League,2022,Aston Villa,Matty Cash,POL,DF,24,1997,20.2,4,0,0,21,15,2,46,26,32,0,1,0,108,12,13,48.0,misc
ENG-Premier League,2022,Aston Villa,Morgan Sanson,FRA,MF,27,1994,0.1,0,0,0,0,2,0,0,0,1,0,0,0,1,0,1,0.0,misc
ENG-Premier League,2022,Aston Villa,Ollie Watkins,ENG,FW,26,1995,34.7,4,0,0,26,39,18,9,10,13,1,0,0,59,70,100,41.2,misc
