league,season,team,player,nation,pos,age,born,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,stat_type
ENG-Premier League,2023,Arsenal,Ben White,ENG,DF,25,1997,33.2,2456,120,633,1165,676,64,2456,22,9,40.9,12,54.5,1321,4867,2672,44,34,9,26,9,1675,162,possession
ENG-Premier League,2023,Arsenal,Bukayo Saka,ENG,FW,21,2001,32.4,1952,37,182,474,1310,271,1946,122,49,40.2,54,44.3,1223,7180,3728,155,68,72,56,53,1393,508,possession
ENG-Premier League,2023,Arsenal,Cédric Soares,POR,DF,31,1991,0.7,69,0,10,47,12,0,69,0,0,,0,,37,139,69,0,0,0,0,0,56,6,possession
ENG-Premier League,2023,Arsenal,David Raya,ESP,GK,27,1995,32.0,1099,764,1060,39,0,0,1099,0,0,,0,,728,3442,1992,0,0,0,1,0,637,0,possession
ENG-Premier League,2023,Arsenal,Declan Rice,ENG,MF,24,1999,35.8,2650,100,581,1398,696,67,2650,46,21,45.7,20,43.5,1675,10194,5139,75,70,16,31,22,1928,64,possession
ENG-Premier League,2023,Arsenal,Eddie Nketiah,ENG,FW,24,1999,12.0,371,5,18,148,207,75,371,30,8,26.7,15,50.0,236,1195,497,22,12,11,38,18,275,77,possession
ENG-Premier League,2023,Arsenal,Emile Smith Rowe,ENG,MF,23,2000,3.9,253,1,21,106,127,19,253,7,3,42.9,3,42.9,154,827,472,11,8,1,6,4,189,18,possession
ENG-Premier League,2023,Arsenal,Ethan Nwaneri,ENG,FW,16,2007,0.2,20,0,0,9,11,2,20,1,0,0.0,0,0.0,16,123,66,2,2,0,0,0,17,1,possession
ENG-Premier League,2023,Arsenal,Fabio Vieira,POR,"MF,FW",23,2000,3.3,184,2,14,76,97,20,183,9,2,22.2,6,66.7,111,561,298,12,3,6,7,5,141,30,possession
ENG-Premier League,2023,Arsenal,Gabriel Jesus,BRA,FW,26,1997,16.4,782,16,75,247,472,139,782,75,35,46.7,30,40.0,489,2654,1146,38,21,25,61,38,567,155,possession
ENG-Premier League,2023,Arsenal,Gabriel Magalhães,BRA,DF,25,1997,33.8,2447,321,1049,1176,234,42,2447,5,2,40.0,2,40.0,1447,6001,3455,13,37,1,12,3,1702,8,possession
ENG-Premier League,2023,Arsenal,Gabriel Martinelli,BRA,FW,22,2001,22.4,1241,12,96,315,844,196,1241,114,40,35.1,61,53.5,856,5863,2981,127,49,82,54,41,956,345,possession
ENG-Premier League,2023,Arsenal,Jakub Kiwior,POL,DF,23,2000,10.5,716,25,189,367,167,15,716,3,2,66.7,1,33.3,362,1264,681,4,8,1,8,2,462,16,possession
ENG-Premier League,2023,Arsenal,Jorginho,ITA,MF,31,1991,10.2,871,25,154,479,239,5,871,5,2,40.0,3,60.0,521,1941,945,8,11,0,5,4,671,8,possession
ENG-Premier League,2023,Arsenal,Jurriën Timber,NED,DF,22,2001,0.8,79,0,11,51,17,1,79,1,1,100.0,0,0.0,61,249,121,0,3,0,0,1,61,5,possession
ENG-Premier League,2023,Arsenal,Kai Havertz,GER,"MF,FW",24,1999,29.3,1282,29,143,541,611,184,1281,42,16,38.1,19,45.2,686,3077,1532,55,36,23,54,35,918,191,possession
ENG-Premier League,2023,Arsenal,Leandro Trossard,BEL,"FW,MF",28,1994,18.3,912,15,105,318,502,121,912,47,25,53.2,16,34.0,591,3651,1732,66,43,27,47,39,650,155,possession
ENG-Premier League,2023,Arsenal,Martin Ødegaard,NOR,MF,24,1998,34.3,2326,24,244,926,1173,165,2324,81,37,45.7,38,46.9,1563,8190,3514,91,83,37,53,58,1827,202,possession
ENG-Premier League,2023,Arsenal,Mohamed Elneny,EGY,MF,31,1992,0.3,45,1,9,30,6,1,45,0,0,,0,,27,148,62,1,0,0,1,0,37,0,possession
ENG-Premier League,2023,Arsenal,Oleksandr Zinchenko,UKR,DF,26,1996,19.1,1729,46,335,885,519,28,1729,14,7,50.0,5,35.7,1013,4792,2334,40,28,7,10,15,1178,58,possession
ENG-Premier League,2023,Arsenal,Reiss Nelson,ENG,FW,23,1999,3.0,188,8,30,67,96,13,188,7,1,14.3,6,85.7,129,729,281,9,5,4,11,4,128,26,possession
ENG-Premier League,2023,Arsenal,Takehiro Tomiyasu,JPN,DF,24,1998,12.8,824,37,192,389,248,31,824,12,4,33.3,7,58.3,469,2158,1064,17,14,3,13,3,520,37,possession
ENG-Premier League,2023,Arsenal,Thomas Partey,GHA,"MF,DF",30,1993,8.8,707,23,138,423,154,6,707,13,9,69.2,2,15.4,453,2227,1129,15,18,1,8,8,528,10,possession
ENG-Premier League,2023,Arsenal,William Saliba,FRA,DF,22,2001,38.0,3093,223,1239,1720,142,15,3093,15,10,66.7,4,26.7,1992,9002,5201,16,22,1,22,13,2297,6,possession
ENG-Premier League,2023,Aston Villa,Bertrand Traoré,BFA,"DF,FW",27,1995,0.1,7,0,5,2,0,0,7,1,0,0.0,1,100.0,4,54,0,0,0,0,1,1,4,0,possession
ENG-Premier League,2023,Aston Villa,Boubacar Kamara,FRA,MF,23,1999,18.4,1195,50,305,720,186,13,1195,30,14,46.7,12,40.0,769,3527,1663,19,22,1,19,13,880,10,possession
ENG-Premier League,2023,Aston Villa,Calum Chambers,ENG,"MF,DF",28,1995,1.7,129,9,68,49,12,0,129,1,1,100.0,0,0.0,78,349,158,0,0,0,0,1,99,1,possession
ENG-Premier League,2023,Aston Villa,Cameron Archer,ENG,MF,22,2001,0.1,7,0,1,4,2,0,7,0,0,,0,,5,39,28,1,1,0,1,0,7,0,possession
ENG-Premier League,2023,Aston Villa,Clément Lenglet,FRA,DF,28,1995,12.8,1018,165,514,450,59,12,1018,8,3,37.5,2,25.0,728,4435,2832,26,18,0,3,3,786,1,possession
ENG-Premier League,2023,Aston Villa,Diego Carlos,BRA,DF,30,1993,20.2,1517,244,867,610,43,23,1517,4,2,50.0,2,50.0,1013,4786,2606,4,2,1,8,4,1118,1,possession
ENG-Premier League,2023,Aston Villa,Douglas Luiz,BRA,MF,25,1998,33.3,2351,81,519,1256,598,38,2347,47,24,51.1,16,34.0,1394,7522,3562,60,48,4,33,31,1638,50,possession
ENG-Premier League,2023,Aston Villa,Emiliano Martínez,ARG,GK,30,1992,33.5,1509,1139,1484,25,0,0,1509,0,0,,0,,933,4389,2772,0,0,0,1,0,800,0,possession
ENG-Premier League,2023,Aston Villa,Ezri Konsa,ENG,DF,25,1997,34.1,2359,239,971,1146,258,36,2359,34,19,55.9,6,17.6,1535,6930,3700,37,20,3,26,17,1669,33,possession
ENG-Premier League,2023,Aston Villa,Finley Munroe,ENG,MF,18,2005,0.0,1,0,1,0,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,1,0,possession
