league,season,team,player,nation,pos,age,born,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,stat_type
FRA-Ligue 1,2022,Ajaccio,Ben Hamed Touré,CIV,FW,18,2003,2.3,0,0,0,7,5,0,0,1,4,0,0,0,5,2,15,11.8,misc
FRA-Ligue 1,2022,Ajaccio,Benjamin Leroy,FRA,GK,33,1989,31.1,1,0,0,0,4,0,0,1,0,0,0,0,46,2,0,100.0,misc
FRA-Ligue 1,2022,Ajaccio,Bevic Moussiti-Oko,CGO,FW,27,1995,7.8,1,0,0,18,22,2,4,2,1,0,0,0,27,53,47,53.0,misc
FRA-Ligue 1,2022,Ajaccio,Clément Vidal,FRA,"DF,MF",22,2000,21.1,5,1,0,22,18,1,3,27,15,0,1,0,92,50,26,65.8,misc
FRA-Ligue 1,2022,Ajaccio,Cyrille Bayala,BFA,MF,26,1996,22.3,3,1,0,29,28,7,44,25,37,0,0,0,150,41,57,41.8,misc
FRA-Ligue 1,2022,Ajaccio,Cédric Avinel,GLP,DF,35,1986,19.9,2,1,0,12,2,0,0,15,7,0,2,0,93,38,15,71.7,misc
FRA-Ligue 1,2022,Ajaccio,Fernand Mayembo,CGO,DF,26,1996,7.9,1,0,0,9,15,0,0,11,5,1,0,0,50,15,5,75.0,misc
FRA-Ligue 1,2022,Ajaccio,Florian Chabrolle,FRA,MF,24,1998,3.7,1,0,0,2,1,0,1,7,4,0,0,0,22,1,3,25.0,misc
FRA-Ligue 1,2022,Ajaccio,François-Joseph Sollacaro,FRA,GK,28,1994,6.0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,,misc
FRA-Ligue 1,2022,Ajaccio,Ghjuvanni Quilichini,FRA,GK,19,2002,0.9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,misc
FRA-Ligue 1,2022,Ajaccio,Ismael Diallo,CIV,DF,25,1997,24.2,9,1,0,41,33,1,35,30,33,0,2,0,166,26,24,52.0,misc
FRA-Ligue 1,2022,Ajaccio,Ivane Chegra,FRA,"MF,FW",18,2004,2.1,0,0,0,3,3,2,4,1,3,0,0,0,12,2,2,50.0,misc
FRA-Ligue 1,2022,Ajaccio,Kevin Spadanuda,SUI,"MF,FW",25,1997,11.8,3,0,0,20,21,1,5,11,18,0,0,0,65,5,18,21.7,misc
FRA-Ligue 1,2022,Ajaccio,Kouamé Botué,BFA,"FW,MF",19,2002,2.5,0,0,0,5,6,0,0,0,2,0,0,0,13,10,17,37.0,misc
FRA-Ligue 1,2022,Ajaccio,Mathieu Coutadeur,FRA,MF,36,1986,21.6,2,0,0,6,13,0,5,19,13,0,0,0,150,9,13,40.9,misc
FRA-Ligue 1,2022,Ajaccio,Mehdi Puch-Herrantz,FRA,MF,18,2004,0.5,0,0,0,1,1,0,0,3,2,0,0,0,6,0,1,0.0,misc
FRA-Ligue 1,2022,Ajaccio,Mickaël Alphonse,GLP,DF,33,1989,15.1,2,1,0,19,15,0,27,35,23,0,1,1,89,32,27,54.2,misc
FRA-Ligue 1,2022,Ajaccio,Mickaël Barreto,FRA,MF,31,1991,14.7,1,0,0,20,8,0,76,18,20,0,0,0,100,9,7,56.3,misc
FRA-Ligue 1,2022,Ajaccio,Mohamed Youssouf,COM,DF,34,1988,27.3,5,1,0,40,37,0,89,65,44,0,0,1,140,47,37,56.0,misc
FRA-Ligue 1,2022,Ajaccio,Mounaim El Idrissy,FRA,FW,23,1999,27.7,10,0,0,81,80,23,20,13,19,2,0,0,67,110,191,36.5,misc
FRA-Ligue 1,2022,Ajaccio,Moussa Djitte,SEN,FW,22,1999,1.5,0,0,0,4,3,0,0,0,0,0,0,0,5,5,6,45.5,misc
FRA-Ligue 1,2022,Ajaccio,Moussa Soumano,FRA,FW,17,2005,5.5,3,0,0,10,4,3,1,0,2,0,0,0,10,8,23,25.8,misc
FRA-Ligue 1,2022,Ajaccio,Oumar Gonzalez,CMR,DF,24,1998,28.6,10,0,0,45,44,3,3,52,28,0,3,0,157,63,46,57.8,misc
FRA-Ligue 1,2022,Ajaccio,Paolo Lebas,FRA,MF,19,2003,0.6,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,,misc
FRA-Ligue 1,2022,Ajaccio,Qazim Laçi,ALB,MF,26,1996,2.4,0,0,0,2,2,1,8,2,3,0,1,0,20,4,5,44.4,misc
FRA-Ligue 1,2022,Ajaccio,Riad Nouri,FRA,"MF,FW",37,1985,18.8,3,0,0,16,15,7,86,15,12,0,0,0,84,13,17,43.3,misc
FRA-Ligue 1,2022,Ajaccio,Romain Hamouma,FRA,"FW,MF",35,1987,12.0,5,2,2,18,15,4,54,2,3,2,0,0,33,12,18,40.0,misc
FRA-Ligue 1,2022,Ajaccio,Ruan Levine,BRA,"MF,FW",23,1999,0.3,0,0,0,2,1,0,0,2,2,0,0,0,4,0,1,0.0,misc
FRA-Ligue 1,2022,Ajaccio,Thomas Mangani,FRA,MF,35,1987,14.8,4,1,0,24,13,0,79,24,17,0,0,0,94,20,24,45.5,misc
FRA-Ligue 1,2022,Ajaccio,Tony Strata,ROU,"MF,DF",17,2004,1.5,1,0,0,3,1,0,0,1,3,0,0,0,9,0,0,,misc
FRA-Ligue 1,2022,Ajaccio,Vincent Marchetti,FRA,MF,25,1997,27.2,7,0,0,29,36,1,6,19,26,1,0,0,168,5,13,27.8,misc
FRA-Ligue 1,2022,Ajaccio,Yanis Cimignani,FRA,"MF,DF",20,2002,3.1,0,0,0,5,2,0,10,2,5,0,0,0,12,0,12,0.0,misc
FRA-Ligue 1,2022,Ajaccio,Yoann Touzghar,TUN,FW,35,1986,5.0,0,1,0,5,6,3,2,0,2,0,0,0,10,9,20,31.0,misc
FRA-Ligue 1,2022,Ajaccio,Youcef Belaïli,ALG,"MF,FW",30,1992,12.8,2,0,0,25,24,4,42,5,10,2,0,0,75,7,9,43.8,misc
FRA-Ligue 1,2022,Ajaccio,Youssouf Koné,MLI,DF,27,1995,10.2,4,0,0,15,17,0,27,12,19,0,0,0,67,4,12,25.0,misc
FRA-Ligue 1,2022,Angers,Abdallah Sima,SEN,FW,21,2001,20.4,0,0,0,32,24,12,16,4,13,1,1,1,52,43,63,40.6,misc
FRA-Ligue 1,2022,Angers,Abdoulaye Bamba,CIV,DF,32,1990,15.2,2,0,0,10,13,4,19,18,12,0,0,0,68,17,14,54.8,misc
FRA-Ligue 1,2022,Angers,Adrien Hunou,FRA,"MF,FW",28,1994,24.8,2,0,0,14,45,5,16,7,20,2,1,0,108,19,28,40.4,misc
FRA-Ligue 1,2022,Angers,Amine Salama,FRA,"FW,MF",22,2000,13.9,1,0,0,7,9,6,12,10,9,0,0,0,51,8,19,29.6,misc
FRA-Ligue 1,2022,Angers,Antonin Bobichon,FRA,MF,26,1995,0.2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0.0,misc
FRA-Ligue 1,2022,Angers,Azzedine Ounahi,MAR,"MF,FW",22,2000,12.5,1,0,0,11,24,1,17,15,8,0,0,0,70,5,12,29.4,misc
FRA-Ligue 1,2022,Angers,Batista Mendy,FRA,"MF,DF",22,2000,31.8,8,1,1,67,42,1,9,21,30,0,1,0,193,27,13,67.5,misc
FRA-Ligue 1,2022,Angers,Cédric Hountondji,BEN,DF,28,1994,34.4,7,0,0,42,11,0,2,59,36,0,3,2,151,63,31,67.0,misc
FRA-Ligue 1,2022,Angers,Faouzi Ghoulam,ALG,DF,31,1991,5.3,0,0,0,4,5,2,38,4,3,0,0,0,21,9,6,60.0,misc
FRA-Ligue 1,2022,Angers,Farid El Melali,ALG,"DF,FW",25,1997,9.0,1,0,0,13,15,2,16,8,12,0,0,0,53,2,9,18.2,misc
FRA-Ligue 1,2022,Angers,Halid Šabanović,BIH,DF,22,1999,7.1,1,1,0,10,2,1,8,8,6,0,0,0,28,4,4,50.0,misc
FRA-Ligue 1,2022,Angers,Himad Abdelli,ALG,"MF,FW",22,1999,23.7,3,0,0,43,31,1,35,28,38,0,0,0,180,18,23,43.9,misc
FRA-Ligue 1,2022,Angers,Ibrahim Amadou,FRA,"DF,MF",29,1993,4.7,2,0,0,4,3,0,1,10,7,0,2,0,29,6,5,54.5,misc
FRA-Ligue 1,2022,Angers,Ibrahima Niane,SEN,FW,23,1999,12.6,4,0,0,12,27,2,7,1,2,0,0,0,35,23,50,31.5,misc
FRA-Ligue 1,2022,Angers,Ilyes Cheti,ALG,DF,27,1995,2.3,1,0,0,4,1,0,5,4,4,0,1,0,18,0,0,,misc
FRA-Ligue 1,2022,Angers,Jason Mbock,FRA,"MF,FW",22,1999,0.3,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,,misc
FRA-Ligue 1,2022,Angers,Jean Mattéo Bahoya,FRA,"FW,MF",17,2005,3.0,0,0,0,4,7,0,2,0,3,0,0,0,14,2,5,28.6,misc
FRA-Ligue 1,2022,Angers,Justin-Noël Kalumba,FRA,DF,17,2004,6.1,0,0,0,3,9,0,13,4,5,0,0,0,25,0,4,0.0,misc
FRA-Ligue 1,2022,Angers,Lilian Raolisoa,FRA,"DF,MF",22,2000,1.9,0,0,0,1,3,0,10,3,9,0,0,0,17,1,0,100.0,misc
FRA-Ligue 1,2022,Angers,Lois Diony,FRA,FW,29,1992,5.6,1,0,0,10,4,3,3,0,0,0,0,0,9,19,21,47.5,misc
FRA-Ligue 1,2022,Angers,Marin Jakoliš,CRO,FW,25,1996,0.3,0,0,0,1,0,0,2,0,1,0,0,0,1,0,1,0.0,misc
FRA-Ligue 1,2022,Angers,Miha Blažič,SVN,DF,29,1993,22.0,4,0,0,12,16,0,1,22,6,0,1,1,113,44,19,69.8,misc
FRA-Ligue 1,2022,Angers,Nabil Bentaleb,ALG,MF,27,1994,27.7,7,1,1,39,54,0,96,44,40,0,0,0,231,29,18,61.7,misc
FRA-Ligue 1,2022,Angers,Ousmane Camara,FRA,DF,19,2003,5.8,2,0,0,5,2,0,0,11,6,0,0,0,36,10,4,71.4,misc
FRA-Ligue 1,2022,Angers,Paul Bernardoni,FRA,GK,25,1997,27.0,0,0,0,1,2,0,0,1,0,0,1,0,17,6,1,85.7,misc
FRA-Ligue 1,2022,Angers,Pierrick Capelle,FRA,"MF,DF",35,1987,15.9,8,0,0,32,6,0,46,15,21,0,0,0,107,13,24,35.1,misc
FRA-Ligue 1,2022,Angers,Sada Thioub,SEN,"DF,FW",27,1995,11.8,3,0,0,14,6,0,37,7,10,0,0,0,63,4,14,22.2,misc
FRA-Ligue 1,2022,Angers,Sofiane Boufal,MAR,"FW,MF",28,1993,9.3,3,1,1,20,20,2,37,5,9,1,0,0,36,1,9,10.0,misc
FRA-Ligue 1,2022,Angers,Souleyman Doumbia,CIV,"DF,FW",25,1996,19.9,2,1,0,27,20,3,48,27,31,0,0,0,118,18,14,56.3,misc
FRA-Ligue 1,2022,Angers,Waniss Taibi,FRA,MF,20,2002,2.1,1,0,0,3,0,0,1,2,5,0,0,0,16,2,5,28.6,misc
FRA-Ligue 1,2022,Angers,Yahia Fofana,CIV,GK,21,2000,11.0,2,0,0,0,1,0,0,1,0,0,0,0,16,5,0,100.0,misc
FRA-Ligue 1,2022,Angers,Yan Valery,TUN,DF,23,1999,27.7,3,0,0,46,20,1,81,34,39,0,0,0,141,37,22,62.7,misc
FRA-Ligue 1,2022,Angers,Zinédine Ould Khaled,FRA,"MF,FW",22,2000,0.6,0,0,0,1,0,0,0,2,1,0,0,0,6,1,2,33.3,misc
FRA-Ligue 1,2022,Auxerre,Akim Zedadka,ALG,DF,27,1995,17.8,5,0,0,23,27,0,38,23,21,0,2,0,95,24,23,51.1,misc
FRA-Ligue 1,2022,Auxerre,Alexandre Coeff,FRA,DF,30,1992,6.5,0,0,0,3,1,0,5,8,5,0,0,0,29,6,7,46.2,misc
FRA-Ligue 1,2022,Auxerre,Benoît Costil,FRA,GK,35,1987,19.0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,0,100.0,misc
FRA-Ligue 1,2022,Auxerre,Birama Touré,MLI,MF,30,1992,37.8,3,0,0,50,22,0,14,67,47,0,1,0,242,56,60,48.3,misc
FRA-Ligue 1,2022,Auxerre,Brayann Pereira,FRA,DF,19,2003,2.0,0,0,0,1,4,0,9,2,5,0,0,0,9,3,0,100.0,misc
FRA-Ligue 1,2022,Auxerre,Donovan Léon,GUF,GK,29,1992,2.0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,,misc
