league,season,team,player,nation,pos,age,born,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,stat_type
GER-Bundesliga,2024,Augsburg,Arne Engels,BEL,"MF,FW",21-215,2003.0,0.9,1,0,0,3,1,0,4,0,0,0,0,0,0,1,0,100.0,misc
GER-Bundesliga,2024,Augsburg,Arne Maier,GER,MF,26-093,1999.0,9.2,0,0,0,8,6,0,55,4,6,0,0,0,69,4,7,36.4,misc
GER-Bundesliga,2024,Augsburg,Cedric Zesiger,SUI,DF,26-291,1998.0,9.1,6,1,1,11,5,0,8,16,4,0,0,0,37,19,14,57.6,misc
GER-Bundesliga,2024,Augsburg,Chrislain Matsima,FRA,DF,22-331,2002.0,22.3,4,0,0,8,9,0,2,46,14,0,0,1,121,55,22,71.4,misc
GER-Bundesliga,2024,Augsburg,Dimitris Giannoulis,GRE,DF,29-176,1995.0,23.8,7,0,0,17,14,0,88,37,27,1,0,0,115,9,20,31.0,misc
GER-Bundesliga,2024,Augsburg,Elvis Rexhbeçaj,KVX,MF,27-161,1997.0,18.5,8,0,0,11,37,1,68,16,18,0,0,0,80,7,17,29.2,misc
GER-Bundesliga,2024,Augsburg,Finn Dahmen,GER,GK,27-015,1998.0,13.0,0,0,0,0,1,0,0,0,0,0,0,0,21,4,0,100.0,misc
GER-Bundesliga,2024,Augsburg,Frank Onyeka,NGA,MF,27-100,1998.0,23.1,7,0,0,39,59,2,16,32,40,0,0,0,123,14,14,50.0,misc
GER-Bundesliga,2024,Augsburg,Fredrik Jensen,FIN,MF,27-214,1997.0,7.2,0,0,0,5,4,3,18,4,5,0,0,0,13,5,10,33.3,misc
GER-Bundesliga,2024,Augsburg,Henri Koudossou,GER,DF,25-220,1999.0,6.9,1,0,0,4,3,2,17,12,10,0,0,0,36,7,7,50.0,misc
GER-Bundesliga,2024,Augsburg,Jeffrey Gouweleeuw,NED,DF,33-275,1991.0,26.7,9,0,0,20,12,2,15,29,23,0,1,0,105,50,24,67.6,misc
GER-Bundesliga,2024,Augsburg,Keven Schlotterbeck,GER,DF,27-348,1997.0,13.4,4,1,1,10,10,1,2,14,16,0,2,0,53,37,16,69.8,misc
GER-Bundesliga,2024,Augsburg,Kristijan Jakić,CRO,MF,27-332,1997.0,20.0,2,0,0,20,23,2,12,26,18,0,0,0,105,27,24,52.9,misc
GER-Bundesliga,2024,Augsburg,Mads Pedersen,DEN,DF,28-222,1996.0,2.6,0,0,0,5,1,1,5,2,7,0,1,0,11,1,2,33.3,misc
GER-Bundesliga,2024,Augsburg,Marius Wolf,GER,DF,29-319,1995.0,20.2,2,0,0,17,12,2,100,20,14,0,0,0,74,7,6,53.8,misc
GER-Bundesliga,2024,Augsburg,Maximilian Bauer,GER,DF,25-061,2000.0,7.3,1,0,0,7,13,0,4,6,8,0,0,0,20,19,12,61.3,misc
GER-Bundesliga,2024,Augsburg,Mergim Berisha,GER,FW,26-335,1998.0,0.1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,,misc
GER-Bundesliga,2024,Augsburg,Mert Kömür,GER,MF,19-268,2005.0,4.0,1,0,0,3,7,2,9,3,2,0,0,0,23,9,8,52.9,misc
GER-Bundesliga,2024,Augsburg,Nediljko Labrović,CRO,GK,25-183,1999.0,15.0,0,0,0,0,2,0,0,0,0,0,0,0,14,6,1,85.7,misc
GER-Bundesliga,2024,Augsburg,Niklas Dorsch,GER,MF,27-086,1998.0,0.4,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,,misc
GER-Bundesliga,2024,Augsburg,Noahkai Banks,USA,DF,18-131,2006.0,3.1,2,0,0,2,1,0,2,5,5,0,0,1,13,8,8,50.0,misc
GER-Bundesliga,2024,Augsburg,Phillip Tietz,GER,FW,27-276,1997.0,16.5,3,0,0,32,11,14,1,4,6,0,0,0,42,69,75,47.9,misc
GER-Bundesliga,2024,Augsburg,Robert Gumny,POL,DF,26-311,1998.0,1.6,2,0,0,3,3,0,2,0,2,0,0,0,8,2,2,50.0,misc
GER-Bundesliga,2024,Augsburg,Ruben Vargas,SUI,"MF,FW",26-249,1998.0,3.4,3,0,0,5,3,0,12,2,1,0,0,0,14,3,5,37.5,misc
GER-Bundesliga,2024,Augsburg,Samuel Essende,COD,FW,27-078,1998.0,15.3,4,1,0,41,30,12,4,0,5,0,0,0,35,49,57,46.2,misc
GER-Bundesliga,2024,Augsburg,Steve Mounié,BEN,"FW,MF",30-194,1994.0,3.3,2,0,0,9,5,1,3,1,3,0,0,0,7,19,21,47.5,misc
GER-Bundesliga,2024,Augsburg,Tim Breithaupt,GER,MF,23-063,2002.0,1.3,0,0,0,2,3,0,1,2,1,0,0,0,9,4,5,44.4,misc
GER-Bundesliga,2024,Augsburg,Yusuf Kabadayı,GER,"FW,MF",21-068,2004.0,0.8,0,0,0,1,1,1,1,0,0,0,0,0,6,0,2,0.0,misc
GER-Bundesliga,2024,Bayern Munich,Adam Aznou,MAR,DF,18-313,2006.0,0.2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.0,misc
