league,season,team,player,nation,pos,age,born,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,stat_type
ITA-Serie A,2023,Atalanta,Aleksei Miranchuk,RUS,"MF,FW",27,1995,13.1,1,0,0,12,31,3,83,2,6,0,0,0,69,7,11,38.9,misc
ITA-Serie A,2023,Atalanta,Berat Djimsiti,ALB,DF,30,1993,31.5,5,0,0,17,11,0,6,57,24,0,1,0,171,92,55,62.6,misc
ITA-Serie A,2023,Atalanta,Charles De Ketelaere,BEL,"FW,MF",22,2001,22.5,1,0,0,17,47,6,47,7,21,0,0,1,93,38,35,52.1,misc
ITA-Serie A,2023,Atalanta,Davide Zappacosta,ITA,DF,31,1992,20.7,5,0,0,26,15,2,76,5,20,0,0,0,99,9,13,40.9,misc
ITA-Serie A,2023,Atalanta,Duván Zapata,COL,FW,32,1991,1.2,0,0,0,1,4,1,6,0,0,0,0,0,6,5,5,50.0,misc
ITA-Serie A,2023,Atalanta,El Bilal Touré,MLI,FW,21,2001,4.4,2,0,0,13,8,3,2,1,1,1,0,0,8,14,14,50.0,misc
ITA-Serie A,2023,Atalanta,Emil Holm,SWE,DF,23,2000,10.5,5,0,0,14,21,1,35,7,19,2,0,0,57,28,24,53.8,misc
ITA-Serie A,2023,Atalanta,Francesco Rossi,ITA,GK,32,1991,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,misc
ITA-Serie A,2023,Atalanta,Gianluca Scamacca,ITA,FW,24,1999,16.1,1,0,0,28,28,9,6,4,9,0,0,0,32,21,34,38.2,misc
ITA-Serie A,2023,Atalanta,Giorgio Scalvini,ITA,DF,19,2003,28.3,3,0,0,48,11,4,5,59,33,0,2,0,163,80,40,66.7,misc
ITA-Serie A,2023,Atalanta,Giovanni Bonfanti,ITA,DF,20,2003,1.0,0,0,0,2,1,0,2,1,2,0,0,0,7,1,2,33.3,misc
ITA-Serie A,2023,Atalanta,Hans Hateboer,NED,DF,29,1994,12.4,5,0,0,16,3,0,34,4,5,0,1,0,34,18,11,62.1,misc
ITA-Serie A,2023,Atalanta,Isak Hien,SWE,DF,24,1999,10.4,3,0,0,18,9,2,0,14,12,0,0,0,60,36,15,70.6,misc
ITA-Serie A,2023,Atalanta,José Luis Palomino,ARG,DF,33,1990,0.3,0,0,0,0,0,0,0,1,1,0,0,0,3,3,0,100.0,misc
ITA-Serie A,2023,Atalanta,Juan Musso,ARG,GK,29,1994,11.0,0,0,0,1,0,0,0,0,0,0,1,0,22,2,0,100.0,misc
ITA-Serie A,2023,Atalanta,Leonardo Mendicino,ITA,MF,17,2006,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,misc
ITA-Serie A,2023,Atalanta,Luis Muriel,COL,"FW,MF",32,1991,4.5,0,0,0,6,14,1,31,1,2,0,0,0,18,6,7,46.2,misc
ITA-Serie A,2023,Atalanta,Marco Carnesecchi,ITA,GK,23,2000,26.9,0,0,0,1,2,0,0,0,0,0,1,0,39,7,1,87.5,misc
ITA-Serie A,2023,Atalanta,Mario Pašalić,CRO,MF,28,1995,22.8,3,0,0,20,7,6,10,16,17,0,0,0,124,36,31,53.7,misc
ITA-Serie A,2023,Atalanta,Marten de Roon,NED,"MF,DF",32,1991,28.9,10,0,0,43,24,3,16,40,43,0,1,0,164,35,27,56.5,misc
ITA-Serie A,2023,Atalanta,Matteo Ruggeri,ITA,DF,21,2002,27.2,3,0,0,21,9,2,101,23,15,0,1,0,171,49,36,57.6,misc
ITA-Serie A,2023,Atalanta,Michel Ndary Adopo,FRA,MF,23,2000,1.2,0,0,0,2,1,1,1,0,3,0,0,0,13,3,1,75.0,misc
ITA-Serie A,2023,Atalanta,Mitchel Bakker,NED,DF,23,2000,4.2,1,0,0,4,4,1,13,3,3,0,0,0,30,4,1,80.0,misc
ITA-Serie A,2023,Atalanta,Nadir Zortea,ITA,DF,24,1999,1.7,1,0,0,4,2,0,12,1,4,0,0,0,4,0,2,0.0,misc
