league,season,team,player,nation,pos,age,born,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,stat_type
ENG-Premier League,2021,Arsenal,Alexandre Lacazette,FRA,FW,29,1991,21.4,3,0,0,37,54,8,3,12,10,1,0,0,59,27,61,30.7,misc
ENG-Premier League,2021,Arsenal,Bernd Leno,GER,GK,28,1992,34.8,0,1,0,2,4,0,0,0,0,0,0,1,39,10,0,100.0,misc
ENG-Premier League,2021,Arsenal,Bukayo Saka,ENG,"FW,MF",18,2001,28.4,1,0,0,28,64,15,148,25,16,1,0,1,115,13,42,23.6,misc
ENG-Premier League,2021,Arsenal,Calum Chambers,ENG,DF,25,1995,8.4,0,0,0,7,2,0,33,10,3,0,0,0,42,20,18,52.6,misc
ENG-Premier League,2021,Arsenal,Cédric Soares,POR,DF,28,1991,8.3,1,0,0,6,5,0,34,8,8,0,0,0,40,7,12,36.8,misc
ENG-Premier League,2021,Arsenal,Dani Ceballos,ESP,MF,23,1996,17.9,4,0,0,23,24,0,29,35,22,0,0,0,136,8,13,38.1,misc
ENG-Premier League,2021,Arsenal,David Luiz,BRA,DF,33,1987,15.5,1,1,0,15,5,1,9,16,9,0,1,0,64,35,13,72.9,misc
ENG-Premier League,2021,Arsenal,Eddie Nketiah,ENG,FW,21,1999,4.7,0,0,0,10,11,0,2,0,1,0,0,0,12,7,16,30.4,misc
ENG-Premier League,2021,Arsenal,Emile Smith Rowe,ENG,"MF,FW",20,2000,16.0,0,0,0,5,20,4,17,10,7,0,0,0,79,4,10,28.6,misc
ENG-Premier League,2021,Arsenal,Gabriel Magalhães,BRA,DF,22,1997,22.2,4,1,1,23,26,0,2,26,15,0,1,0,118,57,40,58.8,misc
ENG-Premier League,2021,Arsenal,Gabriel Martinelli,BRA,FW,19,2001,6.5,0,0,0,9,4,1,12,8,1,0,0,0,22,7,13,35.0,misc
ENG-Premier League,2021,Arsenal,Granit Xhaka,SUI,"MF,DF",27,1992,28.0,7,1,0,39,37,1,12,24,26,0,0,0,203,39,35,52.7,misc
ENG-Premier League,2021,Arsenal,Héctor Bellerín,ESP,"DF,MF",25,1995,23.2,8,0,0,21,7,1,54,33,19,1,0,0,91,31,30,50.8,misc
ENG-Premier League,2021,Arsenal,Joe Willock,ENG,MF,20,1999,2.6,1,0,0,6,4,0,6,3,3,0,0,0,14,8,4,66.7,misc
ENG-Premier League,2021,Arsenal,Kieran Tierney,SCO,DF,23,1997,25.5,4,0,0,14,18,0,125,16,15,1,0,0,115,16,42,27.6,misc
ENG-Premier League,2021,Arsenal,Martin Ødegaard,NOR,MF,21,1998,9.6,0,0,0,1,9,1,36,2,3,0,0,0,40,2,13,13.3,misc
ENG-Premier League,2021,Arsenal,Mathew Ryan,AUS,GK,28,1992,3.0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,50.0,misc
ENG-Premier League,2021,Arsenal,Mohamed Elneny,EGY,MF,28,1992,17.2,3,0,0,10,10,0,2,24,6,0,0,0,92,7,24,22.6,misc
ENG-Premier League,2021,Arsenal,Nicolas Pépé,CIV,FW,25,1995,18.0,1,1,0,11,26,4,57,12,15,0,0,0,80,36,30,54.5,misc
ENG-Premier League,2021,Arsenal,Pablo Marí,ESP,DF,26,1993,10.0,2,0,0,8,4,0,0,9,9,0,1,0,36,25,21,54.3,misc
