league,season,team,player,nation,pos,age,born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,stat_type
ESP-La Liga,2023,Alavés,Abderrahman Rebbach,ALG,"FW,MF",24.0,1998.0,8.0,9,5,4,2,3,5,15,33.3,10,10,1,9,3,12,7,0,defense
ESP-La Liga,2023,Alavés,Aleksandar Sedlar,SRB,DF,31.0,1991.0,10.5,14,10,10,4,0,10,16,62.5,6,8,4,4,13,27,43,0,defense
ESP-La Liga,2023,Alavés,Alex Sola,ESP,"FW,MF",24.0,1999.0,14.0,27,15,11,9,7,14,26,53.8,12,18,2,16,11,38,16,0,defense
ESP-La Liga,2023,Alavés,Ander Guevara,ESP,MF,26.0,1997.0,32.6,59,32,28,25,6,31,64,48.4,33,34,12,22,13,72,46,1,defense
ESP-La Liga,2023,Alavés,Andoni Gorosabel,ESP,DF,26.0,1996.0,31.7,62,42,40,17,5,38,75,50.7,37,24,8,16,28,90,69,0,defense
ESP-La Liga,2023,Alavés,Antonio Blanco,ESP,MF,23.0,2000.0,27.0,61,36,29,27,5,31,86,36.0,55,25,2,23,35,96,30,0,defense
ESP-La Liga,2023,Alavés,Antonio Sivera,ESP,GK,26.0,1996.0,34.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,17,1,defense
ESP-La Liga,2023,Alavés,Carlos Benavídez,URU,MF,25.0,1998.0,12.6,56,35,19,26,11,19,34,55.9,15,13,5,8,19,75,31,0,defense
ESP-La Liga,2023,Alavés,Carlos Vicente,ESP,FW,24.0,1999.0,12.4,16,6,7,7,2,10,25,40.0,15,4,0,4,4,20,9,0,defense
ESP-La Liga,2023,Alavés,Eneko Ortiz,ESP,DF,20.0,2003.0,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense
ESP-La Liga,2023,Alavés,Giuliano Simeone,ARG,FW,20.0,2002.0,7.0,7,5,2,3,2,5,17,29.4,12,10,0,10,5,12,3,0,defense
ESP-La Liga,2023,Alavés,Ianis Hagi,ROU,"MF,FW",24.0,1998.0,8.9,17,12,2,14,1,5,12,41.7,7,8,0,8,5,22,4,0,defense
ESP-La Liga,2023,Alavés,Javi López,ESP,DF,21.0,2002.0,26.5,23,12,11,9,3,15,26,57.7,11,25,9,16,10,33,77,1,defense
ESP-La Liga,2023,Alavés,Jesús Owono,EQG,GK,22.0,2001.0,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,defense
ESP-La Liga,2023,Alavés,Joaquín Panichelli,ARG,"FW,MF",20.0,2002.0,2.5,3,3,1,1,1,1,2,50.0,1,1,0,1,1,4,4,0,defense
ESP-La Liga,2023,Alavés,Jon Guridi,ESP,MF,28.0,1995.0,29.8,42,24,10,27,5,12,45,26.7,33,23,3,20,22,64,22,0,defense
ESP-La Liga,2023,Alavés,Jon Karrikaburu,ESP,"MF,FW",20.0,2002.0,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense
ESP-La Liga,2023,Alavés,Kiké,ESP,"FW,MF",33.0,1989.0,15.8,8,4,2,3,3,4,9,44.4,5,16,5,11,1,9,12,0,defense
ESP-La Liga,2023,Alavés,Luis Rioja,ESP,"FW,MF",29.0,1993.0,27.8,27,19,10,12,5,14,43,32.6,29,28,1,27,16,43,28,0,defense
ESP-La Liga,2023,Alavés,Mamadou Sylla,SEN,"FW,MF",29.0,1994.0,0.2,0,0,0,0,0,0,0,,0,1,1,0,0,0,1,0,defense
ESP-La Liga,2023,Alavés,Miguel,ESP,"FW,MF",23.0,1999.0,0.7,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0,defense
ESP-La Liga,2023,Alavés,Nahuel Tenaglia,ARG,DF,27.0,1996.0,12.7,29,19,22,4,3,16,28,57.1,12,14,8,6,12,41,59,0,defense
ESP-La Liga,2023,Alavés,Rafa Marín,ESP,DF,21.0,2002.0,27.1,32,20,23,9,0,14,27,51.9,13,34,21,13,33,65,129,2,defense
ESP-La Liga,2023,Alavés,Rubén Duarte,ESP,DF,27.0,1995.0,20.9,39,20,21,16,2,21,31,67.7,10,21,6,15,23,62,69,0,defense
ESP-La Liga,2023,Alavés,Samu Omorodion,ESP,FW,19.0,2004.0,21.3,6,3,1,4,1,0,4,0.0,4,11,2,9,1,7,14,0,defense
ESP-La Liga,2023,Alavés,Tomás Mendes,ESP,MF,18.0,2004.0,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense
ESP-La Liga,2023,Alavés,Unai Ropero,ESP,MF,21.0,2001.0,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense
ESP-La Liga,2023,Alavés,Victor Parada,ESP,"FW,MF",21.0,2002.0,0.0,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0,defense
ESP-La Liga,2023,Alavés,Xeber,ESP,"FW,MF",26.0,1997.0,3.4,5,5,3,2,0,3,7,42.9,4,2,1,1,1,6,2,0,defense
ESP-La Liga,2023,Almería,Adri Embarba,ESP,"FW,MF",31.0,1992.0,27.5,55,37,29,15,11,26,53,49.1,27,37,1,36,15,70,12,0,defense
ESP-La Liga,2023,Almería,Alejandro Pozo Pozo,ESP,"DF,MF",24.0,1999.0,10.8,19,12,11,6,2,12,20,60.0,8,14,4,10,7,26,21,0,defense
ESP-La Liga,2023,Almería,Aleksandar Radovanović,SRB,DF,29.0,1993.0,6.3,8,7,7,1,0,6,6,100.0,0,8,8,0,11,19,48,0,defense
ESP-La Liga,2023,Almería,Anthony Lozano,HON,FW,30.0,1993.0,8.6,7,5,2,5,0,4,7,57.1,3,6,1,5,2,9,12,0,defense
ESP-La Liga,2023,Almería,Arnau Puigmal,ESP,"FW,DF",22.0,2001.0,2.8,2,1,1,1,0,1,3,33.3,2,3,0,3,3,5,2,0,defense
ESP-La Liga,2023,Almería,Bruno Langa,MOZ,DF,25.0,1997.0,9.1,17,12,10,5,2,6,14,42.9,8,11,4,7,4,21,33,2,defense
ESP-La Liga,2023,Almería,Chumi,ESP,DF,24.0,1999.0,27.0,34,22,22,12,0,16,26,61.5,10,38,23,15,14,48,107,3,defense
ESP-La Liga,2023,Almería,César Montes,MEX,DF,26.0,1997.0,19.9,22,13,13,9,0,9,18,50.0,9,21,9,12,11,33,94,0,defense
ESP-La Liga,2023,Almería,Diego Mariño,ESP,GK,33.0,1990.0,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,defense
ESP-La Liga,2023,Almería,Dion Lopy,SEN,MF,21.0,2002.0,21.3,62,37,36,20,6,17,44,38.6,27,23,5,18,15,77,22,2,defense
