league,season,team,player,nation,pos,age,born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,stat_type
FRA-Ligue 1,2021,Angers,Angelo Fulgini,FRA,MF,23,1996,30.3,22,13,4,12,6,12,34,35.3,22,17,0,17,15,37,9,0,defense
FRA-Ligue 1,2021,Angers,Antonin Bobichon,FRA,"MF,FW",24,1995,10.1,23,14,10,8,5,9,15,60.0,6,4,1,3,2,25,1,0,defense
FRA-Ligue 1,2021,Angers,Baptiste Santamaria,FRA,MF,25,1995,3.0,9,6,3,5,1,2,7,28.6,5,4,0,4,7,16,8,0,defense
FRA-Ligue 1,2021,Angers,Casimir Ninga,CHA,FW,27,1993,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,defense
FRA-Ligue 1,2021,Angers,Enzo Ebosse,CMR,DF,21,1999,2.9,5,3,5,0,0,3,4,75.0,1,1,1,0,2,7,13,0,defense
FRA-Ligue 1,2021,Angers,Farid El Melali,ALG,"FW,MF",23,1997,4.6,9,5,5,4,0,2,13,15.4,11,12,0,12,6,15,2,0,defense
FRA-Ligue 1,2021,Angers,Ibrahim Amadou,FRA,MF,27,1993,16.7,39,26,18,19,2,15,38,39.5,23,14,4,10,23,62,25,0,defense
FRA-Ligue 1,2021,Angers,Ismaël Traoré,CIV,DF,33,1986,33.3,32,14,23,9,0,20,37,54.1,17,27,13,14,40,72,107,0,defense
FRA-Ligue 1,2021,Angers,Jimmy Cabot,FRA,"FW,MF",26,1994,10.5,26,13,8,14,4,11,36,30.6,25,8,0,8,12,38,6,0,defense
FRA-Ligue 1,2021,Angers,Lassana Coulibaly,MLI,MF,24,1996,18.7,78,41,33,34,11,39,75,52.0,36,29,4,25,33,111,17,0,defense
FRA-Ligue 1,2021,Angers,Lois Diony,FRA,FW,27,1992,19.4,15,10,3,9,3,4,18,22.2,14,6,3,3,5,20,16,0,defense
FRA-Ligue 1,2021,Angers,Mateo Pavlović,BIH,DF,30,1990,12.3,11,6,8,3,0,8,23,34.8,15,13,11,2,21,32,40,0,defense
FRA-Ligue 1,2021,Angers,Mathias Pereira Lage,POR,"FW,MF",23,1996,16.3,29,17,12,15,2,10,40,25.0,30,21,4,17,15,44,16,0,defense
FRA-Ligue 1,2021,Angers,Mohamed Ali Cho,FRA,"FW,MF",16,2004,3.9,9,7,2,6,1,4,9,44.4,5,4,0,4,3,12,0,0,defense
FRA-Ligue 1,2021,Angers,Noah Fatar,FRA,"FW,MF",18,2002,0.2,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,0,defense
FRA-Ligue 1,2021,Angers,Paul Bernardoni,FRA,GK,23,1997,38.0,1,1,1,0,0,1,2,50.0,1,0,0,0,2,3,23,1,defense
FRA-Ligue 1,2021,Angers,Pierrick Capelle,FRA,"MF,DF",33,1987,22.8,53,28,24,17,12,31,79,39.2,48,25,1,24,47,100,32,0,defense
FRA-Ligue 1,2021,Angers,Rachid Alioui,MAR,FW,28,1992,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,defense
FRA-Ligue 1,2021,Angers,Rayan Aït-Nouri,ALG,DF,19,2001,2.1,3,2,1,2,0,3,5,60.0,2,2,1,1,4,7,1,0,defense
FRA-Ligue 1,2021,Angers,Romain Thomas,FRA,DF,32,1988,33.6,47,25,34,11,2,20,35,57.1,15,35,20,15,50,97,138,0,defense
FRA-Ligue 1,2021,Angers,Sada Thioub,SEN,"FW,MF",25,1995,14.0,17,14,7,6,4,7,23,30.4,16,10,0,10,9,26,3,0,defense
FRA-Ligue 1,2021,Angers,Sofiane Boufal,MAR,"FW,MF",26,1993,8.1,17,11,8,6,3,8,28,28.6,20,8,0,8,3,20,1,0,defense
FRA-Ligue 1,2021,Angers,Souleyman Doumbia,CIV,DF,23,1996,24.7,48,33,25,19,4,22,36,61.1,14,18,4,14,42,90,50,0,defense
FRA-Ligue 1,2021,Angers,Stéphane Bahoken,CMR,FW,28,1992,18.0,9,6,1,7,1,4,12,33.3,8,9,0,9,9,18,9,0,defense
FRA-Ligue 1,2021,Angers,Thomas Mangani,FRA,MF,33,1987,29.9,54,37,25,26,3,30,90,33.3,60,31,8,23,38,92,39,0,defense
FRA-Ligue 1,2021,Angers,Vincent Manceau,FRA,DF,31,1989,25.7,42,27,23,17,2,30,63,47.6,33,23,2,21,35,77,61,0,defense
FRA-Ligue 1,2021,Angers,Waniss Taibi,FRA,MF,18,2002,0.4,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,0,0,defense
FRA-Ligue 1,2021,Angers,Wilfried Kanga,CIV,FW,22,1998,1.5,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,2,0,defense
FRA-Ligue 1,2021,Angers,Yassin Fortune,FRA,FW,21,1999,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense
FRA-Ligue 1,2021,Angers,Zinédine Ould Khaled,FRA,MF,20,2000,0.4,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,defense
FRA-Ligue 1,2021,Bordeaux,Amadou Traore,FRA,"FW,MF",18,2002,3.4,6,1,2,2,2,2,9,22.2,7,9,0,9,1,7,2,0,defense
FRA-Ligue 1,2021,Bordeaux,Benoît Costil,FRA,GK,33,1987,38.0,1,1,1,0,0,1,3,33.3,2,1,0,1,1,2,17,0,defense
FRA-Ligue 1,2021,Bordeaux,Dilane Bakwa,FRA,"FW,MF",17,2002,0.6,2,2,1,1,0,0,1,0.0,1,2,0,2,1,3,0,0,defense
FRA-Ligue 1,2021,Bordeaux,Enock Kwateng,FRA,DF,23,1997,11.5,21,12,15,4,2,14,27,51.9,13,15,3,12,26,47,27,0,defense
FRA-Ligue 1,2021,Bordeaux,Hatem Ben Arfa,FRA,"MF,FW",33,1987,18.9,11,7,1,7,3,2,9,22.2,7,3,0,3,2,13,0,0,defense
FRA-Ligue 1,2021,Bordeaux,Hwang Ui-jo,KOR,"FW,MF",27,1992,27.8,14,6,5,8,1,6,25,24.0,19,17,2,15,8,22,14,0,defense
FRA-Ligue 1,2021,Bordeaux,Issouf Sissokho,MLI,"MF,DF",18,2002,0.9,6,4,4,2,0,3,6,50.0,3,2,0,2,1,7,0,0,defense
FRA-Ligue 1,2021,Bordeaux,Jean Seri,CIV,MF,29,1991,7.9,17,9,3,12,2,4,15,26.7,11,8,2,6,12,29,7,0,defense
