league,season,team,player,nation,pos,age,born,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,stat_type
FRA-Ligue 1,2021,Angers,Angelo Fulgini,FRA,MF,23,1996,30.3,1289,1620,79.6,20421,5849,697,779,89.5,422,506,83.4,114,211,54.0,3,4.8,5.0,-1.8,58,117,38,7,201,passing
FRA-Ligue 1,2021,Angers,Antonin Bobichon,FRA,"MF,FW",24,1995,10.1,441,548,80.5,7153,1993,241,266,90.6,138,164,84.1,47,86,54.7,1,1.4,1.5,-0.4,17,39,5,0,61,passing
FRA-Ligue 1,2021,Angers,Baptiste Santamaria,FRA,MF,25,1995,3.0,132,153,86.3,2300,622,59,66,89.4,55,60,91.7,12,16,75.0,0,0.2,0.1,-0.2,4,16,1,1,14,passing
FRA-Ligue 1,2021,Angers,Casimir Ninga,CHA,FW,27,1993,0.3,7,10,70.0,147,67,3,4,75.0,3,3,100.0,1,1,100.0,0,0.0,0.0,0.0,0,1,2,0,4,passing
FRA-Ligue 1,2021,Angers,Enzo Ebosse,CMR,DF,21,1999,2.9,129,151,85.4,1918,852,79,82,96.3,41,50,82.0,6,12,50.0,0,0.4,0.5,-0.4,1,2,0,0,6,passing
FRA-Ligue 1,2021,Angers,Farid El Melali,ALG,"FW,MF",23,1997,4.6,106,140,75.7,1589,490,61,75,81.3,35,47,74.5,6,11,54.5,0,0.1,0.1,-0.1,2,11,5,0,13,passing
FRA-Ligue 1,2021,Angers,Ibrahim Amadou,FRA,MF,27,1993,16.7,582,691,84.2,9479,3023,290,326,89.0,240,272,88.2,37,59,62.7,0,0.2,0.2,-0.2,4,52,1,0,63,passing
FRA-Ligue 1,2021,Angers,Ismaël Traoré,CIV,DF,33,1986,33.3,1461,1745,83.7,27933,12213,494,538,91.8,808,889,90.9,146,272,53.7,3,0.9,0.9,2.1,9,85,5,1,83,passing
FRA-Ligue 1,2021,Angers,Jimmy Cabot,FRA,"FW,MF",26,1994,10.5,315,429,73.4,5004,1245,178,213,83.6,105,141,74.5,27,42,64.3,1,1.1,1.1,-0.1,11,27,16,3,42,passing
FRA-Ligue 1,2021,Angers,Lassana Coulibaly,MLI,MF,24,1996,18.7,547,671,81.5,9647,2433,238,270,88.1,244,284,85.9,51,72,70.8,1,0.6,0.6,0.4,7,57,4,1,65,passing
FRA-Ligue 1,2021,Angers,Lois Diony,FRA,FW,27,1992,19.4,235,390,60.3,3273,505,146,206,70.9,61,100,61.0,12,24,50.0,1,1.9,1.1,-0.9,17,10,8,3,20,passing
FRA-Ligue 1,2021,Angers,Mateo Pavlović,BIH,DF,30,1990,12.3,465,534,87.1,8300,3402,177,188,94.1,243,271,89.7,34,56,60.7,1,0.6,0.1,0.4,2,18,2,0,22,passing
