league,season,team,player,nation,pos,age,born,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,stat_type
GER-Bundesliga,2020,Arminia,Anderson Lucoqui,ANG,DF,23,1997,17.8,5,0,0,27,39,0,16,27,25,0,0,0,104,25,24,51.0,misc
GER-Bundesliga,2020,Arminia,Andreas Voglsammer,GER,"FW,MF",28,1992,11.1,1,0,0,14,14,4,18,3,8,0,0,0,45,43,41,51.2,misc
GER-Bundesliga,2020,Arminia,Arne Maier,GER,MF,21,1999,11.5,0,0,0,1,5,2,27,8,9,0,0,0,74,6,6,50.0,misc
GER-Bundesliga,2020,Arminia,Brian Behrendt,GER,DF,28,1991,0.9,0,0,0,1,0,0,1,0,0,0,0,0,6,2,3,40.0,misc
GER-Bundesliga,2020,Arminia,Cebio Soukou,BEN,"FW,MF",27,1992,5.1,2,0,0,8,6,1,3,3,8,0,0,0,28,6,7,46.2,misc
GER-Bundesliga,2020,Arminia,Christian Gebauer,AUT,"MF,FW",26,1993,7.6,0,0,0,7,9,0,9,6,4,0,1,0,40,8,15,34.8,misc
GER-Bundesliga,2020,Arminia,Cédric Brunner,SUI,DF,26,1994,29.5,6,0,0,33,30,1,66,42,22,0,0,0,196,46,32,59.0,misc
GER-Bundesliga,2020,Arminia,Fabian Klos,GER,FW,32,1987,30.1,4,0,0,48,56,12,28,4,13,0,0,0,69,218,171,56.0,misc
GER-Bundesliga,2020,Arminia,Fabian Kunze,GER,MF,22,1998,14.1,6,0,0,36,25,0,2,18,26,0,0,0,81,39,19,67.2,misc
GER-Bundesliga,2020,Arminia,Jacob Barrett Laursen,DEN,DF,25,1994,12.3,1,0,0,12,12,0,21,24,12,0,0,0,50,8,18,30.8,misc
GER-Bundesliga,2020,Arminia,Joakim Nilsson,SWE,DF,26,1994,24.0,1,0,0,12,14,1,2,39,24,0,0,1,102,73,40,64.6,misc
GER-Bundesliga,2020,Arminia,Jóan Símun Edmundsson,FRO,"FW,MF",29,1991,0.6,0,0,0,3,2,0,1,1,0,0,0,0,1,1,1,50.0,misc
GER-Bundesliga,2020,Arminia,Manuel Prietl,AUT,MF,28,1991,28.0,3,0,0,38,9,0,6,45,44,0,0,0,162,33,31,51.6,misc
GER-Bundesliga,2020,Arminia,Marcel Hartel,GER,MF,24,1996,18.7,1,0,0,5,15,5,61,26,19,0,0,0,117,11,19,36.7,misc
GER-Bundesliga,2020,Arminia,Masaya Okugawa,JPN,MF,24,1996,10.2,0,0,0,3,9,2,10,8,8,1,0,0,30,10,19,34.5,misc
GER-Bundesliga,2020,Arminia,Michel Vlap,NED,"MF,FW",23,1997,4.1,0,0,0,3,6,0,15,5,1,0,0,0,22,5,12,29.4,misc
