league,season,team,player,nation,pos,age,born,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,stat_type
ITA-Serie A,2022,Atalanta,Berat Djimsiti,ALB,DF,29,1993,20.0,3,0,0,15,8,0,0,36,19,0,0,0,112,59,42,58.4,misc
ITA-Serie A,2022,Atalanta,Brandon Soppy,FRA,DF,20,2002,7.1,2,0,0,18,20,2,19,3,5,1,0,0,49,4,2,66.7,misc
ITA-Serie A,2022,Atalanta,Caleb Okoli,ITA,DF,21,2001,10.7,3,0,0,15,8,0,2,30,17,0,0,0,66,43,25,63.2,misc
ITA-Serie A,2022,Atalanta,Davide Zappacosta,ITA,DF,30,1992,16.3,4,0,0,18,13,2,59,9,18,0,0,0,90,2,8,20.0,misc
ITA-Serie A,2022,Atalanta,Duván Zapata,COL,FW,31,1991,15.4,1,0,0,17,37,7,29,4,4,1,0,0,42,42,43,49.4,misc
ITA-Serie A,2022,Atalanta,Francesco Rossi,ITA,GK,31,1991,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,misc
ITA-Serie A,2022,Atalanta,Giorgio Scalvini,ITA,DF,18,2003,25.9,7,0,0,55,6,6,8,56,29,0,0,0,179,49,37,57.0,misc
ITA-Serie A,2022,Atalanta,Hans Hateboer,NED,DF,28,1994,15.5,7,0,0,19,3,1,23,12,13,0,0,0,50,24,14,63.2,misc
ITA-Serie A,2022,Atalanta,Jeremie Boga,CIV,"MF,FW",25,1997,8.7,0,0,0,4,17,1,55,1,5,0,0,0,34,5,4,55.6,misc
ITA-Serie A,2022,Atalanta,Joakim Mæhle,DEN,"DF,MF",25,1997,24.5,5,1,0,16,19,6,38,24,18,0,0,0,138,4,12,25.0,misc
ITA-Serie A,2022,Atalanta,José Luis Palomino,ARG,DF,32,1990,8.4,4,0,0,9,5,0,5,28,14,0,0,1,75,24,13,64.9,misc
ITA-Serie A,2022,Atalanta,Juan Musso,ARG,GK,28,1994,23.1,1,0,0,0,5,0,0,0,1,0,0,1,18,1,0,100.0,misc
ITA-Serie A,2022,Atalanta,Luis Muriel,COL,"FW,MF",31,1991,11.9,2,2,1,18,15,3,82,2,6,1,0,0,39,11,27,28.9,misc
ITA-Serie A,2022,Atalanta,Lukáš Vorlický,CZE,"MF,FW",20,2002,0.3,0,0,0,0,0,0,1,1,0,0,0,0,5,2,2,50.0,misc
ITA-Serie A,2022,Atalanta,Marco Sportiello,ITA,GK,30,1992,14.9,0,0,0,0,2,0,0,0,0,0,0,0,27,4,0,100.0,misc
ITA-Serie A,2022,Atalanta,Mario Pašalić,CRO,"MF,FW",27,1995,19.7,3,0,0,24,16,2,5,21,10,0,0,0,102,37,34,52.1,misc
ITA-Serie A,2022,Atalanta,Marten de Roon,NED,MF,31,1991,32.9,7,0,0,46,24,1,13,36,39,0,0,0,218,51,31,62.2,misc
ITA-Serie A,2022,Atalanta,Matteo Ruggeri,ITA,"DF,MF",20,2002,9.2,3,0,0,10,5,0,38,12,12,0,0,0,57,13,6,68.4,misc
ITA-Serie A,2022,Atalanta,Merih Demiral,TUR,DF,24,1998,17.1,5,0,0,13,13,1,2,24,29,0,0,0,123,52,29,64.2,misc
ITA-Serie A,2022,Atalanta,Nadir Zortea,ITA,"DF,MF",23,1999,2.5,1,0,0,4,0,0,10,0,5,0,0,0,14,5,1,83.3,misc
ITA-Serie A,2022,Atalanta,Rafael Tolói,ITA,DF,31,1990,30.9,8,0,0,38,20,3,22,57,44,0,2,0,233,43,33,56.6,misc
ITA-Serie A,2022,Atalanta,Rasmus Højlund,DEN,FW,19,2003,20.4,1,0,0,21,32,6,7,1,3,2,0,0,58,33,56,37.1,misc
ITA-Serie A,2022,Atalanta,Ruslan Malinovskyi,UKR,"MF,FW",29,1993,6.1,2,0,0,10,11,0,23,5,8,0,0,0,57,5,7,41.7,misc
ITA-Serie A,2022,Atalanta,Teun Koopmeiners,NED,MF,24,1998,31.8,7,0,0,48,27,6,158,19,26,0,0,0,193,38,23,62.3,misc
ITA-Serie A,2022,Atalanta,Tommaso De Nipoti,ITA,MF,19,2003,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0,misc
ITA-Serie A,2022,Atalanta,Éderson,BRA,MF,23,1999,24.6,4,0,0,28,43,0,15,36,34,0,1,0,168,20,21,48.8,misc
ITA-Serie A,2022,Bologna,Adama Soumaoro,FRA,DF,30,1992,20.7,5,1,1,21,12,0,0,15,17,0,0,0,96,31,15,67.4,misc
ITA-Serie A,2022,Bologna,Andrea Cambiaso,ITA,DF,22,2000,24.1,2,0,0,26,30,5,56,26,34,0,0,0,154,3,24,11.1,misc
ITA-Serie A,2022,Bologna,Antonio Raimondo,ITA,FW,18,2004,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,misc
ITA-Serie A,2022,Bologna,Charalambos Lykogiannis,GRE,DF,28,1993,12.3,3,0,0,14,11,1,69,15,8,0,0,0,54,18,16,52.9,misc
ITA-Serie A,2022,Bologna,Denso Kasius,NED,DF,19,2002,3.8,1,0,0,3,1,0,12,3,6,0,0,0,18,1,4,20.0,misc
ITA-Serie A,2022,Bologna,Emanuel Vignato,ITA,"MF,FW",21,2000,2.7,1,0,0,3,1,0,2,3,4,0,0,0,10,2,2,50.0,misc
ITA-Serie A,2022,Bologna,Francesco Bardi,ITA,GK,30,1992,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,misc
ITA-Serie A,2022,Bologna,Gary Medel,CHI,"MF,DF",34,1987,16.4,5,0,0,19,16,0,4,28,15,0,0,0,141,15,15,50.0,misc
ITA-Serie A,2022,Bologna,Giorgos Kyriakopoulos,GRE,"DF,FW",26,1996,7.8,2,0,0,9,12,0,38,4,6,0,0,0,41,5,11,31.3,misc
ITA-Serie A,2022,Bologna,Jerdy Schouten,NED,MF,25,1997,27.9,3,0,0,25,30,2,3,40,38,0,0,1,216,28,27,50.9,misc
ITA-Serie A,2022,Bologna,Jhon Lucumí,COL,DF,24,1998,32.2,8,0,0,29,18,0,1,35,37,1,4,1,204,41,30,57.7,misc
ITA-Serie A,2022,Bologna,Joaquin Sosa,URU,DF,20,2002,7.6,2,0,0,16,7,0,1,6,2,0,2,0,43,14,12,53.8,misc
ITA-Serie A,2022,Bologna,Joshua Zirkzee,NED,FW,21,2001,9.1,1,0,0,8,9,2,1,4,2,0,0,0,19,12,25,32.4,misc
ITA-Serie A,2022,Bologna,Kevin Bonifazi,ITA,DF,26,1996,10.0,2,0,0,6,1,1,2,12,8,0,0,0,61,8,17,32.0,misc
ITA-Serie A,2022,Bologna,Lewis Ferguson,SCO,"MF,FW",22,1999,25.7,4,0,0,50,41,6,13,19,25,0,0,0,106,27,36,42.9,misc
ITA-Serie A,2022,Bologna,Lorenzo De Silvestri,ITA,DF,34,1988,7.5,1,0,0,6,6,2,7,3,2,0,0,1,39,14,12,53.8,misc
ITA-Serie A,2022,Bologna,Marko Arnautović,AUT,FW,33,1989,17.0,5,0,0,22,20,11,9,2,6,0,0,0,36,10,12,45.5,misc
ITA-Serie A,2022,Bologna,Michel Aebischer,SUI,"FW,MF",25,1997,17.1,4,0,0,22,22,7,21,7,6,1,1,0,68,10,25,28.6,misc
ITA-Serie A,2022,Bologna,Musa Barrow,GAM,"FW,MF",23,1998,21.8,3,0,0,20,19,5,103,1,4,0,0,0,80,12,34,26.1,misc
ITA-Serie A,2022,Bologna,Nicola Sansone,ITA,FW,30,1991,8.2,2,0,0,13,16,11,20,0,4,2,0,0,23,0,13,0.0,misc
ITA-Serie A,2022,Bologna,Nicolás Domínguez,ARG,MF,24,1998,25.6,10,0,0,43,32,2,19,21,49,0,1,0,167,37,27,57.8,misc
ITA-Serie A,2022,Bologna,Niklas Pyyhtiä,FIN,MF,18,2003,1.2,0,0,0,0,0,0,0,1,0,0,0,0,7,1,6,14.3,misc
ITA-Serie A,2022,Bologna,Nikola Moro,CRO,MF,24,1998,13.6,1,0,0,15,11,1,18,8,21,0,0,0,97,20,11,64.5,misc
ITA-Serie A,2022,Bologna,Riccardo Orsolini,ITA,FW,25,1997,23.6,8,2,1,39,43,18,99,8,19,1,0,0,113,16,25,39.0,misc
ITA-Serie A,2022,Bologna,Roberto Soriano,ITA,"FW,MF",31,1991,14.7,1,0,0,20,33,2,11,6,16,0,0,0,77,11,16,40.7,misc
ITA-Serie A,2022,Bologna,Stefan Posch,AUT,DF,25,1997,28.1,6,0,0,47,28,1,49,35,43,0,0,0,157,27,28,49.1,misc
ITA-Serie A,2022,Bologna,Łukasz Skorupski,POL,GK,31,1991,37.0,4,0,0,1,7,0,0,0,1,0,1,0,53,6,1,85.7,misc
ITA-Serie A,2022,Cremonese,Alberto Basso,ITA,MF,18,2004,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,misc
ITA-Serie A,2022,Cremonese,Alex Ferrari,ITA,DF,28,1994,11.2,3,0,0,8,13,0,6,25,23,0,0,0,70,15,6,71.4,misc
ITA-Serie A,2022,Cremonese,Charles Pickel,COD,MF,25,1997,27.6,8,1,0,34,18,4,11,24,23,0,0,0,163,47,76,38.2,misc
ITA-Serie A,2022,Cremonese,Christian Acella,ITA,MF,20,2002,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,misc
ITA-Serie A,2022,Cremonese,Cristian Buonaiuto,ITA,"MF,FW",29,1992,10.9,3,0,0,17,23,1,70,14,16,1,0,0,65,6,22,21.4,misc
ITA-Serie A,2022,Cremonese,Cyriel Dessers,NGA,FW,27,1994,17.6,3,0,0,34,14,24,8,3,4,0,0,0,30,16,48,25.0,misc
ITA-Serie A,2022,Cremonese,Daniel Ciofani,ITA,FW,37,1985,11.8,1,0,0,9,15,6,2,2,3,0,0,0,28,35,67,34.3,misc
ITA-Serie A,2022,Cremonese,David Okereke,NGA,"FW,MF",24,1997,25.2,4,0,0,21,33,9,22,10,8,3,1,0,60,49,85,36.6,misc
ITA-Serie A,2022,Cremonese,Emanuel Aiwum,AUT,DF,21,2000,18.4,3,0,0,21,15,0,4,25,34,0,0,0,121,28,17,62.2,misc
ITA-Serie A,2022,Cremonese,Emanuele Valeri,ITA,DF,23,1998,30.9,3,0,0,27,37,5,147,22,27,0,0,0,190,13,26,33.3,misc
ITA-Serie A,2022,Cremonese,Felix Afena-Gyan,GHA,"FW,MF",19,2003,9.1,4,0,0,18,11,6,4,1,3,0,0,0,39,17,42,28.8,misc
ITA-Serie A,2022,Cremonese,Frank Tsadjout,ITA,FW,23,1999,11.7,1,0,0,22,18,4,4,8,8,0,0,0,39,59,60,49.6,misc
ITA-Serie A,2022,Cremonese,Giacomo Quagliata,ITA,DF,22,2000,7.8,0,1,0,13,12,0,54,11,8,0,0,0,57,2,14,12.5,misc
ITA-Serie A,2022,Cremonese,Gonzalo Escalante,ARG,MF,29,1993,6.2,0,1,0,6,5,0,1,10,8,0,0,0,39,9,9,50.0,misc
ITA-Serie A,2022,Cremonese,Ionuț Radu,ROU,GK,25,1997,9.0,0,0,0,0,1,0,0,0,0,0,0,0,11,3,1,75.0,misc
ITA-Serie A,2022,Cremonese,Jack Hendry,SCO,DF,27,1995,2.4,1,0,0,2,1,0,1,1,0,0,0,0,14,8,3,72.7,misc
ITA-Serie A,2022,Cremonese,Jaime Báez,URU,DF,27,1995,1.1,0,0,0,1,1,1,9,0,2,0,0,0,5,1,0,100.0,misc
ITA-Serie A,2022,Cremonese,Johan Vásquez,MEX,DF,23,1998,20.1,7,0,0,21,19,0,4,45,26,0,0,0,129,35,44,44.3,misc
ITA-Serie A,2022,Cremonese,Leonardo Sernicola,ITA,DF,25,1997,25.7,11,0,0,40,43,3,118,38,33,0,1,0,136,29,21,58.0,misc
ITA-Serie A,2022,Cremonese,Luca Zanimacchia,ITA,"MF,FW",24,1998,8.3,2,0,0,9,10,2,46,9,13,1,0,0,48,3,10,23.1,misc
ITA-Serie A,2022,Cremonese,Luka Lochoshvili,GEO,DF,24,1998,20.4,4,0,0,27,9,1,6,22,19,0,1,0,88,38,32,54.3,misc
ITA-Serie A,2022,Cremonese,Marco Benassi,ITA,MF,27,1994,11.1,1,0,0,10,6,0,24,12,15,0,0,0,71,5,15,25.0,misc
ITA-Serie A,2022,Cremonese,Marco Carnesecchi,ITA,GK,22,2000,27.0,1,0,0,0,5,0,0,0,1,0,0,0,29,5,2,71.4,misc
ITA-Serie A,2022,Cremonese,Matteo Bianchetti,ITA,DF,29,1993,23.7,5,0,0,18,10,0,3,20,19,0,1,0,137,63,40,61.2,misc
ITA-Serie A,2022,Cremonese,Michele Castagnetti,ITA,MF,32,1989,15.7,2,0,0,16,12,0,38,15,21,0,0,0,99,9,14,39.1,misc
ITA-Serie A,2022,Cremonese,Mouhamadou Sarr,SEN,GK,25,1997,2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0,misc
ITA-Serie A,2022,Cremonese,Pablo Galdames Millán,CHI,MF,25,1996,8.2,2,0,0,13,4,0,22,10,10,0,0,0,43,4,6,40.0,misc
ITA-Serie A,2022,Cremonese,Paolo Ghiglione,ITA,DF,25,1997,7.9,4,0,0,16,7,2,39,4,11,0,1,0,42,5,8,38.5,misc
ITA-Serie A,2022,Cremonese,Samuel Di Carmine,ITA,"FW,MF",33,1988,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0.0,misc
ITA-Serie A,2022,Cremonese,Santiago Ascacíbar,ARG,MF,25,1997,8.1,1,0,0,11,9,0,5,13,14,0,0,0,62,10,20,33.3,misc
ITA-Serie A,2022,Cremonese,Soualiho Meïté,FRA,MF,28,1994,26.3,5,0,0,27,47,0,9,27,31,0,0,0,174,28,17,62.2,misc
ITA-Serie A,2022,Cremonese,Tommaso Milanese,ITA,MF,20,2002,0.3,0,0,0,1,1,0,2,0,0,0,0,0,0,0,1,0.0,misc
ITA-Serie A,2022,Cremonese,Vlad Chiricheș,ROU,DF,32,1989,10.9,2,0,0,16,8,0,0,22,20,0,0,1,67,18,22,45.0,misc
ITA-Serie A,2022,Empoli,Alberto Grassi,ITA,MF,27,1995,13.3,3,0,0,22,13,0,0,27,21,0,0,0,91,26,11,70.3,misc
ITA-Serie A,2022,Empoli,Ardian Ismajli,ALB,DF,25,1996,23.3,3,0,0,19,13,0,0,27,32,0,0,1,93,57,41,58.2,misc
ITA-Serie A,2022,Empoli,Duccio Degl'Innocenti,ITA,MF,19,2003,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,misc
