league,season,team,player,nation,pos,age,born,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,stat_type
ESP-La Liga,2023,Alavés,Abderrahman Rebbach,ALG,"FW,MF",24.0,1998.0,8.0,1,0,0,13,10,3,63,3,5,0,0,0,31,7,13,35.0,misc
ESP-La Liga,2023,Alavés,Aleksandar Sedlar,SRB,DF,31.0,1991.0,10.5,2,0,0,14,4,1,0,13,10,0,1,0,49,17,18,48.6,misc
ESP-La Liga,2023,Alavés,Alex Sola,ESP,"FW,MF",24.0,1999.0,14.0,2,0,0,11,28,10,84,11,15,0,1,0,79,16,18,47.1,misc
ESP-La Liga,2023,Alavés,Ander Guevara,ESP,MF,26.0,1997.0,32.6,7,0,0,48,30,0,8,13,32,1,0,0,218,45,41,52.3,misc
ESP-La Liga,2023,Alavés,Andoni Gorosabel,ESP,DF,26.0,1996.0,31.7,6,0,0,29,41,0,81,28,42,1,1,0,164,25,57,30.5,misc
ESP-La Liga,2023,Alavés,Antonio Blanco,ESP,MF,23.0,2000.0,27.0,5,1,0,36,40,0,15,35,36,0,0,0,160,21,18,53.8,misc
ESP-La Liga,2023,Alavés,Antonio Sivera,ESP,GK,26.0,1996.0,34.0,3,0,0,0,2,0,0,0,0,0,0,0,23,7,1,87.5,misc
ESP-La Liga,2023,Alavés,Carlos Benavídez,URU,MF,25.0,1998.0,12.6,5,0,0,38,9,1,4,19,35,0,2,0,72,35,30,53.8,misc
ESP-La Liga,2023,Alavés,Carlos Vicente,ESP,FW,24.0,1999.0,12.4,1,0,0,18,25,9,90,4,6,0,0,0,47,22,26,45.8,misc
ESP-La Liga,2023,Alavés,Eneko Ortiz,ESP,DF,20.0,2003.0,0.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,misc
ESP-La Liga,2023,Alavés,Giuliano Simeone,ARG,FW,20.0,2002.0,7.0,1,0,0,11,6,2,14,5,5,1,0,0,37,2,10,16.7,misc
ESP-La Liga,2023,Alavés,Ianis Hagi,ROU,"MF,FW",24.0,1998.0,8.9,3,0,0,13,19,1,54,5,12,0,0,0,33,13,11,54.2,misc
ESP-La Liga,2023,Alavés,Javi López,ESP,DF,21.0,2002.0,26.5,3,0,0,25,29,1,105,10,12,0,1,0,123,28,22,56.0,misc
ESP-La Liga,2023,Alavés,Jesús Owono,EQG,GK,22.0,2001.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0,11,2,0,100.0,misc
ESP-La Liga,2023,Alavés,Joaquín Panichelli,ARG,"FW,MF",20.0,2002.0,2.5,0,0,0,8,4,1,0,1,3,0,0,0,10,17,5,77.3,misc
ESP-La Liga,2023,Alavés,Jon Guridi,ESP,MF,28.0,1995.0,29.8,2,0,0,21,30,2,21,22,24,0,0,0,131,45,47,48.9,misc
ESP-La Liga,2023,Alavés,Jon Karrikaburu,ESP,"MF,FW",20.0,2002.0,0.2,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,,misc
ESP-La Liga,2023,Alavés,Kiké,ESP,"FW,MF",33.0,1989.0,15.8,3,0,0,25,36,7,10,1,4,2,0,0,52,50,63,44.2,misc
ESP-La Liga,2023,Alavés,Luis Rioja,ESP,"FW,MF",29.0,1993.0,27.8,4,0,0,22,18,10,174,16,19,1,0,0,128,10,23,30.3,misc
ESP-La Liga,2023,Alavés,Mamadou Sylla,SEN,"FW,MF",29.0,1994.0,0.2,0,0,0,1,2,0,0,0,0,0,0,0,1,3,3,50.0,misc
ESP-La Liga,2023,Alavés,Miguel,ESP,"FW,MF",23.0,1999.0,0.7,0,0,0,2,3,0,0,0,0,0,0,0,3,1,2,33.3,misc
ESP-La Liga,2023,Alavés,Nahuel Tenaglia,ARG,DF,27.0,1996.0,12.7,5,0,0,13,14,2,17,12,19,0,0,0,47,25,18,58.1,misc
ESP-La Liga,2023,Alavés,Rafa Marín,ESP,DF,21.0,2002.0,27.1,6,0,0,28,16,0,1,33,20,0,0,1,117,56,43,56.6,misc
ESP-La Liga,2023,Alavés,Rubén Duarte,ESP,DF,27.0,1995.0,20.9,7,0,0,31,30,0,70,23,20,0,0,0,93,27,26,50.9,misc
ESP-La Liga,2023,Alavés,Samu Omorodion,ESP,FW,19.0,2004.0,21.3,6,0,0,30,30,16,2,1,3,1,0,0,46,59,89,39.9,misc
ESP-La Liga,2023,Alavés,Tomás Mendes,ESP,MF,18.0,2004.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,misc
ESP-La Liga,2023,Alavés,Unai Ropero,ESP,MF,21.0,2001.0,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,misc
ESP-La Liga,2023,Alavés,Victor Parada,ESP,"FW,MF",21.0,2002.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,misc
ESP-La Liga,2023,Alavés,Xeber,ESP,"FW,MF",26.0,1997.0,3.4,1,0,0,9,0,1,14,1,5,0,0,0,19,2,5,28.6,misc
ESP-La Liga,2023,Almería,Adri Embarba,ESP,"FW,MF",31.0,1992.0,27.5,5,0,0,37,40,16,171,15,37,0,0,0,141,25,43,36.8,misc
ESP-La Liga,2023,Almería,Alejandro Pozo Pozo,ESP,"DF,MF",24.0,1999.0,10.8,3,0,0,16,6,0,41,7,12,0,0,0,50,5,9,35.7,misc
ESP-La Liga,2023,Almería,Aleksandar Radovanović,SRB,DF,29.0,1993.0,6.3,2,0,0,7,2,0,0,11,7,0,0,0,13,14,9,60.9,misc
ESP-La Liga,2023,Almería,Anthony Lozano,HON,FW,30.0,1993.0,8.6,1,0,0,22,20,5,4,2,5,1,0,0,20,21,44,32.3,misc
ESP-La Liga,2023,Almería,Arnau Puigmal,ESP,"FW,DF",22.0,2001.0,2.8,3,0,0,7,4,0,14,3,1,0,1,0,16,1,3,25.0,misc
ESP-La Liga,2023,Almería,Bruno Langa,MOZ,DF,25.0,1997.0,9.1,1,1,0,4,12,0,16,4,12,0,0,0,37,2,6,25.0,misc
ESP-La Liga,2023,Almería,Chumi,ESP,DF,24.0,1999.0,27.0,4,0,0,23,8,0,2,14,22,0,1,0,93,43,31,58.1,misc
ESP-La Liga,2023,Almería,César Montes,MEX,DF,26.0,1997.0,19.9,5,0,0,22,11,2,3,11,13,0,0,0,64,59,24,71.1,misc
ESP-La Liga,2023,Almería,Diego Mariño,ESP,GK,33.0,1990.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,misc
ESP-La Liga,2023,Almería,Dion Lopy,SEN,MF,21.0,2002.0,21.3,5,0,0,30,40,0,7,15,37,0,0,0,149,31,12,72.1,misc
ESP-La Liga,2023,Almería,Fernando,ESP,GK,33.0,1990.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,100.0,misc
ESP-La Liga,2023,Almería,Gonzalo Melero,ESP,"MF,FW",29.0,1994.0,12.3,3,0,0,21,17,1,4,4,8,0,0,0,41,19,22,46.3,misc
ESP-La Liga,2023,Almería,Houboulang Mendes,GNB,DF,25.0,1998.0,4.4,0,0,0,6,10,1,4,1,13,0,0,0,23,7,5,58.3,misc
ESP-La Liga,2023,Almería,Ibrahima Koné,MLI,FW,24.0,1999.0,3.1,0,0,0,3,4,6,2,0,0,0,0,0,7,9,10,47.4,misc
ESP-La Liga,2023,Almería,Iddrisu Baba,GHA,MF,27.0,1996.0,15.9,5,0,0,29,34,0,4,11,26,0,1,0,123,30,17,63.8,misc
ESP-La Liga,2023,Almería,Jonathan Viera,ESP,MF,33.0,1989.0,10.1,3,1,1,10,16,4,6,4,9,0,0,0,36,3,6,33.3,misc
ESP-La Liga,2023,Almería,Kaiky,BRA,DF,19.0,2004.0,5.8,2,0,0,7,0,0,1,3,4,0,1,0,14,11,11,50.0,misc
ESP-La Liga,2023,Almería,Largie Ramazani,BEL,"FW,MF",22.0,2001.0,17.3,11,2,2,27,24,9,32,34,7,1,0,0,81,5,25,16.7,misc
ESP-La Liga,2023,Almería,Lucas Robertone,ARG,MF,26.0,1997.0,26.5,11,0,0,38,54,2,67,51,33,0,0,0,163,38,29,56.7,misc
ESP-La Liga,2023,Almería,Luis Javier Suárez,COL,FW,25.0,1997.0,10.2,3,0,0,18,18,4,7,0,5,0,0,0,17,10,33,23.3,misc
ESP-La Liga,2023,Almería,Luka Romero,ARG,FW,18.0,2004.0,4.9,2,0,0,8,11,0,2,1,1,0,0,0,22,2,6,25.0,misc
ESP-La Liga,2023,Almería,Luís Maximiano,POR,GK,24.0,1999.0,33.0,1,0,0,1,3,0,0,0,0,0,1,0,42,4,0,100.0,misc
ESP-La Liga,2023,Almería,Lázaro,BRA,"FW,MF",21.0,2002.0,3.2,0,0,0,3,7,2,12,1,1,0,0,0,13,4,11,26.7,misc
ESP-La Liga,2023,Almería,Léo Baptistão,BRA,FW,30.0,1992.0,20.4,6,1,0,21,29,13,27,11,16,0,0,0,85,48,70,40.7,misc
ESP-La Liga,2023,Almería,Marc Pubill,ESP,DF,20.0,2003.0,20.9,2,0,0,21,34,0,68,15,23,0,0,0,93,25,20,55.6,misc
ESP-La Liga,2023,Almería,Marciano Tchami,GNB,"FW,MF",19.0,2004.0,0.5,0,0,0,0,0,0,1,0,0,0,0,0,2,4,4,50.0,misc
ESP-La Liga,2023,Almería,Marcos Peña,ESP,MF,18.0,2005.0,4.9,3,0,0,8,4,0,0,13,14,0,0,0,26,3,4,42.9,misc
ESP-La Liga,2023,Almería,Marko Milovanović,SRB,"FW,MF",19.0,2003.0,3.4,0,0,0,15,6,4,1,0,4,0,0,0,9,13,23,36.1,misc
ESP-La Liga,2023,Almería,Paco Sanz,ESP,DF,18.0,2004.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,misc
ESP-La Liga,2023,Almería,Rachad Fettal,MAR,FW,18.0,2005.0,0.2,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,100.0,misc
ESP-La Liga,2023,Almería,Sergio Akieme,ESP,DF,25.0,1997.0,18.6,2,0,0,18,17,1,57,10,15,0,2,0,99,10,15,40.0,misc
ESP-La Liga,2023,Almería,Sergio Arribas,ESP,"MF,FW",21.0,2001.0,22.7,1,0,0,14,42,1,60,16,17,0,0,0,91,19,24,44.2,misc
