league,season,team,player,nation,pos,age,born,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,stat_type
GER-Bundesliga,2023,Augsburg,Arne Maier,GER,MF,24.0,1999.0,11.1,2,22,5,22.7,1.97,0.45,0.09,0.4,22.2,3,0,0,1.5,1.5,0.07,0.5,0.5,shooting
GER-Bundesliga,2023,Augsburg,Dion Drena Beljo,CRO,"FW,MF",21.0,2002.0,6.5,2,19,7,36.8,2.94,1.08,0.11,0.29,13.4,0,0,0,3.0,3.0,0.16,-1.0,-1.0,shooting
GER-Bundesliga,2023,Augsburg,Elvis Rexhbeçaj,KVX,MF,25.0,1997.0,22.1,2,28,3,10.7,1.27,0.14,0.04,0.33,24.3,0,1,1,1.7,1.0,0.03,0.3,0.0,shooting
GER-Bundesliga,2023,Augsburg,Ermedin Demirović,BIH,"FW,MF",25.0,1998.0,31.9,15,77,32,41.6,2.41,1.0,0.16,0.38,14.0,0,3,4,13.5,10.3,0.13,1.5,1.7,shooting
GER-Bundesliga,2023,Augsburg,Finn Dahmen,GER,GK,25.0,1998.0,31.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
GER-Bundesliga,2023,Augsburg,Fredrik Jensen,FIN,"MF,FW",25.0,1997.0,14.9,2,14,5,35.7,0.94,0.34,0.14,0.4,18.9,0,0,0,0.9,0.9,0.06,1.1,1.1,shooting
GER-Bundesliga,2023,Augsburg,Iago,BRA,DF,26.0,1997.0,18.0,1,18,7,38.9,1.0,0.39,0.06,0.14,16.5,0,0,0,1.4,1.4,0.08,-0.4,-0.4,shooting
GER-Bundesliga,2023,Augsburg,Irvin Cardona,FRA,"MF,DF",25.0,1997.0,0.6,0,3,0,0.0,5.0,0.0,0.0,,14.7,0,0,0,0.2,0.2,0.07,-0.2,-0.2,shooting
GER-Bundesliga,2023,Augsburg,Jeffrey Gouweleeuw,NED,DF,32.0,1991.0,28.8,1,23,3,13.0,0.8,0.1,0.04,0.33,15.9,0,0,0,1.3,1.3,0.06,-0.3,-0.3,shooting
GER-Bundesliga,2023,Augsburg,Kevin Mbabu,SUI,DF,28.0,1995.0,22.7,0,4,1,25.0,0.18,0.04,0.0,0.0,17.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1,shooting
GER-Bundesliga,2023,Augsburg,Kristijan Jakić,CRO,MF,26.0,1997.0,11.7,2,13,5,38.5,1.11,0.43,0.15,0.4,23.9,0,0,0,0.8,0.8,0.06,1.2,1.2,shooting
GER-Bundesliga,2023,Augsburg,Mads Pedersen,DEN,DF,26.0,1996.0,19.8,1,13,1,7.7,0.66,0.05,0.08,1.0,19.0,0,0,0,0.8,0.8,0.06,0.2,0.2,shooting
GER-Bundesliga,2023,Augsburg,Mahmut Kücüksahin,,MF,19.0,2004.0,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
GER-Bundesliga,2023,Augsburg,Masaya Okugawa,JPN,"FW,DF",27.0,1996.0,0.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
GER-Bundesliga,2023,Augsburg,Maximilian Bauer,GER,DF,23.0,2000.0,9.0,1,4,1,25.0,0.44,0.11,0.25,1.0,5.2,0,0,0,1.4,1.4,0.34,-0.4,-0.4,shooting
GER-Bundesliga,2023,Augsburg,Mergim Berisha,GER,FW,25.0,1998.0,1.4,0,5,0,0.0,3.69,0.0,0.0,,30.7,1,0,0,0.2,0.2,0.03,-0.2,-0.2,shooting
GER-Bundesliga,2023,Augsburg,Mert Kömür,GER,"MF,DF",18.0,2005.0,1.3,1,2,1,50.0,1.53,0.76,0.5,1.0,16.0,0,0,0,0.2,0.2,0.1,0.8,0.8,shooting
GER-Bundesliga,2023,Augsburg,Nathanael Mbuku,COD,FW,21.0,2002.0,0.1,0,1,0,0.0,18.0,0.0,0.0,,23.7,0,0,0,0.0,0.0,0.03,0.0,0.0,shooting
GER-Bundesliga,2023,Augsburg,Niklas Dorsch,GER,MF,25.0,1998.0,15.4,0,14,0,0.0,0.91,0.0,0.0,,25.1,2,0,0,0.7,0.7,0.05,-0.7,-0.7,shooting
GER-Bundesliga,2023,Augsburg,Ohis Felix Uduokhai,GER,DF,25.0,1997.0,32.5,2,13,3,23.1,0.4,0.09,0.15,0.67,9.2,0,0,0,1.4,1.4,0.11,0.6,0.6,shooting
GER-Bundesliga,2023,Augsburg,Patric Pfeiffer,GER,DF,23.0,1999.0,5.7,0,11,0,0.0,1.94,0.0,0.0,,17.9,0,0,0,0.5,0.5,0.04,-0.5,-0.5,shooting
GER-Bundesliga,2023,Augsburg,Pep Biel,ESP,"MF,FW",26.0,1996.0,3.2,0,6,1,16.7,1.89,0.32,0.0,0.0,15.0,0,0,0,1.0,1.0,0.17,-1.0,-1.0,shooting
GER-Bundesliga,2023,Augsburg,Phillip Tietz,GER,FW,26.0,1997.0,26.5,8,52,18,34.6,1.96,0.68,0.15,0.44,15.1,1,0,0,8.2,8.2,0.16,-0.2,-0.2,shooting
GER-Bundesliga,2023,Augsburg,Robert Gumny,POL,DF,25.0,1998.0,5.3,0,3,1,33.3,0.56,0.19,0.0,0.0,13.4,0,0,0,0.2,0.2,0.07,-0.2,-0.2,shooting
GER-Bundesliga,2023,Augsburg,Ruben Vargas,SUI,"MF,FW",24.0,1998.0,21.8,4,49,17,34.7,2.25,0.78,0.08,0.24,17.4,3,0,0,3.9,3.9,0.08,0.1,0.1,shooting
GER-Bundesliga,2023,Augsburg,Sven Michel,GER,"FW,MF",33.0,1990.0,6.5,2,12,5,41.7,1.85,0.77,0.08,0.2,20.7,0,1,2,2.4,0.8,0.07,-0.4,0.2,shooting
GER-Bundesliga,2023,Augsburg,Tim Breithaupt,GER,MF,21.0,2002.0,7.0,0,3,0,0.0,0.43,0.0,0.0,,27.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1,shooting
GER-Bundesliga,2023,Augsburg,Tomáš Koubek,CZE,GK,30.0,1992.0,3.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
GER-Bundesliga,2023,Bayern Munich,Aleksandar Pavlovic,GER,MF,19.0,2004.0,13.6,2,8,2,25.0,0.59,0.15,0.25,1.0,16.0,0,0,0,1.2,1.2,0.15,0.8,0.8,shooting
GER-Bundesliga,2023,Bayern Munich,Alphonso Davies,CAN,DF,22.0,2000.0,22.9,2,13,4,30.8,0.57,0.17,0.15,0.5,22.2,0,0,0,1.0,1.0,0.08,1.0,1.0,shooting
GER-Bundesliga,2023,Bayern Munich,Bouna Sarr,SEN,DF,31.0,1992.0,1.2,0,1,1,100.0,0.85,0.85,0.0,0.0,5.0,0,0,0,0.2,0.2,0.22,-0.2,-0.2,shooting
GER-Bundesliga,2023,Bayern Munich,Bryan Zaragoza,ESP,"FW,MF",22.0,2001.0,2.0,0,7,4,57.1,3.44,1.97,0.0,0.0,15.4,0,0,0,0.5,0.5,0.07,-0.5,-0.5,shooting
GER-Bundesliga,2023,Bayern Munich,Daniel Peretz,ISR,GK,23.0,2000.0,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
GER-Bundesliga,2023,Bayern Munich,Dayot Upamecano,FRA,DF,24.0,1998.0,19.6,1,11,4,36.4,0.56,0.2,0.09,0.25,10.5,0,0,0,1.7,1.7,0.15,-0.7,-0.7,shooting
GER-Bundesliga,2023,Bayern Munich,Eric Dier,ENG,DF,29.0,1994.0,13.0,0,9,3,33.3,0.69,0.23,0.0,0.0,10.3,0,0,0,0.7,0.7,0.07,-0.7,-0.7,shooting
GER-Bundesliga,2023,Bayern Munich,Eric Maxim Choupo-Moting,CMR,"MF,FW",34.0,1989.0,8.0,2,26,11,42.3,3.26,1.38,0.08,0.18,12.5,0,0,0,4.5,4.5,0.17,-2.5,-2.5,shooting
GER-Bundesliga,2023,Bayern Munich,Frans Krätzig,GER,DF,20.0,2003.0,0.6,0,2,2,100.0,3.21,3.21,0.0,0.0,19.4,0,0,0,0.3,0.3,0.13,-0.3,-0.3,shooting
GER-Bundesliga,2023,Bayern Munich,Harry Kane,ENG,FW,30.0,1993.0,31.5,36,141,61,43.3,4.47,1.93,0.22,0.51,14.4,4,5,5,30.6,26.7,0.19,5.4,4.3,shooting
