league,season,team,player,nation,pos,age,born,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,stat_type
GER-Bundesliga,2024,Augsburg,Arne Engels,BEL,"MF,FW",21-215,2003.0,0.9,32,1,1,14,17,2,32,1,0,0.0,1,100.0,17,75,38,1,3,0,0,0,24,5,possession
GER-Bundesliga,2024,Augsburg,Arne Maier,GER,MF,26-093,1999.0,9.2,608,15,95,292,226,17,608,13,5,38.5,8,61.5,334,1424,650,14,14,5,19,8,388,43,possession
GER-Bundesliga,2024,Augsburg,Cedric Zesiger,SUI,DF,26-291,1998.0,9.1,495,72,237,216,43,5,495,4,1,25.0,3,75.0,252,1093,478,4,6,0,7,3,254,4,possession
GER-Bundesliga,2024,Augsburg,Chrislain Matsima,FRA,DF,22-331,2002.0,22.3,1270,178,547,634,103,16,1270,10,6,60.0,3,30.0,676,2899,1439,11,14,2,18,9,714,9,possession
GER-Bundesliga,2024,Augsburg,Dimitris Giannoulis,GRE,DF,29-176,1995.0,23.8,1410,67,383,566,479,42,1410,57,22,38.6,31,54.4,643,3072,1670,42,33,8,44,9,743,114,possession
GER-Bundesliga,2024,Augsburg,Elvis Rexhbeçaj,KVX,MF,27-161,1997.0,18.5,809,30,134,372,312,25,809,30,10,33.3,16,53.3,418,1847,863,27,21,7,26,24,488,72,possession
GER-Bundesliga,2024,Augsburg,Finn Dahmen,GER,GK,27-015,1998.0,13.0,550,374,534,16,0,0,550,0,0,,0,,335,1748,995,0,0,0,0,0,292,0,possession
GER-Bundesliga,2024,Augsburg,Frank Onyeka,NGA,MF,27-100,1998.0,23.1,1051,49,202,587,285,33,1051,41,15,36.6,17,41.5,582,3238,1402,35,28,8,40,27,624,58,possession
GER-Bundesliga,2024,Augsburg,Fredrik Jensen,FIN,MF,27-214,1997.0,7.2,267,14,39,103,129,22,267,13,7,53.8,6,46.2,159,767,329,15,6,3,12,8,191,47,possession
GER-Bundesliga,2024,Augsburg,Henri Koudossou,GER,DF,25-220,1999.0,6.9,379,28,126,149,106,8,379,14,7,50.0,6,42.9,162,823,371,12,9,2,12,1,181,35,possession
