league,season,team,player,nation,pos,age,born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,stat_type
ITA-Serie A,2024,Atalanta,Alberto Manzoni,ITA,MF,19-290,2005,1,0,6,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.94,0.0,0.94,0.94,0.94,standard
ITA-Serie A,2024,Atalanta,Ben Godfrey,ENG,DF,27-086,1998,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard
ITA-Serie A,2024,Atalanta,Berat Djimsiti,ALB,DF,32-051,1993,28,26,2147,23.9,1,2,3,1,0,0,4,0,2.4,2.4,1.3,3.7,27,91,33,0.04,0.08,0.13,0.04,0.13,0.1,0.05,0.15,0.1,0.15,standard
ITA-Serie A,2024,Atalanta,Charles De Ketelaere,BEL,"MF,FW",24-032,2001,30,22,1795,19.9,5,5,10,5,0,0,1,0,5.1,5.1,5.3,10.4,91,114,182,0.25,0.25,0.5,0.25,0.5,0.25,0.27,0.52,0.25,0.52,standard
ITA-Serie A,2024,Atalanta,Daniel Maldini,ITA,"FW,MF",23-182,2001,4,0,100,1.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,4,2,9,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08,standard
ITA-Serie A,2024,Atalanta,Davide Zappacosta,ITA,DF,32-304,1992,24,21,1638,18.2,4,2,6,4,0,0,1,0,1.9,1.9,1.9,3.8,53,82,113,0.22,0.11,0.33,0.22,0.33,0.11,0.1,0.21,0.11,0.21,standard
ITA-Serie A,2024,Atalanta,Federico Cassa,ITA,"MF,FW",19-069,2006,2,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard
ITA-Serie A,2024,Atalanta,Gianluca Scamacca,ITA,FW,26-100,1999,1,0,6,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,1.29,0.0,1.29,1.29,1.29,standard
ITA-Serie A,2024,Atalanta,Giorgio Scalvini,ITA,DF,21-121,2003,6,4,272,3.0,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,5,20,7,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,standard
ITA-Serie A,2024,Atalanta,Ibrahim Sulemana,GHA,MF,21-324,2003,5,1,122,1.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard
ITA-Serie A,2024,Atalanta,Isak Hien,SWE,DF,26-088,1999,25,22,1877,20.9,0,0,0,0,0,0,8,0,0.8,0.8,0.1,0.8,5,42,1,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,standard
ITA-Serie A,2024,Atalanta,Juan Cuadrado,COL,"DF,MF",36-320,1988,18,6,685,7.6,0,2,2,0,0,0,1,0,0.8,0.7,1.4,2.1,36,48,71,0.0,0.26,0.26,0.0,0.26,0.1,0.18,0.28,0.1,0.28,standard
ITA-Serie A,2024,Atalanta,Juan Musso,ARG,GK,30-340,1994,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard
