league,season,team,player,nation,pos,age,born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,stat_type,nation_shooting,pos_shooting,age_shooting,born_shooting,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG_shooting,Expected npxG_shooting,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,stat_type_shooting,nation_misc,pos_misc,age_misc,born_misc,90s_misc,Performance CrdY_misc,Performance CrdR_misc,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,stat_type_misc,nation_defense,pos_defense,age_defense,born_defense,90s_defense,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,stat_type_defense,nation_passing,pos_passing,age_passing,born_passing,90s_passing,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,stat_type_passing,nation_possession,pos_possession,age_possession,born_possession,90s_possession,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,stat_type_possession
ESP-La Liga,2020,Granada,Aarón Escandell,ESP,GK,24,1995,5,5,450,5.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ESP,GK,24,1995,5.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,ESP,GK,24,1995,5.0,1,0,0,0,0,0,0,0,1,0,0,0,12,1,0,100.0,misc,ESP,GK,24,1995,5.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,6,0,defense,ESP,GK,24,1995,5.0,78,159,49.1,3096,2637,7,7,100.0,28,29,96.6,43,122,35.2,0,0.0,0.0,0.0,0,11,0,0,0,passing,ESP,GK,24,1995,5.0,176,133,174,2,0,0,176,0,0,,0,,79,522,309,0,0,0,0,0,49,0,possession
ESP-La Liga,2020,Celta Vigo,Aarón Martín,ESP,DF,23,1997,19,17,1540,17.1,0,3,3,0,0,0,1,0,0.2,0.2,0.8,1.0,32,42,86,0.0,0.18,0.18,0.0,0.18,0.01,0.05,0.06,0.01,0.06,standard,ESP,DF,23,1997,17.1,0,5,1,20.0,0.29,0.06,0.0,0.0,22.4,0,0,0,0.2,0.2,0.03,-0.2,-0.2,shooting,ESP,DF,23,1997,17.1,1,0,0,25,15,3,54,13,20,0,0,0,72,15,19,44.1,misc,ESP,DF,23,1997,17.1,34,20,15,16,3,10,33,30.3,23,15,4,11,13,47,37,0,defense,ESP,DF,23,1997,17.1,675,866,77.9,10129,3019,373,407,91.6,245,319,76.8,35,93,37.6,3,0.8,1.0,2.2,6,29,7,3,42,passing,ESP,DF,23,1997,17.1,1015,52,312,461,253,16,1015,25,17,68.0,8,32.0,517,2261,1121,32,24,3,14,7,603,86,possession
ESP-La Liga,2020,Getafe,Abdoulay Diaby,MLI,DF,29,1991,1,0,18,0.2,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.3,2,0,4,0.0,0.0,0.0,0.0,0.0,1.31,0.34,1.65,1.31,1.65,standard,MLI,DF,29,1991,0.2,0,1,0,0.0,5.0,0.0,0.0,,15.0,0,0,0,0.3,0.3,0.26,-0.3,-0.3,shooting,MLI,DF,29,1991,0.2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0.0,misc,MLI,DF,29,1991,0.2,2,0,0,2,0,0,0,,0,2,0,2,0,2,0,0,defense,MLI,DF,29,1991,0.2,5,10,50.0,38,7,5,6,83.3,0,1,0.0,0,2,0.0,0,0.1,0.1,-0.1,1,0,0,0,0,passing,MLI,DF,29,1991,0.2,17,0,0,3,14,4,17,1,0,0.0,1,100.0,10,94,50,2,1,0,0,1,11,4,possession
ESP-La Liga,2020,Real Sociedad,Adnan Januzaj,BEL,"FW,MF",25,1995,27,12,1014,11.3,4,5,9,1,3,3,2,0,5.0,2.6,4.0,6.6,45,67,116,0.36,0.44,0.8,0.09,0.53,0.44,0.35,0.79,0.23,0.58,standard,BEL,"FW,MF",25,1995,11.3,4,29,9,31.0,2.57,0.8,0.03,0.11,22.1,4,3,3,5.0,2.6,0.09,-1.0,-1.6,shooting,BEL,"FW,MF",25,1995,11.3,2,0,0,8,36,2,73,3,8,1,0,0,60,8,11,42.1,misc,BEL,"FW,MF",25,1995,11.3,9,8,0,6,3,3,8,37.5,5,7,2,5,3,12,4,0,defense,BEL,"FW,MF",25,1995,11.3,397,567,70.0,6787,2355,208,239,87.0,123,160,76.9,48,107,44.9,5,4.0,4.2,1.0,23,28,34,4,67,passing,BEL,"FW,MF",25,1995,11.3,718,4,44,303,387,38,715,67,45,67.2,22,32.8,484,3075,1574,45,39,10,36,22,557,116,possession
ESP-La Liga,2020,Osasuna,Adrián López,ESP,"FW,MF",32,1988,17,5,481,5.3,1,1,2,1,0,0,0,0,1.4,1.4,0.2,1.6,12,23,43,0.19,0.19,0.37,0.19,0.37,0.27,0.03,0.3,0.27,0.3,standard,ESP,"FW,MF",32,1988,5.3,1,10,2,20.0,1.87,0.37,0.1,0.5,14.2,0,0,0,1.4,1.4,0.14,-0.4,-0.4,shooting,ESP,"FW,MF",32,1988,5.3,0,0,0,4,4,4,5,0,3,0,0,0,22,17,29,37.0,misc,ESP,"FW,MF",32,1988,5.3,3,3,0,1,2,1,5,20.0,4,3,0,3,0,3,3,0,defense,ESP,"FW,MF",32,1988,5.3,137,191,71.7,1792,386,86,107,80.4,39,54,72.2,5,9,55.6,1,0.2,0.2,0.8,4,10,6,1,23,passing,ESP,"FW,MF",32,1988,5.3,257,3,21,107,132,26,257,21,9,42.9,12,57.1,139,905,335,12,11,6,22,9,201,43,possession
ESP-La Liga,2020,Alavés,Adrián Marín,ESP,"DF,MF",23,1997,5,1,93,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,6,6,0.0,0.0,0.0,0.0,0.0,0.07,0.05,0.12,0.07,0.12,standard,ESP,"DF,MF",23,1997,1.0,0,1,0,0.0,0.97,0.0,0.0,,18.8,0,0,0,0.1,0.1,0.07,-0.1,-0.1,shooting,ESP,"DF,MF",23,1997,1.0,0,0,0,3,0,0,1,2,1,0,0,0,8,3,1,75.0,misc,ESP,"DF,MF",23,1997,1.0,1,1,0,1,0,0,2,0.0,2,1,0,1,2,3,2,0,defense,ESP,"DF,MF",23,1997,1.0,38,55,69.1,574,293,21,24,87.5,15,19,78.9,2,8,25.0,0,0.0,0.1,0.0,1,2,1,1,6,passing,ESP,"DF,MF",23,1997,1.0,69,3,11,44,16,2,69,1,0,0.0,1,100.0,36,105,47,1,1,1,1,0,33,6,possession
ESP-La Liga,2020,Granada,Adrián Marín,ESP,"DF,MF",23,1997,9,3,269,3.0,0,1,1,0,0,0,1,0,0.1,0.1,0.3,0.3,5,17,2,0.0,0.33,0.33,0.0,0.33,0.02,0.08,0.1,0.02,0.1,standard,ESP,"DF,MF",23,1997,3.0,0,1,0,0.0,0.33,0.0,0.0,,21.2,0,0,0,0.1,0.1,0.06,-0.1,-0.1,shooting,ESP,"DF,MF",23,1997,3.0,1,0,0,3,2,0,5,4,2,0,0,0,15,4,2,66.7,misc,ESP,"DF,MF",23,1997,3.0,5,2,1,3,1,2,3,66.7,1,5,2,3,4,9,9,0,defense,ESP,"DF,MF",23,1997,3.0,85,130,65.4,1490,896,36,46,78.3,39,55,70.9,7,19,36.8,1,0.3,0.1,0.7,1,10,1,1,17,passing,ESP,"DF,MF",23,1997,3.0,162,6,48,91,25,0,162,3,3,100.0,0,0.0,61,297,195,5,2,0,5,0,69,2,possession
ESP-La Liga,2020,Real Sociedad,Aihen Muñoz,ESP,DF,22,1997,16,14,1210,13.4,0,1,1,0,0,0,6,0,0.3,0.3,0.5,0.7,30,41,59,0.0,0.07,0.07,0.0,0.07,0.02,0.04,0.06,0.02,0.06,standard,ESP,DF,22,1997,13.4,0,4,1,25.0,0.3,0.07,0.0,0.0,21.9,0,0,0,0.3,0.3,0.07,-0.3,-0.3,shooting,ESP,DF,22,1997,13.4,6,0,0,18,9,0,55,10,16,0,0,0,57,14,19,42.4,misc,ESP,DF,22,1997,13.4,23,16,15,5,3,11,19,57.9,8,12,2,10,10,33,31,0,defense,ESP,DF,22,1997,13.4,505,747,67.6,8945,3737,222,257,86.4,213,296,72.0,58,142,40.8,1,0.5,1.0,0.5,6,38,11,8,41,passing,ESP,DF,22,1997,13.4,855,32,241,400,220,13,855,17,10,58.8,7,41.2,387,1808,996,30,20,2,7,6,443,59,possession
ESP-La Liga,2020,Levante,Aitor Fernández,ESP,GK,29,1991,29,29,2610,29.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ESP,GK,29,1991,29.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,ESP,GK,29,1991,29.0,0,0,0,0,2,0,0,2,0,0,0,0,51,3,1,75.0,misc,ESP,GK,29,1991,29.0,0,0,0,0,0,0,0,,0,0,0,0,2,2,17,1,defense,ESP,GK,29,1991,29.0,709,928,76.4,17493,12539,166,168,98.8,335,342,98.0,191,400,47.8,0,0.0,0.0,0.0,0,6,0,0,0,passing,ESP,GK,29,1991,29.0,990,856,983,7,0,0,990,1,0,0.0,1,100.0,512,2232,1503,0,0,0,1,0,425,0,possession
ESP-La Liga,2020,Betis,Aitor Ruibal,ESP,"FW,MF",24,1996,28,21,1593,17.7,2,2,4,2,0,0,2,0,2.9,2.9,2.1,5.0,40,54,148,0.11,0.11,0.23,0.11,0.23,0.16,0.12,0.28,0.16,0.28,standard,ESP,"FW,MF",24,1996,17.7,2,33,14,42.4,1.86,0.79,0.06,0.14,17.9,0,0,0,2.9,2.9,0.09,-0.9,-0.9,shooting,ESP,"FW,MF",24,1996,17.7,2,0,0,37,17,5,18,11,18,0,0,0,91,14,15,48.3,misc,ESP,"FW,MF",24,1996,17.7,32,18,14,14,4,10,35,28.6,25,26,0,26,11,43,8,0,defense,ESP,"FW,MF",24,1996,17.7,411,556,73.9,5304,1786,271,305,88.9,91,131,69.5,21,38,55.3,2,2.1,1.7,-0.1,24,31,20,3,54,passing,ESP,"FW,MF",24,1996,17.7,776,5,105,320,370,64,776,60,37,61.7,23,38.3,462,2663,1365,40,26,14,50,36,545,148,possession
ESP-La Liga,2020,Cádiz,Alberto Cifuentes,ESP,GK,41,1979,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,standard,ESP,GK,41,1979,2.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,ESP,GK,41,1979,2.0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,,misc,ESP,GK,41,1979,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense,ESP,GK,41,1979,2.0,27,68,39.7,1387,1283,2,2,100.0,0,1,0.0,25,65,38.5,0,0.0,0.0,0.0,1,0,0,0,0,passing,ESP,GK,41,1979,2.0,70,49,70,0,0,0,70,0,0,,0,,24,153,93,0,0,0,0,0,18,0,possession
ESP-La Liga,2020,Villarreal,Alberto Moreno,ESP,DF,28,1992,5,2,193,2.1,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,10,9,16,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,standard,ESP,DF,28,1992,2.1,0,4,0,0.0,1.87,0.0,0.0,,18.9,1,0,0,0.2,0.2,0.06,-0.2,-0.2,shooting,ESP,DF,28,1992,2.1,0,0,0,3,3,0,6,3,4,0,0,0,6,0,0,,misc,ESP,DF,28,1992,2.1,7,4,7,0,0,2,5,40.0,3,2,1,1,3,10,2,0,defense,ESP,DF,28,1992,2.1,85,101,84.2,1328,360,40,43,93.0,32,35,91.4,7,11,63.6,0,0.0,0.1,0.0,0,5,2,0,9,passing,ESP,DF,28,1992,2.1,121,4,31,52,39,4,121,6,4,66.7,2,33.3,71,483,267,10,6,1,0,0,78,16,possession
