league,season,team,player,nation,pos,age,born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,stat_type,nation_possession,pos_possession,age_possession,born_possession,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,stat_type_possession,nation_defense,pos_defense,age_defense,born_defense,90s_defense,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,stat_type_defense,nation_shooting,pos_shooting,age_shooting,born_shooting,90s_shooting,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG_shooting,Expected npxG_shooting,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,stat_type_shooting,nation_passing,pos_passing,age_passing,born_passing,90s_passing,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,stat_type_passing,nation_misc,pos_misc,age_misc,born_misc,90s_misc,Performance CrdY_misc,Performance CrdR_misc,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,stat_type_misc
FRA-Ligue 1,2021,Metz,Aaron Leya Iseka,BEL,FW,22,1997,21,12,1008,11.2,4,0,4,2,2,3,4,0,4.8,2.5,0.6,3.0,13,12,51,0.36,0.0,0.36,0.18,0.18,0.43,0.05,0.48,0.22,0.27,standard,BEL,FW,22,1997,11.2,293,10,25,152,119,32,290,19,11,57.9,8,42.1,177,923,361,13,12,10,35,19,245,51,possession,BEL,FW,22,1997,11.2,6,4,2,3,1,0,4,0.0,4,4,2,2,0,6,6,0,defense,BEL,FW,22,1997,11.2,4,17,6,35.3,1.52,0.54,0.12,0.33,15.5,0,2,3,4.8,2.5,0.14,-0.8,-0.5,shooting,BEL,FW,22,1997,11.2,141,192,73.4,1753,277,89,106,84.0,29,46,63.0,6,9,66.7,0,0.6,0.4,-0.6,12,12,1,0,12,passing,BEL,FW,22,1997,11.2,4,0,0,26,12,3,2,0,4,0,0,0,21,29,41,41.4,misc
FRA-Ligue 1,2021,Paris S-G,Abdou Diallo,SEN,DF,24,1996,22,17,1490,16.6,0,1,1,0,0,0,3,2,0.2,0.2,0.5,0.7,28,76,34,0.0,0.06,0.06,0.0,0.06,0.01,0.03,0.04,0.01,0.04,standard,SEN,DF,24,1996,16.6,1324,100,497,718,117,9,1324,26,17,65.4,9,34.6,855,4192,2571,28,18,1,15,1,996,34,possession,SEN,DF,24,1996,16.6,16,11,9,5,2,8,13,61.5,5,15,8,7,25,41,36,0,defense,SEN,DF,24,1996,16.6,0,4,0,0.0,0.24,0.0,0.0,,14.6,0,0,0,0.2,0.2,0.05,-0.2,-0.2,shooting,SEN,DF,24,1996,16.6,1099,1187,92.6,18311,7321,526,542,97.0,467,498,93.8,79,106,74.5,1,0.5,0.5,0.5,1,69,5,2,76,passing,SEN,DF,24,1996,16.6,3,2,1,17,9,1,12,25,11,0,1,0,96,23,13,63.9,misc
FRA-Ligue 1,2021,Nantes,Abdoul Kader Bamba,FRA,"FW,MF",26,1994,29,6,917,10.2,3,1,4,3,0,1,2,0,2.4,1.6,1.3,2.8,41,43,96,0.29,0.1,0.39,0.29,0.39,0.23,0.12,0.36,0.15,0.28,standard,FRA,"FW,MF",26,1994,10.2,617,3,70,284,274,32,616,47,27,57.4,20,42.6,390,2495,1174,41,21,20,26,18,450,96,possession,FRA,"FW,MF",26,1994,10.2,18,3,7,8,3,11,18,61.1,7,10,0,10,7,25,4,1,defense,FRA,"FW,MF",26,1994,10.2,3,14,6,42.9,1.37,0.59,0.21,0.5,19.9,1,0,1,2.4,1.6,0.11,0.6,1.4,shooting,FRA,"FW,MF",26,1994,10.2,368,490,75.1,5544,1482,216,253,85.4,115,150,76.7,26,55,47.3,1,1.3,1.4,-0.3,23,25,10,0,43,passing,FRA,"FW,MF",26,1994,10.2,2,0,0,8,41,0,39,7,3,0,0,0,71,4,10,28.6,misc
FRA-Ligue 1,2021,Saint-Étienne,Abdoulaye Sidibé,FRA,MF,18,2002,1,0,11,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,FRA,MF,18,2002,0.1,3,0,2,0,1,0,3,0,0,,0,,1,0,0,0,0,0,1,0,1,0,possession,FRA,MF,18,2002,0.1,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,0,0,defense,FRA,MF,18,2002,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,FRA,MF,18,2002,0.1,0,1,0.0,0,0,0,0,,0,0,,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,passing,FRA,MF,18,2002,0.1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,2,33.3,misc
FRA-Ligue 1,2021,Nantes,Abdoulaye Sylla,GUI,DF,20,2000,2,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,GUI,DF,20,2000,0.1,8,1,3,3,2,0,8,0,0,,0,,1,4,3,0,0,0,0,0,1,1,possession,GUI,DF,20,2000,0.1,2,1,2,0,0,1,1,100.0,0,1,0,1,0,2,1,0,defense,GUI,DF,20,2000,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,GUI,DF,20,2000,0.1,1,5,20.0,28,0,0,1,0.0,1,2,50.0,0,2,0.0,0,0.0,0.0,0.0,0,0,0,0,0,passing,GUI,DF,20,2000,0.1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,misc
FRA-Ligue 1,2021,Nantes,Abdoulaye Touré,GUI,MF,26,1994,29,20,1681,18.7,2,2,4,1,1,1,2,0,2.6,1.8,1.4,3.2,22,101,23,0.11,0.11,0.21,0.05,0.16,0.14,0.08,0.22,0.1,0.17,standard,GUI,MF,26,1994,18.7,1136,34,168,775,205,19,1135,30,21,70.0,9,30.0,652,2891,1303,22,22,0,28,18,801,23,possession,GUI,MF,26,1994,18.7,28,12,10,16,2,14,31,45.2,17,17,2,15,22,50,19,0,defense,GUI,MF,26,1994,18.7,2,26,4,15.4,1.39,0.21,0.04,0.25,24.2,0,1,1,2.6,1.8,0.07,-0.6,-0.8,shooting,GUI,MF,26,1994,18.7,799,946,84.5,13244,3477,358,418,85.6,351,396,88.6,60,83,72.3,2,1.4,1.2,0.6,14,92,7,0,101,passing,GUI,MF,26,1994,18.7,2,0,0,20,30,0,9,22,12,0,2,0,106,33,22,60.0,misc
FRA-Ligue 1,2021,Strasbourg,Abdul Majeed Waris,GHA,"FW,MF",28,1991,15,5,552,6.1,1,0,1,0,1,1,0,0,1.9,1.1,0.1,1.2,18,9,43,0.16,0.0,0.16,0.0,0.0,0.32,0.01,0.32,0.19,0.2,standard,GHA,"FW,MF",28,1991,6.1,205,6,24,84,100,19,204,13,6,46.2,7,53.8,148,928,442,18,10,6,19,12,176,43,possession,GHA,"FW,MF",28,1991,6.1,1,1,1,0,0,1,6,16.7,5,0,0,0,2,3,2,0,defense,GHA,"FW,MF",28,1991,6.1,1,9,2,22.2,1.47,0.33,0.0,0.0,18.9,0,1,1,1.9,1.1,0.13,-0.9,-1.1,shooting,GHA,"FW,MF",28,1991,6.1,105,138,76.1,1346,205,66,77,85.7,29,35,82.9,3,10,30.0,0,0.1,0.3,-0.1,1,2,2,1,9,passing,GHA,"FW,MF",28,1991,6.1,0,0,0,8,19,2,10,2,1,0,0,0,20,3,7,30.0,misc
FRA-Ligue 1,2021,Dijon,Aboubakar Kamara,MTN,"FW,MF",25,1995,10,7,557,6.2,1,0,1,1,0,0,1,1,1.2,1.2,0.8,2.0,10,7,37,0.16,0.0,0.16,0.16,0.16,0.19,0.13,0.32,0.19,0.32,standard,MTN,"FW,MF",25,1995,6.2,212,2,15,100,100,15,212,15,8,53.3,7,46.7,141,694,234,10,8,3,18,16,180,37,possession,MTN,"FW,MF",25,1995,6.2,3,1,0,2,1,1,7,14.3,6,1,0,1,0,3,2,0,defense,MTN,"FW,MF",25,1995,6.2,1,11,3,27.3,1.78,0.48,0.09,0.33,18.9,0,0,0,1.2,1.2,0.11,-0.2,-0.2,shooting,MTN,"FW,MF",25,1995,6.2,104,146,71.2,1507,255,67,77,87.0,24,33,72.7,9,15,60.0,0,0.8,0.7,-0.8,7,6,3,3,7,passing,MTN,"FW,MF",25,1995,6.2,1,1,0,14,17,1,10,0,1,0,0,0,12,15,21,41.7,misc
FRA-Ligue 1,2021,Lille,Adama Soumaoro,FRA,DF,28,1992,3,1,145,1.6,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,2,3,0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08,standard,FRA,DF,28,1992,1.6,126,4,54,67,5,1,126,0,0,,0,,89,407,150,2,0,0,0,0,100,0,possession,FRA,DF,28,1992,1.6,1,0,0,0,1,0,0,,0,1,1,0,2,3,2,0,defense,FRA,DF,28,1992,1.6,0,2,0,0.0,1.24,0.0,0.0,,17.8,0,0,0,0.1,0.1,0.07,-0.1,-0.1,shooting,FRA,DF,28,1992,1.6,110,116,94.8,2218,864,30,32,93.8,65,67,97.0,13,14,92.9,0,0.0,0.0,0.0,0,3,0,0,3,passing,FRA,DF,28,1992,1.6,1,0,0,2,1,0,0,2,0,0,0,0,9,5,0,100.0,misc
FRA-Ligue 1,2021,Saint-Étienne,Adil Aouchiche,FRA,"MF,FW",18,2002,34,21,1731,19.2,2,5,7,2,0,0,2,0,3.4,3.4,5.8,9.2,56,87,92,0.1,0.26,0.36,0.1,0.36,0.17,0.3,0.48,0.17,0.48,standard,FRA,"MF,FW",18,2002,19.2,1046,11,126,530,406,48,1046,61,34,55.7,27,44.3,620,3832,1947,56,29,14,61,27,701,92,possession,FRA,"MF,FW",18,2002,19.2,38,20,12,17,9,13,49,26.5,36,15,1,14,10,48,6,0,defense,FRA,"MF,FW",18,2002,19.2,2,26,12,46.2,1.35,0.62,0.08,0.17,20.8,2,0,0,3.4,3.4,0.13,-1.4,-1.4,shooting,FRA,"MF,FW",18,2002,19.2,571,818,69.8,10069,3336,307,364,84.3,152,213,71.4,85,181,47.0,5,5.8,4.0,-0.8,59,57,25,7,87,passing,FRA,"MF,FW",18,2002,19.2,2,0,0,20,31,0,130,10,20,0,0,0,100,13,28,31.7,misc
