league,season,team,player,nation,pos,age,born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,stat_type,nation_defense,pos_defense,age_defense,born_defense,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,stat_type_defense,nation_shooting,pos_shooting,age_shooting,born_shooting,90s_shooting,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG_shooting,Expected npxG_shooting,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,stat_type_shooting,nation_passing,pos_passing,age_passing,born_passing,90s_passing,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,stat_type_passing,nation_misc,pos_misc,age_misc,born_misc,90s_misc,Performance CrdY_misc,Performance CrdR_misc,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,stat_type_misc,nation_possession,pos_possession,age_possession,born_possession,90s_possession,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,stat_type_possession,90s_defense
FRA-Ligue 1,2020,Nice,Youcef Atal,ALG,"DF,FW",24,1996.0,18,13,956,10.6,1,0,1,1,0,0,1,0,0.4,0.4,0.8,1.3,43,44,95,0.09,0.0,0.09,0.09,0.09,0.04,0.08,0.12,0.04,0.12,standard,ALG,"DF,FW",24,1996.0,10.6,25,12,11,14,0,13,26,50.0,13,10,2,8,26,51,12,0,defense,ALG,"DF,FW",24,1996.0,,1,8,5,62.5,0.75,0.47,0.13,0.2,18.1,0,0,0,0.4,0.4,0.05,0.6,0.6,shooting,ALG,"DF,FW",24,1996.0,10.6,496,630,78.7,7378,2017,282,322,87.6,172,206,83.5,26,59,44.1,0,0.8,1.5,-0.8,5,27,11,6,44,passing,ALG,"DF,FW",24,1996.0,10.6,1,0,0,18,27,7,51,26,12,0,0,0,63,8,20,28.6,misc,ALG,"DF,FW",24,1996.0,10.6,790,26,192,367,243,22,790,36,20,55.6,16,44.4,481,2862,1567,43,29,11,39,13,515,95,possession,10.6
FRA-Ligue 1,2020,Metz,Youssef Maziz,FRA,"MF,FW",22,1998.0,11,2,257,2.9,0,0,0,0,0,0,1,0,0.3,0.3,0.4,0.6,9,18,3,0.0,0.0,0.0,0.0,0.0,0.09,0.13,0.22,0.09,0.22,standard,FRA,"MF,FW",22,1998.0,2.9,2,0,1,1,0,1,5,20.0,4,1,0,1,6,8,1,0,defense,FRA,"MF,FW",22,1998.0,,0,6,0,0.0,2.1,0.0,0.0,,22.4,0,0,0,0.3,0.3,0.04,-0.3,-0.3,shooting,FRA,"MF,FW",22,1998.0,2.9,90,120,75.0,1627,483,39,45,86.7,35,46,76.1,13,22,59.1,0,0.4,0.4,-0.4,7,13,3,0,18,passing,FRA,"MF,FW",22,1998.0,2.9,1,0,0,2,5,0,10,6,0,0,0,0,11,3,1,75.0,misc,FRA,"MF,FW",22,1998.0,2.9,151,1,16,100,36,1,151,9,4,44.4,5,55.6,88,462,225,9,6,0,7,4,102,3,possession,2.9
FRA-Ligue 1,2020,Monaco,Youssouf Fofana,FRA,MF,21,1999.0,35,35,2873,31.9,0,3,3,0,0,0,10,1,1.5,1.5,2.4,3.9,57,187,36,0.0,0.09,0.09,0.0,0.09,0.05,0.07,0.12,0.05,0.12,standard,FRA,MF,21,1999.0,31.9,90,51,31,51,8,42,82,51.2,40,43,7,36,34,124,14,2,defense,FRA,MF,21,1999.0,,0,36,4,11.1,1.13,0.13,0.0,0.0,25.5,1,0,0,1.5,1.5,0.04,-1.5,-1.5,shooting,FRA,MF,21,1999.0,31.9,1435,1703,84.3,25931,6942,632,704,89.8,625,700,89.3,153,242,63.2,3,2.4,2.4,0.6,28,150,29,6,187,passing,FRA,MF,21,1999.0,31.9,10,1,1,47,33,0,37,34,51,0,1,0,236,19,17,52.8,misc,FRA,MF,21,1999.0,31.9,2028,47,385,1327,345,12,2028,61,32,52.5,29,47.5,1101,5869,2967,57,52,4,45,26,1410,36,possession,31.9
FRA-Ligue 1,2020,Bordeaux,Youssouf Sabaly,SEN,DF,27,1993.0,33,33,2909,32.3,1,2,3,1,0,0,4,0,0.6,0.6,1.5,2.1,84,162,129,0.03,0.06,0.09,0.03,0.09,0.02,0.05,0.06,0.02,0.06,standard,SEN,DF,27,1993.0,32.3,47,33,24,17,6,27,45,60.0,18,31,8,23,49,96,57,2,defense,SEN,DF,27,1993.0,,1,13,2,15.4,0.4,0.06,0.08,0.5,21.9,0,0,0,0.6,0.6,0.05,0.4,0.4,shooting,SEN,DF,27,1993.0,32.3,1636,1957,83.6,23576,8988,974,1065,91.5,536,637,84.1,74,129,57.4,2,1.5,1.5,0.5,25,105,24,7,162,passing,SEN,DF,27,1993.0,32.3,4,0,0,32,43,2,50,49,33,0,1,0,169,25,25,50.0,misc,SEN,DF,27,1993.0,32.3,2286,98,632,1151,525,22,2286,71,41,57.7,30,42.3,1204,5801,3270,84,55,11,50,31,1398,129,possession,32.3
FRA-Ligue 1,2020,Montpellier,Yun Il-lok,KOR,"MF,FW",28,1992.0,12,3,312,3.5,0,0,0,0,0,0,1,0,0.6,0.6,0.5,1.1,8,6,11,0.0,0.0,0.0,0.0,0.0,0.16,0.15,0.31,0.16,0.31,standard,KOR,"MF,FW",28,1992.0,3.5,0,0,0,0,0,0,4,0.0,4,0,0,0,5,5,1,0,defense,KOR,"MF,FW",28,1992.0,,0,6,0,0.0,1.73,0.0,0.0,,18.4,0,0,0,0.6,0.6,0.09,-0.6,-0.6,shooting,KOR,"MF,FW",28,1992.0,3.5,76,106,71.7,1115,285,39,47,83.0,31,41,75.6,2,6,33.3,0,0.5,0.2,-0.5,4,7,1,1,6,passing,KOR,"MF,FW",28,1992.0,3.5,1,0,0,4,1,1,7,5,0,0,0,0,17,8,7,53.3,misc,KOR,"MF,FW",28,1992.0,3.5,139,1,16,76,48,5,139,7,4,57.1,3,42.9,67,464,216,8,3,2,5,4,88,11,possession,3.5
FRA-Ligue 1,2020,Reims,Yunis Abdelhamid,MAR,DF,32,1987.0,33,33,2889,32.1,3,0,3,3,0,0,4,1,1.9,1.9,0.3,2.2,18,99,3,0.09,0.0,0.09,0.09,0.09,0.06,0.01,0.07,0.06,0.07,standard,MAR,DF,32,1987.0,32.1,59,37,36,23,0,26,42,61.9,16,34,15,19,61,120,132,0,defense,MAR,DF,32,1987.0,,3,15,5,33.3,0.47,0.16,0.2,0.6,10.5,0,0,0,1.9,1.9,0.13,1.1,1.1,shooting,MAR,DF,32,1987.0,32.1,1506,1762,85.5,30174,12190,427,483,88.4,909,999,91.0,154,238,64.7,0,0.3,0.3,-0.3,4,76,1,0,99,passing,MAR,DF,32,1987.0,32.1,4,1,0,37,22,0,0,61,37,0,1,0,200,92,53,63.4,misc,MAR,DF,32,1987.0,32.1,2103,230,1160,920,38,23,2103,16,7,43.8,9,56.3,1255,6240,3618,18,5,1,14,12,1354,3,possession,32.1
FRA-Ligue 1,2020,Lille,Yusuf Yazıcı,TUR,"FW,MF",23,1997.0,32,10,1086,12.1,7,4,11,7,0,0,1,0,4.2,4.2,4.0,8.2,25,52,85,0.58,0.33,0.91,0.58,0.91,0.35,0.33,0.68,0.35,0.68,standard,TUR,"FW,MF",23,1997.0,12.1,12,5,6,2,4,1,24,4.2,23,5,1,4,2,14,2,0,defense,TUR,"FW,MF",23,1997.0,,7,44,21,47.7,3.65,1.74,0.16,0.33,19.5,4,0,0,4.2,4.2,0.1,2.8,2.8,shooting,TUR,"FW,MF",23,1997.0,12.1,372,552,67.4,5679,1714,196,237,82.7,113,161,70.2,34,95,35.8,4,4.0,3.0,0.0,36,25,16,2,52,passing,TUR,"FW,MF",23,1997.0,12.1,1,0,0,13,10,7,93,2,5,0,0,0,54,4,15,21.1,misc,TUR,"FW,MF",23,1997.0,12.1,684,6,35,246,408,51,684,26,13,50.0,13,50.0,395,2027,829,25,28,4,31,18,474,85,possession,12.1
FRA-Ligue 1,2020,Marseille,Yuto Nagatomo,JPN,DF,33,1986.0,25,20,1594,17.7,0,1,1,0,0,0,2,0,0.1,0.1,0.4,0.5,19,48,64,0.0,0.06,0.06,0.0,0.06,0.01,0.02,0.03,0.01,0.03,standard,JPN,DF,33,1986.0,17.7,23,16,12,8,3,9,18,50.0,9,14,3,11,29,52,43,0,defense,JPN,DF,33,1986.0,,0,4,0,0.0,0.23,0.0,0.0,,27.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1,shooting,JPN,DF,33,1986.0,17.7,632,797,79.3,8655,2975,403,445,90.6,181,237,76.4,24,64,37.5,1,0.4,0.4,0.6,3,31,6,4,48,passing,JPN,DF,33,1986.0,17.7,2,0,0,12,13,3,29,29,16,0,0,1,71,16,16,50.0,misc,JPN,DF,33,1986.0,17.7,981,53,291,509,188,5,981,23,10,43.5,13,56.5,464,2190,918,19,9,2,22,10,512,64,possession,17.7
FRA-Ligue 1,2020,Angers,Yassin Fortune,FRA,FW,21,1999.0,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,FRA,FW,21,1999.0,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense,FRA,FW,21,1999.0,,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,FRA,FW,21,1999.0,0.2,3,4,75.0,33,0,1,1,100.0,1,2,50.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,passing,FRA,FW,21,1999.0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,misc,FRA,FW,21,1999.0,0.2,5,1,1,2,2,1,5,0,0,,0,,3,5,4,0,1,0,0,0,3,1,possession,0.2
FRA-Ligue 1,2020,Nîmes,Yassine Benrahou,FRA,MF,21,1999.0,23,15,1239,13.8,0,0,0,0,0,0,2,0,0.8,0.8,2.7,3.4,26,61,53,0.0,0.0,0.0,0.0,0.0,0.06,0.19,0.25,0.06,0.25,standard,FRA,MF,21,1999.0,13.8,16,9,8,6,2,7,25,28.0,18,9,0,9,4,20,5,1,defense,FRA,MF,21,1999.0,,0,18,4,22.2,1.31,0.29,0.0,0.0,24.0,5,0,0,0.8,0.8,0.04,-0.8,-0.8,shooting,FRA,MF,21,1999.0,13.8,442,604,73.2,7035,2018,227,254,89.4,121,168,72.0,55,121,45.5,0,2.7,2.8,-2.7,25,45,15,4,61,passing,FRA,MF,21,1999.0,13.8,2,0,0,8,25,0,93,4,9,0,0,0,68,6,21,22.2,misc,FRA,MF,21,1999.0,13.8,742,6,89,343,318,29,742,37,17,45.9,20,54.1,411,2114,808,26,19,7,45,30,499,53,possession,13.8
