Saison,Équipe,Nom,Valeur marchande,Valeur marchande (euros)
2020/2021,fc-bayern-munchen,Manuel Neuer,"18,00 mio. €",
2020/2021,fc-bayern-munchen,Alexander Nübel,"6,00 mio. €",
2020/2021,fc-bayern-munchen,Sven Ulreich,900 K €,
2020/2021,fc-bayern-munchen,Ron-Thorben Hoffmann,600 K €,
2020/2021,fc-bayern-munchen,Lukas Schneller,200 K €,
2020/2021,fc-bayern-munchen,David Alaba,"55,00 mio. €",
2020/2021,fc-bayern-munchen,Niklas Süle,"35,00 mio. €",
2020/2021,fc-bayern-munchen,Benjamin Pavard,"35,00 mio. €",
2020/2021,fc-bayern-munchen,Tanguy Nianzou,"11,00 mio. €",
2020/2021,fc-bayern-munchen,Jérôme Boateng,"8,50 mio. €",
2020/2021,fc-bayern-munchen,Chris Richards,"7,50 mio. €",
2020/2021,fc-bayern-munchen,Javi Martínez,"5,00 mio. €",
2020/2021,fc-bayern-munchen,Bright Arrey-Mbi,"1,00 mio. €",
2020/2021,fc-bayern-munchen,Alphonso Davies,"70,00 mio. €",
2020/2021,fc-bayern-munchen,Lucas Hernández,"45,00 mio. €",
2020/2021,fc-bayern-munchen,Rémy Vita,"1,00 mio. €",
2020/2021,fc-bayern-munchen,Alexander Lungwitz,250 K €,
2020/2021,fc-bayern-munchen,Bouna Sarr,"4,00 mio. €",
2020/2021,fc-bayern-munchen,Josip Stanisic,400 K €,
2020/2021,fc-bayern-munchen,Kilian Senkbeil,200 K €,
2020/2021,fc-bayern-munchen,Joshua Kimmich,"90,00 mio. €",
2020/2021,fc-bayern-munchen,Marc Roca,"10,00 mio. €",
2020/2021,fc-bayern-munchen,Angelo Stiller,"2,50 mio. €",
2020/2021,fc-bayern-munchen,Maximilian Zaiser,225 K €,
2020/2021,fc-bayern-munchen,Leon Goretzka,"70,00 mio. €",
2020/2021,fc-bayern-munchen,Corentin Tolisso,"20,00 mio. €",
2020/2021,fc-bayern-munchen,Michaël Cuisance,"7,00 mio. €",
2020/2021,fc-bayern-munchen,Adrian Fein,"4,00 mio. €",
2020/2021,fc-bayern-munchen,Tiago Dantas,"3,00 mio. €",
2020/2021,fc-bayern-munchen,Jamal Musiala,"38,00 mio. €",
