Saison,Équipe,Nom,Valeur marchande,Valeur marchande (euros)
2020/2021,fc-barcelona,Marc-André ter Stegen,"60,00 mio. €",
2020/2021,fc-barcelona,Neto,"6,00 mio. €",
2020/2021,fc-barcelona,Iñaki Peña,"3,00 mio. €",
2020/2021,fc-barcelona,Arnau Tenas,"1,50 mio. €",
2020/2021,fc-barcelona,Ronald Araujo,"25,00 mio. €",
2020/2021,fc-barcelona,Clément Lenglet,"25,00 mio. €",
2020/2021,fc-barcelona,Gerard Piqué,"10,00 mio. €",
2020/2021,fc-barcelona,Samuel Umtiti,"8,00 mio. €",
2020/2021,fc-barcelona,Santiago Ramos Mingo,500 K €,
2020/2021,fc-barcelona,Jordi Alba,"20,00 mio. €",
2020/2021,fc-barcelona,Junior Firpo,"8,00 mio. €",
2020/2021,fc-barcelona,Sergiño Dest,"30,00 mio. €",
2020/2021,fc-barcelona,Óscar Mingueza,"15,00 mio. €",
2020/2021,fc-barcelona,Sergio Busquets,"9,00 mio. €",
2020/2021,fc-barcelona,Matheus Fernandes,"1,50 mio. €",
2020/2021,fc-barcelona,Frenkie de Jong,"90,00 mio. €",
2020/2021,fc-barcelona,Pedri,"70,00 mio. €",
2020/2021,fc-barcelona,Ilaix Moriba,"25,00 mio. €",
2020/2021,fc-barcelona,Miralem Pjanić,"20,00 mio. €",
2020/2021,fc-barcelona,Riqui Puig,"18,00 mio. €",
2020/2021,fc-barcelona,Sergi Roberto,"18,00 mio. €",
2020/2021,fc-barcelona,Carles Aleñá,"15,00 mio. €",
2020/2021,fc-barcelona,Philippe Coutinho,"30,00 mio. €",
2020/2021,fc-barcelona,Rafinha,"15,00 mio. €",
2020/2021,fc-barcelona,Ansu Fati,"60,00 mio. €",
2020/2021,fc-barcelona,Konrad de la Fuente,"4,00 mio. €",
2020/2021,fc-barcelona,Lionel Messi,"80,00 mio. €",
2020/2021,fc-barcelona,Ousmane Dembélé,"50,00 mio. €",
2020/2021,fc-barcelona,Francisco Trincão,"22,00 mio. €",
2020/2021,fc-barcelona,Álex Collado,"5,00 mio. €",
2020/2021,fc-barcelona,Antoine Griezmann,"60,00 mio. €",
2020/2021,fc-barcelona,Martin Braithwaite,"9,00 mio. €",
