Saison,Équipe,Nom,Valeur marchande,Valeur marchande (euros)
2020/2021,fc-toulouse,Maxime Dupé,"1,00 mio. €",
2020/2021,fc-toulouse,Isak Pettersson,800 K €,
2020/2021,fc-toulouse,Mauro Goicoechea,250 K €,
2020/2021,fc-toulouse,Florentin Bloch,250 K €,
2020/2021,fc-toulouse,Thomas Himeur,-,
2020/2021,fc-toulouse,Bafodé Diakité,"5,00 mio. €",
2020/2021,fc-toulouse,Agustín Rogel,"1,50 mio. €",
2020/2021,fc-toulouse,Ruben Gabrielsen,"1,00 mio. €",
2020/2021,fc-toulouse,Sébastien Dewaest,"1,00 mio. €",
2020/2021,fc-toulouse,Anthony Rouault,"1,00 mio. €",
2020/2021,fc-toulouse,Moussa Diarra,450 K €,
2020/2021,fc-toulouse,Jean-Philippe Célestin,-,
2020/2021,fc-toulouse,Kévin Keben,-,
2020/2021,fc-toulouse,Deiver Machado,900 K €,
2020/2021,fc-toulouse,Mathieu Gonçalves,450 K €,
2020/2021,fc-toulouse,Tom Rapnouil,-,
2020/2021,fc-toulouse,Kelvin Amian,"3,50 mio. €",
2020/2021,fc-toulouse,Steven Moreira,"1,00 mio. €",
2020/2021,fc-toulouse,Sacha Semaoun,-,
2020/2021,fc-toulouse,Ibrahim Sangaré,"9,00 mio. €",
2020/2021,fc-toulouse,Kalidou Sidibé,"1,30 mio. €",
2020/2021,fc-toulouse,Stijn Spierings,"1,20 mio. €",
2020/2021,fc-toulouse,Sam Sanna,600 K €,
2020/2021,fc-toulouse,Manu Koné,"7,00 mio. €",
2020/2021,fc-toulouse,Brecht Dejaegere,"2,20 mio. €",
2020/2021,fc-toulouse,Branco van den Boomen,"1,00 mio. €",
2020/2021,fc-toulouse,Samuel Kasongo,175 K €,
2020/2021,fc-toulouse,Steve Mvoué,-,
2020/2021,fc-toulouse,Naatan Skyttä,250 K €,
2020/2021,fc-toulouse,Iliès Soudani,-,
2020/2021,fc-toulouse,Amine Adli,"6,00 mio. €",
2020/2021,fc-toulouse,Adil Taoui,400 K €,
2020/2021,fc-toulouse,Nathan Ngoumou,450 K €,
2020/2021,fc-toulouse,Mamady Bangré,-,
2020/2021,fc-toulouse,Janis Antiste,"3,00 mio. €",
2020/2021,fc-toulouse,Aaron Leya Iseka,"2,50 mio. €",
2020/2021,fc-toulouse,Wesley Saïd,"1,50 mio. €",
2020/2021,fc-toulouse,Rhys Healey,"1,20 mio. €",
2020/2021,fc-toulouse,Efthymios Koulouris,"1,20 mio. €",
2020/2021,fc-toulouse,Vakoun Bayo,"1,00 mio. €",
2020/2021,fc-toulouse,Firmin Mubele,600 K €,
2020/2021,fc-toulouse,Stéphane Zobo,150 K €,
2020/2021,fc-toulouse,Paul Bonneau,-,
2020/2021,amiens-sc,Régis Gurtner,800 K €,
2020/2021,amiens-sc,Yohann Thuram,300 K €,
2020/2021,amiens-sc,Grégoire Coudert,200 K €,
2020/2021,amiens-sc,Prince Gouano,"1,00 mio. €",
2020/2021,amiens-sc,Nicholas Opoku,"1,00 mio. €",
2020/2021,amiens-sc,Molla Wagué,800 K €,
2020/2021,amiens-sc,Nathan Monzango,800 K €,
2020/2021,amiens-sc,Emmanuel Lomotey,500 K €,
2020/2021,amiens-sc,Aurélien Chedjou,300 K €,
2020/2021,amiens-sc,Racine Coly,"1,30 mio. €",
2020/2021,amiens-sc,Adam Lewis,500 K €,
2020/2021,amiens-sc,Sanasi Sy,500 K €,
2020/2021,amiens-sc,Matthéo Xantippe,-,
2020/2021,amiens-sc,Mickaël Alphonse,650 K €,
2020/2021,amiens-sc,Valentin Gendrey,500 K €,
2020/2021,amiens-sc,Youssouf Assogba,350 K €,
2020/2021,amiens-sc,Bandeira,150 K €,
2020/2021,amiens-sc,Alexis Blin,"2,50 mio. €",
2020/2021,amiens-sc,Eddy Gnahoré,"1,00 mio. €",
2020/2021,amiens-sc,Gaoussou Traoré,400 K €,
2020/2021,amiens-sc,Ayman Ouhatti,-,
2020/2021,amiens-sc,Mathis Lachuer,-,
2020/2021,amiens-sc,Arnaud Lusamba,"2,00 mio. €",
2020/2021,amiens-sc,Bongani Zungu,"1,00 mio. €",
2020/2021,amiens-sc,Sambou Yatabaré,350 K €,
2020/2021,amiens-sc,Saman Ghoddos,"3,00 mio. €",
2020/2021,amiens-sc,Iron Gomis,"1,50 mio. €",
2020/2021,amiens-sc,Driss Khalid,200 K €,
2020/2021,amiens-sc,Jonathan Bumbu,150 K €,
2020/2021,amiens-sc,Stiven Mendoza,"2,00 mio. €",
2020/2021,amiens-sc,Amadou Ciss,"1,00 mio. €",
2020/2021,amiens-sc,Jayson Papeau,600 K €,
2020/2021,amiens-sc,Charbel Gomez,200 K €,
2020/2021,amiens-sc,Juan Otero,"3,50 mio. €",
2020/2021,amiens-sc,Adama Diakhaby,"2,50 mio. €",
2020/2021,amiens-sc,Cheick Timite,"1,00 mio. €",
2020/2021,amiens-sc,Chadrac Akolo,800 K €,
2020/2021,amiens-sc,Abou Ouattara,800 K €,
2020/2021,amiens-sc,Florian Bianchini,500 K €,
2020/2021,amiens-sc,Serhou Guirassy,"12,00 mio. €",
2020/2021,amiens-sc,Moussa Konaté,"2,50 mio. €",
2020/2021,amiens-sc,Stephen Odey,"1,60 mio. €",
2020/2021,amiens-sc,Jack Lahne,700 K €,
2020/2021,amiens-sc,Mustapha Sangaré,300 K €,
2020/2021,amiens-sc,Darell Tokpa,300 K €,
2020/2021,amiens-sc,Joshua Adeyileka,-,
2020/2021,es-troyes-ac,Gauthier Gallon,"1,50 mio. €",
2020/2021,es-troyes-ac,Sébastien Rénot,250 K €,
2020/2021,es-troyes-ac,Ryan Bouallak,200 K €,
2020/2021,es-troyes-ac,Jimmy Giraudon,"1,50 mio. €",
2020/2021,es-troyes-ac,Yoann Salmier,"1,50 mio. €",
2020/2021,es-troyes-ac,Stone Mambo,700 K €,
2020/2021,es-troyes-ac,Gabriel Mutombo,600 K €,
2020/2021,es-troyes-ac,Mahamadou Dembélé,350 K €,
2020/2021,es-troyes-ac,Rémy Vita,"1,00 mio. €",
2020/2021,es-troyes-ac,Terence Baya,400 K €,
2020/2021,es-troyes-ac,Enzo El Fattahi,-,
2020/2021,es-troyes-ac,Oualid El Hajjam,800 K €,
2020/2021,es-troyes-ac,Benrandy Abdallah,150 K €,
2020/2021,es-troyes-ac,Rui Pires,800 K €,
2020/2021,es-troyes-ac,Eden Massouema,300 K €,
