Saison,Équipe,Nom,Valeur marchande (euros)
2020/2021,fc-barcelona,Marc-André ter Stegen,60000000.0
2020/2021,fc-barcelona,Neto,6000000.0
2020/2021,fc-barcelona,Iñaki Peña,3000000.0
2020/2021,fc-barcelona,Arnau Tenas,1500000.0
2020/2021,fc-barcelona,Ronald Araujo,25000000.0
2020/2021,fc-barcelona,Clément Lenglet,25000000.0
2020/2021,fc-barcelona,Gerard Piqué,10000000.0
2020/2021,fc-barcelona,Samuel Umtiti,8000000.0
2020/2021,fc-barcelona,Santiago Ramos Mingo,500000.0
2020/2021,fc-barcelona,Jordi Alba,20000000.0
2020/2021,fc-barcelona,Junior Firpo,8000000.0
2020/2021,fc-barcelona,Sergiño Dest,30000000.0
2020/2021,fc-barcelona,Óscar Mingueza,15000000.0
2020/2021,fc-barcelona,Sergio Busquets,9000000.0
2020/2021,fc-barcelona,Matheus Fernandes,1500000.0
2020/2021,fc-barcelona,Frenkie de Jong,90000000.0
2020/2021,fc-barcelona,Pedri,70000000.0
2020/2021,fc-barcelona,Ilaix Moriba,25000000.0
2020/2021,fc-barcelona,Miralem Pjanić,20000000.0
2020/2021,fc-barcelona,Riqui Puig,18000000.0
2020/2021,fc-barcelona,Sergi Roberto,18000000.0
2020/2021,fc-barcelona,Carles Aleñá,15000000.0
2020/2021,fc-barcelona,Philippe Coutinho,30000000.0
2020/2021,fc-barcelona,Rafinha,15000000.0
2020/2021,fc-barcelona,Ansu Fati,60000000.0
2020/2021,fc-barcelona,Konrad de la Fuente,4000000.0
2020/2021,fc-barcelona,Lionel Messi,80000000.0
2020/2021,fc-barcelona,Ousmane Dembélé,50000000.0
2020/2021,fc-barcelona,Francisco Trincão,22000000.0
2020/2021,fc-barcelona,Álex Collado,5000000.0
2020/2021,fc-barcelona,Antoine Griezmann,60000000.0
2020/2021,fc-barcelona,Martin Braithwaite,9000000.0
2020/2021,real-madrid,Thibaut Courtois,60000000.0
2020/2021,real-madrid,Andriy Lunin,3000000.0
2020/2021,real-madrid,Diego Altube,500000.0
2020/2021,real-madrid,Luis López,150000.0
2020/2021,real-madrid,Raphaël Varane,70000000.0
2020/2021,real-madrid,Éder Militão,40000000.0
2020/2021,real-madrid,Sergio Ramos,10000000.0
2020/2021,real-madrid,Nacho Fernández,10000000.0
2020/2021,real-madrid,Víctor Chust,400000.0
2020/2021,real-madrid,Pablo Ramón,50000.0
2020/2021,real-madrid,Ferland Mendy,50000000.0
2020/2021,real-madrid,Marcelo,7500000.0
2020/2021,real-madrid,Miguel Gutiérrez,5000000.0
2020/2021,real-madrid,Daniel Carvajal,30000000.0
2020/2021,real-madrid,Lucas Vázquez,15000000.0
2020/2021,real-madrid,Álvaro Odriozola,10000000.0
2020/2021,real-madrid,Marvin Park,500000.0
2020/2021,real-madrid,Sergio Santos,200000.0
2020/2021,real-madrid,Casemiro,70000000.0
2020/2021,real-madrid,Antonio Blanco,5000000.0
2020/2021,real-madrid,Federico Valverde,65000000.0
2020/2021,real-madrid,Toni Kroos,40000000.0
2020/2021,real-madrid,Luka Modric,10000000.0
