Saison,Équipe,Nom,Valeur marchande (euros)
2020/2021,fc-paris-saint-germain,Keylor Navas,12000000.0
2020/2021,fc-paris-saint-germain,Sergio Rico,7000000.0
2020/2021,fc-paris-saint-germain,Marcin Bulka,800000.0
2020/2021,fc-paris-saint-germain,Alexandre Letellier,400000.0
2020/2021,fc-paris-saint-germain,Garissone Innocent,300000.0
2020/2021,fc-paris-saint-germain,Denis Franchi,250000.0
2020/2021,fc-paris-saint-germain,Mathyas Randriamamy,150000.0
2020/2021,fc-paris-saint-germain,Yanis Saidani,150000.0
2020/2021,fc-paris-saint-germain,Marquinhos,75000000.0
2020/2021,fc-paris-saint-germain,Presnel Kimpembe,40000000.0
2020/2021,fc-paris-saint-germain,Thilo Kehrer,25000000.0
2020/2021,fc-paris-saint-germain,Abdou Diallo,25000000.0
2020/2021,fc-paris-saint-germain,Danilo Pereira,20000000.0
2020/2021,fc-paris-saint-germain,Juan Bernat,16000000.0
2020/2021,fc-paris-saint-germain,Layvin Kurzawa,12000000.0
2020/2021,fc-paris-saint-germain,Mitchel Bakker,10000000.0
2020/2021,fc-paris-saint-germain,Alessandro Florenzi,13000000.0
2020/2021,fc-paris-saint-germain,Colin Dagba,12000000.0
2020/2021,fc-paris-saint-germain,Timothée Pembélé,4000000.0
2020/2021,fc-paris-saint-germain,Leandro Paredes,20000000.0
2020/2021,fc-paris-saint-germain,Idrissa Gueye,15000000.0
2020/2021,fc-paris-saint-germain,Maxen Kapo,250000.0
2020/2021,fc-paris-saint-germain,Marco Verratti,55000000.0
2020/2021,fc-paris-saint-germain,Ander Herrera,13000000.0
2020/2021,fc-paris-saint-germain,Kays Ruiz-Atil,3000000.0
2020/2021,fc-paris-saint-germain,Edouard Michut,500000.0
2020/2021,fc-paris-saint-germain,Rafinha,15000000.0
2020/2021,fc-paris-saint-germain,Bandiougou Fadiga,1200000.0
2020/2021,fc-paris-saint-germain,Xavi Simons,500000.0
2020/2021,fc-paris-saint-germain,Neymar,100000000.0
2020/2021,fc-paris-saint-germain,Julian Draxler,20000000.0
2020/2021,fc-paris-saint-germain,Jesé,1500000.0
2020/2021,fc-paris-saint-germain,Pablo Sarabia,22000000.0
2020/2021,fc-paris-saint-germain,Ángel Di María,20000000.0
2020/2021,fc-paris-saint-germain,Kylian Mbappé,160000000.0
2020/2021,fc-paris-saint-germain,Mauro Icardi,40000000.0
2020/2021,fc-paris-saint-germain,Moise Kean,35000000.0
2020/2021,fc-paris-saint-germain,Arnaud Kalimuendo,10000000.0
2020/2021,olympique-lyon,Anthony Lopes,14000000.0
2020/2021,olympique-lyon,Anthony Racioppi,1500000.0
2020/2021,olympique-lyon,Ciprian Tătărușanu,600000.0
2020/2021,olympique-lyon,Julian Pollersbeck,600000.0
2020/2021,olympique-lyon,Malcolm Barcola,250000.0
2020/2021,olympique-lyon,Jason Denayer,25000000.0
2020/2021,olympique-lyon,Joachim Andersen,22000000.0
2020/2021,olympique-lyon,Sinaly Diomandé,7000000.0
2020/2021,olympique-lyon,Marcelo,3000000.0
2020/2021,olympique-lyon,Cenk Özkacar,1200000.0
2020/2021,olympique-lyon,Djamel Eddine Benlamri,1100000.0
2020/2021,olympique-lyon,Melvin Bard,5000000.0
2020/2021,olympique-lyon,Marçal,1800000.0
2020/2021,olympique-lyon,Youssouf Koné,1600000.0
2020/2021,olympique-lyon,Léo Dubois,16000000.0
2020/2021,olympique-lyon,Mattia De Sciglio,7500000.0
2020/2021,olympique-lyon,Kenny Tete,5000000.0
2020/2021,olympique-lyon,Malo Gusto,500000.0
2020/2021,olympique-lyon,Bruno Guimarães,30000000.0
2020/2021,olympique-lyon,Thiago Mendes,15000000.0
2020/2021,olympique-lyon,Camilo,1300000.0
2020/2021,olympique-lyon,Maxence Caqueret,17000000.0
2020/2021,olympique-lyon,Jean Lucas,4500000.0
2020/2021,olympique-lyon,Florent Sanchez,500000.0
2020/2021,olympique-lyon,Houssem Aouar,42000000.0
2020/2021,olympique-lyon,Lucas Paquetá,30000000.0
2020/2021,olympique-lyon,Jeff Reine-Adélaïde,22000000.0
2020/2021,olympique-lyon,Maxwel Cornet,12000000.0
2020/2021,olympique-lyon,Rayan Cherki,27000000.0
2020/2021,olympique-lyon,Bertrand Traoré,20000000.0
2020/2021,olympique-lyon,Yahya Soumaré,400000.0
2020/2021,olympique-lyon,Memphis Depay,45000000.0
2020/2021,olympique-lyon,Moussa Dembélé,20000000.0
2020/2021,olympique-lyon,Karl Toko Ekambi,15000000.0
2020/2021,olympique-lyon,Tino Kadewere,13000000.0
2020/2021,olympique-lyon,Islam Slimani,3000000.0
2020/2021,as-monaco,Benjamin Lecomte,10000000.0
2020/2021,as-monaco,Radoslaw Majecki,4000000.0
2020/2021,as-monaco,Vito Mannone,800000.0
2020/2021,as-monaco,Benoît Badiashile,28000000.0
2020/2021,as-monaco,Axel Disasi,18000000.0
2020/2021,as-monaco,Guillermo Maripán,12000000.0
2020/2021,as-monaco,Strahinja Pavlović,8000000.0
2020/2021,as-monaco,Chrislain Matsima,6000000.0
2020/2021,as-monaco,Giulian Biancone,1300000.0
2020/2021,as-monaco,Caio Henrique,12000000.0
2020/2021,as-monaco,Fodé Ballo-Touré,6500000.0
2020/2021,as-monaco,Julien Serrano,750000.0
2020/2021,as-monaco,Ruben Aguilar,12000000.0
2020/2021,as-monaco,Djibril Sidibé,8000000.0
2020/2021,as-monaco,Aurélien Tchouaméni,30000000.0
2020/2021,as-monaco,Youssouf Fofana,16000000.0
2020/2021,as-monaco,Florentino,10000000.0
2020/2021,as-monaco,Jean-Eudes Aholou,4000000.0
2020/2021,as-monaco,Youssef Aït Bennasser,2000000.0
2020/2021,as-monaco,Eliot Matazo,6000000.0
2020/2021,as-monaco,Cesc Fàbregas,5000000.0
2020/2021,as-monaco,Aleksandr Golovin,28000000.0
2020/2021,as-monaco,Enzo Millot,1000000.0
2020/2021,as-monaco,Sofiane Diop,16000000.0
2020/2021,as-monaco,Henry Onyekuru,7000000.0
2020/2021,as-monaco,Gelson Martins,18000000.0
2020/2021,as-monaco,Krépin Diatta,18000000.0
2020/2021,as-monaco,Stevan Jovetić,5000000.0
2020/2021,as-monaco,Wissam Ben Yedder,35000000.0
2020/2021,as-monaco,Kevin Volland,30000000.0
2020/2021,as-monaco,Willem Geubbels,6000000.0
2020/2021,as-monaco,Pietro Pellegri,6000000.0
2020/2021,losc-lille,Mike Maignan,25000000.0
2020/2021,losc-lille,Orestis Karnezis,500000.0
2020/2021,losc-lille,Lucas Chevalier,500000.0
2020/2021,losc-lille,Sven Botman,28000000.0
2020/2021,losc-lille,Tiago Djaló,5000000.0
2020/2021,losc-lille,Adama Soumaoro,4000000.0
2020/2021,losc-lille,José Fonte,1500000.0
2020/2021,losc-lille,Nassim Innocenti,250000.0
2020/2021,losc-lille,Reinildo Mandava,9000000.0
2020/2021,losc-lille,Domagoj Bradarić,6000000.0
2020/2021,losc-lille,Zeki Çelik,20000000.0
2020/2021,losc-lille,Jérémy Pied,1200000.0
2020/2021,losc-lille,Ismaïl Bouleghcha,250000.0
2020/2021,losc-lille,Boubakary Soumaré,28000000.0
2020/2021,losc-lille,Benjamin André,15000000.0
2020/2021,losc-lille,Cheikh Niasse,800000.0
