Saison,Équipe,Nom,Valeur marchande (euros)
2020/2021,manchester-city,Ederson,50000000.0
2020/2021,manchester-city,Zack Steffen,6000000.0
2020/2021,manchester-city,Scott Carson,300000.0
2020/2021,manchester-city,Rúben Dias,75000000.0
2020/2021,manchester-city,Aymeric Laporte,45000000.0
2020/2021,manchester-city,Nathan Aké,32000000.0
2020/2021,manchester-city,John Stones,30000000.0
2020/2021,manchester-city,Eric García,20000000.0
2020/2021,manchester-city,Nicolás Otamendi,8000000.0
2020/2021,manchester-city,Taylor Harwood-Bellis,3000000.0
2020/2021,manchester-city,Philippe Sandler,2500000.0
2020/2021,manchester-city,Oleksandr Zinchenko,25000000.0
2020/2021,manchester-city,Benjamin Mendy,20000000.0
2020/2021,manchester-city,João Cancelo,55000000.0
2020/2021,manchester-city,Kyle Walker,28000000.0
2020/2021,manchester-city,Rodri,70000000.0
2020/2021,manchester-city,Fernandinho,2000000.0
2020/2021,manchester-city,Claudio Gomes,450000.0
2020/2021,manchester-city,İlkay Gündoğan,40000000.0
2020/2021,manchester-city,Adrián Bernabé,2300000.0
2020/2021,manchester-city,Tommy Doyle,1000000.0
2020/2021,manchester-city,Felix Nmecha,450000.0
2020/2021,manchester-city,Kevin De Bruyne,100000000.0
2020/2021,manchester-city,Bernardo Silva,70000000.0
2020/2021,manchester-city,Cole Palmer,500000.0
2020/2021,manchester-city,Raheem Sterling,90000000.0
2020/2021,manchester-city,Phil Foden,80000000.0
2020/2021,manchester-city,Ferran Torres,50000000.0
2020/2021,manchester-city,Riyad Mahrez,42000000.0
2020/2021,manchester-city,Jack Harrison,15000000.0
2020/2021,manchester-city,Patrick Roberts,2000000.0
2020/2021,manchester-city,Gabriel Jesus,60000000.0
2020/2021,manchester-city,Sergio Agüero,18000000.0
2020/2021,manchester-city,Liam Delap,1000000.0
2020/2021,fc-liverpool,Alisson,60000000.0
2020/2021,fc-liverpool,Caoimhín Kelleher,2500000.0
2020/2021,fc-liverpool,Adrián,1000000.0
2020/2021,fc-liverpool,Virgil van Dijk,55000000.0
2020/2021,fc-liverpool,Joe Gomez,30000000.0
2020/2021,fc-liverpool,Ozan Kabak,25000000.0
2020/2021,fc-liverpool,Joel Matip,18000000.0
2020/2021,fc-liverpool,Nat Phillips,8000000.0
2020/2021,fc-liverpool,Rhys Williams,5000000.0
2020/2021,fc-liverpool,Ben Davies,3000000.0
2020/2021,fc-liverpool,Sepp van den Berg,2500000.0
2020/2021,fc-liverpool,Billy Koumetio,500000.0
2020/2021,fc-liverpool,Andrew Robertson,65000000.0
2020/2021,fc-liverpool,Konstantinos Tsimikas,8000000.0
2020/2021,fc-liverpool,Trent Alexander-Arnold,75000000.0
2020/2021,fc-liverpool,Neco Williams,8000000.0
2020/2021,fc-liverpool,Fabinho,60000000.0
2020/2021,fc-liverpool,Marko Grujić,15000000.0
2020/2021,fc-liverpool,Naby Keïta,32000000.0
2020/2021,fc-liverpool,Georginio Wijnaldum,30000000.0
2020/2021,fc-liverpool,Thiago Alcántara,30000000.0
2020/2021,fc-liverpool,Curtis Jones,30000000.0
2020/2021,fc-liverpool,Jordan Henderson,20000000.0
2020/2021,fc-liverpool,Alex Oxlade-Chamberlain,18000000.0
2020/2021,fc-liverpool,Harvey Elliott,15000000.0
2020/2021,fc-liverpool,James Milner,3000000.0
2020/2021,fc-liverpool,Xherdan Shaqiri,12000000.0
2020/2021,fc-liverpool,Ben Woodburn,2000000.0
2020/2021,fc-liverpool,Leighton Clarkson,150000.0
2020/2021,fc-liverpool,Sadio Mané,85000000.0
2020/2021,fc-liverpool,Takumi Minamino,12000000.0
2020/2021,fc-liverpool,Mohamed Salah,100000000.0
2020/2021,fc-liverpool,Harry Wilson,17000000.0
2020/2021,fc-liverpool,Sheyi Ojo,3000000.0
2020/2021,fc-liverpool,Roberto Firmino,50000000.0
2020/2021,fc-liverpool,Diogo Jota,45000000.0
2020/2021,fc-liverpool,Rhian Brewster,12000000.0
2020/2021,fc-liverpool,Divock Origi,12000000.0
2020/2021,fc-chelsea,Edouard Mendy,25000000.0
2020/2021,fc-chelsea,Kepa Arrizabalaga,13000000.0
2020/2021,fc-chelsea,Jamal Blackman,600000.0
2020/2021,fc-chelsea,Nathan Baxter,300000.0
2020/2021,fc-chelsea,Willy Caballero,250000.0
2020/2021,fc-chelsea,Karlo Ziger,150000.0
2020/2021,fc-chelsea,Kurt Zouma,32000000.0
2020/2021,fc-chelsea,Andreas Christensen,30000000.0
2020/2021,fc-chelsea,Antonio Rüdiger,28000000.0
2020/2021,fc-chelsea,Fikayo Tomori,28000000.0
2020/2021,fc-chelsea,César Azpilicueta,13000000.0
2020/2021,fc-chelsea,Thiago Silva,3000000.0
2020/2021,fc-chelsea,Jake Clarke-Salter,2000000.0
2020/2021,fc-chelsea,Ben Chilwell,45000000.0
2020/2021,fc-chelsea,Marcos Alonso,12000000.0
2020/2021,fc-chelsea,Emerson,12000000.0
2020/2021,fc-chelsea,Reece James,40000000.0
2020/2021,fc-chelsea,N'Golo Kanté,55000000.0
2020/2021,fc-chelsea,Jorginho,40000000.0
2020/2021,fc-chelsea,Ethan Ampadu,15000000.0
2020/2021,fc-chelsea,Billy Gilmour,10000000.0
2020/2021,fc-chelsea,Mateo Kovacic,45000000.0
2020/2021,fc-chelsea,Ross Barkley,20000000.0
2020/2021,fc-chelsea,Ruben Loftus-Cheek,18000000.0
2020/2021,fc-chelsea,Conor Gallagher,15000000.0
2020/2021,fc-chelsea,Mason Mount,75000000.0
2020/2021,fc-chelsea,Tino Anjorin,2300000.0
2020/2021,fc-chelsea,Timo Werner,65000000.0
2020/2021,fc-chelsea,Callum Hudson-Odoi,32000000.0
2020/2021,fc-chelsea,Izzy Brown,1600000.0
2020/2021,fc-chelsea,Charly Musonda Jr.,1000000.0
2020/2021,fc-chelsea,Christian Pulisic,50000000.0
2020/2021,fc-chelsea,Hakim Ziyech,38000000.0
2020/2021,fc-chelsea,Kai Havertz,70000000.0
2020/2021,fc-chelsea,Tammy Abraham,38000000.0
2020/2021,fc-chelsea,Michy Batshuayi,10000000.0
2020/2021,fc-chelsea,Olivier Giroud,4000000.0
2020/2021,manchester-united,Dean Henderson,22000000.0
2020/2021,manchester-united,David de Gea,18000000.0
2020/2021,manchester-united,Sergio Romero,1000000.0
2020/2021,manchester-united,Joel Pereira,300000.0
2020/2021,manchester-united,Nathan Bishop,300000.0
2020/2021,manchester-united,Lee Grant,250000.0
2020/2021,manchester-united,Harry Maguire,45000000.0
2020/2021,manchester-united,Victor Lindelöf,24000000.0
2020/2021,manchester-united,Eric Bailly,15000000.0
2020/2021,manchester-united,Phil Jones,5000000.0
2020/2021,manchester-united,Teden Mengi,1500000.0
2020/2021,manchester-united,Will Fish,500000.0
2020/2021,manchester-united,Luke Shaw,35000000.0
2020/2021,manchester-united,Alex Telles,20000000.0
2020/2021,manchester-united,Brandon Williams,10000000.0
2020/2021,manchester-united,Aaron Wan-Bissaka,40000000.0
2020/2021,manchester-united,Diogo Dalot,10000000.0
2020/2021,manchester-united,Axel Tuanzebe,8000000.0
2020/2021,manchester-united,Timothy Fosu-Mensah,4000000.0
2020/2021,manchester-united,Nemanja Matic,8000000.0
2020/2021,manchester-united,Paul Pogba,60000000.0
2020/2021,manchester-united,Scott McTominay,35000000.0
2020/2021,manchester-united,Donny van de Beek,30000000.0
2020/2021,manchester-united,Fred,22000000.0
2020/2021,manchester-united,Ethan Galbraith,900000.0
2020/2021,manchester-united,Bruno Fernandes,90000000.0
2020/2021,manchester-united,Jesse Lingard,22000000.0
2020/2021,manchester-united,Juan Mata,4000000.0
2020/2021,manchester-united,Hannibal,3000000.0
2020/2021,manchester-united,Marcus Rashford,85000000.0
2020/2021,manchester-united,Shola Shoretire,3000000.0
2020/2021,manchester-united,Mason Greenwood,50000000.0
2020/2021,manchester-united,Amad Diallo,18000000.0
2020/2021,manchester-united,Daniel James,18000000.0
2020/2021,manchester-united,Facundo Pellistri,6000000.0
2020/2021,manchester-united,Anthony Elanga,800000.0
2020/2021,manchester-united,Anthony Martial,45000000.0
2020/2021,manchester-united,Edinson Cavani,6000000.0
2020/2021,manchester-united,Odion Ighalo,3500000.0
2020/2021,tottenham-hotspur,Hugo Lloris,9000000.0
2020/2021,tottenham-hotspur,Paulo Gazzaniga,3000000.0
2020/2021,tottenham-hotspur,Joe Hart,2000000.0
