Saison,Équipe,Nom,Valeur marchande (euros)
2020/2021,inter-mailand,Andrei Radu,6000000.0
2020/2021,inter-mailand,Samir Handanovič,2500000.0
2020/2021,inter-mailand,Filip Stanković,500000.0
2020/2021,inter-mailand,Daniele Padelli,400000.0
2020/2021,inter-mailand,Milan Škriniar,60000000.0
2020/2021,inter-mailand,Alessandro Bastoni,60000000.0
2020/2021,inter-mailand,Stefan de Vrij,50000000.0
2020/2021,inter-mailand,Danilo D'Ambrosio,5000000.0
2020/2021,inter-mailand,Lorenzo Pirola,2500000.0
2020/2021,inter-mailand,Andrea Ranocchia,1000000.0
2020/2021,inter-mailand,Edoardo Sottini,350000.0
2020/2021,inter-mailand,Lorenzo Moretti,125000.0
2020/2021,inter-mailand,Fabio Cortinovis,25000.0
2020/2021,inter-mailand,Dalbert,4000000.0
2020/2021,inter-mailand,Aleksandar Kolarov,1500000.0
2020/2021,inter-mailand,Achraf Hakimi,60000000.0
2020/2021,inter-mailand,Matteo Darmian,7000000.0
2020/2021,inter-mailand,Ashley Young,1000000.0
2020/2021,inter-mailand,Tibo Persyn,350000.0
2020/2021,inter-mailand,Marcelo Brozović,40000000.0
2020/2021,inter-mailand,Niccolò Squizzato,150000.0
2020/2021,inter-mailand,Nicolò Barella,65000000.0
2020/2021,inter-mailand,Christian Eriksen,40000000.0
2020/2021,inter-mailand,Roberto Gagliardini,15000000.0
2020/2021,inter-mailand,Stefano Sensi,13000000.0
2020/2021,inter-mailand,Matías Vecino,8000000.0
2020/2021,inter-mailand,Radja Nainggolan,5000000.0
2020/2021,inter-mailand,Arturo Vidal,3500000.0
2020/2021,inter-mailand,David Wieser,150000.0
2020/2021,inter-mailand,Riccardo Boscolo Chio,100000.0
2020/2021,inter-mailand,Franco Vezzoni,400000.0
2020/2021,inter-mailand,Gaetano Oristanio,600000.0
2020/2021,inter-mailand,Ivan Perisic,10000000.0
2020/2021,inter-mailand,Romelu Lukaku,100000000.0
2020/2021,inter-mailand,Lautaro Martínez,80000000.0
2020/2021,inter-mailand,Andrea Pinamonti,12000000.0
2020/2021,inter-mailand,Alexis Sánchez,7500000.0
2020/2021,inter-mailand,Martín Satriano,1000000.0
2020/2021,inter-mailand,Nicholas Bonfanti,250000.0
2020/2021,juventus-turin,Wojciech Szczesny,25000000.0
2020/2021,juventus-turin,Gianluigi Buffon,1000000.0
2020/2021,juventus-turin,Franco Israel,600000.0
2020/2021,juventus-turin,Carlo Pinsoglio,400000.0
2020/2021,juventus-turin,Giovanni Garofani,150000.0
2020/2021,juventus-turin,Matthijs de Ligt,75000000.0
2020/2021,juventus-turin,Merih Demiral,28000000.0
2020/2021,juventus-turin,Danilo,20000000.0
