Saison,Équipe,Nom,Valeur marchande,Valeur marchande (euros)
2020/2021,fc-paris-saint-germain,Keylor Navas,"12,00 mio. €",
2020/2021,fc-paris-saint-germain,Sergio Rico,"7,00 mio. €",
2020/2021,fc-paris-saint-germain,Marcin Bulka,800 K €,
2020/2021,fc-paris-saint-germain,Alexandre Letellier,400 K €,
2020/2021,fc-paris-saint-germain,Garissone Innocent,300 K €,
2020/2021,fc-paris-saint-germain,Denis Franchi,250 K €,
2020/2021,fc-paris-saint-germain,Mathyas Randriamamy,150 K €,
2020/2021,fc-paris-saint-germain,Yanis Saidani,150 K €,
2020/2021,fc-paris-saint-germain,Marquinhos,"75,00 mio. €",
2020/2021,fc-paris-saint-germain,Presnel Kimpembe,"40,00 mio. €",
2020/2021,fc-paris-saint-germain,Thilo Kehrer,"25,00 mio. €",
2020/2021,fc-paris-saint-germain,Abdou Diallo,"25,00 mio. €",
2020/2021,fc-paris-saint-germain,Danilo Pereira,"20,00 mio. €",
2020/2021,fc-paris-saint-germain,Juan Bernat,"16,00 mio. €",
2020/2021,fc-paris-saint-germain,Layvin Kurzawa,"12,00 mio. €",
2020/2021,fc-paris-saint-germain,Mitchel Bakker,"10,00 mio. €",
2020/2021,fc-paris-saint-germain,Alessandro Florenzi,"13,00 mio. €",
2020/2021,fc-paris-saint-germain,Colin Dagba,"12,00 mio. €",
2020/2021,fc-paris-saint-germain,Timothée Pembélé,"4,00 mio. €",
2020/2021,fc-paris-saint-germain,Leandro Paredes,"20,00 mio. €",
2020/2021,fc-paris-saint-germain,Idrissa Gueye,"15,00 mio. €",
2020/2021,fc-paris-saint-germain,Maxen Kapo,250 K €,
2020/2021,fc-paris-saint-germain,Abdoulaye Kamara,-,
2020/2021,fc-paris-saint-germain,Marco Verratti,"55,00 mio. €",
2020/2021,fc-paris-saint-germain,Ander Herrera,"13,00 mio. €",
2020/2021,fc-paris-saint-germain,Kays Ruiz-Atil,"3,00 mio. €",
2020/2021,fc-paris-saint-germain,Edouard Michut,500 K €,
2020/2021,fc-paris-saint-germain,Rafinha,"15,00 mio. €",
2020/2021,fc-paris-saint-germain,Bandiougou Fadiga,"1,20 mio. €",
2020/2021,fc-paris-saint-germain,Xavi Simons,500 K €,
2020/2021,fc-paris-saint-germain,Neymar,"100,00 mio. €",
2020/2021,fc-paris-saint-germain,Julian Draxler,"20,00 mio. €",
2020/2021,fc-paris-saint-germain,Jesé,"1,50 mio. €",
