Saison,Équipe,Nom,Valeur marchande,Valeur marchande (euros)
2020/2021,inter-mailand,Andrei Radu,"6,00 mio. €",
2020/2021,inter-mailand,Samir Handanovič,"2,50 mio. €",
2020/2021,inter-mailand,Filip Stanković,500 K €,
2020/2021,inter-mailand,Daniele Padelli,400 K €,
2020/2021,inter-mailand,Milan Škriniar,"60,00 mio. €",
2020/2021,inter-mailand,Alessandro Bastoni,"60,00 mio. €",
2020/2021,inter-mailand,Stefan de Vrij,"50,00 mio. €",
2020/2021,inter-mailand,Danilo D'Ambrosio,"5,00 mio. €",
2020/2021,inter-mailand,Lorenzo Pirola,"2,50 mio. €",
2020/2021,inter-mailand,Andrea Ranocchia,"1,00 mio. €",
2020/2021,inter-mailand,Edoardo Sottini,350 K €,
2020/2021,inter-mailand,Lorenzo Moretti,125 K €,
2020/2021,inter-mailand,Fabio Cortinovis,25 K €,
2020/2021,inter-mailand,Dalbert,"4,00 mio. €",
2020/2021,inter-mailand,Aleksandar Kolarov,"1,50 mio. €",
2020/2021,inter-mailand,Franco Carboni,-,
2020/2021,inter-mailand,Achraf Hakimi,"60,00 mio. €",
2020/2021,inter-mailand,Matteo Darmian,"7,00 mio. €",
2020/2021,inter-mailand,Ashley Young,"1,00 mio. €",
2020/2021,inter-mailand,Tibo Persyn,350 K €,
2020/2021,inter-mailand,Marcelo Brozović,"40,00 mio. €",
2020/2021,inter-mailand,Niccolò Squizzato,150 K €,
2020/2021,inter-mailand,Nicolò Barella,"65,00 mio. €",
2020/2021,inter-mailand,Christian Eriksen,"40,00 mio. €",
2020/2021,inter-mailand,Roberto Gagliardini,"15,00 mio. €",
2020/2021,inter-mailand,Stefano Sensi,"13,00 mio. €",
2020/2021,inter-mailand,Matías Vecino,"8,00 mio. €",
2020/2021,inter-mailand,Radja Nainggolan,"5,00 mio. €",
2020/2021,inter-mailand,Arturo Vidal,"3,50 mio. €",
2020/2021,inter-mailand,David Wieser,150 K €,
2020/2021,inter-mailand,Riccardo Boscolo Chio,100 K €,
2020/2021,inter-mailand,Cesare Casadei,-,
2020/2021,inter-mailand,Franco Vezzoni,400 K €,
2020/2021,inter-mailand,Gaetano Oristanio,600 K €,
2020/2021,inter-mailand,Ivan Perisic,"10,00 mio. €",
2020/2021,inter-mailand,Romelu Lukaku,"100,00 mio. €",
2020/2021,inter-mailand,Lautaro Martínez,"80,00 mio. €",
2020/2021,inter-mailand,Andrea Pinamonti,"12,00 mio. €",
2020/2021,inter-mailand,Alexis Sánchez,"7,50 mio. €",
2020/2021,inter-mailand,Martín Satriano,"1,00 mio. €",
2020/2021,inter-mailand,Nicholas Bonfanti,250 K €,
2020/2021,juventus-turin,Wojciech Szczesny,"25,00 mio. €",
2020/2021,juventus-turin,Gianluigi Buffon,"1,00 mio. €",
2020/2021,juventus-turin,Franco Israel,600 K €,
2020/2021,juventus-turin,Carlo Pinsoglio,400 K €,
2020/2021,juventus-turin,Giovanni Garofani,150 K €,
2020/2021,juventus-turin,Matthijs de Ligt,"75,00 mio. €",
2020/2021,juventus-turin,Merih Demiral,"28,00 mio. €",
2020/2021,juventus-turin,Danilo,"20,00 mio. €",
2020/2021,juventus-turin,Leonardo Bonucci,"8,00 mio. €",
2020/2021,juventus-turin,Daniele Rugani,"5,00 mio. €",
2020/2021,juventus-turin,Radu Drăgușin,"3,00 mio. €",
2020/2021,juventus-turin,Giorgio Chiellini,"1,50 mio. €",
2020/2021,juventus-turin,Koni De Winter,400 K €,
2020/2021,juventus-turin,Alessandro Pio Riccio,350 K €,
2020/2021,juventus-turin,Riccardo Capellini,250 K €,
2020/2021,juventus-turin,Davide De Marino,175 K €,
2020/2021,juventus-turin,Alex Sandro,"20,00 mio. €",
2020/2021,juventus-turin,Gianluca Frabotta,"2,50 mio. €",
2020/2021,juventus-turin,Mattia De Sciglio,"7,50 mio. €",
2020/2021,juventus-turin,Wesley Gasolina,"1,00 mio. €",
2020/2021,juventus-turin,Alessandro Di Pardo,225 K €,
2020/2021,juventus-turin,Arthur Melo,"40,00 mio. €",
2020/2021,juventus-turin,Rodrigo Bentancur,"35,00 mio. €",
2020/2021,juventus-turin,Daouda Peeters,"1,00 mio. €",
2020/2021,juventus-turin,Adrien Rabiot,"30,00 mio. €",
2020/2021,juventus-turin,Weston McKennie,"25,00 mio. €",
2020/2021,juventus-turin,Aaron Ramsey,"14,00 mio. €",
2020/2021,juventus-turin,Hans Nicolussi Caviglia,"1,50 mio. €",
2020/2021,juventus-turin,Nicolò Fagioli,"1,20 mio. €",
2020/2021,juventus-turin,Manolo Portanova,"1,00 mio. €",
2020/2021,juventus-turin,Filippo Ranocchia,600 K €,
2020/2021,juventus-turin,Hamza Rafia,500 K €,
2020/2021,juventus-turin,Juan Cuadrado,"16,00 mio. €",
2020/2021,juventus-turin,Dejan Kulusevski,"40,00 mio. €",
2020/2021,juventus-turin,Marley Aké,"2,50 mio. €",
2020/2021,juventus-turin,Félix Correia,"2,00 mio. €",
2020/2021,juventus-turin,Federico Chiesa,"60,00 mio. €",
2020/2021,juventus-turin,Federico Bernardeschi,"15,00 mio. €",
2020/2021,juventus-turin,Douglas Costa,"6,00 mio. €",
2020/2021,juventus-turin,Paulo Dybala,"50,00 mio. €",
2020/2021,juventus-turin,Cristiano Ronaldo,"45,00 mio. €",
2020/2021,juventus-turin,Álvaro Morata,"45,00 mio. €",
2020/2021,juventus-turin,Cosimo da Graça,"1,10 mio. €",
2020/2021,juventus-turin,Alejandro Marqués,500 K €,
2020/2021,juventus-turin,Giacomo Vrioni,350 K €,
2020/2021,ac-mailand,Gianluigi Donnarumma,"60,00 mio. €",
2020/2021,ac-mailand,Ciprian Tătărușanu,600 K €,
2020/2021,ac-mailand,Antonio Donnarumma,300 K €,
2020/2021,ac-mailand,Andreas Jungdal,150 K €,
2020/2021,ac-mailand,Leonardo Moleri,25 K €,
2020/2021,ac-mailand,Fikayo Tomori,"28,00 mio. €",
2020/2021,ac-mailand,Alessio Romagnoli,"25,00 mio. €",
2020/2021,ac-mailand,Simon Kjaer,"10,00 mio. €",
2020/2021,ac-mailand,Matteo Gabbia,"8,50 mio. €",
2020/2021,ac-mailand,Pierre Kalulu,"7,00 mio. €",
2020/2021,ac-mailand,Léo Duarte,"2,20 mio. €",
2020/2021,ac-mailand,Mateo Musacchio,"2,00 mio. €",
2020/2021,ac-mailand,Nikolaos Michelis,400 K €,
2020/2021,ac-mailand,Luca Stanga,150 K €,
2020/2021,ac-mailand,Theo Hernández,"50,00 mio. €",
2020/2021,ac-mailand,Diego Laxalt,"3,20 mio. €",
2020/2021,ac-mailand,Davide Calabria,"25,00 mio. €",
2020/2021,ac-mailand,Diogo Dalot,"10,00 mio. €",
2020/2021,ac-mailand,Andrea Conti,"4,50 mio. €",
2020/2021,ac-mailand,Ismaël Bennacer,"38,00 mio. €",
2020/2021,ac-mailand,Hakan Çalhanoğlu,"35,00 mio. €",
2020/2021,ac-mailand,Rade Krunic,"6,00 mio. €",
2020/2021,ac-mailand,Soualiho Meïté,"5,00 mio. €",
2020/2021,ac-mailand,Franck Kessié,"55,00 mio. €",
2020/2021,ac-mailand,Sandro Tonali,"27,00 mio. €",
2020/2021,ac-mailand,Enrico Di Gesù,200 K €,
2020/2021,ac-mailand,Marco Frigerio,125 K €,
2020/2021,ac-mailand,Antonio Mionic,75 K €,
2020/2021,ac-mailand,Lucas Paquetá,"30,00 mio. €",
2020/2021,ac-mailand,Daniel Maldini,800 K €,
2020/2021,ac-mailand,Giacomo Olzer,150 K €,
2020/2021,ac-mailand,Ante Rebić,"32,00 mio. €",
2020/2021,ac-mailand,Rafael Leão,"25,00 mio. €",
2020/2021,ac-mailand,Jens Petter Hauge,"9,50 mio. €",
2020/2021,ac-mailand,Alexis Saelemaekers,"18,00 mio. €",
2020/2021,ac-mailand,Brahim Díaz,"15,00 mio. €",
2020/2021,ac-mailand,Samu Castillejo,"8,00 mio. €",
2020/2021,ac-mailand,Zlatan Ibrahimović,"4,00 mio. €",
2020/2021,ac-mailand,Lorenzo Colombo,"1,00 mio. €",
2020/2021,ac-mailand,Mario Mandžukić,800 K €,
2020/2021,ac-mailand,Riccardo Tonin,100 K €,
2020/2021,ac-mailand,Emil Roback,-,
2020/2021,ssc-neapel,Alex Meret,"20,00 mio. €",
2020/2021,ssc-neapel,David Ospina,"5,00 mio. €",
2020/2021,ssc-neapel,Nikita Contini,500 K €,
2020/2021,ssc-neapel,Hubert Idasiak,150 K €,
2020/2021,ssc-neapel,Kalidou Koulibaly,"48,00 mio. €",
2020/2021,ssc-neapel,Konstantinos Manolas,"23,00 mio. €",
2020/2021,ssc-neapel,Amir Rrahmani,"14,00 mio. €",
2020/2021,ssc-neapel,Nikola Maksimović,"10,00 mio. €",
2020/2021,ssc-neapel,Sebastiano Luperto,"2,20 mio. €",
2020/2021,ssc-neapel,Davide Costanzo,75 K €,
2020/2021,ssc-neapel,Mário Rui,"8,00 mio. €",
2020/2021,ssc-neapel,Faouzi Ghoulam,"3,00 mio. €",
2020/2021,ssc-neapel,Giovanni Di Lorenzo,"24,00 mio. €",
2020/2021,ssc-neapel,Elseid Hysaj,"13,00 mio. €",
2020/2021,ssc-neapel,Kévin Malcuit,"3,50 mio. €",
2020/2021,ssc-neapel,Tiemoué Bakayoko,"20,00 mio. €",
2020/2021,ssc-neapel,Diego Demme,"16,00 mio. €",
2020/2021,ssc-neapel,Stanislav Lobotka,"9,00 mio. €",
2020/2021,ssc-neapel,Piotr Zieliński,"50,00 mio. €",
2020/2021,ssc-neapel,Fabián Ruiz,"45,00 mio. €",
2020/2021,ssc-neapel,Valerio Labriola,75 K €,
2020/2021,ssc-neapel,Karim Zedadka,100 K €,
2020/2021,ssc-neapel,Eljif Elmas,"17,00 mio. €",
2020/2021,ssc-neapel,Lorenzo Insigne,"48,00 mio. €",
2020/2021,ssc-neapel,Hirving Lozano,"45,00 mio. €",
2020/2021,ssc-neapel,Antonio Cioffi,600 K €,
2020/2021,ssc-neapel,Giuseppe D'Agostino,-,
2020/2021,ssc-neapel,Matteo Politano,"30,00 mio. €",
2020/2021,ssc-neapel,Dries Mertens,"9,00 mio. €",
2020/2021,ssc-neapel,Victor Osimhen,"50,00 mio. €",
2020/2021,ssc-neapel,Andrea Petagna,"15,00 mio. €",
2020/2021,ssc-neapel,Fernando Llorente,"1,00 mio. €",
2020/2021,atalanta-bergamo,Pierluigi Gollini,"17,00 mio. €",
