league,season,team,player,nation,pos,age,born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,stat_type,nation_defense,pos_defense,age_defense,born_defense,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,stat_type_defense,nation_misc,pos_misc,age_misc,born_misc,90s_misc,Performance CrdY_misc,Performance CrdR_misc,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,stat_type_misc,nation_shooting,pos_shooting,age_shooting,born_shooting,90s_shooting,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG_shooting,Expected npxG_shooting,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,stat_type_shooting,nation_passing,pos_passing,age_passing,born_passing,90s_passing,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,stat_type_passing,nation_possession,pos_possession,age_possession,born_possession,90s_possession,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,stat_type_possession
FRA-Ligue 1,2022,Nice,Aaron Ramsey,WAL,MF,31,1990,27,18,1584,17.6,1,1,2,1,0,0,3,0,2.5,2.5,1.8,4.3,29,126,84,0.06,0.06,0.11,0.06,0.11,0.14,0.1,0.24,0.14,0.24,standard,WAL,MF,31,1990,17.6,47,25,18,19,10,16,39,41.0,23,25,4,21,17,64,18,1,defense,WAL,MF,31,1990,17.6,3,0,0,23,18,3,62,17,25,1,0,0,115,6,12,33.3,misc,WAL,MF,31,1990,17.6,1,22,6,27.3,1.25,0.34,0.05,0.17,15.3,1,0,0,2.5,2.5,0.11,-1.5,-1.5,shooting,WAL,MF,31,1990,17.6,915,1088,84.1,16069,3809,398,431,92.3,382,444,86.0,100,159,62.9,1,1.8,2.0,-0.8,28,88,20,3,126,passing,WAL,MF,31,1990,17.6,1279,43,208,723,361,50,1279,24,14,58.3,5,20.8,980,4866,1934,29,34,8,24,32,902,84,possession
FRA-Ligue 1,2022,Angers,Abdallah Sima,SEN,FW,21,2001,34,19,1836,20.4,5,1,6,5,0,0,0,0,4.8,4.8,2.2,7.0,38,21,140,0.25,0.05,0.29,0.25,0.29,0.24,0.11,0.34,0.24,0.34,standard,SEN,FW,21,2001,20.4,22,13,4,15,3,7,19,36.8,12,8,0,8,4,26,19,0,defense,SEN,FW,21,2001,20.4,0,0,0,32,24,12,16,4,13,1,1,1,52,43,63,40.6,misc,SEN,FW,21,2001,20.4,5,39,10,25.6,1.91,0.49,0.13,0.5,12.7,0,0,0,4.8,4.8,0.12,0.2,0.2,shooting,SEN,FW,21,2001,20.4,274,374,73.3,3603,688,142,182,78.0,84,116,72.4,8,17,47.1,1,2.2,1.3,-1.2,16,18,6,1,21,passing,SEN,FW,21,2001,20.4,589,23,54,271,281,78,589,50,21,42.0,25,50.0,404,2855,915,38,25,17,60,31,424,140,possession
FRA-Ligue 1,2022,Nantes,Abdoul Kader Bamba,FRA,"FW,MF",28,1994,4,1,78,0.9,0,0,0,0,0,0,0,1,0.1,0.1,0.0,0.1,1,3,12,0.0,0.0,0.0,0.0,0.0,0.11,0.04,0.15,0.11,0.15,standard,FRA,"FW,MF",28,1994,0.9,0,0,0,0,0,0,2,0.0,2,3,1,2,0,0,1,0,defense,FRA,"FW,MF",28,1994,0.9,0,1,0,3,2,1,3,0,0,0,0,0,5,2,0,100.0,misc,FRA,"FW,MF",28,1994,0.9,0,1,1,100.0,1.15,1.15,0.0,0.0,19.3,0,0,0,0.1,0.1,0.09,-0.1,-0.1,shooting,FRA,"FW,MF",28,1994,0.9,36,44,81.8,485,148,16,20,80.0,15,17,88.2,0,1,0.0,0,0.0,0.0,0.0,1,2,0,0,3,passing,FRA,"FW,MF",28,1994,0.9,54,0,8,23,23,2,54,1,0,0.0,0,0.0,42,236,79,1,1,1,1,4,40,12,possession
FRA-Ligue 1,2022,Angers,Abdoulaye Bamba,CIV,DF,32,1990,21,12,1364,15.2,0,0,0,0,0,0,2,0,0.0,0.0,0.3,0.3,8,36,19,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,standard,CIV,DF,32,1990,15.2,22,12,15,5,2,16,19,84.2,3,7,3,4,18,40,38,0,defense,CIV,DF,32,1990,15.2,2,0,0,10,13,4,19,18,12,0,0,0,68,17,14,54.8,misc,CIV,DF,32,1990,15.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,CIV,DF,32,1990,15.2,619,721,85.9,10973,3954,248,266,93.2,302,341,88.6,53,81,65.4,0,0.3,0.6,-0.3,4,46,6,3,36,passing,CIV,DF,32,1990,15.2,832,52,317,442,81,2,832,9,4,44.4,4,44.4,598,2647,1112,8,5,0,9,4,541,19,possession
FRA-Ligue 1,2022,Troyes,Abdu Conté,POR,DF,24,1998,19,15,1315,14.6,1,2,3,1,0,0,0,0,0.6,0.6,2.0,2.6,32,56,91,0.07,0.14,0.21,0.07,0.21,0.04,0.14,0.18,0.04,0.18,standard,POR,DF,24,1998,14.6,25,17,14,8,3,12,22,54.5,10,13,6,7,6,31,25,0,defense,POR,DF,24,1998,14.6,0,0,0,12,12,4,37,6,17,0,2,0,71,16,7,69.6,misc,POR,DF,24,1998,14.6,1,4,2,50.0,0.27,0.14,0.25,0.5,15.3,0,0,0,0.6,0.6,0.14,0.4,0.4,shooting,POR,DF,24,1998,14.6,591,754,78.4,10401,3886,256,303,84.5,270,324,83.3,52,83,62.7,2,2.0,1.8,0.0,14,41,14,6,56,passing,POR,DF,24,1998,14.6,869,48,285,385,206,19,869,17,2,11.8,14,82.4,591,3294,1623,32,21,6,9,6,542,91,possession
FRA-Ligue 1,2022,Brest,Achraf Dari,MAR,DF,23,1999,18,15,1317,14.6,1,0,1,1,0,0,1,0,0.4,0.4,0.0,0.4,3,33,1,0.07,0.0,0.07,0.07,0.07,0.02,0.0,0.03,0.02,0.03,standard,MAR,DF,23,1999,14.6,21,14,15,5,1,14,20,70.0,6,16,10,6,19,40,65,2,defense,MAR,DF,23,1999,14.6,1,0,0,13,13,2,1,19,14,1,1,0,78,35,24,59.3,misc,MAR,DF,23,1999,14.6,1,4,2,50.0,0.27,0.14,0.25,0.5,15.4,0,0,0,0.4,0.4,0.09,0.6,0.6,shooting,MAR,DF,23,1999,14.6,547,690,79.3,12287,4337,123,144,85.4,308,343,89.8,106,183,57.9,0,0.0,0.1,0.0,1,25,0,0,33,passing,MAR,DF,23,1999,14.6,846,135,480,356,16,9,846,1,1,100.0,0,0.0,561,2954,1268,3,1,0,4,3,493,1,possession
FRA-Ligue 1,2022,Paris S-G,Achraf Hakimi,MAR,"DF,MF",23,1998,28,23,2053,22.8,5,3,8,5,0,0,7,2,3.8,3.8,3.0,6.8,85,99,229,0.22,0.13,0.35,0.22,0.35,0.17,0.13,0.3,0.17,0.3,standard,MAR,"DF,MF",23,1998,22.8,54,34,19,20,15,31,59,52.5,28,34,2,32,16,70,19,0,defense,MAR,"DF,MF",23,1998,22.8,7,2,1,29,19,5,42,16,34,1,0,0,129,7,7,50.0,misc,MAR,"DF,MF",23,1998,22.8,5,18,9,50.0,0.79,0.39,0.28,0.56,14.9,0,0,0,3.8,3.8,0.21,1.2,1.2,shooting,MAR,"DF,MF",23,1998,22.8,1373,1538,89.3,17560,4800,875,952,91.9,378,416,90.9,28,40,70.0,3,3.0,5.3,0.0,33,49,46,13,99,passing,MAR,"DF,MF",23,1998,22.8,1772,49,361,716,713,82,1772,74,29,39.2,32,43.2,1414,7700,4281,85,66,22,29,23,1326,229,possession
FRA-Ligue 1,2022,Lens,Adam Buksa,POL,"FW,MF",26,1996,8,0,101,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,9,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,standard,POL,"FW,MF",26,1996,1.1,1,0,0,0,1,0,3,0.0,3,0,0,0,0,1,0,0,defense,POL,"FW,MF",26,1996,1.1,0,0,0,5,1,0,1,0,0,0,0,0,2,1,5,16.7,misc,POL,"FW,MF",26,1996,1.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,POL,"FW,MF",26,1996,1.1,15,24,62.5,245,53,7,11,63.6,7,9,77.8,0,1,0.0,0,0.0,0.0,0.0,1,3,0,0,3,passing,POL,"FW,MF",26,1996,1.1,35,0,1,19,15,7,35,0,0,,0,,27,115,25,1,0,1,7,2,29,9,possession
FRA-Ligue 1,2022,Lille,Adam Ounas,ALG,"FW,MF",25,1996,21,12,1064,11.8,1,1,2,1,0,0,2,0,2.3,2.3,2.8,5.1,55,66,125,0.08,0.08,0.17,0.08,0.17,0.2,0.23,0.43,0.2,0.43,standard,ALG,"FW,MF",25,1996,11.8,20,11,4,10,6,8,13,61.5,5,16,0,16,7,27,5,0,defense,ALG,"FW,MF",25,1996,11.8,2,0,0,15,29,2,75,7,11,1,0,0,60,5,10,33.3,misc,ALG,"FW,MF",25,1996,11.8,1,26,9,34.6,2.2,0.76,0.04,0.11,19.1,3,0,0,2.3,2.3,0.09,-1.3,-1.3,shooting,ALG,"FW,MF",25,1996,11.8,403,569,70.8,7134,2189,190,234,81.2,153,218,70.2,48,83,57.8,1,2.8,2.9,-1.8,26,34,32,4,66,passing,ALG,"FW,MF",25,1996,11.8,727,6,56,270,420,37,727,82,37,45.1,31,37.8,564,4043,2014,55,43,11,25,25,532,125,possession
FRA-Ligue 1,2022,Lorient,Adil Aouchiche,FRA,MF,20,2002,11,1,250,2.8,0,0,0,0,0,0,0,0,0.5,0.5,0.1,0.6,16,23,20,0.0,0.0,0.0,0.0,0.0,0.2,0.02,0.22,0.2,0.22,standard,FRA,MF,20,2002,2.8,5,2,3,1,1,1,9,11.1,8,1,0,1,4,9,1,0,defense,FRA,MF,20,2002,2.8,0,0,0,4,5,0,17,4,2,0,0,0,14,0,3,0.0,misc,FRA,MF,20,2002,2.8,0,8,3,37.5,2.88,1.08,0.0,0.0,17.1,0,0,0,0.5,0.5,0.07,-0.5,-0.5,shooting,FRA,MF,20,2002,2.8,115,154,74.7,1969,665,56,62,90.3,41,51,80.4,12,30,40.0,0,0.1,0.1,-0.1,1,15,3,0,23,passing,FRA,MF,20,2002,2.8,192,7,30,104,61,8,192,7,2,28.6,3,42.9,149,996,559,16,10,1,6,8,137,20,possession
