league,season,team,player,nation,pos,age,born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,stat_type,nation_defense,pos_defense,age_defense,born_defense,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,stat_type_defense,nation_shooting,pos_shooting,age_shooting,born_shooting,90s_shooting,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG_shooting,Expected npxG_shooting,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,stat_type_shooting,nation_passing,pos_passing,age_passing,born_passing,90s_passing,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,stat_type_passing,nation_misc,pos_misc,age_misc,born_misc,90s_misc,Performance CrdY_misc,Performance CrdR_misc,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,stat_type_misc,nation_possession,pos_possession,age_possession,born_possession,90s_possession,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,stat_type_possession
FRA-Ligue 1,2024,Lille,Aaron Malouda,FRA,FW,19-132,2005.0,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,FRA,FW,19-132,2005.0,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense,FRA,FW,19-132,2005.0,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,FRA,FW,19-132,2005.0,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,passing,FRA,FW,19-132,2005.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,misc,FRA,FW,19-132,2005.0,0.0,0,0,0,0,0,0,0,0,0,,0,,1,3,0,0,0,0,0,1,1,0,possession
FRA-Ligue 1,2024,Strasbourg,Abakar Sylla,CIV,DF,22-107,2002.0,18,10,921,10.2,1,0,1,1,0,0,2,1,0.4,0.4,0.0,0.4,0,20,3,0.1,0.0,0.1,0.1,0.1,0.04,0.0,0.04,0.04,0.04,standard,CIV,DF,22-107,2002.0,10.2,26,14,13,11,2,15,17,88.2,2,18,10,8,11,37,57,0,defense,CIV,DF,22-107,2002.0,10.2,1,5,1,20.0,0.49,0.1,0.2,1.0,9.0,0,0,0,0.4,0.4,0.08,0.6,0.6,shooting,CIV,DF,22-107,2002.0,10.2,573,645,88.8,9801,3527,221,241,91.7,326,351,92.9,21,42,50.0,0,0.0,0.1,0.0,0,21,0,0,20,passing,CIV,DF,22-107,2002.0,10.2,2,1,0,17,7,0,1,11,14,0,0,1,39,20,15,57.1,misc,CIV,DF,22-107,2002.0,10.2,770,145,494,255,24,9,770,6,3,50.0,3,50.0,419,1475,611,0,1,0,5,4,486,3,possession
FRA-Ligue 1,2024,Brest,Abdallah Sima,SEN,"FW,MF",23-298,2001.0,21,11,976,10.8,5,2,7,5,0,0,2,0,4.5,4.5,0.9,5.4,35,22,77,0.46,0.18,0.65,0.46,0.65,0.42,0.08,0.5,0.42,0.5,standard,SEN,"FW,MF",23-298,2001.0,10.8,9,8,1,3,5,4,9,44.4,5,5,0,5,1,10,9,0,defense,SEN,"FW,MF",23-298,2001.0,10.8,5,30,13,43.3,2.77,1.2,0.17,0.38,13.8,0,0,0,4.5,4.5,0.15,0.5,0.5,shooting,SEN,"FW,MF",23-298,2001.0,10.8,195,276,70.7,2629,555,122,153,79.7,58,85,68.2,7,8,87.5,2,0.9,0.7,1.1,10,9,5,1,22,passing,SEN,"FW,MF",23-298,2001.0,10.8,2,0,0,12,21,3,16,1,8,0,0,0,54,29,32,47.5,misc,SEN,"FW,MF",23-298,2001.0,10.8,416,9,57,157,207,53,416,21,6,28.6,11,52.4,250,1747,638,35,14,18,39,15,308,77,possession
FRA-Ligue 1,2024,Reims,Abdoul Koné,FRA,DF,19-354,2005.0,3,1,120,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,FRA,DF,19-354,2005.0,1.3,5,3,4,1,0,3,5,60.0,2,2,1,1,1,6,4,0,defense,FRA,DF,19-354,2005.0,1.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,FRA,DF,19-354,2005.0,1.3,42,60,70.0,864,174,15,17,88.2,21,26,80.8,6,11,54.5,0,0.0,0.0,0.0,0,1,0,0,3,passing,FRA,DF,19-354,2005.0,1.3,0,0,0,3,3,0,0,1,3,0,0,0,7,1,0,100.0,misc,FRA,DF,19-354,2005.0,1.3,79,10,36,36,7,0,79,2,1,50.0,1,50.0,35,134,23,0,0,0,5,1,38,0,possession
FRA-Ligue 1,2024,Brest,Abdoulaye Niakhate Ndiaye,SEN,DF,23-001,2002.0,17,14,1303,14.5,1,0,1,1,0,0,3,0,0.8,0.8,0.0,0.8,5,34,3,0.07,0.0,0.07,0.07,0.07,0.06,0.0,0.06,0.06,0.06,standard,SEN,DF,23-001,2002.0,14.5,36,25,26,10,0,18,28,64.3,10,20,12,8,7,43,116,1,defense,SEN,DF,23-001,2002.0,14.5,1,8,2,25.0,0.55,0.14,0.13,0.5,8.7,0,0,0,0.8,0.8,0.1,0.2,0.2,shooting,SEN,DF,23-001,2002.0,14.5,588,696,84.5,11644,4404,194,224,86.6,305,339,90.0,84,118,71.2,0,0.0,0.2,0.0,1,31,2,0,34,passing,SEN,DF,23-001,2002.0,14.5,3,0,0,13,10,0,2,7,25,0,1,0,52,38,31,55.1,misc,SEN,DF,23-001,2002.0,14.5,902,152,542,338,24,15,902,5,0,0.0,5,100.0,418,2417,1286,5,2,0,10,4,540,3,possession
FRA-Ligue 1,2024,Le Havre,Abdoulaye Touré,GUI,MF,31-039,1994.0,22,20,1785,19.8,8,1,9,2,6,7,5,0,7.6,1.9,0.1,2.1,9,81,20,0.4,0.05,0.45,0.1,0.15,0.38,0.01,0.39,0.1,0.1,standard,GUI,MF,31-039,1994.0,19.8,54,29,30,17,7,30,48,62.5,18,26,15,11,26,80,33,3,defense,GUI,MF,31-039,1994.0,19.8,8,32,5,15.6,1.61,0.25,0.06,0.4,24.8,0,6,7,7.6,1.9,0.06,0.4,0.1,shooting,GUI,MF,31-039,1994.0,19.8,648,793,81.7,11843,3338,269,319,84.3,284,335,84.8,77,100,77.0,1,0.1,0.4,0.9,4,68,6,2,81,passing,GUI,MF,31-039,1994.0,19.8,5,0,0,27,41,1,5,26,29,1,0,0,125,27,15,64.3,misc,GUI,MF,31-039,1994.0,19.8,1036,68,301,585,159,25,1029,25,13,52.0,8,32.0,544,2524,1076,9,12,0,25,25,628,20,possession
FRA-Ligue 1,2024,Lens,Abdukodir Khusanov,UZB,DF,21-041,2004.0,13,11,975,10.8,0,0,0,0,0,0,2,1,0.2,0.2,0.3,0.6,2,43,6,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.05,0.02,0.05,standard,UZB,DF,21-041,2004.0,10.8,15,11,9,5,1,7,11,63.6,4,17,11,6,26,41,57,0,defense,UZB,DF,21-041,2004.0,10.8,0,6,4,66.7,0.55,0.37,0.0,0.0,24.6,2,0,0,0.2,0.2,0.04,-0.2,-0.2,shooting,UZB,DF,21-041,2004.0,10.8,483,548,88.1,8942,3769,174,188,92.6,255,276,92.4,43,64,67.2,0,0.3,0.2,-0.3,2,39,4,1,43,passing,UZB,DF,21-041,2004.0,10.8,2,1,0,13,3,0,5,26,11,0,1,0,50,27,12,69.2,misc,UZB,DF,21-041,2004.0,10.8,683,90,335,322,34,4,683,1,1,100.0,0,0.0,339,1452,642,2,4,0,5,1,392,6,possession
FRA-Ligue 1,2024,Lyon,Abner,BRA,DF,24-319,2000.0,15,10,904,10.0,1,1,2,1,0,0,1,0,0.2,0.2,1.1,1.3,24,52,51,0.1,0.1,0.2,0.1,0.2,0.02,0.11,0.13,0.02,0.13,standard,BRA,DF,24-319,2000.0,10.0,22,16,10,8,4,17,26,65.4,9,12,1,11,5,27,33,0,defense,BRA,DF,24-319,2000.0,10.0,1,6,3,50.0,0.6,0.3,0.17,0.33,19.9,0,0,0,0.2,0.2,0.03,0.8,0.8,shooting,BRA,DF,24-319,2000.0,10.0,464,553,83.9,6736,2803,272,298,91.3,150,177,84.7,26,42,61.9,1,1.1,2.3,-0.1,11,35,11,2,52,passing,BRA,DF,24-319,2000.0,10.0,1,0,0,12,4,0,27,5,16,0,0,0,41,5,6,45.5,misc,BRA,DF,24-319,2000.0,10.0,648,32,155,298,197,21,648,10,4,40.0,6,60.0,333,1518,977,24,13,5,12,8,416,51,possession
FRA-Ligue 1,2024,Paris S-G,Achraf Hakimi,MAR,DF,26-158,1998.0,22,21,1826,20.3,4,6,10,4,0,0,4,0,2.8,2.8,6.1,8.9,91,158,238,0.2,0.3,0.49,0.2,0.49,0.14,0.3,0.44,0.14,0.44,standard,MAR,DF,26-158,1998.0,20.3,45,34,17,18,10,25,49,51.0,24,23,2,21,29,74,15,3,defense,MAR,DF,26-158,1998.0,20.3,4,29,12,41.4,1.43,0.59,0.14,0.33,18.9,5,0,0,2.8,2.8,0.1,1.2,1.2,shooting,MAR,DF,26-158,1998.0,20.3,1697,1913,88.7,22739,6633,1082,1150,94.1,496,563,88.1,48,75,64.0,6,6.1,4.9,-0.1,47,114,33,9,158,passing,MAR,DF,26-158,1998.0,20.3,4,0,0,18,23,8,71,29,34,0,0,0,124,8,11,42.1,misc,MAR,DF,26-158,1998.0,20.3,2122,38,395,877,863,73,2122,46,23,50.0,19,41.3,1237,5546,3308,91,54,19,33,15,1626,238,possession
FRA-Ligue 1,2024,Auxerre,Ado Onaiwu,JPN,"MF,FW",29-154,1995.0,25,6,714,7.9,2,1,3,2,0,0,0,1,3.4,3.4,0.7,4.1,12,21,62,0.25,0.13,0.38,0.25,0.38,0.42,0.09,0.52,0.42,0.52,standard,JPN,"MF,FW",29-154,1995.0,7.9,6,5,1,5,0,2,7,28.6,5,4,0,4,2,8,10,0,defense,JPN,"MF,FW",29-154,1995.0,7.9,2,19,10,52.6,2.39,1.26,0.11,0.2,12.8,0,0,0,3.4,3.4,0.18,-1.4,-1.4,shooting,JPN,"MF,FW",29-154,1995.0,7.9,189,256,73.8,2433,576,111,143,77.6,54,67,80.6,7,10,70.0,1,0.7,0.6,0.3,7,17,7,3,21,passing,JPN,"MF,FW",29-154,1995.0,7.9,0,1,0,5,12,2,5,2,5,0,0,0,35,27,23,54.0,misc,JPN,"MF,FW",29-154,1995.0,7.9,354,7,36,177,148,27,354,18,7,38.9,10,55.6,209,1013,519,12,12,3,22,17,270,62,possession
