league,season,team,player,nation,pos,age,born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,stat_type,nation_passing,pos_passing,age_passing,born_passing,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,stat_type_passing,nation_possession,pos_possession,age_possession,born_possession,90s_possession,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,stat_type_possession,nation_shooting,pos_shooting,age_shooting,born_shooting,90s_shooting,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG_shooting,Expected npxG_shooting,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,stat_type_shooting,nation_defense,pos_defense,age_defense,born_defense,90s_defense,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,stat_type_defense,nation_misc,pos_misc,age_misc,born_misc,90s_misc,Performance CrdY_misc,Performance CrdR_misc,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,stat_type_misc
GER-Bundesliga,2020,Mainz 05,Aarón Martín,ESP,"DF,FW",23,1997,5,3,262,2.9,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,5,9,18,0.0,0.0,0.0,0.0,0.0,0.01,0.09,0.1,0.01,0.1,standard,ESP,"DF,FW",23,1997,2.9,120,173,69.4,2057,856,61,73,83.6,46,70,65.7,12,25,48.0,0,0.3,0.5,-0.3,3,6,3,3,9,passing,ESP,"DF,FW",23,1997,2.9,192,7,46,89,57,2,192,5,3,60.0,2,40.0,106,534,170,5,1,1,3,2,116,18,possession,ESP,"DF,FW",23,1997,2.9,0,1,0,0.0,0.34,0.0,0.0,,20.4,0,0,0,0.0,0.0,0.03,0.0,0.0,shooting,ESP,"DF,FW",23,1997,2.9,3,2,2,1,0,2,4,50.0,2,1,0,1,2,5,2,0,defense,ESP,"DF,FW",23,1997,2.9,0,0,0,4,0,0,21,2,2,0,0,0,10,1,1,50.0,misc
GER-Bundesliga,2020,Mainz 05,Abass Issah,GHA,"DF,FW",21,1998,2,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,GHA,"DF,FW",21,1998,0.2,12,15,80.0,178,44,7,9,77.8,5,5,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,1,passing,GHA,"DF,FW",21,1998,0.2,16,0,5,4,7,1,16,1,1,100.0,0,0.0,11,50,37,1,1,0,0,0,8,1,possession,GHA,"DF,FW",21,1998,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,GHA,"DF,FW",21,1998,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense,GHA,"DF,FW",21,1998,0.2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,,misc
GER-Bundesliga,2020,Wolfsburg,Admir Mehmedi,SUI,"MF,FW",29,1991,18,8,820,9.1,0,2,2,0,0,0,0,0,0.6,0.6,2.4,3.0,17,71,60,0.0,0.22,0.22,0.0,0.22,0.07,0.27,0.33,0.07,0.33,standard,SUI,"MF,FW",29,1991,9.1,340,440,77.3,4998,1304,185,220,84.1,106,132,80.3,21,36,58.3,2,2.4,2.5,-0.4,18,35,17,1,71,passing,SUI,"MF,FW",29,1991,9.1,528,4,47,246,238,33,528,8,7,87.5,1,12.5,270,1186,498,17,19,4,24,18,385,60,possession,SUI,"MF,FW",29,1991,9.1,0,7,3,42.9,0.77,0.33,0.0,0.0,16.3,0,0,0,0.6,0.6,0.09,-0.6,-0.6,shooting,SUI,"MF,FW",29,1991,9.1,17,9,6,7,4,6,16,37.5,10,7,0,7,5,22,1,0,defense,SUI,"MF,FW",29,1991,9.1,0,0,0,19,15,10,20,5,9,0,0,0,45,5,19,20.8,misc
GER-Bundesliga,2020,Schalke 04,Ahmed Kutucu,TUR,"FW,MF",20,2000,7,0,108,1.2,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,2,1,10,0.0,0.0,0.0,0.0,0.0,0.05,0.02,0.07,0.05,0.07,standard,TUR,"FW,MF",20,2000,1.2,23,35,65.7,291,22,12,17,70.6,5,7,71.4,1,3,33.3,0,0.0,0.0,0.0,1,0,0,0,1,passing,TUR,"FW,MF",20,2000,1.2,46,0,4,24,19,2,46,5,3,60.0,2,40.0,34,169,58,2,2,0,5,1,36,10,possession,TUR,"FW,MF",20,2000,1.2,0,1,0,0.0,0.83,0.0,0.0,,17.7,0,0,0,0.1,0.1,0.06,-0.1,-0.1,shooting,TUR,"FW,MF",20,2000,1.2,1,0,0,0,1,1,2,50.0,1,1,0,1,0,1,0,0,defense,TUR,"FW,MF",20,2000,1.2,1,0,0,2,1,0,2,0,0,0,0,0,1,2,5,28.6,misc
GER-Bundesliga,2020,Eint Frankfurt,Ajdin Hrustic,AUS,"MF,DF",24,1996,11,1,272,3.0,1,0,1,1,0,0,2,0,0.3,0.3,0.1,0.5,9,28,9,0.33,0.0,0.33,0.33,0.33,0.11,0.05,0.16,0.11,0.16,standard,AUS,"MF,DF",24,1996,3.0,190,238,79.8,3221,1012,102,110,92.7,68,75,90.7,19,43,44.2,0,0.1,0.6,-0.1,4,27,9,4,28,passing,AUS,"MF,DF",24,1996,3.0,275,3,25,158,98,7,275,6,4,66.7,2,33.3,170,799,446,9,12,0,9,3,197,9,possession,AUS,"MF,DF",24,1996,3.0,1,7,4,57.1,2.32,1.32,0.14,0.25,24.8,0,0,0,0.3,0.3,0.05,0.7,0.7,shooting,AUS,"MF,DF",24,1996,3.0,6,5,2,3,1,3,10,30.0,7,2,0,2,4,10,3,0,defense,AUS,"MF,DF",24,1996,3.0,2,0,0,7,5,0,26,4,5,0,0,0,24,3,1,75.0,misc
GER-Bundesliga,2020,Union Berlin,Akaki Gogia,GER,"FW,MF",28,1992,7,0,140,1.6,0,1,1,0,0,0,1,0,0.1,0.1,0.5,0.6,5,7,17,0.0,0.64,0.64,0.0,0.64,0.07,0.33,0.39,0.07,0.39,standard,GER,"FW,MF",28,1992,1.6,40,57,70.2,634,203,21,25,84.0,14,21,66.7,4,5,80.0,1,0.5,0.4,0.5,2,3,1,0,7,passing,GER,"FW,MF",28,1992,1.6,71,1,6,35,33,6,71,4,2,50.0,2,50.0,50,253,126,5,2,0,1,2,54,17,possession,GER,"FW,MF",28,1992,1.6,0,2,2,100.0,1.29,1.29,0.0,0.0,20.9,0,0,0,0.1,0.1,0.05,-0.1,-0.1,shooting,GER,"FW,MF",28,1992,1.6,1,0,0,1,0,0,2,0.0,2,0,0,0,1,2,0,0,defense,GER,"FW,MF",28,1992,1.6,1,0,0,6,4,0,0,1,0,1,0,0,9,1,2,33.3,misc
GER-Bundesliga,2020,Gladbach,Alassane Pléa,FRA,FW,27,1993,29,19,1803,20.0,6,1,7,6,0,0,2,0,5.7,5.7,4.6,10.4,55,75,178,0.3,0.05,0.35,0.3,0.35,0.29,0.23,0.52,0.29,0.52,standard,FRA,FW,27,1993,20.0,495,691,71.6,7486,1675,273,341,80.1,153,204,75.0,39,62,62.9,1,4.6,3.2,-3.6,28,39,33,5,75,passing,FRA,FW,27,1993,20.0,902,9,48,454,407,95,902,43,25,58.1,18,41.9,552,2712,1528,55,28,21,64,21,725,178,possession,FRA,FW,27,1993,20.0,6,62,25,40.3,3.09,1.25,0.1,0.24,17.2,0,0,0,5.7,5.7,0.09,0.3,0.3,shooting,FRA,FW,27,1993,20.0,19,9,4,10,5,5,20,25.0,15,1,0,1,5,24,7,0,defense,FRA,FW,27,1993,20.0,2,0,0,18,28,20,34,5,9,0,0,0,59,27,35,43.5,misc
GER-Bundesliga,2020,Leverkusen,Aleksandar Dragović,AUT,DF,29,1991,18,11,1136,12.6,1,0,1,1,0,0,3,0,0.2,0.2,0.6,0.8,15,99,16,0.08,0.0,0.08,0.08,0.08,0.02,0.05,0.06,0.02,0.06,standard,AUT,DF,29,1991,12.6,952,1076,88.5,18202,6074,356,390,91.3,460,506,90.9,119,152,78.3,0,0.6,0.8,-0.6,6,77,4,3,99,passing,AUT,DF,29,1991,12.6,1170,64,341,717,117,6,1170,4,3,75.0,1,25.0,658,2744,1600,15,13,2,3,1,803,16,possession,AUT,DF,29,1991,12.6,1,4,2,50.0,0.32,0.16,0.25,0.5,19.1,0,0,0,0.2,0.2,0.06,0.8,0.8,shooting,AUT,DF,29,1991,12.6,11,7,5,5,1,9,13,69.2,4,17,5,12,13,24,33,0,defense,AUT,DF,29,1991,12.6,3,0,0,12,7,0,12,13,7,0,0,0,78,24,17,58.5,misc
GER-Bundesliga,2020,Schalke 04,Alessandro Schöpf,AUT,"FW,MF",26,1994,19,10,942,10.5,0,0,0,0,0,0,0,0,0.5,0.5,0.2,0.7,19,22,63,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.07,0.04,0.07,standard,AUT,"FW,MF",26,1994,10.5,279,350,79.7,3671,898,169,198,85.4,79,91,86.8,8,13,61.5,0,0.2,0.4,-0.2,4,18,4,0,22,passing,AUT,"FW,MF",26,1994,10.5,472,11,79,245,154,16,472,30,12,40.0,18,60.0,282,1558,608,19,16,4,23,29,313,63,possession,AUT,"FW,MF",26,1994,10.5,0,10,1,10.0,0.96,0.1,0.0,0.0,21.7,0,0,0,0.5,0.5,0.05,-0.5,-0.5,shooting,AUT,"FW,MF",26,1994,10.5,11,9,3,7,1,1,6,16.7,5,15,1,14,6,17,6,0,defense,AUT,"FW,MF",26,1994,10.5,0,0,0,12,13,4,12,6,9,0,0,0,50,6,13,31.6,misc
GER-Bundesliga,2020,Mainz 05,Alexander Hack,GER,DF,26,1993,21,14,1370,15.2,1,0,1,1,0,0,2,0,0.5,0.5,0.3,0.8,7,51,2,0.07,0.0,0.07,0.07,0.07,0.03,0.02,0.05,0.03,0.05,standard,GER,DF,26,1993,15.2,536,701,76.5,10919,5277,170,204,83.3,279,337,82.8,83,131,63.4,0,0.3,0.2,-0.3,6,35,1,0,51,passing,GER,DF,26,1993,15.2,906,133,511,378,25,15,906,7,7,100.0,0,0.0,422,1993,1233,7,4,0,7,1,421,2,possession,GER,DF,26,1993,15.2,1,7,2,28.6,0.46,0.13,0.14,0.5,11.6,0,0,0,0.5,0.5,0.06,0.5,0.5,shooting,GER,DF,26,1993,15.2,32,21,23,8,1,18,31,58.1,13,26,17,9,41,73,91,2,defense,GER,DF,26,1993,15.2,2,0,0,14,13,0,4,41,21,0,1,0,106,46,30,60.5,misc
