league,season,team,player,nation,pos,age,born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,stat_type,nation_possession,pos_possession,age_possession,born_possession,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,stat_type_possession,nation_defense,pos_defense,age_defense,born_defense,90s_defense,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,stat_type_defense,nation_passing,pos_passing,age_passing,born_passing,90s_passing,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,stat_type_passing,nation_misc,pos_misc,age_misc,born_misc,90s_misc,Performance CrdY_misc,Performance CrdR_misc,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,stat_type_misc,nation_shooting,pos_shooting,age_shooting,born_shooting,90s_shooting,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG_shooting,Expected npxG_shooting,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,stat_type_shooting
ITA-Serie A,2021,Bologna,Aaron Hickey,SCO,DF,18,2002,11,10,758,8.4,0,0,0,0,0,0,3,1,0.1,0.1,0.1,0.1,21,36,28,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,standard,SCO,DF,18,2002,8.4,495,26,149,235,115,8,495,16,7,43.8,9,56.3,282,1610,739,21,17,4,16,8,268,28,possession,SCO,DF,18,2002,8.4,12,8,10,2,0,7,17,41.2,10,6,1,5,15,27,15,1,defense,SCO,DF,18,2002,8.4,337,397,84.9,5489,1742,160,174,92.0,142,165,86.1,21,34,61.8,0,0.1,0.2,-0.1,2,30,3,1,36,passing,SCO,DF,18,2002,8.4,3,1,0,11,14,0,7,15,8,0,0,0,51,6,5,54.5,misc,SCO,DF,18,2002,8.4,0,2,0,0.0,0.24,0.0,0.0,,29.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1,shooting
ITA-Serie A,2021,Juventus,Aaron Ramsey,WAL,MF,29,1990,22,13,1089,12.1,2,4,6,2,0,0,2,0,4.2,4.2,3.3,7.5,38,72,96,0.17,0.33,0.5,0.17,0.5,0.35,0.27,0.62,0.35,0.62,standard,WAL,MF,29,1990,12.1,858,18,115,423,323,62,858,13,10,76.9,3,23.1,492,2681,1181,38,25,13,30,9,698,96,possession,WAL,MF,29,1990,12.1,22,14,8,13,1,8,25,32.0,17,13,2,11,7,29,8,2,defense,WAL,MF,29,1990,12.1,622,728,85.4,9585,2443,328,365,89.9,217,241,90.0,48,65,73.8,4,3.3,2.0,0.7,31,57,21,5,72,passing,WAL,MF,29,1990,12.1,2,0,0,19,18,3,22,7,14,1,0,0,56,8,13,38.1,misc,WAL,MF,29,1990,12.1,2,24,11,45.8,1.98,0.91,0.08,0.18,14.5,0,0,0,4.2,4.2,0.17,-2.2,-2.2,shooting
ITA-Serie A,2021,Inter,Achraf Hakimi,MAR,DF,21,1998,37,29,2665,29.6,7,8,15,7,0,0,6,0,4.7,4.7,6.2,10.9,113,98,309,0.24,0.27,0.51,0.24,0.51,0.16,0.21,0.37,0.16,0.37,standard,MAR,DF,21,1998,29.6,1847,45,366,674,824,137,1847,64,33,51.6,31,48.4,995,6038,3681,113,58,46,57,17,1258,309,possession,MAR,DF,21,1998,29.6,53,32,23,19,11,23,48,47.9,25,31,1,30,22,75,23,1,defense,MAR,DF,21,1998,29.6,1253,1539,81.4,18000,5633,738,837,88.2,380,454,83.7,69,113,61.1,8,6.2,6.8,1.8,36,66,47,19,98,passing,MAR,DF,21,1998,29.6,6,0,0,31,36,7,115,22,32,2,0,0,124,16,28,36.4,misc,MAR,DF,21,1998,29.6,7,39,16,41.0,1.32,0.54,0.18,0.44,17.0,2,0,0,4.7,4.7,0.12,2.3,2.3,shooting
ITA-Serie A,2021,Lazio,Adam Marušić,MNE,DF,27,1992,36,33,2966,33.0,2,3,5,2,0,0,3,0,2.2,2.2,2.2,4.4,53,92,201,0.06,0.09,0.15,0.06,0.15,0.07,0.07,0.13,0.07,0.13,standard,MNE,DF,27,1992,33.0,1865,92,546,854,482,59,1865,51,24,47.1,27,52.9,1021,6096,3045,53,40,11,25,20,1186,201,possession,MNE,DF,27,1992,33.0,38,22,22,15,1,20,40,50.0,20,38,6,32,40,78,54,0,defense,MNE,DF,27,1992,33.0,1312,1578,83.1,21586,6374,631,699,90.3,531,606,87.6,106,182,58.2,3,2.2,2.2,0.8,29,70,22,14,92,passing,MNE,DF,27,1992,33.0,3,0,0,19,16,4,64,40,22,0,1,1,185,28,27,50.9,misc,MNE,DF,27,1992,33.0,2,27,12,44.4,0.82,0.36,0.07,0.17,15.4,0,0,0,2.2,2.2,0.08,-0.2,-0.2,shooting
ITA-Serie A,2021,Cagliari,Adam Ounas,ALG,"MF,FW",23,1996,7,3,308,3.4,0,0,0,0,0,0,0,0,0.9,0.9,0.9,1.8,10,15,27,0.0,0.0,0.0,0.0,0.0,0.25,0.27,0.52,0.25,0.52,standard,ALG,"MF,FW",23,1996,3.4,174,0,27,72,83,11,174,30,19,63.3,11,36.7,110,798,396,10,8,4,11,10,128,27,possession,ALG,"MF,FW",23,1996,3.4,3,2,3,0,0,0,11,0.0,11,5,0,5,3,6,0,0,defense,ALG,"MF,FW",23,1996,3.4,83,122,68.0,1406,391,43,56,76.8,25,38,65.8,10,15,66.7,0,0.9,0.8,-0.9,7,8,8,2,15,passing,ALG,"MF,FW",23,1996,3.4,0,0,0,3,9,1,10,3,2,0,0,0,17,3,4,42.9,misc,ALG,"MF,FW",23,1996,3.4,0,6,0,0.0,1.75,0.0,0.0,,19.1,0,0,0,0.9,0.9,0.14,-0.9,-0.9,shooting
ITA-Serie A,2021,Crotone,Adam Ounas,ALG,"FW,MF",23,1996,15,15,1199,13.3,4,4,8,4,0,0,1,0,2.3,2.3,2.9,5.2,56,69,66,0.3,0.3,0.6,0.3,0.6,0.17,0.22,0.39,0.17,0.39,standard,ALG,"FW,MF",23,1996,13.3,649,4,70,341,261,45,649,75,57,76.0,18,24.0,407,3249,1803,56,39,22,37,23,487,66,possession,ALG,"FW,MF",23,1996,13.3,9,4,4,4,1,0,7,0.0,7,12,1,11,3,12,4,0,defense,ALG,"FW,MF",23,1996,13.3,384,497,77.3,7151,1787,176,202,87.1,157,192,81.8,49,79,62.0,4,2.9,2.6,1.1,21,41,28,4,69,passing,ALG,"FW,MF",23,1996,13.3,1,0,0,11,31,9,41,3,4,0,0,0,62,9,14,39.1,misc,ALG,"FW,MF",23,1996,13.3,4,25,10,40.0,1.88,0.75,0.16,0.4,17.4,0,0,0,2.3,2.3,0.09,1.7,1.7,shooting
ITA-Serie A,2021,Bologna,Adama Soumaoro,FRA,DF,28,1992,20,19,1755,19.5,1,0,1,1,0,0,4,0,1.4,1.4,0.1,1.4,12,51,1,0.05,0.0,0.05,0.05,0.05,0.07,0.0,0.07,0.07,0.07,standard,FRA,DF,28,1992,19.5,1114,152,570,521,30,11,1114,6,6,100.0,0,0.0,531,2644,1435,12,6,0,7,2,625,1,possession,FRA,DF,28,1992,19.5,24,14,17,7,0,6,12,50.0,6,28,23,5,20,44,72,0,defense,FRA,DF,28,1992,19.5,822,925,88.9,14538,4983,337,375,89.9,415,448,92.6,61,77,79.2,0,0.1,0.1,-0.1,3,21,0,0,51,passing,FRA,DF,28,1992,19.5,4,0,0,33,19,0,0,20,14,0,3,0,111,60,15,80.0,misc,FRA,DF,28,1992,19.5,1,8,2,25.0,0.41,0.1,0.13,0.5,9.5,0,0,0,1.4,1.4,0.17,-0.4,-0.4,shooting
ITA-Serie A,2021,Benevento,Adolfo Gaich,ARG,FW,21,1999,15,9,768,8.5,2,0,2,2,0,0,1,0,2.8,2.8,0.4,3.1,10,4,54,0.23,0.0,0.23,0.23,0.23,0.33,0.04,0.37,0.33,0.37,standard,ARG,FW,21,1999,8.5,251,5,18,127,110,38,251,24,9,37.5,15,62.5,136,626,191,10,7,7,26,13,186,54,possession,ARG,FW,21,1999,8.5,9,4,1,7,1,1,13,7.7,12,4,0,4,2,11,4,0,defense,ARG,FW,21,1999,8.5,76,134,56.7,1121,179,42,63,66.7,19,31,61.3,9,12,75.0,0,0.4,0.1,-0.4,5,4,2,1,4,passing,ARG,FW,21,1999,8.5,1,0,0,24,19,3,1,2,4,0,1,0,16,14,39,26.4,misc,ARG,FW,21,1999,8.5,2,23,6,26.1,2.7,0.7,0.09,0.33,14.1,0,0,0,2.8,2.8,0.12,-0.8,-0.8,shooting
ITA-Serie A,2021,Juventus,Adrien Rabiot,FRA,MF,25,1995,34,25,2313,25.7,4,2,6,4,0,0,7,1,2.7,2.7,1.1,3.8,69,122,71,0.16,0.08,0.23,0.16,0.23,0.11,0.04,0.15,0.11,0.15,standard,FRA,MF,25,1995,25.7,1765,93,425,968,399,41,1765,48,36,75.0,12,25.0,1072,6777,3289,69,62,8,39,14,1275,71,possession,FRA,MF,25,1995,25.7,72,42,24,41,7,28,60,46.7,32,32,11,21,43,115,29,1,defense,FRA,MF,25,1995,25.7,1297,1450,89.4,20213,5167,687,752,91.4,492,528,93.2,80,91,87.9,2,1.1,1.2,0.9,10,114,23,4,122,passing,FRA,MF,25,1995,25.7,7,1,1,44,21,0,20,43,42,0,2,0,147,37,20,64.9,misc,FRA,MF,25,1995,25.7,4,33,12,36.4,1.28,0.47,0.12,0.33,17.5,0,0,0,2.7,2.7,0.08,1.3,1.3,shooting
ITA-Serie A,2021,Sampdoria,Adrien Silva,POR,MF,31,1989,24,18,1599,17.8,1,1,2,1,0,0,8,1,0.5,0.5,0.8,1.2,8,94,19,0.06,0.06,0.11,0.06,0.11,0.03,0.04,0.07,0.03,0.07,standard,POR,MF,31,1989,17.8,1122,36,246,724,167,5,1122,25,17,68.0,8,32.0,578,2348,1083,8,13,1,21,17,711,19,possession,POR,MF,31,1989,17.8,49,22,21,22,6,18,54,33.3,36,34,1,33,30,79,10,1,defense,POR,MF,31,1989,17.8,822,948,86.7,15307,4370,350,400,87.5,318,352,90.3,130,152,85.5,1,0.8,0.7,0.2,11,92,7,1,94,passing,POR,MF,31,1989,17.8,8,1,1,35,23,0,9,30,22,0,2,0,142,19,15,55.9,misc,POR,MF,31,1989,17.8,1,6,1,16.7,0.34,0.06,0.17,1.0,23.5,0,0,0,0.5,0.5,0.08,0.5,0.5,shooting
