league,season,team,player,nation,pos,age,born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,stat_type,nation_defense,pos_defense,age_defense,born_defense,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,stat_type_defense,nation_passing,pos_passing,age_passing,born_passing,90s_passing,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,stat_type_passing,nation_misc,pos_misc,age_misc,born_misc,90s_misc,Performance CrdY_misc,Performance CrdR_misc,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,stat_type_misc,nation_possession,pos_possession,age_possession,born_possession,90s_possession,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,stat_type_possession,nation_shooting,pos_shooting,age_shooting,born_shooting,90s_shooting,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG_shooting,Expected npxG_shooting,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,stat_type_shooting
ITA-Serie A,2022,Sampdoria,Abdelhamid Sabiri,MAR,"MF,FW",25,1996,18,12,1069,11.9,2,0,2,1,1,2,5,0,3.0,1.4,1.4,2.8,7,49,54,0.17,0.0,0.17,0.08,0.08,0.26,0.12,0.38,0.11,0.23,standard,MAR,"MF,FW",25,1996,11.9,18,7,5,9,4,4,13,30.8,9,18,4,14,2,20,5,0,defense,MAR,"MF,FW",25,1996,11.9,310,461,67.2,5531,1574,141,180,78.3,118,162,72.8,39,85,45.9,0,1.4,1.2,-1.4,14,44,12,0,49,passing,MAR,"MF,FW",25,1996,11.9,5,0,0,28,39,0,54,2,7,0,0,0,50,30,29,50.8,misc,MAR,"MF,FW",25,1996,11.9,618,15,64,304,257,31,616,39,14,35.9,17,43.6,363,1503,536,7,20,5,34,28,423,54,possession,MAR,"MF,FW",25,1996,11.9,2,31,9,29.0,2.61,0.76,0.03,0.11,25.5,8,1,2,3.0,1.4,0.04,-1.0,-0.4,shooting
ITA-Serie A,2022,Sassuolo,Abdou Harroui,NED,MF,24,1998,23,5,647,7.2,2,0,2,2,0,0,2,0,1.5,1.5,0.3,1.8,21,36,32,0.28,0.0,0.28,0.28,0.28,0.2,0.05,0.25,0.2,0.25,standard,NED,MF,24,1998,7.2,17,6,6,7,4,2,7,28.6,5,6,1,5,2,19,10,0,defense,NED,MF,24,1998,7.2,254,308,82.5,3861,992,133,147,90.5,98,116,84.5,14,21,66.7,0,0.3,0.5,-0.3,6,35,7,2,36,passing,NED,MF,24,1998,7.2,2,0,0,13,3,1,11,2,6,0,0,0,38,9,5,64.3,misc,NED,MF,24,1998,7.2,395,16,68,211,126,15,395,15,11,73.3,4,26.7,228,1379,632,21,20,3,12,13,279,32,possession,NED,MF,24,1998,7.2,2,14,4,28.6,1.95,0.56,0.14,0.5,23.4,0,0,0,1.5,1.5,0.1,0.5,0.5,shooting
ITA-Serie A,2022,Lazio,Adam Marušić,MNE,DF,29,1992,33,31,2760,30.7,0,2,2,0,0,0,8,1,0.7,0.7,1.1,1.8,38,116,43,0.0,0.07,0.07,0.0,0.07,0.02,0.03,0.06,0.02,0.06,standard,MNE,DF,29,1992,30.7,41,30,23,14,4,25,39,64.1,14,20,6,14,38,79,63,1,defense,MNE,DF,29,1992,30.7,1564,1829,85.5,23902,9688,866,939,92.2,546,644,84.8,104,164,63.4,2,1.1,1.2,0.9,9,107,7,4,116,passing,MNE,DF,29,1992,30.7,8,1,0,22,14,1,17,38,30,0,0,0,175,29,25,53.7,misc,MNE,DF,29,1992,30.7,2049,100,795,1005,260,17,2049,15,10,66.7,3,20.0,1065,4702,2669,38,39,4,13,13,1334,43,possession,MNE,DF,29,1992,30.7,0,16,7,43.8,0.52,0.23,0.0,0.0,24.0,0,0,0,0.7,0.7,0.04,-0.7,-0.7,shooting
ITA-Serie A,2022,Udinese,Adam Masina,MAR,DF,28,1994,14,8,789,8.8,2,0,2,2,0,0,2,0,0.1,0.1,0.2,0.3,4,24,6,0.23,0.0,0.23,0.23,0.23,0.01,0.02,0.03,0.01,0.03,standard,MAR,DF,28,1994,8.8,10,7,7,3,0,6,15,40.0,9,11,4,7,10,20,28,1,defense,MAR,DF,28,1994,8.8,332,428,77.6,7007,2817,110,125,88.0,164,195,84.1,56,99,56.6,0,0.2,0.3,-0.2,2,26,5,3,24,passing,MAR,DF,28,1994,8.8,2,0,0,11,1,0,10,10,7,0,1,0,44,26,11,70.3,misc,MAR,DF,28,1994,8.8,496,55,243,219,41,6,496,4,3,75.0,0,0.0,297,1477,714,4,3,1,4,1,307,6,possession,MAR,DF,28,1994,8.8,2,2,2,100.0,0.23,0.23,1.0,1.0,12.3,0,0,0,0.1,0.1,0.04,1.9,1.9,shooting
ITA-Serie A,2022,Napoli,Adam Ounas,ALG,FW,25,1996,2,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,4,1,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.23,0.23,0.23,standard,ALG,FW,25,1996,0.2,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,defense,ALG,FW,25,1996,0.2,13,17,76.5,297,80,6,7,85.7,2,3,66.7,5,5,100.0,0,0.0,0.0,0.0,0,2,1,0,4,passing,ALG,FW,25,1996,0.2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,100.0,misc,ALG,FW,25,1996,0.2,19,0,4,12,5,1,19,2,2,100.0,0,0.0,14,121,108,3,2,0,0,0,17,1,possession,ALG,FW,25,1996,0.2,0,1,0,0.0,6.0,0.0,0.0,,27.5,0,0,0,0.0,0.0,0.04,0.0,0.0,shooting
ITA-Serie A,2022,Bologna,Adama Soumaoro,FRA,DF,30,1992,23,22,1867,20.7,0,0,0,0,0,0,5,1,0.3,0.3,0.0,0.3,7,50,1,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,standard,FRA,DF,30,1992,20.7,25,17,11,12,2,5,7,71.4,2,18,13,5,15,40,75,1,defense,FRA,DF,30,1992,20.7,996,1075,92.7,18518,6098,358,376,95.2,550,580,94.8,78,95,82.1,0,0.0,0.1,0.0,1,28,1,0,50,passing,FRA,DF,30,1992,20.7,5,1,1,21,12,0,0,15,17,0,0,0,96,31,15,67.4,misc,FRA,DF,30,1992,20.7,1226,158,649,557,23,7,1226,3,2,66.7,0,0.0,721,3553,1787,7,5,0,6,1,830,1,possession,FRA,DF,30,1992,20.7,0,2,1,50.0,0.1,0.05,0.0,0.0,8.8,0,0,0,0.3,0.3,0.16,-0.3,-0.3,shooting
ITA-Serie A,2022,Hellas Verona,Adolfo Gaich,ARG,FW,23,1999,16,8,726,8.1,2,0,2,2,0,0,2,0,2.5,2.5,0.4,2.9,6,11,33,0.25,0.0,0.25,0.25,0.25,0.31,0.05,0.36,0.31,0.36,standard,ARG,FW,23,1999,8.1,5,3,0,3,2,1,6,16.7,5,7,2,5,3,8,7,1,defense,ARG,FW,23,1999,8.1,94,165,57.0,1055,200,61,100,61.0,22,39,56.4,0,2,0.0,0,0.4,0.2,-0.4,6,8,0,0,11,passing,ARG,FW,23,1999,8.1,2,0,0,17,13,4,0,3,3,1,0,1,14,25,51,32.9,misc,ARG,FW,23,1999,8.1,263,10,21,129,116,26,263,17,11,64.7,5,29.4,144,637,181,6,4,4,22,9,198,33,possession,ARG,FW,23,1999,8.1,2,24,8,33.3,2.98,0.99,0.08,0.25,16.8,0,0,0,2.5,2.5,0.1,-0.5,-0.5,shooting
ITA-Serie A,2022,Juventus,Adrien Rabiot,FRA,MF,27,1995,32,31,2748,30.5,8,4,12,8,0,0,9,0,6.2,5.8,2.3,8.2,72,133,109,0.26,0.13,0.39,0.26,0.39,0.2,0.08,0.28,0.19,0.27,standard,FRA,MF,27,1995,30.5,65,35,31,23,11,30,57,52.6,27,37,7,30,26,91,44,1,defense,FRA,MF,27,1995,30.5,971,1191,81.5,15511,4279,513,586,87.5,339,412,82.3,83,117,70.9,4,2.3,1.9,1.7,31,99,23,4,133,passing,FRA,MF,27,1995,30.5,9,0,0,45,42,2,34,26,35,0,0,0,179,50,39,56.2,misc,FRA,MF,27,1995,30.5,1555,68,321,801,458,83,1555,55,27,49.1,18,32.7,889,6016,3069,72,69,5,56,35,1010,109,possession,FRA,MF,27,1995,30.5,8,48,22,45.8,1.57,0.72,0.17,0.36,16.4,0,0,0,6.2,5.8,0.13,1.8,2.2,shooting
ITA-Serie A,2022,Hellas Verona,Adrien Tameze,CMR,MF,28,1994,37,35,3031,33.7,0,0,0,0,0,0,3,0,0.9,0.9,0.9,1.8,32,103,58,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.05,0.03,0.05,standard,CMR,MF,28,1994,33.7,51,30,21,26,4,28,63,44.4,35,51,14,37,37,88,55,2,defense,CMR,MF,28,1994,33.7,835,1092,76.5,14351,4390,376,468,80.3,363,430,84.4,73,116,62.9,0,0.9,1.2,-0.9,22,91,17,3,103,passing,CMR,MF,28,1994,33.7,3,0,0,32,31,1,21,37,30,0,0,0,218,27,31,46.6,misc,CMR,MF,28,1994,33.7,1428,97,380,829,244,21,1428,53,26,49.1,22,41.5,713,3953,1618,32,34,4,39,34,739,58,possession,CMR,MF,28,1994,33.7,0,12,2,16.7,0.36,0.06,0.0,0.0,22.8,0,0,0,0.9,0.9,0.07,-0.9,-0.9,shooting
ITA-Serie A,2022,Sassuolo,Agustín Álvarez Martínez,URU,"FW,MF",21,2001,22,1,368,4.1,1,1,2,1,0,0,1,0,1.5,1.5,0.4,1.9,2,6,19,0.24,0.24,0.49,0.24,0.49,0.36,0.1,0.46,0.36,0.46,standard,URU,"FW,MF",21,2001,4.1,6,3,0,5,1,1,4,25.0,3,5,1,4,3,9,3,0,defense,URU,"FW,MF",21,2001,4.1,68,84,81.0,942,179,43,52,82.7,13,17,76.5,6,8,75.0,1,0.4,0.3,0.6,2,4,2,0,6,passing,URU,"FW,MF",21,2001,4.1,1,0,0,8,4,2,4,3,3,0,0,0,20,8,12,40.0,misc,URU,"FW,MF",21,2001,4.1,155,4,12,76,71,16,155,17,7,41.2,8,47.1,80,294,95,2,1,2,16,12,96,19,possession,URU,"FW,MF",21,2001,4.1,1,14,4,28.6,3.42,0.98,0.07,0.25,15.8,0,0,0,1.5,1.5,0.11,-0.5,-0.5,shooting
