league,season,team,player,nation,pos,age,born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,stat_type,nation_shooting,pos_shooting,age_shooting,born_shooting,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG_shooting,Expected npxG_shooting,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,stat_type_shooting,nation_misc,pos_misc,age_misc,born_misc,90s_misc,Performance CrdY_misc,Performance CrdR_misc,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,stat_type_misc,nation_possession,pos_possession,age_possession,born_possession,90s_possession,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,stat_type_possession,nation_passing,pos_passing,age_passing,born_passing,90s_passing,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,stat_type_passing,nation_defense,pos_defense,age_defense,born_defense,90s_defense,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,stat_type_defense
ITA-Serie A,2024,Torino,Aaron Ciammaglichella,ITA,MF,20-075,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ITA,MF,20-075,2005,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,ITA,MF,20-075,2005,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,misc,ITA,MF,20-075,2005,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,possession,ITA,MF,20-075,2005,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,passing,ITA,MF,20-075,2005,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense
ITA-Serie A,2024,Genoa,Aarón Martín,ESP,DF,27-354,1997,29,29,2536,28.2,0,4,4,0,0,0,5,0,0.7,0.7,4.6,5.3,44,82,99,0.0,0.14,0.14,0.0,0.14,0.03,0.16,0.19,0.03,0.19,standard,ESP,DF,27-354,1997,28.2,0,13,4,30.8,0.46,0.14,0.0,0.0,23.9,4,0,0,0.7,0.7,0.06,-0.7,-0.7,shooting,ESP,DF,27-354,1997,28.2,5,0,0,32,25,3,221,16,40,0,1,0,121,18,27,40.0,misc,ESP,DF,27-354,1997,28.2,1640,75,463,675,525,18,1640,26,12,46.2,12,46.2,716,4067,1948,44,27,4,20,15,865,99,possession,ESP,DF,27-354,1997,28.2,1017,1410,72.1,18987,7400,410,464,88.4,456,585,77.9,133,305,43.6,4,4.6,5.4,-0.6,56,67,24,16,82,passing,ESP,DF,27-354,1997,28.2,62,40,35,23,4,27,42,64.3,15,30,9,21,16,78,61,1,defense
ITA-Serie A,2024,Hellas Verona,Abdou Harroui,NED,"MF,FW",27-088,1998,10,5,463,5.1,1,2,3,1,0,0,1,0,2.2,2.2,0.4,2.6,23,21,34,0.19,0.39,0.58,0.19,0.58,0.43,0.09,0.51,0.43,0.51,standard,NED,"MF,FW",27-088,1998,5.1,1,15,4,26.7,2.92,0.78,0.07,0.25,17.7,1,0,0,2.2,2.2,0.15,-1.2,-1.2,shooting,NED,"MF,FW",27-088,1998,5.1,1,0,0,10,3,0,9,2,6,0,0,0,22,8,7,53.3,misc,NED,"MF,FW",27-088,1998,5.1,283,5,41,144,105,17,283,20,6,30.0,13,65.0,175,1241,631,23,20,4,12,10,203,34,possession,NED,"MF,FW",27-088,1998,5.1,160,202,79.2,2324,580,96,106,90.6,54,69,78.3,6,15,40.0,2,0.4,0.6,1.6,4,16,3,2,21,passing,NED,"MF,FW",27-088,1998,5.1,9,6,6,3,0,4,4,100.0,0,5,0,5,2,11,5,0,defense
ITA-Serie A,2024,Lazio,Adam Marušić,MNE,DF,32-176,1992,28,19,1823,20.3,4,0,4,4,0,0,1,0,1.8,1.8,0.4,2.2,17,61,70,0.2,0.0,0.2,0.2,0.2,0.09,0.02,0.11,0.09,0.11,standard,MNE,DF,32-176,1992,20.3,4,19,10,52.6,0.94,0.49,0.21,0.4,15.2,0,0,0,1.8,1.8,0.1,2.2,2.2,shooting,MNE,DF,32-176,1992,20.3,1,0,0,11,12,2,38,14,17,0,0,1,65,25,18,58.1,misc,MNE,DF,32-176,1992,20.3,1137,63,348,550,250,26,1137,16,9,56.3,6,37.5,510,1916,909,17,17,0,8,11,729,70,possession,MNE,DF,32-176,1992,20.3,837,986,84.9,13053,4182,434,470,92.3,343,400,85.8,44,85,51.8,0,0.4,0.4,-0.4,9,51,9,6,61,passing,MNE,DF,32-176,1992,20.3,27,17,15,10,2,14,26,53.8,12,13,6,7,14,41,49,0,defense
ITA-Serie A,2024,Torino,Adam Masina,MAR,DF,31-099,1994,21,15,1497,16.6,1,2,3,1,0,0,5,0,0.4,0.4,0.3,0.7,13,62,7,0.06,0.12,0.18,0.06,0.18,0.02,0.02,0.04,0.02,0.04,standard,MAR,DF,31-099,1994,16.6,1,6,2,33.3,0.36,0.12,0.17,0.5,12.7,0,0,0,0.4,0.4,0.07,0.6,0.6,shooting,MAR,DF,31-099,1994,16.6,5,0,0,18,15,2,14,19,14,1,0,0,64,54,18,75.0,misc,MAR,DF,31-099,1994,16.6,1173,134,513,595,69,10,1173,8,3,37.5,5,62.5,669,3055,1724,13,8,1,7,5,771,7,possession,MAR,DF,31-099,1994,16.6,836,994,84.1,15392,5660,314,345,91.0,437,492,88.8,76,140,54.3,2,0.3,0.5,1.7,3,52,5,2,62,passing,MAR,DF,31-099,1994,16.6,29,14,21,7,1,20,35,57.1,15,23,14,9,19,48,70,2,defense
ITA-Serie A,2024,Cagliari,Adam Obert,SVK,DF,22-231,2002,17,12,940,10.4,1,1,2,1,0,0,4,0,0.9,0.9,0.4,1.3,12,46,16,0.1,0.1,0.19,0.1,0.19,0.08,0.04,0.12,0.08,0.12,standard,SVK,DF,22-231,2002,10.4,1,9,2,22.2,0.86,0.19,0.11,0.5,12.0,0,0,0,0.9,0.9,0.11,0.1,0.1,shooting,SVK,DF,22-231,2002,10.4,4,0,0,18,7,0,9,18,17,0,0,0,52,24,19,55.8,misc,SVK,DF,22-231,2002,10.4,611,56,257,273,95,13,611,10,5,50.0,5,50.0,249,1286,704,12,9,0,24,7,272,16,possession,SVK,DF,22-231,2002,10.4,347,460,75.4,5724,2329,177,202,87.6,140,167,83.8,24,57,42.1,1,0.4,0.2,0.6,10,33,4,1,46,passing,SVK,DF,22-231,2002,10.4,30,17,12,17,1,15,26,57.7,11,17,7,10,18,48,44,2,defense
ITA-Serie A,2024,Parma,Adrian Benedyczak,POL,"FW,MF",24-138,2000,8,2,197,2.2,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,3,3,11,0.0,0.0,0.0,0.0,0.0,0.11,0.01,0.12,0.11,0.12,standard,POL,"FW,MF",24-138,2000,2.2,0,3,0,0.0,1.37,0.0,0.0,,18.4,0,0,0,0.3,0.3,0.08,-0.3,-0.3,shooting,POL,"FW,MF",24-138,2000,2.2,0,0,0,3,5,1,1,0,0,0,0,0,3,9,11,45.0,misc,POL,"FW,MF",24-138,2000,2.2,74,7,16,33,25,4,74,1,0,0.0,1,100.0,40,167,80,3,2,0,5,3,55,11,possession,POL,"FW,MF",24-138,2000,2.2,32,49,65.3,521,112,17,26,65.4,9,14,64.3,3,5,60.0,0,0.0,0.0,0.0,1,2,0,0,3,passing,POL,"FW,MF",24-138,2000,2.2,0,0,0,0,0,0,1,0.0,1,3,1,2,0,0,8,0,defense
ITA-Serie A,2024,Parma,Adrian Bernabe,ESP,MF,23-320,2001,17,16,1279,14.2,1,0,1,1,0,0,1,0,0.9,0.9,1.0,1.8,32,102,16,0.07,0.0,0.07,0.07,0.07,0.06,0.07,0.13,0.06,0.13,standard,ESP,MF,23-320,2001,14.2,1,24,3,12.5,1.69,0.21,0.04,0.33,27.1,7,0,0,0.9,0.9,0.04,0.1,0.1,shooting,ESP,MF,23-320,2001,14.2,1,0,0,9,31,0,24,6,18,0,0,0,61,4,2,66.7,misc,ESP,MF,23-320,2001,14.2,1003,37,229,571,218,5,1003,30,14,46.7,11,36.7,658,3317,2072,32,35,2,10,10,720,16,possession,ESP,MF,23-320,2001,14.2,723,864,83.7,13693,4749,292,322,90.7,319,363,87.9,95,145,65.5,0,1.0,1.2,-1.0,20,94,14,3,102,passing,ESP,MF,23-320,2001,14.2,28,18,16,8,4,14,29,48.3,15,22,9,13,6,34,23,1,defense
ITA-Serie A,2024,Torino,Adrien Tameze,CMR,"MF,DF",31-066,1994,17,8,599,6.7,0,0,0,0,0,0,3,0,0.4,0.4,0.8,1.2,14,23,20,0.0,0.0,0.0,0.0,0.0,0.06,0.13,0.19,0.06,0.19,standard,CMR,"MF,DF",31-066,1994,6.7,0,7,3,42.9,1.05,0.45,0.0,0.0,15.1,0,0,0,0.4,0.4,0.06,-0.4,-0.4,shooting,CMR,"MF,DF",31-066,1994,6.7,3,0,0,7,4,0,9,10,2,0,1,0,24,9,8,52.9,misc,CMR,"MF,DF",31-066,1994,6.7,345,15,83,169,93,13,345,15,4,26.7,8,53.3,203,1236,587,14,8,0,9,3,244,20,possession,CMR,"MF,DF",31-066,1994,6.7,240,281,85.4,3818,852,113,132,85.6,105,114,92.1,13,18,72.2,0,0.8,0.7,-0.8,6,10,6,1,23,passing,CMR,"MF,DF",31-066,1994,6.7,5,2,2,3,0,1,9,11.1,8,8,5,3,10,15,7,1,defense
ITA-Serie A,2024,Genoa,Alan Matturro,URU,DF,20-182,2004,13,9,900,10.0,0,0,0,0,0,0,2,0,0.2,0.2,0.2,0.4,12,15,9,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,standard,URU,DF,20-182,2004,10.0,0,4,3,75.0,0.4,0.3,0.0,0.0,15.2,0,0,0,0.2,0.2,0.05,-0.2,-0.2,shooting,URU,DF,20-182,2004,10.0,2,0,0,10,5,2,8,14,6,0,1,0,26,16,16,50.0,misc,URU,DF,20-182,2004,10.0,458,51,243,170,47,9,458,5,3,60.0,2,40.0,218,1207,646,12,5,1,6,3,260,9,possession,URU,DF,20-182,2004,10.0,280,359,78.0,5637,1806,72,89,80.9,181,205,88.3,25,50,50.0,0,0.2,0.3,-0.2,3,10,4,2,15,passing,URU,DF,20-182,2004,10.0,11,6,6,5,0,3,14,21.4,11,10,3,7,14,25,38,0,defense
