nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,league,season,stat_type
,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,,,
ENG,"MF,DF",22,1997,5.4,11,7,6,5,0,8,12,66.7,4,12,2,10,14,25,7,1,ENG-Premier League,2021,defense
FRA,FW,29,1991,21.4,18,10,4,11,3,4,22,18.2,18,20,1,19,12,30,13,0,ENG-Premier League,2021,defense
GER,GK,28,1992,34.8,1,0,1,0,0,1,1,100.0,0,1,0,1,0,1,11,2,ENG-Premier League,2021,defense
ENG,"FW,MF",18,2001,28.4,25,16,10,13,2,11,40,27.5,29,21,2,19,25,50,24,0,ENG-Premier League,2021,defense
ENG,DF,25,1995,8.4,7,3,3,2,2,3,8,37.5,5,6,2,4,10,17,37,0,ENG-Premier League,2021,defense
POR,DF,28,1991,8.3,12,8,6,4,2,6,21,28.6,15,6,1,5,8,20,16,1,ENG-Premier League,2021,defense
ESP,MF,23,1996,17.9,37,22,20,11,6,21,51,41.2,30,23,6,17,35,72,14,1,ENG-Premier League,2021,defense
BRA,DF,33,1987,15.5,12,9,5,7,0,4,4,100.0,0,16,9,7,16,28,50,2,ENG-Premier League,2021,defense
ENG,FW,21,1999,4.7,3,1,0,2,1,0,2,0.0,2,6,0,6,0,3,5,0,ENG-Premier League,2021,defense
ENG,"MF,FW",20,2000,16.0,14,7,5,5,4,6,17,35.3,11,15,1,14,10,24,12,0,ENG-Premier League,2021,defense
BRA,DF,22,1997,22.2,25,15,19,5,1,13,19,68.4,6,27,19,8,26,51,74,2,ENG-Premier League,2021,defense
BRA,FW,19,2001,6.5,7,1,2,3,2,4,10,40.0,6,6,0,6,8,15,4,0,ENG-Premier League,2021,defense
SUI,"MF,DF",27,1992,28.0,50,26,18,17,15,30,58,51.7,28,23,7,16,24,74,38,3,ENG-Premier League,2021,defense
ESP,"DF,MF",25,1995,23.2,29,19,14,12,3,12,41,29.3,29,26,8,18,33,62,33,0,ENG-Premier League,2021,defense
ENG,MF,20,1999,2.6,6,3,1,4,1,3,7,42.9,4,6,1,5,3,9,0,0,ENG-Premier League,2021,defense
SCO,DF,23,1997,25.5,27,15,5,14,8,11,31,35.5,20,31,10,21,16,43,63,0,ENG-Premier League,2021,defense
NOR,MF,21,1998,9.6,9,3,2,6,1,4,14,28.6,10,2,0,2,2,11,5,0,ENG-Premier League,2021,defense
AUS,GK,28,1992,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,ENG-Premier League,2021,defense
EGY,MF,28,1992,17.2,14,6,7,7,0,7,28,25.0,21,11,4,7,24,38,20,2,ENG-Premier League,2021,defense
CIV,FW,25,1995,18.0,20,15,8,6,6,8,23,34.8,15,16,1,15,12,32,19,0,ENG-Premier League,2021,defense
ESP,DF,26,1993,10.0,15,9,12,3,0,5,10,50.0,5,8,7,1,9,24,30,2,ENG-Premier League,2021,defense
GAB,FW,31,1989,25.9,12,8,7,4,1,3,20,15.0,17,18,0,18,7,19,17,0,ENG-Premier League,2021,defense
ENG,"FW,MF",20,1999,0.8,1,0,0,0,1,0,0,,0,0,0,0,1,2,1,0,ENG-Premier League,2021,defense
