nation,pos,age,born,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,league,season,stat_type
,,,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,,,
ENG,GK,24,1998,38.0,1196,872,1170,28,0,0,1196,1,1,100.0,0,0.0,722,3934,2459,0,1,0,0,0,630,0,ENG-Premier League,2022,possession
BEL,MF,22,1999,2.2,154,6,32,95,29,0,154,2,1,50.0,0,0.0,96,393,145,0,6,0,1,1,113,2,ENG-Premier League,2022,possession
ENG,DF,24,1997,33.9,2533,103,554,1306,685,48,2533,29,8,27.6,15,51.7,1448,6506,3565,64,46,3,27,7,1698,124,ENG-Premier League,2022,possession
ENG,FW,20,2001,35.3,1882,21,160,473,1270,237,1879,164,64,39.0,69,42.1,1191,8353,4563,179,93,84,78,59,1361,520,ENG-Premier League,2022,possession
POR,DF,30,1991,0.3,27,2,8,9,10,0,27,0,0,,0,,14,87,67,1,2,0,0,0,20,0,ENG-Premier League,2022,possession
ENG,FW,23,1999,12.1,407,10,35,157,221,87,407,34,15,44.1,13,38.2,259,1682,603,32,16,22,30,20,305,82,ENG-Premier League,2022,possession
ENG,"MF,FW",22,2000,1.9,102,1,14,37,51,9,102,5,2,40.0,3,60.0,68,303,119,2,1,0,0,4,71,11,ENG-Premier League,2022,possession
ENG,FW,15,2007,0.0,1,0,0,0,1,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0,ENG-Premier League,2022,possession
POR,"MF,FW",22,2000,5.7,356,6,27,162,170,27,356,18,6,33.3,11,61.1,215,868,327,8,8,1,13,8,255,40,ENG-Premier League,2022,possession
BRA,FW,25,1997,22.9,1080,26,110,407,573,191,1079,112,45,40.2,49,43.8,642,3467,1517,44,31,28,88,65,799,194,ENG-Premier League,2022,possession
BRA,DF,24,1997,37.9,2776,307,1153,1419,215,53,2776,3,2,66.7,0,0.0,1745,8755,5467,18,43,3,19,4,1933,16,ENG-Premier League,2022,possession
BRA,FW,21,2001,31.0,1490,19,129,419,965,223,1490,133,60,45.1,55,41.4,1019,7180,3297,124,65,70,83,56,1115,350,ENG-Premier League,2022,possession
SUI,MF,29,1992,33.3,1891,84,341,900,658,106,1891,29,16,55.2,10,34.5,1113,4243,2162,42,38,9,35,25,1397,175,ENG-Premier League,2022,possession
POL,DF,22,2000,4.7,248,31,124,103,22,3,248,1,1,100.0,0,0.0,141,530,171,0,3,0,0,0,148,6,ENG-Premier League,2022,possession
ITA,MF,30,1991,9.5,807,27,159,476,175,8,807,10,3,30.0,5,50.0,523,2399,1252,15,12,0,8,8,629,8,ENG-Premier League,2022,possession
