nation,pos,age,born,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP,league,season,stat_type
,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,,,,
ENG,DF,27-185,1997,8.5,335,402,83.3,5565,1905,168,185,90.8,143,166,86.1,17,35,48.6,1,0.7,0.5,0.3,4,32,7,1,34,ENG-Premier League,2024,passing
ENG,"FW,MF",23-218,2001,14.9,420,565,74.3,6582,1985,245,274,89.4,121,167,72.5,40,81,49.4,10,6.0,6.0,4.0,43,11,29,10,54,ENG-Premier League,2024,passing
ESP,GK,29-208,1995,31.0,848,1148,73.9,20252,13967,238,240,99.2,434,441,98.4,175,462,37.9,0,0.0,0.1,0.0,0,37,1,0,11,ENG-Premier League,2024,passing
ENG,MF,26-087,1999,26.0,1160,1392,83.3,19897,5390,569,614,92.7,463,512,90.4,105,216,48.6,5,6.0,5.1,-1.0,49,113,29,5,158,ENG-Premier League,2024,passing
ENG,"FW,MF",18-021,2007,8.0,255,319,79.9,3694,1026,161,174,92.5,68,90,75.6,15,29,51.7,2,1.0,1.5,1.0,11,15,11,5,27,ENG-Premier League,2024,passing
BRA,FW,28-008,1997,6.8,156,203,76.8,2030,378,103,128,80.5,41,47,87.2,4,6,66.7,0,0.7,0.5,-0.7,8,10,9,1,19,ENG-Premier League,2024,passing
BRA,DF,27-113,1997,26.3,1480,1641,90.2,25788,7938,598,617,96.9,782,830,94.2,83,154,53.9,1,0.9,1.2,0.1,13,145,8,0,126,ENG-Premier League,2024,passing
BRA,"FW,MF",23-297,2001,18.9,367,527,69.6,5332,1173,235,289,81.3,101,150,67.3,21,40,52.5,4,4.3,3.6,-0.3,32,9,26,11,40,ENG-Premier League,2024,passing
POL,DF,25-055,2000,5.5,247,283,87.3,4543,1406,91,98,92.9,139,148,93.9,16,30,53.3,0,0.2,0.1,-0.2,2,18,1,0,17,ENG-Premier League,2024,passing
ITA,MF,33-112,1991,6.8,346,400,86.5,5408,1292,185,204,90.7,137,155,88.4,18,30,60.0,0,0.4,0.5,-0.4,3,36,8,0,42,ENG-Premier League,2024,passing
NED,DF,23-298,2001,25.6,1110,1303,85.2,15977,4389,638,704,90.6,426,498,85.5,25,48,52.1,2,0.8,1.2,1.2,16,98,16,2,141,ENG-Premier League,2024,passing
GER,"FW,MF",25-304,1999,20.4,401,511,78.5,4833,1010,281,334,84.1,94,114,82.5,5,11,45.5,3,2.4,1.7,0.6,16,26,8,1,59,ENG-Premier League,2024,passing
SCO,"DF,FW",27-310,1997,1.1,39,52,75.0,581,204,24,25,96.0,12,19,63.2,2,5,40.0,0,0.8,0.5,-0.8,6,3,4,2,6,ENG-Premier League,2024,passing
BEL,FW,30-128,1994,22.2,537,730,73.6,8890,2528,282,332,84.9,203,269,75.5,41,78,52.6,5,5.0,3.1,0.0,34,35,41,9,84,ENG-Premier League,2024,passing
NOR,MF,26-115,1998,20.4,943,1146,82.3,14228,4245,537,591,90.9,333,382,87.2,49,106,46.2,4,4.1,5.5,-0.1,47,100,63,5,192,ENG-Premier League,2024,passing
ESP,"MF,FW",28-293,1996,14.8,392,502,78.1,5395,1556,250,287,87.1,112,144,77.8,15,28,53.6,1,1.4,1.1,-0.4,14,32,23,3,60,ENG-Premier League,2024,passing
ENG,DF,18-197,2006,10.3,463,514,90.1,6758,1515,273,286,95.5,170,191,89.0,11,17,64.7,0,0.2,0.3,-0.2,5,50,4,0,50,ENG-Premier League,2024,passing
UKR,"DF,MF",28-117,1996,3.3,193,243,79.4,3067,724,102,114,89.5,79,97,81.4,8,20,40.0,0,0.0,0.1,0.0,1,14,2,1,21,ENG-Premier League,2024,passing
ENG,"FW,MF",30-124,1994,3.9,116,154,75.3,1475,301,77,91,84.6,32,43,74.4,2,3,66.7,2,0.4,0.4,1.6,6,4,8,2,15,ENG-Premier League,2024,passing
ENG,FW,25-122,1999,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,ENG-Premier League,2024,passing
ITA,DF,22-327,2002,10.3,449,526,85.4,6549,1644,272,297,91.6,150,175,85.7,19,28,67.9,1,0.3,0.7,0.7,6,40,9,1,54,ENG-Premier League,2024,passing
JPN,DF,26-157,1998,0.1,3,4,75.0,42,10,1,1,100.0,2,2,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,1,ENG-Premier League,2024,passing
GHA,"MF,DF",31-302,1993,25.3,1381,1579,87.5,22064,5968,719,772,93.1,561,633,88.6,78,115,67.8,2,1.9,2.1,0.1,17,134,32,2,155,ENG-Premier League,2024,passing
FRA,DF,24-018,2001,28.3,1942,2073,93.7,33537,10187,824,864,95.4,1003,1049,95.6,108,135,80.0,0,0.5,0.9,-0.5,4,147,4,0,121,ENG-Premier League,2024,passing
BEL,MF,23-238,2001,13.0,508,574,88.5,7993,1861,255,269,94.8,217,242,89.7,23,31,74.2,0,0.2,0.3,-0.2,5,39,5,1,44,ENG-Premier League,2024,passing
ESP,"DF,MF",22-063,2003,3.5,169,195,86.7,2644,577,86,93,92.5,72,79,91.1,7,13,53.8,0,0.2,0.4,-0.2,3,9,8,5,15,ENG-Premier League,2024,passing
FRA,DF,27-031,1998,5.1,238,272,87.5,4012,1502,100,106,94.3,129,142,90.8,8,15,53.3,0,0.4,0.3,-0.4,3,14,3,0,15,ENG-Premier League,2024,passing
FRA,MF,25-139,1999,13.3,608,683,89.0,9508,2929,307,328,93.6,266,292,91.1,22,42,52.4,0,0.5,0.4,-0.5,8,66,7,0,65,ENG-Premier League,2024,passing
BRA,DF,32-027,1993,9.2,534,603,88.6,10941,4103,138,151,91.4,341,362,94.2,54,83,65.1,0,0.0,0.1,0.0,0,23,1,0,34,ENG-Premier League,2024,passing
NED,FW,26-092,1999,2.6,37,53,69.8,476,92,25,30,83.3,9,13,69.2,2,3,66.7,0,0.0,0.0,0.0,1,1,1,0,5,ENG-Premier League,2024,passing
ARG,"MF,FW",28-107,1996,1.1,49,60,81.7,624,166,33,36,91.7,12,14,85.7,1,5,20.0,0,0.0,0.0,0.0,1,4,1,0,7,ENG-Premier League,2024,passing
ARG,GK,32-221,1992,29.0,905,1136,79.7,23411,13960,160,164,97.6,529,539,98.1,216,426,50.7,0,0.5,0.0,-0.5,1,18,0,0,2,ENG-Premier League,2024,passing
ENG,DF,27-170,1997,25.6,1249,1352,92.4,20884,6752,547,568,96.3,642,673,95.4,46,74,62.2,0,0.2,0.4,-0.2,3,80,1,0,60,ENG-Premier League,2024,passing
NED,DF,23-032,2002,7.9,400,491,81.5,6541,1778,195,222,87.8,175,206,85.0,22,36,61.1,2,2.3,2.1,-0.3,17,18,15,3,35,ENG-Premier League,2024,passing
