nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,league,season,stat_type
,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,,,
ENG,DF,27-185,1997,8.5,0,6,1,16.7,0.7,0.12,0.0,0.0,19.0,0,0,0,0.4,0.4,0.06,-0.4,-0.4,ENG-Premier League,2024,shooting
ENG,"FW,MF",23-218,2001,14.9,6,48,18,37.5,3.23,1.21,0.1,0.28,16.0,1,1,1,5.1,4.3,0.09,0.9,0.7,ENG-Premier League,2024,shooting
ESP,GK,29-208,1995,31.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ENG-Premier League,2024,shooting
ENG,MF,26-087,1999,26.0,2,38,9,23.7,1.46,0.35,0.05,0.22,19.9,2,0,0,2.6,2.6,0.07,-0.6,-0.6,ENG-Premier League,2024,shooting
ENG,"FW,MF",18-021,2007,8.0,3,19,7,36.8,2.39,0.88,0.16,0.43,18.8,1,0,0,0.9,0.9,0.05,2.1,2.1,ENG-Premier League,2024,shooting
BRA,FW,28-008,1997,6.8,3,20,7,35.0,2.96,1.04,0.15,0.43,11.1,0,0,0,3.0,3.0,0.15,0.0,0.0,ENG-Premier League,2024,shooting
BRA,DF,27-113,1997,26.3,3,22,5,22.7,0.84,0.19,0.14,0.6,9.5,0,0,0,2.6,2.6,0.12,0.4,0.4,ENG-Premier League,2024,shooting
BRA,"FW,MF",23-297,2001,18.9,6,36,17,47.2,1.9,0.9,0.17,0.35,12.3,0,0,0,4.9,4.9,0.14,1.1,1.1,ENG-Premier League,2024,shooting
POL,DF,25-055,2000,5.5,0,1,0,0.0,0.18,0.0,0.0,,18.3,0,0,0,0.1,0.1,0.06,-0.1,-0.1,ENG-Premier League,2024,shooting
ITA,MF,33-112,1991,6.8,0,1,0,0.0,0.15,0.0,0.0,,22.5,0,0,0,0.0,0.0,0.04,0.0,0.0,ENG-Premier League,2024,shooting
NED,DF,23-298,2001,25.6,1,14,4,28.6,0.55,0.16,0.07,0.25,14.1,0,0,0,1.2,1.2,0.09,-0.2,-0.2,ENG-Premier League,2024,shooting
GER,"FW,MF",25-304,1999,20.4,9,52,21,40.4,2.54,1.03,0.17,0.43,11.7,0,0,0,9.4,9.4,0.18,-0.4,-0.4,ENG-Premier League,2024,shooting
SCO,"DF,FW",27-310,1997,1.1,0,1,0,0.0,0.93,0.0,0.0,,2.6,0,0,0,0.2,0.2,0.21,-0.2,-0.2,ENG-Premier League,2024,shooting
BEL,FW,30-128,1994,22.2,5,56,16,28.6,2.52,0.72,0.09,0.31,16.3,0,0,0,5.4,5.4,0.1,-0.4,-0.4,ENG-Premier League,2024,shooting
NOR,MF,26-115,1998,20.4,2,36,11,30.6,1.76,0.54,0.03,0.09,18.5,2,1,1,4.2,3.4,0.1,-2.2,-2.4,ENG-Premier League,2024,shooting
ESP,"MF,FW",28-293,1996,14.8,6,29,12,41.4,1.96,0.81,0.21,0.5,10.8,0,0,0,3.9,3.9,0.13,2.1,2.1,ENG-Premier League,2024,shooting
ENG,DF,18-197,2006,10.3,1,1,1,100.0,0.1,0.1,1.0,1.0,13.9,0,0,0,0.0,0.0,0.04,1.0,1.0,ENG-Premier League,2024,shooting
UKR,"DF,MF",28-117,1996,3.3,0,3,0,0.0,0.9,0.0,0.0,,14.0,0,0,0,0.2,0.2,0.05,-0.2,-0.2,ENG-Premier League,2024,shooting
ENG,"FW,MF",30-124,1994,3.9,0,10,0,0.0,2.54,0.0,0.0,,15.0,2,0,0,1.3,1.3,0.13,-1.3,-1.3,ENG-Premier League,2024,shooting
ENG,FW,25-122,1999,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ENG-Premier League,2024,shooting
ITA,DF,22-327,2002,10.3,2,10,6,60.0,0.97,0.58,0.2,0.33,14.1,0,0,0,0.9,0.9,0.09,1.1,1.1,ENG-Premier League,2024,shooting
JPN,DF,26-157,1998,0.1,0,1,0,0.0,12.86,0.0,0.0,,1.2,0,0,0,0.2,0.2,0.18,-0.2,-0.2,ENG-Premier League,2024,shooting
GHA,"MF,DF",31-302,1993,25.3,3,22,6,27.3,0.87,0.24,0.14,0.5,19.8,0,0,0,1.8,1.8,0.08,1.2,1.2,ENG-Premier League,2024,shooting
FRA,DF,24-018,2001,28.3,2,5,2,40.0,0.18,0.07,0.4,1.0,4.5,0,0,0,2.2,2.2,0.43,-0.2,-0.2,ENG-Premier League,2024,shooting
BEL,MF,23-238,2001,13.0,2,14,4,28.6,1.08,0.31,0.14,0.5,13.8,0,0,0,1.8,1.8,0.13,0.2,0.2,ENG-Premier League,2024,shooting
ESP,"DF,MF",22-063,2003,3.5,0,2,0,0.0,0.58,0.0,0.0,,26.6,0,0,0,0.0,0.0,0.02,0.0,0.0,ENG-Premier League,2024,shooting
FRA,DF,27-031,1998,5.1,0,2,0,0.0,0.39,0.0,0.0,,19.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1,ENG-Premier League,2024,shooting
FRA,MF,25-139,1999,13.3,0,6,1,16.7,0.45,0.07,0.0,0.0,19.7,0,0,0,0.4,0.4,0.06,-0.4,-0.4,ENG-Premier League,2024,shooting
BRA,DF,32-027,1993,9.2,0,4,1,25.0,0.43,0.11,0.0,0.0,6.7,0,0,0,0.6,0.6,0.16,-0.6,-0.6,ENG-Premier League,2024,shooting
NED,FW,26-092,1999,2.6,2,9,6,66.7,3.46,2.31,0.22,0.33,15.6,0,0,0,1.4,1.4,0.15,0.6,0.6,ENG-Premier League,2024,shooting
ARG,"MF,FW",28-107,1996,1.1,0,5,0,0.0,4.59,0.0,0.0,,19.1,1,0,0,0.7,0.7,0.13,-0.7,-0.7,ENG-Premier League,2024,shooting
ARG,GK,32-221,1992,29.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ENG-Premier League,2024,shooting
ENG,DF,27-170,1997,25.6,1,7,3,42.9,0.27,0.12,0.14,0.33,8.8,0,0,0,0.7,0.7,0.1,0.3,0.3,ENG-Premier League,2024,shooting
NED,DF,23-032,2002,7.9,0,10,4,40.0,1.27,0.51,0.0,0.0,25.6,0,0,0,0.4,0.4,0.04,-0.4,-0.4,ENG-Premier League,2024,shooting
ENG,"FW,MF",23-318,2001,14.9,1,15,4,26.7,1.01,0.27,0.07,0.25,16.0,0,0,0,1.3,1.3,0.09,-0.3,-0.3,ENG-Premier League,2024,shooting
ENG,"FW,MF",23-062,2002,3.7,0,7,0,0.0,1.9,0.0,0.0,,16.0,0,0,0,0.5,0.5,0.07,-0.5,-0.5,ENG-Premier League,2024,shooting
SCO,"MF,FW",30-175,1994,20.9,0,23,2,8.7,1.1,0.1,0.0,0.0,16.9,1,0,0,2.2,2.2,0.1,-2.2,-2.2,ENG-Premier League,2024,shooting
COL,FW,21-119,2003,7.1,7,31,15,48.4,4.37,2.12,0.23,0.47,15.6,0,0,0,4.9,4.9,0.16,2.1,2.1,ENG-Premier League,2024,shooting
SRB,DF,19-116,2005,1.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ENG-Premier League,2024,shooting
NED,"DF,MF",21-096,2004,5.3,0,1,1,100.0,0.19,0.19,0.0,0.0,20.2,0,0,0,0.0,0.0,0.04,0.0,0.0,ENG-Premier League,2024,shooting
JAM,"FW,MF",27-245,1997,12.6,1,28,6,21.4,2.21,0.47,0.04,0.17,17.3,2,0,0,1.7,1.7,0.06,-0.7,-0.7,ENG-Premier League,2024,shooting
FRA,DF,31-265,1993,23.9,0,13,3,23.1,0.54,0.13,0.0,0.0,22.7,5,0,0,0.8,0.8,0.06,-0.8,-0.8,ENG-Premier League,2024,shooting
ESP,"MF,FW",29-080,1996,3.4,3,13,7,53.8,3.84,2.07,0.23,0.43,16.5,1,0,0,2.1,2.1,0.16,0.9,0.9,ENG-Premier League,2024,shooting
ENG,FW,27-162,1997,3.3,1,11,3,27.3,3.36,0.92,0.09,0.33,18.7,1,0,0,1.4,1.4,0.13,-0.4,-0.4,ENG-Premier League,2024,shooting
POL,DF,27-247,1997,16.4,1,8,4,50.0,0.49,0.24,0.13,0.25,17.6,0,0,0,0.3,0.3,0.03,0.7,0.7,ENG-Premier League,2024,shooting
ENG,"FW,MF",22-259,2002,27.9,8,48,16,33.3,1.72,0.57,0.17,0.5,15.9,0,0,0,5.8,5.8,0.12,2.2,2.2,ENG-Premier League,2024,shooting
ENG,FW,29-102,1995,23.8,13,70,30,42.9,2.94,1.26,0.16,0.37,12.2,0,2,2,13.9,12.3,0.18,-0.9,-1.3,ENG-Premier League,2024,shooting
ESP,DF,28-085,1997,18.2,0,8,2,25.0,0.44,0.11,0.0,0.0,11.7,0,0,0,0.5,0.5,0.06,-0.5,-0.5,ENG-Premier League,2024,shooting
SWE,GK,35-093,1990,2.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ENG-Premier League,2024,shooting
ENG,MF,31-127,1993,6.2,3,14,4,28.6,2.27,0.65,0.21,0.75,13.8,0,0,0,1.7,1.7,0.12,1.3,1.3,ENG-Premier League,2024,shooting
ENG,DF,32-029,1993,9.7,0,6,1,16.7,0.62,0.1,0.0,0.0,8.1,0,0,0,0.7,0.7,0.12,-0.7,-0.7,ENG-Premier League,2024,shooting
