nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,league,season,stat_type
,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,,,
MTN,MF,20,2000,0.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ESP-La Liga,2020,shooting
ESP,"DF,MF",23,1997,1.0,0,1,0,0.0,0.97,0.0,0.0,,18.8,0,0,0,0.1,0.1,0.07,-0.1,-0.1,ESP-La Liga,2020,shooting
ESP,GK,23,1996,0.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ESP-La Liga,2020,shooting
ESP,"MF,FW",19,2001,5.0,1,7,4,57.1,1.39,0.79,0.14,0.25,17.0,0,0,0,1.3,1.3,0.19,-0.3,-0.3,ESP-La Liga,2020,shooting
ESP,MF,26,1993,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ESP-La Liga,2020,shooting
BRA,FW,29,1991,9.7,1,14,2,14.3,1.44,0.21,0.07,0.5,16.6,0,0,0,1.5,1.5,0.1,-0.5,-0.5,ESP-La Liga,2020,shooting
URU,"MF,FW",18,2001,6.0,0,5,2,40.0,0.83,0.33,0.0,0.0,21.5,0,0,0,0.6,0.6,0.11,-0.6,-0.6,ESP-La Liga,2020,shooting
ESP,GK,28,1992,37.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ESP-La Liga,2020,shooting
FRA,DF,29,1991,33.5,1,23,6,26.1,0.69,0.18,0.04,0.17,18.6,5,0,0,2.4,2.4,0.13,-1.4,-1.4,ESP-La Liga,2020,shooting
ESP,MF,23,1997,2.4,0,1,0,0.0,0.42,0.0,0.0,,16.6,0,0,0,0.0,0.0,0.04,0.0,0.0,ESP-La Liga,2020,shooting
ESP,"DF,MF",18,2002,2.8,0,1,1,100.0,0.36,0.36,0.0,0.0,15.6,0,0,0,0.1,0.1,0.1,-0.1,-0.1,ESP-La Liga,2020,shooting
SWE,FW,28,1992,2.3,1,5,1,20.0,2.16,0.43,0.2,1.0,13.7,0,0,0,0.8,0.8,0.16,0.2,0.2,ESP-La Liga,2020,shooting
ESP,FW,30,1990,33.6,11,89,28,31.5,2.65,0.83,0.1,0.32,16.3,4,2,4,12.8,9.6,0.11,-1.8,-0.6,ESP-La Liga,2020,shooting
ESP,MF,29,1991,15.5,0,16,2,12.5,1.03,0.13,0.0,0.0,20.1,0,0,0,0.8,0.8,0.05,-0.8,-0.8,ESP-La Liga,2020,shooting
ESP,FW,31,1988,19.5,4,28,9,32.1,1.43,0.46,0.04,0.11,18.1,3,3,4,6.7,3.5,0.13,-2.7,-2.5,ESP-La Liga,2020,shooting
ESP,"MF,FW",26,1993,23.2,4,24,9,37.5,1.03,0.39,0.17,0.44,18.1,0,0,0,3.3,3.3,0.14,0.7,0.7,ESP-La Liga,2020,shooting
ESP,MF,34,1986,12.5,0,11,1,9.1,0.88,0.08,0.0,0.0,17.7,0,0,0,0.6,0.6,0.05,-0.6,-0.6,ESP-La Liga,2020,shooting
ESP,"DF,MF",24,1996,17.3,0,2,0,0.0,0.12,0.0,0.0,,15.7,0,0,0,0.1,0.1,0.07,-0.1,-0.1,ESP-La Liga,2020,shooting
ESP,MF,27,1993,13.2,2,9,4,44.4,0.68,0.3,0.22,0.5,18.9,0,0,0,0.9,0.9,0.1,1.1,1.1,ESP-La Liga,2020,shooting
ARG,MF,29,1991,27.7,1,17,5,29.4,0.61,0.18,0.06,0.2,16.8,0,0,0,1.2,1.2,0.07,-0.2,-0.2,ESP-La Liga,2020,shooting
BRA,DF,26,1993,5.2,1,4,2,50.0,0.77,0.38,0.25,0.5,8.3,0,0,0,0.6,0.6,0.15,0.4,0.4,ESP-La Liga,2020,shooting
ESP,DF,24,1995,28.3,1,14,2,14.3,0.5,0.07,0.07,0.5,20.6,0,0,0,1.4,1.4,0.1,-0.4,-0.4,ESP-La Liga,2020,shooting
ESP,MF,21,1999,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ESP-La Liga,2020,shooting
CMR,DF,18,2001,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ESP-La Liga,2020,shooting
