nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,league,season,stat_type
,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,,,
MTN,MF,20,2000,0.7,2,2,1,1,0,0,1,0.0,1,0,0,0,1,3,0,0,ESP-La Liga,2021,defense
ESP,"DF,MF",23,1997,1.0,1,1,0,1,0,0,2,0.0,2,1,0,1,2,3,2,0,ESP-La Liga,2021,defense
ESP,GK,23,1996,0.8,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,ESP-La Liga,2021,defense
ESP,"MF,FW",19,2001,5.0,7,3,3,2,2,4,16,25.0,12,4,0,4,6,13,1,0,ESP-La Liga,2021,defense
ESP,MF,26,1993,0.2,3,1,2,1,0,1,1,100.0,0,0,0,0,0,3,0,0,ESP-La Liga,2021,defense
BRA,FW,29,1991,9.7,6,4,3,1,2,2,13,15.4,11,9,0,9,9,15,13,0,ESP-La Liga,2021,defense
URU,"MF,FW",18,2001,6.0,8,5,2,4,2,3,13,23.1,10,0,0,0,4,12,3,0,ESP-La Liga,2021,defense
ESP,GK,28,1992,37.2,2,0,2,0,0,2,4,50.0,2,0,0,0,2,4,19,0,ESP-La Liga,2021,defense
FRA,DF,29,1991,33.5,43,32,36,7,0,21,35,60.0,14,38,24,14,51,94,149,1,ESP-La Liga,2021,defense
ESP,MF,23,1997,2.4,6,4,1,3,2,2,10,20.0,8,7,0,7,3,9,2,0,ESP-La Liga,2021,defense
ESP,"DF,MF",18,2002,2.8,5,5,3,2,0,2,3,66.7,1,2,0,2,3,8,3,1,ESP-La Liga,2021,defense
SWE,FW,28,1992,2.3,2,2,0,2,0,0,2,0.0,2,0,0,0,1,3,2,0,ESP-La Liga,2021,defense
ESP,FW,30,1990,33.6,27,14,6,15,6,8,28,28.6,20,26,3,23,15,42,58,1,ESP-La Liga,2021,defense
ESP,MF,29,1991,15.5,19,14,6,7,6,3,29,10.3,26,12,0,12,9,28,9,0,ESP-La Liga,2021,defense
ESP,FW,31,1988,19.5,6,2,3,3,0,2,10,20.0,8,6,1,5,2,8,5,0,ESP-La Liga,2021,defense
ESP,"MF,FW",26,1993,23.2,21,14,11,7,3,7,39,17.9,32,23,1,22,20,41,30,0,ESP-La Liga,2021,defense
ESP,MF,34,1986,12.5,24,13,10,13,1,8,35,22.9,27,16,1,15,12,36,21,0,ESP-La Liga,2021,defense
ESP,"DF,MF",24,1996,17.3,32,18,17,12,3,17,33,51.5,16,9,3,6,27,59,36,0,ESP-La Liga,2021,defense
ESP,MF,27,1993,13.2,20,10,8,8,4,5,16,31.3,11,15,2,13,7,27,10,0,ESP-La Liga,2021,defense
ARG,MF,29,1991,27.7,38,16,21,14,3,16,50,32.0,34,30,14,16,29,67,40,1,ESP-La Liga,2021,defense
BRA,DF,26,1993,5.2,5,2,3,2,0,3,4,75.0,1,2,1,1,7,12,23,1,ESP-La Liga,2021,defense
ESP,DF,24,1995,28.3,55,30,28,21,6,23,52,44.2,29,44,6,38,66,121,72,0,ESP-La Liga,2021,defense
ESP,MF,21,1999,0.2,1,1,0,1,0,0,1,0.0,1,0,0,0,0,1,0,0,ESP-La Liga,2021,defense
CMR,DF,18,2001,0.2,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,ESP-La Liga,2021,defense
ESP,DF,22,1997,9.4,11,9,9,2,0,6,14,42.9,8,9,6,3,11,22,32,0,ESP-La Liga,2021,defense
ESP,MF,32,1987,28.6,39,18,18,16,5,16,42,38.1,26,28,8,20,37,76,42,0,ESP-La Liga,2021,defense
