nation,pos,age,born,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,league,season,stat_type
,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,,,
MAR,DF,26-032,1999,26.5,13,0,0,47,31,2,5,39,23,1,2,0,87,39,35,52.7,ESP-La Liga,2024,misc
ALG,"FW,MF",26-243,1998,4.3,1,0,0,5,6,2,17,0,2,0,0,0,16,1,11,8.3,ESP-La Liga,2024,misc
ESP,GK,24-120,2000,1.4,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,,ESP-La Liga,2024,misc
SRB,DF,33-119,1991,4.7,1,1,0,7,4,0,0,7,9,0,0,0,12,8,3,72.7,ESP-La Liga,2024,misc
ESP,MF,27-278,1997,17.0,1,0,0,27,15,0,3,10,23,0,0,0,89,23,31,42.6,ESP-La Liga,2024,misc
ESP,MF,24-262,2000,22.7,9,1,1,50,22,0,25,35,32,0,0,0,117,24,26,48.0,ESP-La Liga,2024,misc
ESP,GK,28-243,1996,24.2,5,1,0,4,4,0,0,0,0,0,3,1,19,4,1,80.0,ESP-La Liga,2024,misc
ESP,FW,27-193,1997,3.5,2,0,0,11,7,1,2,1,1,0,0,0,7,19,10,65.5,ESP-La Liga,2024,misc
ESP,"MF,FW",27-096,1998,5.8,1,0,0,6,14,0,21,0,8,0,0,0,19,6,4,60.0,ESP-La Liga,2024,misc
URU,MF,27-012,1998,3.8,2,0,0,13,3,0,1,8,5,0,0,0,22,6,4,60.0,ESP-La Liga,2024,misc
ESP,"FW,MF",22-354,2002,13.1,2,0,0,25,26,4,22,5,17,0,0,0,47,11,17,39.3,ESP-La Liga,2024,misc
ESP,"FW,MF",25-353,1999,26.4,1,0,0,24,46,8,197,11,23,0,0,0,102,26,45,36.6,ESP-La Liga,2024,misc
ARG,DF,25-218,1999,0.5,0,0,0,1,0,0,0,0,0,0,1,0,0,3,2,60.0,ESP-La Liga,2024,misc
ESP,"DF,MF",22-100,2003,2.6,0,0,0,1,1,2,7,0,5,0,0,0,9,1,8,11.1,ESP-La Liga,2024,misc
EQG,GK,24-041,2001,4.4,0,0,0,1,1,0,0,0,1,0,1,0,2,0,0,,ESP-La Liga,2024,misc
ESP,MF,30-279,1994,12.7,2,0,0,23,10,1,84,8,14,0,0,0,43,14,10,58.3,ESP-La Liga,2024,misc
ESP,"MF,FW",30-042,1995,17.7,5,0,0,26,11,5,13,10,15,0,1,0,72,30,41,42.3,ESP-La Liga,2024,misc
ESP,FW,35-137,1989,21.7,5,1,1,41,46,18,10,1,10,1,0,0,69,94,76,55.3,ESP-La Liga,2024,misc
ESP,FW,31-177,1993,0.3,0,0,0,1,1,0,6,0,1,0,0,0,1,0,0,,ESP-La Liga,2024,misc
ARG,"FW,MF",20-144,2004,2.2,0,0,0,3,3,1,10,1,4,1,0,0,9,2,4,33.3,ESP-La Liga,2024,misc
ESP,DF,24-230,2000,22.7,6,0,0,41,16,1,66,25,43,0,1,0,83,7,25,21.9,ESP-La Liga,2024,misc
MLI,DF,24-152,2000,18.6,5,0,0,22,21,1,18,21,18,1,1,0,68,28,26,51.9,ESP-La Liga,2024,misc
ARG,DF,29-049,1996,25.3,10,0,0,29,35,2,68,35,45,1,0,0,89,34,40,45.9,ESP-La Liga,2024,misc
ESP,"MF,FW",20-053,2005,2.0,1,0,0,4,5,0,12,0,2,0,0,0,11,1,3,25.0,ESP-La Liga,2024,misc
