nation,pos,age,born,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,league,season,stat_type
,,,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,,,
MAR,DF,26-032,1999,26.5,1210,156,639,526,56,24,1210,4,3,75.0,1,25.0,607,3459,1976,16,7,0,17,3,621,4,ESP-La Liga,2024,possession
ALG,"FW,MF",26-243,1998,4.3,173,4,27,62,85,18,173,14,3,21.4,9,64.3,103,674,389,16,6,7,9,5,107,34,ESP-La Liga,2024,possession
ESP,GK,24-120,2000,1.4,58,45,55,3,0,0,58,0,0,,0,,19,135,61,0,0,0,0,0,4,0,ESP-La Liga,2024,possession
SRB,DF,33-119,1991,4.7,197,21,96,98,3,2,197,1,0,0.0,1,100.0,95,509,286,1,2,0,0,0,101,1,ESP-La Liga,2024,possession
ESP,MF,27-278,1997,17.0,954,52,222,598,139,9,954,14,8,57.1,5,35.7,403,1827,909,11,13,0,14,15,513,13,ESP-La Liga,2024,possession
ESP,MF,24-262,2000,22.7,1146,53,289,703,167,6,1146,17,11,64.7,6,35.3,559,2259,931,5,14,0,22,24,649,14,ESP-La Liga,2024,possession
ESP,GK,28-243,1996,24.2,825,598,803,23,0,0,825,0,0,,0,,400,2479,1766,0,0,0,0,0,282,0,ESP-La Liga,2024,possession
ESP,FW,27-193,1997,3.5,109,6,8,51,51,21,108,12,2,16.7,9,75.0,55,299,114,4,3,3,9,5,71,18,ESP-La Liga,2024,possession
ESP,"MF,FW",27-096,1998,5.8,312,1,36,156,121,11,312,17,7,41.2,4,23.5,177,805,430,14,13,2,10,3,219,20,ESP-La Liga,2024,possession
URU,MF,27-012,1998,3.8,191,10,45,120,30,1,191,4,3,75.0,1,25.0,106,491,226,3,1,1,0,0,115,5,ESP-La Liga,2024,possession
ESP,"FW,MF",22-354,2002,13.1,538,18,103,231,209,38,538,33,7,21.2,25,75.8,276,1083,466,12,10,4,26,17,333,60,ESP-La Liga,2024,possession
ESP,"FW,MF",25-353,1999,26.4,1130,21,164,418,563,67,1130,82,28,34.1,46,56.1,577,3701,1722,85,34,21,62,32,645,166,ESP-La Liga,2024,possession
ARG,DF,25-218,1999,0.5,11,6,8,3,0,0,11,0,0,,0,,0,0,0,0,0,0,0,0,0,0,ESP-La Liga,2024,possession
ESP,"DF,MF",22-100,2003,2.6,100,8,27,42,33,1,100,10,3,30.0,6,60.0,50,484,191,7,3,0,6,2,47,10,ESP-La Liga,2024,possession
EQG,GK,24-041,2001,4.4,148,127,148,0,0,0,148,1,1,100.0,0,0.0,74,353,244,0,0,0,0,0,63,0,ESP-La Liga,2024,possession
ESP,MF,30-279,1994,12.7,821,22,108,481,241,10,818,6,5,83.3,1,16.7,366,1155,598,4,13,1,13,2,479,26,ESP-La Liga,2024,possession
ESP,"MF,FW",30-042,1995,17.7,734,14,96,390,255,45,733,17,6,35.3,9,52.9,369,1990,901,22,23,3,28,14,460,63,ESP-La Liga,2024,possession
ESP,FW,35-137,1989,21.7,676,18,54,314,318,85,674,26,10,38.5,14,53.8,397,1662,552,17,12,7,73,30,537,108,ESP-La Liga,2024,possession
ESP,FW,31-177,1993,0.3,15,0,2,4,10,2,15,0,0,,0,,8,99,71,4,1,2,0,0,10,3,ESP-La Liga,2024,possession
ARG,"FW,MF",20-144,2004,2.2,69,0,5,28,37,5,68,3,1,33.3,1,33.3,42,256,69,3,1,1,5,7,45,12,ESP-La Liga,2024,possession
ESP,DF,24-230,2000,22.7,1176,52,345,477,363,25,1176,29,7,24.1,17,58.6,450,2491,1293,37,22,5,33,14,505,77,ESP-La Liga,2024,possession
MLI,DF,24-152,2000,18.6,897,45,344,451,107,8,897,14,7,50.0,5,35.7,455,1888,976,11,9,2,17,8,526,24,ESP-La Liga,2024,possession
ARG,DF,29-049,1996,25.3,1360,78,455,569,349,36,1360,26,15,57.7,7,26.9,552,2936,1513,33,34,5,28,11,606,75,ESP-La Liga,2024,possession
ESP,"MF,FW",20-053,2005,2.0,108,1,15,37,59,7,108,10,3,30.0,5,50.0,73,440,273,14,8,3,8,3,72,15,ESP-La Liga,2024,possession
ESP,DF,23-100,2002,5.4,256,32,132,116,8,5,256,1,1,100.0,0,0.0,121,703,479,3,2,0,2,1,131,0,ESP-La Liga,2024,possession
URU,DF,23-057,2002,14.5,674,85,345,301,38,10,674,9,4,44.4,4,44.4,314,2003,1152,14,10,0,5,9,299,1,ESP-La Liga,2024,possession
ESP,"MF,FW",31-157,1993,7.8,304,6,39,135,135,28,304,18,6,33.3,9,50.0,179,938,377,9,5,3,20,7,194,41,ESP-La Liga,2024,possession
ARG,"FW,MF",27-012,1998,8.0,387,9,49,166,174,30,387,9,3,33.3,6,66.7,217,893,375,12,17,2,25,8,271,58,ESP-La Liga,2024,possession
ESP,FW,27-285,1997,9.6,330,11,23,136,175,66,330,11,7,63.6,3,27.3,130,670,244,13,6,7,31,8,223,48,ESP-La Liga,2024,possession
ESP,DF,22-293,2002,9.1,482,21,117,246,121,8,482,15,6,40.0,7,46.7,214,1157,627,14,14,2,15,9,244,20,ESP-La Liga,2024,possession
ESP,FW,23-181,2001,0.2,11,0,2,3,6,1,11,1,0,0.0,1,100.0,8,44,29,1,1,0,0,2,11,2,ESP-La Liga,2024,possession
ESP,DF,24-347,2000,15.1,931,98,500,421,12,8,931,1,0,0.0,1,100.0,481,2388,1360,3,3,0,5,1,578,1,ESP-La Liga,2024,possession
ESP,GK,21-222,2003,3.6,134,110,131,3,0,0,134,0,0,,0,,69,383,239,0,0,0,0,0,46,0,ESP-La Liga,2024,possession
ESP,MF,35-240,1989,3.0,237,12,37,151,49,6,236,5,2,40.0,1,20.0,116,431,196,2,4,0,3,2,169,5,ESP-La Liga,2024,possession
ESP,DF,28-250,1996,12.6,844,30,198,438,214,11,844,7,3,42.9,4,57.1,353,1318,550,14,13,2,12,12,457,46,ESP-La Liga,2024,possession
ESP,MF,24-062,2001,15.4,828,25,152,526,158,21,828,20,6,30.0,12,60.0,405,1909,922,15,17,1,17,16,513,29,ESP-La Liga,2024,possession
ESP,DF,25-270,1999,22.6,1595,113,676,867,63,23,1595,14,9,64.3,5,35.7,886,4970,3372,33,14,1,17,10,1020,6,ESP-La Liga,2024,possession
ESP,FW,22-085,2003,0.1,7,0,0,0,7,2,7,2,1,50.0,1,50.0,5,26,13,1,0,0,0,0,5,0,ESP-La Liga,2024,possession
ESP,FW,28-211,1996,16.2,503,18,48,251,208,67,503,15,9,60.0,6,40.0,217,884,293,5,8,2,34,16,324,51,ESP-La Liga,2024,possession
GHA,"FW,MF",30-300,1994,26.7,1061,28,97,344,634,125,1061,94,31,33.0,52,55.3,672,3920,2082,99,33,43,60,36,825,280,ESP-La Liga,2024,possession
ESP,DF,31-342,1993,6.3,394,22,112,192,91,4,394,10,6,60.0,4,40.0,187,812,417,11,6,1,3,2,210,14,ESP-La Liga,2024,possession
ESP,MF,31-248,1993,11.9,703,14,104,453,157,7,703,15,11,73.3,2,13.3,383,1917,966,17,10,2,13,15,496,27,ESP-La Liga,2024,possession
ESP,"FW,MF",25-340,1999,0.6,14,0,1,8,5,0,14,0,0,,0,,6,8,1,0,0,0,5,0,8,3,ESP-La Liga,2024,possession
ESP,GK,24-106,2000,13.4,437,357,436,1,0,0,437,0,0,,0,,237,1238,682,0,0,0,1,0,211,0,ESP-La Liga,2024,possession
ESP,FW,24-069,2001,3.6,124,1,2,50,73,25,124,12,3,25.0,7,58.3,84,365,165,6,3,3,16,8,105,29,ESP-La Liga,2024,possession
ESP,MF,21-150,2003,19.5,1139,30,215,670,263,8,1139,31,13,41.9,13,41.9,568,2474,1083,13,21,1,25,20,702,24,ESP-La Liga,2024,possession
ESP,MF,31-325,1993,8.6,522,18,104,327,95,11,521,5,2,40.0,3,60.0,234,952,459,8,9,3,10,7,331,19,ESP-La Liga,2024,possession
ESP,FW,22-273,2002,20.8,1004,8,80,306,639,107,1004,169,62,36.7,92,54.4,658,5212,2768,111,55,55,57,43,731,245,ESP-La Liga,2024,possession
ESP,FW,22-037,2003,1.2,68,1,7,19,42,4,68,9,3,33.3,6,66.7,27,163,65,2,1,1,1,3,44,18,ESP-La Liga,2024,possession
ESP,MF,24-351,2000,15.3,653,4,52,320,296,61,651,41,19,46.3,18,43.9,396,2585,1440,42,34,6,49,40,532,104,ESP-La Liga,2024,possession
ESP,"MF,FW",20-084,2005,1.4,69,2,7,32,30,1,69,5,3,60.0,2,40.0,37,217,81,3,1,1,1,1,43,8,ESP-La Liga,2024,possession
ESP,"MF,FW",21-321,2003,10.1,321,11,44,155,126,17,321,21,9,42.9,8,38.1,168,858,428,12,11,2,15,18,198,35,ESP-La Liga,2024,possession
ESP,DF,28-071,1997,5.5,363,39,164,199,3,2,363,2,1,50.0,0,0.0,203,1010,509,2,0,0,5,0,221,0,ESP-La Liga,2024,possession
ESP,GK,27-304,1997,13.0,418,305,414,5,0,0,418,0,0,,0,,241,1124,672,0,0,0,1,1,196,0,ESP-La Liga,2024,possession
ESP,DF,30-077,1995,16.8,1180,81,455,681,52,13,1180,7,4,57.1,3,42.9,647,4045,2641,18,8,0,10,5,751,0,ESP-La Liga,2024,possession
ESP,DF,35-060,1990,17.7,1263,58,338,684,251,10,1263,13,6,46.2,6,46.2,596,3001,1795,39,25,2,10,2,725,58,ESP-La Liga,2024,possession
ESP,"FW,MF",29-281,1995,19.8,973,11,69,358,564,62,972,61,26,42.6,30,49.2,486,3172,1580,49,34,19,42,36,623,157,ESP-La Liga,2024,possession
ESP,FW,25-238,1999,5.1,157,2,16,52,93,19,157,24,10,41.7,13,54.2,104,654,350,16,17,6,21,8,116,42,ESP-La Liga,2024,possession
ESP,DF,35-362,1989,14.3,986,33,262,494,236,12,986,15,2,13.3,11,73.3,391,1542,758,21,16,2,10,7,531,65,ESP-La Liga,2024,possession
ESP,FW,20-296,2004,0.1,2,0,0,0,2,2,2,0,0,,0,,1,4,0,0,0,0,0,0,1,1,ESP-La Liga,2024,possession
NOR,FW,29-127,1995,12.6,456,22,42,213,206,78,455,29,13,44.8,15,51.7,236,1272,553,22,10,11,51,27,341,57,ESP-La Liga,2024,possession
FRA,"FW,MF",34-021,1991,24.0,1451,28,194,635,635,77,1449,29,12,41.4,16,55.2,808,3470,1764,41,47,5,37,18,1079,147,ESP-La Liga,2024,possession
BEL,DF,36-089,1989,8.5,583,72,292,278,14,4,583,1,1,100.0,0,0.0,358,1914,1049,2,2,1,7,0,373,1,ESP-La Liga,2024,possession
FRA,DF,29-298,1995,17.3,1234,168,633,562,43,13,1234,2,2,100.0,0,0.0,823,4381,2722,12,12,0,6,1,913,1,ESP-La Liga,2024,possession
ENG,MF,25-064,2000,14.2,818,31,185,434,210,24,818,35,14,40.0,14,40.0,495,2043,811,19,16,5,19,15,570,45,ESP-La Liga,2024,possession
ESP,DF,35-226,1989,7.8,617,30,183,329,107,8,617,2,1,50.0,1,50.0,343,1509,1027,10,13,0,6,0,430,12,ESP-La Liga,2024,possession
ARG,"MF,DF",22-114,2002,15.8,775,13,134,311,343,65,775,56,24,42.9,29,51.8,465,2590,1322,51,32,17,40,13,547,137,ESP-La Liga,2024,possession
SVN,GK,32-094,1993,29.0,808,753,807,1,0,0,808,2,2,100.0,0,0.0,411,2043,1268,0,0,0,1,0,276,0,ESP-La Liga,2024,possession
ESP,DF,30-143,1994,13.7,898,37,277,385,241,10,898,57,20,35.1,28,49.1,521,2925,1724,40,22,4,13,8,557,82,ESP-La Liga,2024,possession
URU,DF,30-081,1995,18.2,1260,230,677,561,26,10,1260,3,2,66.7,1,33.3,770,3331,1688,1,1,0,4,3,858,1,ESP-La Liga,2024,possession
ARG,GK,30-340,1994,1.0,30,29,30,0,0,0,30,0,0,,0,,13,50,34,0,0,0,0,0,9,0,ESP-La Liga,2024,possession
ARG,"FW,MF",25-070,2000,21.5,928,7,86,382,473,82,926,44,25,56.8,18,40.9,568,3262,1578,63,37,21,45,33,676,129,ESP-La Liga,2024,possession
ESP,MF,33-093,1992,16.3,1301,38,333,747,234,9,1301,19,8,42.1,10,52.6,735,3149,1443,14,17,0,13,6,912,12,ESP-La Liga,2024,possession
ESP,"DF,MF",30-071,1995,19.9,1295,64,394,568,345,41,1295,25,11,44.0,12,48.0,763,3676,2060,58,34,10,21,5,858,104,ESP-La Liga,2024,possession
ARG,DF,27-005,1998,15.3,1185,47,360,541,291,17,1185,27,13,48.1,13,48.1,670,2920,1706,31,22,3,19,2,765,82,ESP-La Liga,2024,possession
ESP,MF,21-300,2003,20.8,1420,41,327,798,303,21,1420,33,19,57.6,11,33.3,863,3974,1751,21,25,4,39,17,1033,52,ESP-La Liga,2024,possession
MOZ,DF,31-080,1994,10.5,717,56,290,326,103,8,717,18,4,22.2,9,50.0,421,1705,853,14,15,2,8,4,459,15,ESP-La Liga,2024,possession
ESP,DF,28-151,1996,17.6,1110,134,569,512,31,14,1110,4,2,50.0,2,50.0,718,3131,1610,8,3,0,10,5,813,5,ESP-La Liga,2024,possession
ARG,MF,30-322,1994,18.0,1480,22,251,864,379,16,1480,28,10,35.7,13,46.4,1004,5583,3007,58,41,2,23,19,1167,56,ESP-La Liga,2024,possession
ESP,"DF,MF",25-009,2000,5.0,307,6,38,116,161,20,307,21,5,23.8,14,66.7,212,1550,913,38,22,9,8,6,223,54,ESP-La Liga,2024,possession
BRA,"MF,DF",25-109,1999,13.9,836,17,170,349,327,56,836,37,17,45.9,18,48.6,535,3101,1759,53,38,20,26,15,617,140,ESP-La Liga,2024,possession
FRA,MF,29-150,1995,0.5,30,0,5,14,11,0,30,3,0,0.0,2,66.7,18,79,10,0,0,0,1,0,20,2,ESP-La Liga,2024,possession
ARG,"FW,MF",30-033,1995,7.7,357,4,46,110,207,67,357,32,12,37.5,19,59.4,232,1106,535,21,13,9,25,14,256,66,ESP-La Liga,2024,possession
ESP,DF,21-175,2003,22.7,1521,35,269,744,533,40,1521,105,42,40.0,43,41.0,954,6067,3151,96,62,12,42,26,1088,226,ESP-La Liga,2024,possession
DEN,DF,29-001,1996,0.3,18,0,10,8,0,0,18,0,0,,0,,9,24,7,0,0,0,0,0,10,0,ESP-La Liga,2024,possession
ESP,FW,22-162,2002,1.4,81,0,7,35,41,10,81,5,2,40.0,2,40.0,58,305,121,4,5,1,6,2,67,16,ESP-La Liga,2024,possession
ESP,"MF,FW",26-339,1998,10.1,582,16,57,250,282,57,581,37,20,54.1,12,32.4,369,1855,1020,26,29,5,30,20,471,67,ESP-La Liga,2024,possession
ESP,"MF,DF",24-092,2001,11.7,1011,51,264,623,127,16,1011,8,4,50.0,2,25.0,570,2584,1390,12,10,1,12,5,750,7,ESP-La Liga,2024,possession
ESP,"MF,FW",21-335,2003,8.8,535,5,41,238,262,36,535,39,17,43.6,19,48.7,304,1607,715,21,14,6,22,7,406,65,ESP-La Liga,2024,possession
ESP,"FW,MF",25-041,2000,9.6,394,3,24,119,252,60,394,17,9,52.9,7,41.2,226,1021,444,17,9,9,22,7,316,83,ESP-La Liga,2024,possession
NED,MF,27-334,1997,8.0,734,11,89,492,154,10,734,8,5,62.5,3,37.5,483,2697,1542,21,22,0,2,4,594,14,ESP-La Liga,2024,possession
ESP,"MF,FW",20-249,2004,7.7,503,8,60,305,140,20,503,11,5,45.5,3,27.3,259,1070,548,5,7,0,12,8,350,32,ESP-La Liga,2024,possession
ESP,DF,23-100,2002,7.1,550,16,130,251,171,7,550,7,2,28.6,5,71.4,232,764,392,7,7,1,4,2,346,54,ESP-La Liga,2024,possession
ESP,DF,18-252,2006,4.2,355,13,83,198,77,7,355,4,2,50.0,2,50.0,183,768,397,9,5,1,2,3,242,18,ESP-La Liga,2024,possession
ESP,GK,26-040,1999,14.5,624,435,608,16,0,0,624,0,0,,0,,371,1656,939,0,0,0,0,0,338,0,ESP-La Liga,2024,possession
ESP,DF,33-329,1991,22.7,2204,123,756,1348,108,20,2204,3,3,100.0,0,0.0,1423,8525,6143,59,43,0,9,3,1674,9,ESP-La Liga,2024,possession
FRA,DF,26-150,1998,26.9,2240,71,529,1090,634,70,2240,46,20,43.5,25,54.3,1165,4305,2297,41,37,6,37,12,1477,174,ESP-La Liga,2024,possession
ESP,FW,17-272,2007,24.8,1538,8,79,484,1008,183,1538,242,123,50.8,98,40.5,1088,7708,4131,148,74,79,79,40,1261,353,ESP-La Liga,2024,possession
ESP,MF,17-320,2007,2.7,184,4,47,116,21,1,184,3,2,66.7,1,33.3,97,461,150,0,2,0,2,2,137,2,ESP-La Liga,2024,possession
ESP,MF,21-209,2003,17.9,1536,25,223,1040,276,9,1536,9,4,44.4,4,44.4,870,3523,1540,12,22,0,17,9,1172,24,ESP-La Liga,2024,possession
GER,GK,32-346,1992,5.5,212,155,212,0,0,0,212,0,0,,0,,140,679,512,0,0,0,0,0,134,0,ESP-La Liga,2024,possession
ESP,"MF,FW",22-008,2003,3.4,254,5,27,120,109,10,254,6,2,33.3,3,50.0,130,503,205,5,7,0,5,6,190,20,ESP-La Liga,2024,possession
ESP,DF,18-079,2007,24.9,2510,169,921,1504,89,16,2510,6,6,100.0,0,0.0,1652,8167,4669,24,15,0,6,1,1981,6,ESP-La Liga,2024,possession
ESP,FW,23-136,2001,2.5,140,4,14,64,65,14,140,11,7,63.6,4,36.4,77,332,147,3,2,3,6,7,104,23,ESP-La Liga,2024,possession
ESP,MF,22-137,2002,25.1,2238,26,206,1336,716,45,2238,48,30,62.5,17,35.4,1415,7776,3810,72,69,6,39,26,1707,103,ESP-La Liga,2024,possession
BRA,"FW,MF",28-118,1996,25.0,1461,28,92,519,872,147,1460,86,42,48.8,37,43.0,783,4372,2193,74,48,39,43,25,1012,264,ESP-La Liga,2024,possession
POL,FW,36-233,1988,25.5,748,29,53,281,421,159,744,30,18,60.0,11,36.7,410,1575,522,24,11,13,66,39,592,145,ESP-La Liga,2024,possession
URU,DF,26-035,1999,4.6,464,15,124,317,25,6,464,1,0,0.0,1,100.0,312,1741,992,5,2,0,1,1,358,3,ESP-La Liga,2024,possession
ESP,DF,20-010,2005,1.9,191,13,69,121,3,0,191,0,0,,0,,127,569,284,0,1,0,0,0,157,1,ESP-La Liga,2024,possession
POL,GK,34-358,1990,10.0,337,254,330,7,0,0,337,1,1,100.0,0,0.0,211,815,367,0,0,0,0,0,200,0,ESP-La Liga,2024,possession
MAR,"FW,MF",23-115,2001,17.9,892,8,93,337,490,125,891,91,42,46.2,35,38.5,582,4396,2576,100,66,45,50,45,661,172,ESP-La Liga,2024,possession
ESP,GK,38-098,1987,11.0,379,323,378,1,0,0,379,0,0,,0,,226,1026,659,0,0,0,0,0,180,0,ESP-La Liga,2024,possession
ESP,"DF,FW",29-020,1996,9.1,431,24,109,184,144,21,431,17,10,58.8,7,41.2,215,1098,575,16,15,4,19,11,256,43,ESP-La Liga,2024,possession
BRA,FW,25-046,2000,8.4,518,5,63,184,280,30,518,28,9,32.1,17,60.7,329,2229,1334,44,38,13,32,13,386,78,ESP-La Liga,2024,possession
SEN,FW,19-216,2005,3.1,122,4,12,42,68,19,122,11,2,18.2,9,81.8,63,372,145,9,3,3,15,2,81,27,ESP-La Liga,2024,possession
ESP,MF,21-349,2003,1.2,60,3,14,38,10,1,60,1,1,100.0,0,0.0,28,134,60,1,1,0,1,2,34,2,ESP-La Liga,2024,possession
COL,FW,25-356,1999,6.1,234,3,14,120,102,21,234,15,12,80.0,3,20.0,119,699,251,15,5,8,24,7,150,31,ESP-La Liga,2024,possession
COD,FW,34-000,1991,6.4,172,5,13,70,91,27,172,5,1,20.0,3,60.0,86,417,236,8,4,6,19,9,121,35,ESP-La Liga,2024,possession
ESP,DF,31-238,1993,27.5,1880,234,1040,800,46,21,1880,9,6,66.7,2,22.2,1099,5304,3031,5,8,1,11,4,1213,3,ESP-La Liga,2024,possession
ARG,FW,31-064,1994,7.5,323,7,34,131,163,34,323,11,5,45.5,5,45.5,173,767,334,12,7,4,23,7,216,48,ESP-La Liga,2024,possession
ESP,GK,25-339,1999,4.0,126,97,124,1,1,1,126,0,0,,0,,59,248,139,0,0,0,0,0,48,0,ESP-La Liga,2024,possession
ARG,"MF,FW",29-002,1996,12.4,875,6,87,426,371,38,872,41,14,34.1,21,51.2,500,2294,994,14,22,5,33,25,605,48,ESP-La Liga,2024,possession
ESP,DF,30-023,1995,5.8,354,22,110,176,69,10,354,8,6,75.0,2,25.0,196,695,326,3,4,0,5,1,225,20,ESP-La Liga,2024,possession
ESP,"MF,FW",23-253,2001,3.7,180,1,30,73,80,6,180,6,2,33.3,4,66.7,101,569,294,9,6,1,6,5,130,16,ESP-La Liga,2024,possession
