nation,pos,age,born,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,league,season,stat_type
,,,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,,,
ALG,DF,16,2005,0.1,12,0,4,8,0,0,12,0,0,,0,,10,43,15,1,0,0,0,0,8,0,FRA-Ligue 1,2022,possession
CIV,FW,18,2003,2.3,62,4,12,32,19,0,62,4,3,75.0,1,25.0,36,263,79,2,2,0,6,3,36,8,FRA-Ligue 1,2022,possession
FRA,GK,33,1989,31.1,952,747,950,2,0,0,952,0,0,,0,,532,3273,1644,0,0,0,3,0,314,0,FRA-Ligue 1,2022,possession
CGO,FW,27,1995,7.8,261,11,23,119,122,37,261,26,13,50.0,13,50.0,159,996,316,10,8,6,25,11,190,45,FRA-Ligue 1,2022,possession
FRA,"DF,MF",22,2000,21.1,970,130,498,450,33,16,970,1,1,100.0,0,0.0,624,3541,1945,3,3,0,5,5,556,3,FRA-Ligue 1,2022,possession
BFA,MF,26,1996,22.3,947,27,161,431,373,45,947,68,25,36.8,38,55.9,620,4019,1631,46,34,14,56,35,541,109,FRA-Ligue 1,2022,possession
GLP,DF,35,1986,19.9,876,119,508,369,5,2,876,1,0,0.0,0,0.0,576,3235,1495,3,1,0,3,0,508,1,FRA-Ligue 1,2022,possession
CGO,DF,26,1996,7.9,394,67,233,153,10,6,394,6,4,66.7,1,16.7,255,1301,630,2,1,0,4,1,217,1,FRA-Ligue 1,2022,possession
FRA,MF,24,1998,3.7,170,6,20,113,39,0,170,1,0,0.0,1,100.0,121,567,236,1,4,0,5,4,108,8,FRA-Ligue 1,2022,possession
FRA,GK,28,1994,6.0,150,121,150,0,0,0,150,0,0,,0,,83,578,322,0,0,0,0,0,45,0,FRA-Ligue 1,2022,possession
FRA,GK,19,2002,0.9,37,31,37,0,0,0,37,0,0,,0,,20,139,112,0,0,0,0,0,12,0,FRA-Ligue 1,2022,possession
CIV,DF,25,1997,24.2,1309,95,517,633,177,3,1309,34,14,41.2,14,41.2,832,4820,2213,36,33,0,35,10,682,36,FRA-Ligue 1,2022,possession
FRA,"MF,FW",18,2004,2.1,67,0,17,30,22,1,67,8,3,37.5,4,50.0,44,355,159,7,2,1,7,5,38,5,FRA-Ligue 1,2022,possession
SUI,"MF,FW",25,1997,11.8,405,12,74,172,167,27,405,44,23,52.3,17,38.6,280,1971,758,17,12,8,29,21,247,56,FRA-Ligue 1,2022,possession
BFA,"FW,MF",19,2002,2.5,84,1,7,31,49,13,84,5,1,20.0,4,80.0,54,385,132,4,3,3,10,1,57,16,FRA-Ligue 1,2022,possession
FRA,MF,36,1986,21.6,1329,44,260,902,176,4,1329,14,5,35.7,6,42.9,979,4749,2011,20,14,2,19,8,889,22,FRA-Ligue 1,2022,possession
FRA,MF,18,2004,0.5,37,0,7,17,13,2,37,1,1,100.0,0,0.0,30,143,62,3,1,2,3,2,24,1,FRA-Ligue 1,2022,possession
GLP,DF,33,1989,15.1,879,54,255,457,178,13,879,19,10,52.6,8,42.1,473,2988,1528,30,25,0,15,14,403,34,FRA-Ligue 1,2022,possession
FRA,MF,31,1991,14.7,869,18,159,501,227,9,869,49,23,46.9,24,49.0,601,3671,1576,26,30,0,34,19,533,53,FRA-Ligue 1,2022,possession
COM,DF,34,1988,27.3,1595,94,490,768,345,5,1595,33,11,33.3,18,54.5,886,5282,2314,48,35,0,30,14,770,83,FRA-Ligue 1,2022,possession
FRA,FW,23,1999,27.7,926,26,72,482,379,98,926,27,11,40.7,12,44.4,580,3101,751,21,18,4,90,36,637,173,FRA-Ligue 1,2022,possession
SEN,FW,22,1999,1.5,50,1,5,25,21,2,50,4,0,0.0,2,50.0,36,206,38,0,0,0,8,2,38,12,FRA-Ligue 1,2022,possession
FRA,FW,17,2005,5.5,101,1,4,54,43,10,101,7,5,71.4,2,28.6,69,394,100,5,3,4,16,7,72,19,FRA-Ligue 1,2022,possession
CMR,DF,24,1998,28.6,1381,158,682,655,54,26,1381,16,7,43.8,5,31.3,898,5457,2709,12,6,1,20,10,755,5,FRA-Ligue 1,2022,possession
FRA,MF,19,2003,0.6,18,0,2,12,4,0,18,1,1,100.0,0,0.0,13,44,15,0,0,0,1,0,11,0,FRA-Ligue 1,2022,possession
ALB,MF,26,1996,2.4,171,3,20,109,44,1,171,4,2,50.0,1,25.0,118,585,207,0,3,0,1,0,109,4,FRA-Ligue 1,2022,possession
FRA,"MF,FW",37,1985,18.8,781,17,105,379,305,26,780,38,13,34.2,22,57.9,573,3379,1223,33,29,6,30,18,525,144,FRA-Ligue 1,2022,possession
FRA,"FW,MF",35,1987,12.0,490,4,23,229,244,42,490,38,16,42.1,21,55.3,360,2325,918,29,16,11,38,14,355,110,FRA-Ligue 1,2022,possession
BRA,"MF,FW",23,1999,0.3,23,0,4,9,10,3,23,2,2,100.0,0,0.0,20,103,39,0,2,0,2,2,16,4,FRA-Ligue 1,2022,possession
FRA,MF,35,1987,14.8,1052,51,232,648,175,3,1050,6,4,66.7,1,16.7,640,3045,1283,9,17,1,9,3,585,15,FRA-Ligue 1,2022,possession
ROU,"MF,DF",17,2004,1.5,51,7,30,22,0,0,51,0,0,,0,,31,170,105,1,0,0,1,0,22,0,FRA-Ligue 1,2022,possession
FRA,MF,25,1997,27.2,1369,62,254,840,308,28,1369,80,46,57.5,27,33.8,1005,6603,3350,66,59,9,50,39,901,58,FRA-Ligue 1,2022,possession
FRA,"MF,DF",20,2002,3.1,148,5,23,64,61,2,148,6,2,33.3,4,66.7,91,471,197,3,8,0,4,5,87,17,FRA-Ligue 1,2022,possession
TUN,FW,35,1986,5.0,143,5,12,79,52,10,143,6,2,33.3,3,50.0,93,486,92,3,3,1,10,4,101,24,FRA-Ligue 1,2022,possession
ALG,"MF,FW",30,1992,12.8,631,6,66,320,257,51,625,64,29,45.3,24,37.5,476,3115,1319,32,24,18,42,27,431,68,FRA-Ligue 1,2022,possession
MLI,DF,27,1995,10.2,531,52,218,265,54,1,531,19,8,42.1,4,21.1,345,1727,813,14,10,1,14,4,291,16,FRA-Ligue 1,2022,possession
SEN,FW,21,2001,20.4,589,23,54,271,281,78,589,50,21,42.0,25,50.0,404,2855,915,38,25,17,60,31,424,140,FRA-Ligue 1,2022,possession
CIV,DF,32,1990,15.2,832,52,317,442,81,2,832,9,4,44.4,4,44.4,598,2647,1112,8,5,0,9,4,541,19,FRA-Ligue 1,2022,possession
