nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,league,season,stat_type
,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,,,
CIV,DF,34-351,1990,13.8,19,10,14,4,1,11,15,73.3,4,12,7,5,16,35,65,0,FRA-Ligue 1,2024,defense
SEN,FW,25-019,2000,5.9,4,1,1,2,1,0,2,0.0,2,2,0,2,0,4,3,0,FRA-Ligue 1,2024,defense
HAI,DF,28-287,1996,18.8,43,29,27,13,3,26,44,59.1,18,20,3,17,24,67,66,2,FRA-Ligue 1,2024,defense
BEN,DF,31-082,1994,3.0,6,4,4,2,0,3,7,42.9,4,3,3,0,4,10,14,0,FRA-Ligue 1,2024,defense
FRA,DF,19-338,2005,14.6,19,12,14,5,0,12,18,66.7,6,18,8,10,8,27,83,1,FRA-Ligue 1,2024,defense
FRA,FW,24-358,2000,12.2,6,3,0,3,3,2,11,18.2,9,12,2,10,2,8,8,0,FRA-Ligue 1,2024,defense
ALG,FW,27-341,1997,18.7,26,14,14,6,6,11,30,36.7,19,16,1,15,13,39,12,1,FRA-Ligue 1,2024,defense
ALG,DF,35-066,1990,24.1,52,40,32,13,7,29,53,54.7,24,26,9,17,42,94,83,2,FRA-Ligue 1,2024,defense
ALG,MF,31-073,1994,19.9,56,38,38,15,3,26,45,57.8,19,30,9,21,35,91,46,1,FRA-Ligue 1,2024,defense
ALG,"MF,FW",25-145,1999,25.7,39,27,8,18,13,13,38,34.2,25,19,1,18,20,59,21,1,FRA-Ligue 1,2024,defense
SEN,FW,26-031,1999,10.0,6,3,3,2,1,3,3,100.0,0,5,1,4,2,8,4,2,FRA-Ligue 1,2024,defense
GAB,DF,21-235,2003,4.6,14,9,6,6,2,4,7,57.1,3,11,1,10,3,17,11,0,FRA-Ligue 1,2024,defense
CIV,MF,31-022,1994,21.0,53,34,25,19,9,21,45,46.7,24,32,14,18,33,86,31,0,FRA-Ligue 1,2024,defense
GAB,FW,30-043,1995,16.8,15,9,5,7,3,3,21,14.3,18,9,0,9,10,25,16,0,FRA-Ligue 1,2024,defense
FRA,DF,31-245,1993,28.0,47,29,38,8,1,29,42,69.0,13,46,29,17,27,74,171,1,FRA-Ligue 1,2024,defense
