nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,league,season,stat_type
,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,,,
CIV,DF,34-351,1990,13.8,0,1,0,0.0,0.07,0.0,0.0,,7.2,0,0,0,0.1,0.1,0.09,-0.1,-0.1,FRA-Ligue 1,2024,shooting
SEN,FW,25-019,2000,5.9,3,13,6,46.2,2.2,1.02,0.15,0.33,18.5,2,1,1,3.1,2.3,0.18,-0.1,-0.3,FRA-Ligue 1,2024,shooting
HAI,DF,28-287,1996,18.8,0,3,0,0.0,0.16,0.0,0.0,,29.1,0,0,0,0.0,0.0,0.01,0.0,0.0,FRA-Ligue 1,2024,shooting
BEN,DF,31-082,1994,3.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,FRA-Ligue 1,2024,shooting
FRA,DF,19-338,2005,14.6,1,4,2,50.0,0.27,0.14,0.25,0.5,13.7,0,0,0,0.7,0.7,0.18,0.3,0.3,FRA-Ligue 1,2024,shooting
FRA,FW,24-358,2000,12.2,5,26,11,42.3,2.14,0.9,0.19,0.45,12.6,0,0,0,3.7,3.7,0.14,1.3,1.3,FRA-Ligue 1,2024,shooting
ALG,FW,27-341,1997,18.7,2,40,13,32.5,2.14,0.69,0.05,0.15,22.3,7,0,0,2.7,2.7,0.07,-0.7,-0.7,FRA-Ligue 1,2024,shooting
ALG,DF,35-066,1990,24.1,1,11,1,9.1,0.46,0.04,0.09,1.0,21.2,0,0,0,0.9,0.9,0.09,0.1,0.1,FRA-Ligue 1,2024,shooting
ALG,MF,31-073,1994,19.9,0,3,0,0.0,0.15,0.0,0.0,,23.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,FRA-Ligue 1,2024,shooting
ALG,"MF,FW",25-145,1999,25.7,6,24,6,25.0,0.93,0.23,0.13,0.5,24.1,0,3,4,5.6,2.5,0.1,0.4,0.5,FRA-Ligue 1,2024,shooting
SEN,FW,26-031,1999,10.0,3,29,10,34.5,2.91,1.0,0.07,0.2,14.6,0,1,1,5.7,4.9,0.17,-2.7,-2.9,FRA-Ligue 1,2024,shooting
GAB,DF,21-235,2003,4.6,0,1,0,0.0,0.22,0.0,0.0,,15.3,0,0,0,0.0,0.0,0.02,0.0,0.0,FRA-Ligue 1,2024,shooting
CIV,MF,31-022,1994,21.0,2,26,7,26.9,1.24,0.33,0.08,0.29,18.5,0,0,0,1.8,1.8,0.07,0.2,0.2,FRA-Ligue 1,2024,shooting
GAB,FW,30-043,1995,16.8,0,32,7,21.9,1.9,0.42,0.0,0.0,14.4,0,0,0,3.7,3.7,0.12,-3.7,-3.7,FRA-Ligue 1,2024,shooting
FRA,DF,31-245,1993,28.0,0,5,0,0.0,0.18,0.0,0.0,,15.6,1,0,0,0.3,0.3,0.05,-0.3,-0.3,FRA-Ligue 1,2024,shooting
