nation,pos,age,born,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,league,season,stat_type
,,,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,,,
BEL,"MF,DF",19,2003,15.6,724,25,142,337,249,18,724,11,6,54.5,5,45.5,357,1747,786,23,18,4,15,7,406,62,GER-Bundesliga,2023,possession
GER,MF,24,1999,11.1,692,15,86,321,293,28,692,20,12,60.0,8,40.0,350,1577,680,17,11,6,13,11,422,66,GER-Bundesliga,2023,possession
CRO,"FW,MF",21,2002,6.5,240,5,24,93,126,38,240,24,11,45.8,10,41.7,132,959,399,16,13,6,24,5,178,35,GER-Bundesliga,2023,possession
KVX,MF,25,1997,22.1,936,43,216,513,222,22,935,23,8,34.8,14,60.9,462,2215,910,15,16,3,38,18,492,51,GER-Bundesliga,2023,possession
BIH,"FW,MF",25,1998,31.9,937,27,92,388,468,164,933,65,29,44.6,31,47.7,482,2426,890,28,20,11,77,39,581,167,GER-Bundesliga,2023,possession
GER,GK,25,1998,31.0,1437,903,1394,44,0,0,1437,0,0,,0,,889,4866,3052,0,0,0,1,0,764,0,GER-Bundesliga,2023,possession
FIN,"MF,FW",25,1997,14.9,643,29,89,256,303,39,643,26,5,19.2,20,76.9,307,1427,638,22,9,6,22,10,351,90,GER-Bundesliga,2023,possession
BRA,DF,26,1997,18.0,950,66,296,434,239,33,950,37,19,51.4,15,40.5,480,2650,1197,24,20,4,24,10,474,51,GER-Bundesliga,2023,possession
FRA,"MF,DF",25,1997,0.6,24,0,2,4,18,5,24,1,0,0.0,1,100.0,14,129,61,3,2,2,2,0,15,6,GER-Bundesliga,2023,possession
NED,DF,32,1991,28.8,1767,196,814,836,138,35,1767,23,15,65.2,8,34.8,1046,6646,4109,33,24,2,11,7,1101,17,GER-Bundesliga,2023,possession
SUI,DF,28,1995,22.7,1315,70,314,573,451,31,1315,82,29,35.4,48,58.5,626,4024,1885,70,48,8,41,25,654,106,GER-Bundesliga,2023,possession
CRO,MF,26,1997,11.7,619,27,154,367,104,11,619,11,6,54.5,4,36.4,292,1427,624,11,6,2,8,13,329,10,GER-Bundesliga,2023,possession
DEN,DF,26,1996,19.8,1084,61,305,489,311,20,1084,38,23,60.5,9,23.7,506,3407,1895,56,35,4,21,13,543,79,GER-Bundesliga,2023,possession
,MF,19,2004,0.0,4,0,2,2,0,0,4,0,0,,0,,2,1,0,0,0,0,0,0,4,0,GER-Bundesliga,2023,possession
JPN,"FW,DF",27,1996,0.4,14,1,2,6,6,2,14,1,0,0.0,0,0.0,6,11,4,0,1,0,0,0,8,2,GER-Bundesliga,2023,possession
GER,DF,23,2000,9.0,586,56,312,238,38,5,586,3,2,66.7,1,33.3,350,1664,896,2,4,0,6,0,373,1,GER-Bundesliga,2023,possession
GER,FW,25,1998,1.4,28,4,5,9,14,3,28,2,0,0.0,2,100.0,18,96,53,3,1,1,1,1,20,5,GER-Bundesliga,2023,possession
GER,"MF,DF",18,2005,1.3,51,1,10,17,27,3,51,4,0,0.0,3,75.0,29,208,135,7,5,1,2,2,33,9,GER-Bundesliga,2023,possession
COD,FW,21,2002,0.1,10,0,0,4,6,1,10,1,0,0.0,1,100.0,9,67,51,1,0,1,0,0,9,4,GER-Bundesliga,2023,possession
GER,MF,25,1998,15.4,796,61,252,467,85,2,796,11,7,63.6,3,27.3,436,2039,801,12,8,1,21,10,470,12,GER-Bundesliga,2023,possession
GER,DF,25,1997,32.5,2036,299,1027,916,103,53,2036,7,6,85.7,1,14.3,1077,5100,2608,25,11,1,17,7,1202,6,GER-Bundesliga,2023,possession
GER,DF,23,1999,5.7,340,36,153,158,31,19,340,1,0,0.0,1,100.0,153,637,299,1,0,0,6,1,184,4,GER-Bundesliga,2023,possession
ESP,"MF,FW",26,1996,3.2,156,2,23,71,63,11,156,7,6,85.7,1,14.3,78,414,138,2,2,1,13,1,97,16,GER-Bundesliga,2023,possession
GER,FW,26,1997,26.5,815,37,89,350,382,122,815,40,13,32.5,24,60.0,416,1664,590,19,15,7,70,21,561,115,GER-Bundesliga,2023,possession
POL,DF,25,1998,5.3,260,19,68,121,74,8,260,13,5,38.5,4,30.8,108,554,213,9,9,1,14,1,115,17,GER-Bundesliga,2023,possession
SUI,"MF,FW",24,1998,21.8,949,22,103,374,485,82,949,57,22,38.6,30,52.6,538,3257,1364,57,31,15,58,18,608,145,GER-Bundesliga,2023,possession
GER,"FW,MF",33,1990,6.5,248,3,21,94,133,39,246,22,10,45.5,11,50.0,135,600,204,6,3,4,22,11,162,44,GER-Bundesliga,2023,possession
GER,MF,21,2002,7.0,355,19,117,196,44,1,355,1,1,100.0,0,0.0,142,571,190,0,1,0,6,5,186,2,GER-Bundesliga,2023,possession
CZE,GK,30,1992,3.0,114,105,114,0,0,0,114,0,0,,0,,56,247,120,0,0,0,0,0,52,0,GER-Bundesliga,2023,possession
GER,MF,19,2004,13.6,1082,25,195,714,179,10,1082,11,5,45.5,5,45.5,701,3804,1714,14,21,3,12,14,823,14,GER-Bundesliga,2023,possession
CAN,DF,22,2000,22.9,1934,60,547,871,558,64,1934,122,70,57.4,47,38.5,1225,7683,4482,121,93,35,40,24,1339,139,GER-Bundesliga,2023,possession
SEN,DF,31,1992,1.2,116,2,19,80,17,2,116,4,1,25.0,2,50.0,58,256,136,3,2,1,2,0,80,4,GER-Bundesliga,2023,possession
ESP,"FW,MF",22,2001,2.0,117,0,8,46,65,15,117,16,8,50.0,8,50.0,78,676,469,14,11,6,3,4,96,28,GER-Bundesliga,2023,possession
ISR,GK,23,2000,0.2,17,12,17,0,0,0,17,0,0,,0,,11,31,24,0,0,0,0,0,12,0,GER-Bundesliga,2023,possession
FRA,DF,24,1998,19.6,1981,140,671,1219,106,17,1981,10,6,60.0,4,40.0,1350,7520,4558,28,24,0,9,4,1519,10,GER-Bundesliga,2023,possession
ENG,DF,29,1994,13.0,1249,140,538,669,47,12,1249,1,1,100.0,0,0.0,797,3983,2204,8,13,0,2,0,945,1,GER-Bundesliga,2023,possession
CMR,"MF,FW",34,1989,8.0,402,10,55,152,201,55,402,39,23,59.0,13,33.3,219,1148,497,23,6,13,20,18,287,71,GER-Bundesliga,2023,possession
GER,DF,20,2003,0.6,60,4,20,23,17,1,60,1,0,0.0,1,100.0,38,220,108,0,1,0,1,2,42,7,GER-Bundesliga,2023,possession
ENG,FW,30,1993,31.5,995,19,69,395,541,180,990,59,24,40.7,30,50.8,634,3098,1287,36,25,14,45,45,782,164,GER-Bundesliga,2023,possession
GER,"MF,FW",20,2003,19.5,1090,5,86,409,630,132,1090,154,87,56.5,59,38.3,736,4982,2825,103,60,33,66,51,864,163,GER-Bundesliga,2023,possession
DEN,FW,17,2006,0.0,1,1,1,0,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0,GER-Bundesliga,2023,possession
GER,"MF,DF",28,1995,24.2,2453,75,422,1282,762,23,2453,25,10,40.0,12,48.0,1478,8366,3739,56,66,4,19,16,1821,114,GER-Bundesliga,2023,possession
KOR,DF,26,1996,21.9,2352,279,1065,1233,64,19,2352,2,2,100.0,0,0.0,1354,6415,3524,14,10,0,5,5,1730,3,GER-Bundesliga,2023,possession
FRA,FW,27,1996,12.4,802,4,75,220,513,93,802,67,29,43.3,32,47.8,560,4124,2204,75,35,35,26,22,661,210,GER-Bundesliga,2023,possession
AUT,"DF,MF",26,1997,19.7,1671,37,315,893,482,49,1671,48,23,47.9,22,45.8,1008,5264,2893,62,56,17,27,17,1196,98,GER-Bundesliga,2023,possession
