nation,pos,age,born,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,league,season,stat_type
,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,,,
RUS,"MF,FW",24,1995,7.5,0,0,0,17,20,2,15,3,13,0,0,0,44,8,12,40.0,ITA-Serie A,2020,misc
CIV,MF,18,2002,0.2,1,0,0,1,2,0,0,0,0,0,0,0,2,1,0,100.0,ITA-Serie A,2020,misc
ALB,DF,27,1993,29.2,8,0,0,31,26,1,9,62,29,0,0,0,192,76,31,71.0,ITA-Serie A,2020,misc
CRO,DF,20,2000,2.6,0,0,0,2,4,0,3,2,5,0,0,0,21,12,8,60.0,ITA-Serie A,2020,misc
ARG,DF,22,1998,28.3,10,0,0,70,32,0,0,96,32,1,0,0,237,112,50,69.1,ITA-Serie A,2020,misc
ITA,DF,27,1992,0.7,0,0,0,1,1,0,0,0,1,0,0,0,3,1,0,100.0,ITA-Serie A,2020,misc
ITA,DF,19,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,ITA-Serie A,2020,misc
COL,FW,29,1991,26.4,0,0,0,29,49,21,48,6,5,1,0,0,69,48,52,48.0,ITA-Serie A,2020,misc
ITA,DF,23,1997,2.1,0,0,0,5,1,0,1,3,2,0,0,0,9,2,3,40.0,ITA-Serie A,2020,misc
NED,DF,26,1994,19.6,3,0,0,20,8,3,24,17,17,0,1,0,65,23,20,53.5,ITA-Serie A,2020,misc
DEN,DF,23,1997,13.5,0,0,0,10,11,0,36,11,10,0,1,0,74,7,12,36.8,ITA-Serie A,2020,misc
COL,DF,27,1992,3.3,1,0,0,4,1,0,20,7,4,0,1,0,32,5,4,55.6,ITA-Serie A,2020,misc
SVN,"MF,FW",32,1988,17.0,2,0,0,22,71,8,97,2,4,2,0,0,75,0,18,0.0,ITA-Serie A,2020,misc
ARG,DF,30,1990,27.0,3,0,0,48,16,2,14,79,33,0,1,0,222,59,45,56.7,ITA-Serie A,2020,misc
COL,FW,29,1991,16.0,0,0,0,18,20,3,82,7,9,1,0,0,51,25,47,34.7,ITA-Serie A,2020,misc
