nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,league,season,stat_type
,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,,,
NGA,"FW,MF",25,1997,21.0,20,15,2,11,7,8,22,36.4,14,19,0,19,9,29,0,1,ITA-Serie A,2023,defense
RUS,"MF,FW",27,1995,13.1,12,6,6,4,2,5,13,38.5,8,6,1,5,2,14,5,1,ITA-Serie A,2023,defense
ALB,DF,30,1993,31.5,42,24,29,12,1,19,31,61.3,12,53,33,20,57,99,100,0,ITA-Serie A,2023,defense
BEL,"FW,MF",22,2001,22.5,33,21,3,12,18,10,20,50.0,10,30,2,28,7,40,6,0,ITA-Serie A,2023,defense
ITA,DF,31,1992,20.7,30,20,15,10,5,16,34,47.1,18,29,4,25,5,35,19,0,ITA-Serie A,2023,defense
COL,FW,32,1991,1.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,ITA-Serie A,2023,defense
MLI,FW,21,2001,4.4,1,1,0,1,0,0,1,0.0,1,0,0,0,1,2,2,0,ITA-Serie A,2023,defense
SWE,DF,23,2000,10.5,28,19,17,9,2,16,36,44.4,20,25,3,22,7,35,25,0,ITA-Serie A,2023,defense
ITA,GK,32,1991,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,ITA-Serie A,2023,defense
ITA,FW,24,1999,16.1,15,9,4,5,6,7,14,50.0,7,7,1,6,4,19,9,0,ITA-Serie A,2023,defense
ITA,DF,19,2003,28.3,53,33,29,19,5,19,40,47.5,21,44,17,27,59,112,71,0,ITA-Serie A,2023,defense
ITA,DF,20,2003,1.0,4,2,2,2,0,2,3,66.7,1,1,1,0,1,5,1,0,ITA-Serie A,2023,defense
NED,DF,29,1994,12.4,12,5,8,2,2,5,15,33.3,10,21,7,14,4,16,21,0,ITA-Serie A,2023,defense
SWE,DF,24,1999,10.4,18,12,8,10,0,7,15,46.7,8,12,5,7,14,32,33,0,ITA-Serie A,2023,defense
ARG,DF,33,1990,0.3,2,1,1,1,0,1,1,100.0,0,2,1,1,1,3,6,0,ITA-Serie A,2023,defense
ARG,GK,29,1994,11.0,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,6,0,ITA-Serie A,2023,defense
ITA,MF,17,2006,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,ITA-Serie A,2023,defense
COL,"FW,MF",32,1991,4.5,3,2,0,2,1,1,1,100.0,0,4,0,4,1,4,0,0,ITA-Serie A,2023,defense
ITA,GK,23,2000,26.9,0,0,0,0,0,0,0,,0,0,0,0,0,0,22,3,ITA-Serie A,2023,defense
CRO,MF,28,1995,22.8,28,17,9,18,1,14,31,45.2,17,29,6,23,16,44,34,0,ITA-Serie A,2023,defense
NED,"MF,DF",32,1991,28.9,80,43,36,32,12,35,82,42.7,47,36,10,26,40,120,54,0,ITA-Serie A,2023,defense
ITA,DF,21,2002,27.2,29,15,14,7,8,16,30,53.3,14,46,4,42,23,52,44,0,ITA-Serie A,2023,defense
FRA,MF,23,2000,1.2,4,3,0,3,1,1,1,100.0,0,0,0,0,0,4,2,1,ITA-Serie A,2023,defense
NED,DF,23,2000,4.2,7,3,6,1,0,2,12,16.7,10,5,0,5,3,10,6,0,ITA-Serie A,2023,defense
ITA,DF,24,1999,1.7,5,4,3,1,1,1,4,25.0,3,2,0,2,1,6,3,0,ITA-Serie A,2023,defense
ITA,DF,32,1990,10.7,20,9,7,8,5,14,27,51.9,13,9,4,5,13,33,29,0,ITA-Serie A,2023,defense
BIH,DF,30,1993,24.2,44,32,23,19,2,30,49,61.2,19,22,9,13,21,65,47,0,ITA-Serie A,2023,defense
NED,MF,25,1998,29.2,39,24,12,22,5,17,50,34.0,33,33,3,30,10,49,35,0,ITA-Serie A,2023,defense
BRA,MF,24,1999,31.9,83,49,38,38,7,44,63,69.8,19,48,8,40,41,124,33,1,ITA-Serie A,2023,defense
BEL,"FW,MF",24,1999,21.0,32,22,13,14,5,12,27,44.4,15,13,1,12,13,45,10,1,ITA-Serie A,2023,defense
GRE,DF,29,1993,10.0,10,6,5,4,1,5,10,50.0,5,15,5,10,5,15,30,0,ITA-Serie A,2023,defense
SUI,"FW,MF",22,2000,19.7,30,15,17,11,2,17,39,43.6,22,20,1,19,10,40,14,0,ITA-Serie A,2023,defense
ITA,GK,23,1999,5.9,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,ITA-Serie A,2023,defense
ITA,"MF,FW",20,2003,11.7,17,10,9,7,1,7,12,58.3,5,5,2,3,7,24,11,0,ITA-Serie A,2023,defense
DEN,"FW,MF",24,1999,4.8,4,4,1,1,2,1,3,33.3,2,9,0,9,1,5,3,0,ITA-Serie A,2023,defense
SWE,FW,25,1998,3.8,3,3,2,1,0,2,8,25.0,6,4,0,4,4,7,1,0,ITA-Serie A,2023,defense
COL,DF,25,1998,24.6,48,29,31,17,0,27,36,75.0,9,32,17,15,16,64,68,2,ITA-Serie A,2023,defense
NED,FW,22,2001,30.7,32,20,8,15,9,13,24,54.2,11,25,2,23,3,35,36,0,ITA-Serie A,2023,defense
POL,"MF,FW",18,2004,10.3,16,10,5,10,1,6,13,46.2,7,15,1,14,4,20,14,0,ITA-Serie A,2023,defense
ITA,DF,27,1996,1.0,4,0,0,4,0,1,2,50.0,1,0,0,0,0,4,7,1,ITA-Serie A,2023,defense
SCO,MF,23,1999,30.1,37,21,16,17,4,16,37,43.2,21,25,8,17,17,54,27,1,ITA-Serie A,2023,defense
ITA,DF,35,1988,7.5,10,8,5,2,3,4,7,57.1,3,9,4,5,6,16,27,0,ITA-Serie A,2023,defense
SUI,MF,26,1997,24.8,35,20,9,20,6,15,34,44.1,19,28,6,22,12,47,22,0,ITA-Serie A,2023,defense
ITA,GK,19,2004,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,ITA-Serie A,2023,defense
ARG,MF,25,1998,1.1,1,0,1,0,0,0,2,0.0,2,3,0,3,0,1,2,0,ITA-Serie A,2023,defense
