nation,pos,age,born,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP,league,season,stat_type
,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,,,,
NGA,"FW,MF",27-173,1997,19.7,538,739,72.8,7587,2152,338,392,86.2,139,195,71.3,35,77,45.5,5,5.3,6.3,-0.3,50,25,27,8,53,ITA-Serie A,2024,passing
ITA,MF,19-290,2005,0.1,11,12,91.7,196,29,5,6,83.3,6,6,100.0,0,0,,0,0.0,0.0,0.0,0,4,0,0,0,ITA-Serie A,2024,passing
ENG,DF,27-086,1998,0.3,8,10,80.0,122,16,5,5,100.0,2,3,66.7,1,1,100.0,0,0.0,0.0,0.0,0,2,0,0,1,ITA-Serie A,2024,passing
ALB,DF,32-051,1993,23.9,1213,1375,88.2,21462,5919,470,510,92.2,623,678,91.9,93,131,71.0,2,1.3,0.6,0.7,10,62,9,3,91,ITA-Serie A,2024,passing
BEL,"MF,FW",24-032,2001,19.9,646,852,75.8,9596,2533,377,445,84.7,209,278,75.2,40,64,62.5,5,5.3,4.1,-0.3,34,70,44,9,114,ITA-Serie A,2024,passing
ITA,"FW,MF",23-182,2001,1.1,23,36,63.9,301,44,17,23,73.9,4,5,80.0,1,1,100.0,0,0.0,0.1,0.0,0,1,1,0,2,ITA-Serie A,2024,passing
ITA,DF,32-304,1992,18.2,776,932,83.3,12191,3841,428,460,93.0,281,341,82.4,48,87,55.2,2,1.9,2.6,0.1,21,45,32,21,82,ITA-Serie A,2024,passing
ITA,"MF,FW",19-069,2006,0.2,5,6,83.3,54,9,5,5,100.0,0,1,0.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,1,ITA-Serie A,2024,passing
ITA,FW,26-100,1999,0.1,1,1,100.0,8,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,ITA-Serie A,2024,passing
ITA,DF,21-121,2003,3.0,165,195,84.6,2779,1088,78,87,89.7,67,75,89.3,13,20,65.0,0,0.0,0.1,0.0,0,14,2,0,20,ITA-Serie A,2024,passing
GHA,MF,21-324,2003,1.4,98,111,88.3,1698,362,40,45,88.9,50,55,90.9,6,6,100.0,0,0.0,0.1,0.0,0,12,0,0,6,ITA-Serie A,2024,passing
SWE,DF,26-088,1999,20.9,979,1089,89.9,19026,5932,277,311,89.1,603,641,94.1,90,109,82.6,0,0.1,0.1,-0.1,1,36,0,0,42,ITA-Serie A,2024,passing
COL,"DF,MF",36-320,1988,7.6,375,478,78.5,6459,1695,198,229,86.5,132,165,80.0,41,65,63.1,2,1.4,1.7,0.6,16,27,19,2,48,ITA-Serie A,2024,passing
