league,season,team,player,nation,pos,age,born,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,stat_type
ENG-Premier League,2020,Arsenal,Alexandre Lacazette,FRA,FW,29,1991,21.4,13,42,25,59.5,1.97,1.17,0.24,0.4,14.9,3,3,3,11.7,9.3,0.22,1.3,0.7,shooting
ENG-Premier League,2020,Arsenal,Bernd Leno,GER,GK,28,1992,34.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ENG-Premier League,2020,Arsenal,Bukayo Saka,ENG,"FW,MF",18,2001,28.4,5,61,20,32.8,2.15,0.71,0.08,0.25,16.1,1,0,0,6.9,6.9,0.11,-1.9,-1.9,shooting
ENG-Premier League,2020,Arsenal,Calum Chambers,ENG,DF,25,1995,8.4,0,8,0,0.0,0.96,0.0,0.0,,16.6,0,0,0,0.4,0.4,0.05,-0.4,-0.4,shooting
ENG-Premier League,2020,Arsenal,Cédric Soares,POR,DF,28,1991,8.3,0,7,2,28.6,0.84,0.24,0.0,0.0,25.2,1,0,0,0.3,0.3,0.04,-0.3,-0.3,shooting
ENG-Premier League,2020,Arsenal,Dani Ceballos,ESP,MF,23,1996,17.9,0,13,2,15.4,0.72,0.11,0.0,0.0,21.7,1,0,0,0.6,0.6,0.05,-0.6,-0.6,shooting
ENG-Premier League,2020,Arsenal,David Luiz,BRA,DF,33,1987,15.5,1,15,2,13.3,0.97,0.13,0.07,0.5,19.0,3,0,0,0.9,0.9,0.06,0.1,0.1,shooting
ENG-Premier League,2020,Arsenal,Eddie Nketiah,ENG,FW,21,1999,4.7,2,12,5,41.7,2.55,1.06,0.17,0.4,12.8,0,0,0,1.8,1.8,0.15,0.2,0.2,shooting
ENG-Premier League,2020,Arsenal,Emile Smith Rowe,ENG,"MF,FW",20,2000,16.0,2,13,4,30.8,0.81,0.25,0.15,0.5,17.8,0,0,0,1.8,1.8,0.14,0.2,0.2,shooting
ENG-Premier League,2020,Arsenal,Gabriel Magalhães,BRA,DF,22,1997,22.2,2,16,4,25.0,0.72,0.18,0.13,0.5,12.6,0,0,0,1.3,1.3,0.08,0.7,0.7,shooting
ENG-Premier League,2020,Arsenal,Gabriel Martinelli,BRA,FW,19,2001,6.5,2,20,8,40.0,3.06,1.22,0.1,0.25,14.1,0,0,0,3.3,3.3,0.17,-1.3,-1.3,shooting
ENG-Premier League,2020,Arsenal,Granit Xhaka,SUI,"MF,DF",27,1992,28.0,1,21,7,33.3,0.75,0.25,0.05,0.14,27.1,7,0,0,0.9,0.9,0.04,0.1,0.1,shooting
ENG-Premier League,2020,Arsenal,Héctor Bellerín,ESP,"DF,MF",25,1995,23.2,1,15,5,33.3,0.65,0.22,0.07,0.2,20.3,0,0,0,0.8,0.8,0.05,0.2,0.2,shooting
ENG-Premier League,2020,Arsenal,Joe Willock,ENG,MF,20,1999,2.6,0,4,0,0.0,1.51,0.0,0.0,,11.6,0,0,0,0.3,0.3,0.07,-0.3,-0.3,shooting
ENG-Premier League,2020,Arsenal,Kieran Tierney,SCO,DF,23,1997,25.5,1,15,3,20.0,0.59,0.12,0.07,0.33,24.0,0,0,0,0.5,0.5,0.03,0.5,0.5,shooting
ENG-Premier League,2020,Arsenal,Martin Ødegaard,NOR,MF,21,1998,9.6,1,15,3,20.0,1.56,0.31,0.07,0.33,22.5,1,0,0,0.7,0.7,0.05,0.3,0.3,shooting
ENG-Premier League,2020,Arsenal,Mathew Ryan,AUS,GK,28,1992,3.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ENG-Premier League,2020,Arsenal,Mohamed Elneny,EGY,MF,28,1992,17.2,1,9,2,22.2,0.52,0.12,0.11,0.5,21.5,0,0,0,0.4,0.4,0.05,0.6,0.6,shooting
ENG-Premier League,2020,Arsenal,Nicolas Pépé,CIV,FW,25,1995,18.0,10,47,19,40.4,2.62,1.06,0.19,0.47,15.7,1,1,1,5.8,5.0,0.11,4.2,4.0,shooting
ENG-Premier League,2020,Arsenal,Pablo Marí,ESP,DF,26,1993,10.0,0,2,0,0.0,0.2,0.0,0.0,,21.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1,shooting
ENG-Premier League,2020,Arsenal,Pierre-Emerick Aubameyang,GAB,FW,31,1989,25.9,10,55,19,34.5,2.12,0.73,0.15,0.42,14.0,0,2,2,10.2,8.6,0.16,-0.2,-0.6,shooting
ENG-Premier League,2020,Arsenal,Reiss Nelson,ENG,"FW,MF",20,1999,0.8,0,1,0,0.0,1.27,0.0,0.0,,12.1,0,0,0,0.1,0.1,0.06,-0.1,-0.1,shooting
ENG-Premier League,2020,Arsenal,Rob Holding,ENG,DF,24,1995,28.4,0,14,2,14.3,0.49,0.07,0.0,0.0,12.8,0,0,0,1.0,1.0,0.07,-1.0,-1.0,shooting
ENG-Premier League,2020,Arsenal,Rúnar Alex Rúnarsson,ISL,GK,25,1995,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ENG-Premier League,2020,Arsenal,Sead Kolašinac,BIH,DF,27,1993,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ENG-Premier League,2020,Arsenal,Shkodran Mustafi,GER,DF,28,1992,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ENG-Premier League,2020,Arsenal,Thomas Partey,GHA,MF,27,1993,17.0,0,26,4,15.4,1.53,0.23,0.0,0.0,27.1,0,0,0,1.3,1.3,0.05,-1.3,-1.3,shooting
ENG-Premier League,2020,Arsenal,Willian,BRA,FW,31,1988,15.6,1,20,3,15.0,1.28,0.19,0.05,0.33,19.4,5,0,0,1.9,1.9,0.1,-0.9,-0.9,shooting
ENG-Premier League,2020,Aston Villa,Ahmed Elmohamady,EGY,DF,32,1987,9.3,0,9,1,11.1,0.97,0.11,0.0,0.0,11.9,0,0,0,0.4,0.4,0.05,-0.4,-0.4,shooting
ENG-Premier League,2020,Aston Villa,Anwar El Ghazi,NED,FW,25,1995,17.9,10,60,26,43.3,3.35,1.45,0.1,0.23,21.7,6,4,4,8.4,5.3,0.09,1.6,0.7,shooting
ENG-Premier League,2020,Aston Villa,Bertrand Traoré,BFA,FW,24,1995,25.7,7,64,23,35.9,2.49,0.89,0.11,0.3,16.7,2,0,0,6.6,6.6,0.1,0.4,0.4,shooting
ENG-Premier League,2020,Aston Villa,Carney Chukwuemeka,ENG,"MF,FW",16,2003,0.2,0,1,0,0.0,4.5,0.0,0.0,,23.5,0,0,0,0.0,0.0,0.04,0.0,0.0,shooting
ENG-Premier League,2020,Aston Villa,Conor Hourihane,IRL,MF,29,1991,2.5,1,5,2,40.0,2.0,0.8,0.2,0.5,22.7,2,0,0,0.7,0.7,0.13,0.3,0.3,shooting
ENG-Premier League,2020,Aston Villa,Douglas Luiz,BRA,MF,22,1998,30.9,0,26,8,30.8,0.84,0.26,0.0,0.0,23.9,1,0,0,1.2,1.2,0.05,-1.2,-1.2,shooting
ENG-Premier League,2020,Aston Villa,Emiliano Martínez,ARG,GK,27,1992,38.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ENG-Premier League,2020,Aston Villa,Ezri Konsa,ENG,DF,22,1997,35.5,2,22,7,31.8,0.62,0.2,0.09,0.29,9.7,0,0,0,2.4,2.4,0.11,-0.4,-0.4,shooting
ENG-Premier League,2020,Aston Villa,Jack Grealish,ENG,"FW,MF",24,1995,24.3,6,50,17,34.0,2.06,0.7,0.12,0.35,17.0,2,0,0,4.6,4.6,0.09,1.4,1.4,shooting
ENG-Premier League,2020,Aston Villa,Jacob Ramsey,ENG,MF,19,2001,7.0,0,11,1,9.1,1.58,0.14,0.0,0.0,18.6,0,0,0,0.5,0.5,0.04,-0.5,-0.5,shooting
ENG-Premier League,2020,Aston Villa,Jaden Philogene Bidace,ENG,FW,18,2002,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ENG-Premier League,2020,Aston Villa,John McGinn,SCO,MF,25,1994,37.0,3,45,11,24.4,1.22,0.3,0.07,0.27,23.7,0,0,0,2.5,2.5,0.06,0.5,0.5,shooting
ENG-Premier League,2020,Aston Villa,Keinan Davis,ENG,"FW,MF",22,1998,3.1,1,9,2,22.2,2.92,0.65,0.11,0.5,10.6,0,0,0,1.5,1.5,0.16,-0.5,-0.5,shooting
ENG-Premier League,2020,Aston Villa,Kortney Hause,ENG,DF,25,1995,7.0,1,5,1,20.0,0.71,0.14,0.2,1.0,7.9,0,0,0,1.0,1.0,0.21,0.0,0.0,shooting
ENG-Premier League,2020,Aston Villa,Marvelous Nakamba,ZIM,MF,26,1994,8.3,0,2,1,50.0,0.24,0.12,0.0,0.0,28.9,0,0,0,0.0,0.0,0.02,0.0,0.0,shooting
ENG-Premier League,2020,Aston Villa,Matt Targett,ENG,DF,24,1995,37.8,0,6,2,33.3,0.16,0.05,0.0,0.0,21.8,1,0,0,0.3,0.3,0.04,-0.3,-0.3,shooting
ENG-Premier League,2020,Aston Villa,Matty Cash,POL,DF,22,1997,26.4,0,9,2,22.2,0.34,0.08,0.0,0.0,22.9,0,0,0,0.3,0.3,0.03,-0.3,-0.3,shooting
ENG-Premier League,2020,Aston Villa,Morgan Sanson,FRA,MF,25,1994,3.3,0,2,0,0.0,0.61,0.0,0.0,,29.2,0,0,0,0.0,0.0,0.02,0.0,0.0,shooting
ENG-Premier League,2020,Aston Villa,Neil Taylor,WAL,DF,31,1989,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ENG-Premier League,2020,Aston Villa,Ollie Watkins,ENG,FW,24,1995,37.0,14,95,43,45.3,2.57,1.16,0.14,0.3,13.7,0,1,2,14.5,13.0,0.14,-0.5,0.0,shooting
ENG-Premier League,2020,Aston Villa,Ross Barkley,ENG,MF,26,1993,17.0,3,38,11,28.9,2.23,0.65,0.08,0.27,18.7,2,0,0,3.1,3.1,0.08,-0.1,-0.1,shooting
ENG-Premier League,2020,Aston Villa,Trézéguet,EGY,FW,25,1994,13.0,2,35,12,34.3,2.7,0.93,0.06,0.17,14.2,0,0,0,3.8,3.8,0.11,-1.8,-1.8,shooting
ENG-Premier League,2020,Aston Villa,Tyrone Mings,ENG,DF,27,1993,35.5,2,19,7,36.8,0.54,0.2,0.11,0.29,9.9,0,0,0,1.9,1.9,0.1,0.1,0.1,shooting
ENG-Premier League,2020,Aston Villa,Wesley Moraes,BRA,FW,23,1996,0.2,0,1,1,100.0,5.0,5.0,0.0,0.0,12.6,0,0,0,0.0,0.0,0.04,0.0,0.0,shooting
ENG-Premier League,2020,Brighton,Aaron Connolly,IRL,FW,20,2000,8.8,2,23,8,34.8,2.62,0.91,0.09,0.25,14.0,0,0,0,4.0,4.0,0.17,-2.0,-2.0,shooting
ENG-Premier League,2020,Brighton,Adam Lallana,ENG,"MF,FW",32,1988,17.7,1,22,5,22.7,1.24,0.28,0.05,0.2,17.3,0,0,0,1.6,1.6,0.07,-0.6,-0.6,shooting
ENG-Premier League,2020,Brighton,Adam Webster,ENG,DF,25,1995,28.8,1,25,7,28.0,0.87,0.24,0.04,0.14,13.8,0,0,0,2.0,2.0,0.08,-1.0,-1.0,shooting
ENG-Premier League,2020,Brighton,Alexis Mac Allister,ARG,"MF,FW",21,1998,12.4,1,24,3,12.5,1.94,0.24,0.04,0.33,22.5,1,0,0,1.3,1.3,0.05,-0.3,-0.3,shooting
ENG-Premier League,2020,Brighton,Alireza Jahanbakhsh,IRN,"FW,MF",26,1993,5.9,0,18,3,16.7,3.07,0.51,0.0,0.0,18.1,0,0,0,1.5,1.5,0.09,-1.5,-1.5,shooting
ENG-Premier League,2020,Brighton,Andi Zeqiri,SUI,"FW,DF",21,1999,1.9,0,7,2,28.6,3.68,1.05,0.0,0.0,13.6,0,0,0,0.7,0.7,0.1,-0.7,-0.7,shooting
ENG-Premier League,2020,Brighton,Ben White,ENG,"DF,MF",22,1997,35.5,0,10,1,10.0,0.28,0.03,0.0,0.0,16.8,0,0,0,0.5,0.5,0.05,-0.5,-0.5,shooting
ENG-Premier League,2020,Brighton,Bernardo,BRA,"DF,MF",25,1995,2.3,0,4,0,0.0,1.75,0.0,0.0,,7.7,0,0,0,0.4,0.4,0.1,-0.4,-0.4,shooting
ENG-Premier League,2020,Brighton,Dan Burn,ENG,DF,28,1992,22.9,1,17,6,35.3,0.74,0.26,0.06,0.17,14.4,0,0,0,1.5,1.5,0.09,-0.5,-0.5,shooting
ENG-Premier League,2020,Brighton,Danny Welbeck,ENG,FW,29,1990,17.2,6,34,15,44.1,1.98,0.87,0.18,0.4,13.1,0,0,1,6.6,5.8,0.18,-0.6,0.2,shooting
ENG-Premier League,2020,Brighton,Davy Pröpper,NED,MF,28,1991,2.4,0,4,2,50.0,1.69,0.85,0.0,0.0,17.6,0,0,0,0.2,0.2,0.05,-0.2,-0.2,shooting
ENG-Premier League,2020,Brighton,Jakub Moder,POL,"DF,MF",21,1999,7.2,0,13,3,23.1,1.81,0.42,0.0,0.0,17.9,0,0,0,0.8,0.8,0.06,-0.8,-0.8,shooting
ENG-Premier League,2020,Brighton,Jayson Molumby,IRL,MF,20,1999,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ENG-Premier League,2020,Brighton,José Izquierdo,COL,DF,28,1992,0.1,0,1,1,100.0,10.0,10.0,0.0,0.0,32.6,0,0,0,0.0,0.0,0.02,0.0,0.0,shooting
ENG-Premier League,2020,Brighton,Joël Veltman,NED,DF,28,1992,25.3,1,14,4,28.6,0.55,0.16,0.07,0.25,16.1,0,0,0,1.1,1.1,0.08,-0.1,-0.1,shooting
ENG-Premier League,2020,Brighton,Leandro Trossard,BEL,"MF,FW",25,1994,29.0,5,58,23,39.7,2.0,0.79,0.09,0.22,18.6,2,0,0,4.6,4.6,0.08,0.4,0.4,shooting
ENG-Premier League,2020,Brighton,Lewis Dunk,ENG,DF,28,1991,32.6,5,32,14,43.8,0.98,0.43,0.16,0.36,15.2,3,0,0,2.2,2.2,0.07,2.8,2.8,shooting
ENG-Premier League,2020,Brighton,Mathew Ryan,AUS,GK,28,1992,11.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ENG-Premier League,2020,Brighton,Neal Maupay,FRA,"FW,MF",23,1996,27.9,8,67,22,32.8,2.4,0.79,0.07,0.23,14.8,0,3,4,13.2,10.1,0.15,-5.2,-5.1,shooting
ENG-Premier League,2020,Brighton,Pascal Groß,GER,"MF,DF",29,1991,27.6,3,28,4,14.3,1.01,0.14,0.0,0.0,22.2,6,3,4,4.9,1.7,0.06,-1.9,-1.7,shooting
ENG-Premier League,2020,Brighton,Percy Tau,RSA,FW,26,1994,1.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ENG-Premier League,2020,Brighton,Reda Khadra,GER,MF,19,2001,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ENG-Premier League,2020,Brighton,Robert Sánchez,ESP,GK,22,1997,27.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ENG-Premier League,2020,Brighton,Solly March,ENG,"DF,MF",26,1994,18.6,2,22,4,18.2,1.18,0.22,0.09,0.5,17.0,1,0,0,1.7,1.7,0.08,0.3,0.3,shooting
ENG-Premier League,2020,Brighton,Steven Alzate,COL,MF,21,1998,10.0,1,7,2,28.6,0.7,0.2,0.14,0.5,18.7,0,0,0,0.8,0.8,0.12,0.2,0.2,shooting
ENG-Premier League,2020,Brighton,Tariq Lamptey,GHA,"DF,MF",19,2000,9.8,1,6,2,33.3,0.61,0.2,0.17,0.5,11.9,0,0,0,0.7,0.7,0.11,0.3,0.3,shooting
ENG-Premier League,2020,Brighton,Yves Bissouma,MLI,MF,23,1996,34.6,1,42,3,7.1,1.22,0.09,0.02,0.33,26.5,2,0,0,1.4,1.4,0.03,-0.4,-0.4,shooting
ENG-Premier League,2020,Burnley,Ashley Barnes,ENG,FW,30,1989,14.8,3,37,12,32.4,2.5,0.81,0.05,0.17,16.8,0,1,1,4.1,3.3,0.09,-1.1,-1.3,shooting
ENG-Premier League,2020,Burnley,Ashley Westwood,ENG,MF,30,1990,37.9,3,20,7,35.0,0.53,0.18,0.15,0.43,23.5,1,0,0,1.2,1.2,0.06,1.8,1.8,shooting
ENG-Premier League,2020,Burnley,Bailey Peacock-Farrell,NIR,GK,23,1996,4.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ENG-Premier League,2020,Burnley,Ben Mee,ENG,DF,30,1989,29.9,2,22,6,27.3,0.74,0.2,0.09,0.33,10.6,0,0,0,2.3,2.3,0.1,-0.3,-0.3,shooting
ENG-Premier League,2020,Burnley,Charlie Taylor,ENG,DF,26,1993,27.0,0,3,2,66.7,0.11,0.07,0.0,0.0,23.6,0,0,0,0.1,0.1,0.04,-0.1,-0.1,shooting
ENG-Premier League,2020,Burnley,Chris Wood,NZL,FW,28,1991,30.5,12,68,37,54.4,2.23,1.21,0.15,0.27,14.1,0,2,2,13.0,11.4,0.17,-1.0,-1.4,shooting
ENG-Premier League,2020,Burnley,Dale Stephens,ENG,MF,31,1989,2.9,0,4,0,0.0,1.38,0.0,0.0,,21.4,0,0,0,0.2,0.2,0.04,-0.2,-0.2,shooting
ENG-Premier League,2020,Burnley,Dwight McNeil,ENG,MF,20,1999,34.1,2,26,9,34.6,0.76,0.26,0.08,0.22,22.3,1,0,0,1.1,1.1,0.04,0.9,0.9,shooting
ENG-Premier League,2020,Burnley,Erik Pieters,NED,"DF,MF",31,1988,14.1,0,4,3,75.0,0.28,0.21,0.0,0.0,18.9,0,0,0,0.2,0.2,0.04,-0.2,-0.2,shooting
ENG-Premier League,2020,Burnley,Jack Cork,ENG,MF,31,1989,15.0,0,5,0,0.0,0.33,0.0,0.0,,22.3,0,0,0,0.2,0.2,0.05,-0.2,-0.2,shooting
ENG-Premier League,2020,Burnley,James Tarkowski,ENG,DF,27,1992,36.0,1,22,5,22.7,0.61,0.14,0.05,0.2,9.2,0,0,0,3.4,3.4,0.15,-2.4,-2.4,shooting
ENG-Premier League,2020,Burnley,Jay Rodriguez,ENG,FW,31,1989,14.1,1,31,9,29.0,2.21,0.64,0.03,0.11,17.1,0,0,0,3.0,3.0,0.11,-2.0,-2.0,shooting
ENG-Premier League,2020,Burnley,Jimmy Dunne,IRL,DF,22,1997,3.0,1,7,1,14.3,2.33,0.33,0.14,1.0,11.5,0,0,0,0.5,0.5,0.07,0.5,0.5,shooting
