league,season,team,player,nation,pos,age,born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,stat_type
ENG-Premier League,2022,Arsenal,Albert Sambi Lokonga,BEL,MF,22,1999,2.2,1,1,0,0,1,0,2,0.0,2,1,0,1,5,6,2,0,defense
ENG-Premier League,2022,Arsenal,Ben White,ENG,DF,24,1997,33.9,60,31,23,30,7,42,70,60.0,28,47,11,36,22,82,79,1,defense
ENG-Premier League,2022,Arsenal,Bukayo Saka,ENG,FW,20,2001,35.3,63,34,22,15,26,20,44,45.5,24,38,0,38,14,77,19,0,defense
ENG-Premier League,2022,Arsenal,Cédric Soares,POR,DF,30,1991,0.3,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,1,0,defense
ENG-Premier League,2022,Arsenal,Eddie Nketiah,ENG,FW,23,1999,12.1,13,9,6,2,5,2,10,20.0,8,7,1,6,1,14,7,0,defense
ENG-Premier League,2022,Arsenal,Emile Smith Rowe,ENG,"MF,FW",22,2000,1.9,1,1,1,0,0,1,3,33.3,2,1,0,1,0,1,2,0,defense
ENG-Premier League,2022,Arsenal,Ethan Nwaneri,ENG,FW,15,2007,0.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,defense
ENG-Premier League,2022,Arsenal,Fabio Vieira,POR,"MF,FW",22,2000,5.7,6,4,3,0,3,3,5,60.0,2,5,0,5,4,10,2,0,defense
ENG-Premier League,2022,Arsenal,Gabriel Jesus,BRA,FW,25,1997,22.9,33,25,16,8,9,15,32,46.9,17,27,3,24,11,44,15,1,defense
ENG-Premier League,2022,Arsenal,Gabriel Magalhães,BRA,DF,24,1997,37.9,48,30,29,15,4,18,27,66.7,9,49,26,23,32,80,125,3,defense
ENG-Premier League,2022,Arsenal,Gabriel Martinelli,BRA,FW,21,2001,31.0,31,18,13,12,6,9,22,40.9,13,24,1,23,9,40,14,0,defense
ENG-Premier League,2022,Arsenal,Granit Xhaka,SUI,MF,29,1992,33.3,34,27,11,18,5,16,41,39.0,25,28,10,18,15,49,45,1,defense
ENG-Premier League,2022,Arsenal,Jakub Kiwior,POL,DF,22,2000,4.7,7,5,6,1,0,5,8,62.5,3,5,3,2,6,13,10,0,defense
ENG-Premier League,2022,Arsenal,Jorginho,ITA,MF,30,1991,9.5,18,13,6,10,2,5,24,20.8,19,7,2,5,9,27,8,0,defense
ENG-Premier League,2022,Arsenal,Kieran Tierney,SCO,DF,25,1997,8.8,20,11,9,9,2,12,16,75.0,4,8,2,6,11,31,25,0,defense
ENG-Premier League,2022,Arsenal,Leandro Trossard,BEL,FW,27,1994,10.3,12,7,4,2,6,6,18,33.3,12,18,0,18,6,18,3,1,defense
ENG-Premier League,2022,Arsenal,Marquinhos,BRA,MF,19,2003,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense
