league,season,team,player,nation,pos,age,born,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,stat_type
,,,,,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,
ENG-Premier League,2024,Arsenal,Ben White,ENG,DF,27-185,1997,8.5,2,0,0,8,3,1,8,12,7,0,0,0,22,11,3,78.6,misc
ENG-Premier League,2024,Arsenal,Bukayo Saka,ENG,"FW,MF",23-218,2001,14.9,3,0,0,13,34,4,104,2,13,1,0,0,57,8,17,32.0,misc
ENG-Premier League,2024,Arsenal,David Raya,ESP,GK,29-208,1995,31.0,2,0,0,1,7,0,0,2,0,0,1,0,30,10,0,100.0,misc
ENG-Premier League,2024,Arsenal,Declan Rice,ENG,MF,26-087,1999,26.0,6,1,1,18,15,1,146,22,19,0,0,0,118,27,21,56.3,misc
ENG-Premier League,2024,Arsenal,Ethan Nwaneri,ENG,"FW,MF",18-021,2007,8.0,1,0,0,6,5,5,45,1,7,0,0,0,32,3,7,30.0,misc
ENG-Premier League,2024,Arsenal,Gabriel Jesus,BRA,FW,28-008,1997,6.8,4,0,0,14,10,9,7,4,6,0,0,0,28,9,18,33.3,misc
ENG-Premier League,2024,Arsenal,Gabriel Magalhães,BRA,DF,27-113,1997,26.3,4,0,0,19,19,0,9,16,15,1,0,0,63,53,37,58.9,misc
ENG-Premier League,2024,Arsenal,Gabriel Martinelli,BRA,"FW,MF",23-297,2001,18.9,1,0,0,13,14,8,72,3,14,0,0,0,66,13,24,35.1,misc
ENG-Premier League,2024,Arsenal,Jakub Kiwior,POL,DF,25-055,2000,5.5,0,0,0,6,1,0,1,1,3,0,0,0,13,5,6,45.5,misc
ENG-Premier League,2024,Arsenal,Jorginho,ITA,MF,33-112,1991,6.8,5,0,0,13,16,0,1,5,4,0,0,0,47,1,5,16.7,misc
ENG-Premier League,2024,Arsenal,Jurriën Timber,NED,DF,23-298,2001,25.6,7,0,0,31,29,6,28,21,37,0,0,0,91,22,19,53.7,misc
ENG-Premier League,2024,Arsenal,Kai Havertz,GER,"FW,MF",25-304,1999,20.4,4,0,0,36,21,14,11,6,9,0,0,0,39,62,73,45.9,misc
ENG-Premier League,2024,Arsenal,Kieran Tierney,SCO,"DF,FW",27-310,1997,1.1,0,0,0,0,1,0,6,1,2,0,0,0,3,3,2,60.0,misc
ENG-Premier League,2024,Arsenal,Leandro Trossard,BEL,FW,30-128,1994,22.2,4,1,1,23,39,5,75,9,16,0,0,0,83,5,20,20.0,misc
