league,season,team,player,nation,pos,age,born,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,stat_type
,,,,,,,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,
ENG-Premier League,2024,Arsenal,Ben White,ENG,DF,27-185,1997,8.5,478,42,153,215,112,13,478,2,0,0.0,1,50.0,217,788,396,5,8,1,7,3,281,19,possession
ENG-Premier League,2024,Arsenal,Bukayo Saka,ENG,"FW,MF",23-218,2001,14.9,761,6,43,170,555,121,760,77,34,44.2,31,40.3,480,3309,1911,74,22,38,26,35,545,204,possession
ENG-Premier League,2024,Arsenal,David Raya,ESP,GK,29-208,1995,31.0,1199,705,1122,77,0,0,1199,1,1,100.0,0,0.0,740,3709,2220,0,0,0,1,0,683,0,possession
ENG-Premier League,2024,Arsenal,Declan Rice,ENG,MF,26-087,1999,26.0,1637,62,274,780,600,62,1637,25,11,44.0,13,52.0,865,5456,2876,78,52,12,34,23,1076,81,possession
ENG-Premier League,2024,Arsenal,Ethan Nwaneri,ENG,"FW,MF",18-021,2007,8.0,420,3,43,143,239,32,420,51,28,54.9,17,33.3,284,2281,1103,40,19,14,17,16,305,90,possession
ENG-Premier League,2024,Arsenal,Gabriel Jesus,BRA,FW,28-008,1997,6.8,299,9,28,108,165,48,299,22,9,40.9,10,45.5,179,953,432,15,6,11,13,13,217,57,possession
ENG-Premier League,2024,Arsenal,Gabriel Magalhães,BRA,DF,27-113,1997,26.3,1873,189,672,985,225,40,1873,5,4,80.0,1,20.0,1116,4470,2669,10,22,0,9,2,1366,11,possession
ENG-Premier League,2024,Arsenal,Gabriel Martinelli,BRA,"FW,MF",23-297,2001,18.9,757,13,76,203,490,140,757,98,30,30.6,52,53.1,502,3866,2105,102,27,51,42,30,565,223,possession
ENG-Premier League,2024,Arsenal,Jakub Kiwior,POL,DF,25-055,2000,5.5,326,41,129,182,15,2,326,3,2,66.7,1,33.3,168,737,414,4,0,1,1,1,233,0,possession
ENG-Premier League,2024,Arsenal,Jorginho,ITA,MF,33-112,1991,6.8,443,9,81,262,105,3,443,4,1,25.0,2,50.0,258,1320,754,10,9,0,9,9,330,4,possession
ENG-Premier League,2024,Arsenal,Jurriën Timber,NED,DF,23-298,2001,25.6,1564,50,280,802,489,66,1564,53,24,45.3,24,45.3,831,3649,1915,53,26,11,32,23,971,103,possession
ENG-Premier League,2024,Arsenal,Kai Havertz,GER,"FW,MF",25-304,1999,20.4,768,31,88,282,403,103,768,38,9,23.7,24,63.2,411,1957,922,34,23,18,42,22,575,110,possession
ENG-Premier League,2024,Arsenal,Kieran Tierney,SCO,"DF,FW",27-310,1997,1.1,61,1,7,22,32,4,61,1,0,0.0,1,100.0,24,120,75,3,2,1,1,0,42,11,possession
ENG-Premier League,2024,Arsenal,Leandro Trossard,BEL,FW,30-128,1994,22.2,983,14,111,302,586,117,983,67,27,40.3,31,46.3,621,3916,1737,67,45,25,45,36,725,179,possession
ENG-Premier League,2024,Arsenal,Martin Ødegaard,NOR,MF,26-115,1998,20.4,1294,6,89,540,679,84,1293,47,20,42.6,26,55.3,883,5389,2695,66,57,18,26,36,1022,125,possession
ENG-Premier League,2024,Arsenal,Mikel Merino,ESP,"MF,FW",28-293,1996,14.8,669,34,121,289,268,68,669,16,7,43.8,6,37.5,327,1227,581,8,12,4,21,20,434,82,possession
ENG-Premier League,2024,Arsenal,Myles Lewis-Skelly,ENG,DF,18-197,2006,10.3,598,15,108,326,176,12,598,22,11,50.0,8,36.4,333,1834,1134,24,16,4,7,8,399,24,possession
ENG-Premier League,2024,Arsenal,Oleksandr Zinchenko,UKR,"DF,MF",28-117,1996,3.3,263,10,57,144,63,14,263,2,1,50.0,0,0.0,144,771,331,7,3,2,2,2,169,7,possession
ENG-Premier League,2024,Arsenal,Raheem Sterling,ENG,"FW,MF",30-124,1994,3.9,210,1,7,45,161,33,210,22,9,40.9,7,31.8,152,1072,588,21,9,14,10,13,159,63,possession
