league,season,team,player,nation,pos,age,born,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,stat_type
ESP-La Liga,2020,Alavés,Adrián Marín,ESP,"DF,MF",23,1997,1.0,0,1,0,0.0,0.97,0.0,0.0,,18.8,0,0,0,0.1,0.1,0.07,-0.1,-0.1,shooting
ESP-La Liga,2020,Alavés,Antonio Sivera,ESP,GK,23,1996,0.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ESP-La Liga,2020,Alavés,Borja Sainz,ESP,"MF,FW",19,2001,5.0,1,7,4,57.1,1.39,0.79,0.14,0.25,17.0,0,0,0,1.3,1.3,0.19,-0.3,-0.3,shooting
ESP-La Liga,2020,Alavés,Burgui,ESP,MF,26,1993,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ESP-La Liga,2020,Alavés,Deyverson,BRA,FW,29,1991,9.7,1,14,2,14.3,1.44,0.21,0.07,0.5,16.6,0,0,0,1.5,1.5,0.1,-0.5,-0.5,shooting
ESP-La Liga,2020,Alavés,Facundo Pellistri,URU,"MF,FW",18,2001,6.0,0,5,2,40.0,0.83,0.33,0.0,0.0,21.5,0,0,0,0.6,0.6,0.11,-0.6,-0.6,shooting
ESP-La Liga,2020,Alavés,Fernando Pacheco,ESP,GK,28,1992,37.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ESP-La Liga,2020,Alavés,Florian Lejeune,FRA,DF,29,1991,33.5,1,23,6,26.1,0.69,0.18,0.04,0.17,18.6,5,0,0,2.4,2.4,0.13,-1.4,-1.4,shooting
ESP-La Liga,2020,Alavés,Iñigo Córdoba,ESP,MF,23,1997,2.4,0,1,0,0.0,0.42,0.0,0.0,,16.6,0,0,0,0.0,0.0,0.04,0.0,0.0,shooting
ESP-La Liga,2020,Alavés,Javi López,ESP,"DF,MF",18,2002,2.8,0,1,1,100.0,0.36,0.36,0.0,0.0,15.6,0,0,0,0.1,0.1,0.1,-0.1,-0.1,shooting
ESP-La Liga,2020,Alavés,John Guidetti,SWE,FW,28,1992,2.3,1,5,1,20.0,2.16,0.43,0.2,1.0,13.7,0,0,0,0.8,0.8,0.16,0.2,0.2,shooting
ESP-La Liga,2020,Alavés,Joselu,ESP,FW,30,1990,33.6,11,89,28,31.5,2.65,0.83,0.1,0.32,16.3,4,2,4,12.8,9.6,0.11,-1.8,-0.6,shooting
ESP-La Liga,2020,Alavés,Jota,ESP,MF,29,1991,15.5,0,16,2,12.5,1.03,0.13,0.0,0.0,20.1,0,0,0,0.8,0.8,0.05,-0.8,-0.8,shooting
ESP-La Liga,2020,Alavés,Lucas Pérez,ESP,FW,31,1988,19.5,4,28,9,32.1,1.43,0.46,0.04,0.11,18.1,3,3,4,6.7,3.5,0.13,-2.7,-2.5,shooting
ESP-La Liga,2020,Alavés,Luis Rioja,ESP,"MF,FW",26,1993,23.2,4,24,9,37.5,1.03,0.39,0.17,0.44,18.1,0,0,0,3.3,3.3,0.14,0.7,0.7,shooting
ESP-La Liga,2020,Alavés,Manu García,ESP,MF,34,1986,12.5,0,11,1,9.1,0.88,0.08,0.0,0.0,17.7,0,0,0,0.6,0.6,0.05,-0.6,-0.6,shooting
ESP-La Liga,2020,Alavés,Martin Agirregabiria,ESP,"DF,MF",24,1996,17.3,0,2,0,0.0,0.12,0.0,0.0,,15.7,0,0,0,0.1,0.1,0.07,-0.1,-0.1,shooting
ESP-La Liga,2020,Alavés,Pere Pons,ESP,MF,27,1993,13.2,2,9,4,44.4,0.68,0.3,0.22,0.5,18.9,0,0,0,0.9,0.9,0.1,1.1,1.1,shooting
ESP-La Liga,2020,Alavés,Rodrigo Battaglia,ARG,MF,29,1991,27.7,1,17,5,29.4,0.61,0.18,0.06,0.2,16.8,0,0,0,1.2,1.2,0.07,-0.2,-0.2,shooting
ESP-La Liga,2020,Alavés,Rodrigo Ely,BRA,DF,26,1993,5.2,1,4,2,50.0,0.77,0.38,0.25,0.5,8.3,0,0,0,0.6,0.6,0.15,0.4,0.4,shooting
ESP-La Liga,2020,Alavés,Rubén Duarte,ESP,DF,24,1995,28.3,1,14,2,14.3,0.5,0.07,0.07,0.5,20.6,0,0,0,1.4,1.4,0.1,-0.4,-0.4,shooting
ESP-La Liga,2020,Alavés,Sergi García,ESP,MF,21,1999,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ESP-La Liga,2020,Alavés,Stephane Keller,CMR,DF,18,2001,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ESP-La Liga,2020,Alavés,Tachi,ESP,DF,22,1997,9.4,0,3,0,0.0,0.32,0.0,0.0,,9.4,0,0,0,0.4,0.4,0.13,-0.4,-0.4,shooting
ESP-La Liga,2020,Alavés,Tomás Pina Isla,ESP,MF,32,1987,28.6,1,9,1,11.1,0.31,0.03,0.11,1.0,18.5,0,0,0,0.7,0.7,0.08,0.3,0.3,shooting
ESP-La Liga,2020,Alavés,Tomás Tavares,POR,"MF,DF",19,2001,0.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ESP-La Liga,2020,Alavés,Víctor Laguardia,ESP,DF,30,1989,29.2,0,8,3,37.5,0.27,0.1,0.0,0.0,9.2,0,0,0,1.3,1.3,0.16,-1.3,-1.3,shooting
ESP-La Liga,2020,Alavés,Ximo Navarro,ESP,DF,30,1990,26.4,1,13,3,23.1,0.49,0.11,0.08,0.33,25.9,0,0,0,0.4,0.4,0.03,0.6,0.6,shooting
ESP-La Liga,2020,Alavés,Édgar Méndez,ESP,"MF,FW",30,1990,23.2,5,35,10,28.6,1.51,0.43,0.14,0.5,16.5,0,0,0,5.5,5.5,0.16,-0.5,-0.5,shooting
ESP-La Liga,2020,Athletic Club,Ander Capa,ESP,DF,28,1992,23.7,2,12,6,50.0,0.51,0.25,0.17,0.33,14.2,0,0,0,1.1,1.1,0.1,0.9,0.9,shooting
ESP-La Liga,2020,Athletic Club,Asier Villalibre,ESP,FW,22,1997,17.7,4,38,14,36.8,2.15,0.79,0.11,0.29,14.3,0,0,0,4.3,4.3,0.11,-0.3,-0.3,shooting
ESP-La Liga,2020,Athletic Club,Dani García,ESP,MF,30,1990,21.3,0,6,1,16.7,0.28,0.05,0.0,0.0,20.5,0,0,0,0.3,0.3,0.06,-0.3,-0.3,shooting
ESP-La Liga,2020,Athletic Club,Ibai Gómez,ESP,MF,30,1989,4.7,0,5,0,0.0,1.06,0.0,0.0,,21.5,0,0,0,0.2,0.2,0.04,-0.2,-0.2,shooting
ESP-La Liga,2020,Athletic Club,Iker Muniain,ESP,"MF,FW",27,1992,21.6,5,23,9,39.1,1.07,0.42,0.22,0.56,13.9,1,0,0,4.5,4.5,0.21,0.5,0.5,shooting
ESP-La Liga,2020,Athletic Club,Iñaki Williams,GHA,FW,26,1994,26.5,6,52,16,30.8,1.96,0.6,0.1,0.31,15.2,0,1,1,6.2,5.4,0.1,-0.2,-0.4,shooting
ESP-La Liga,2020,Athletic Club,Iñigo Córdoba,ESP,"FW,MF",23,1997,1.1,0,2,0,0.0,1.89,0.0,0.0,,15.3,0,0,0,0.1,0.1,0.07,-0.1,-0.1,shooting
ESP-La Liga,2020,Athletic Club,Iñigo Lekue,ESP,DF,27,1993,7.2,0,2,1,50.0,0.28,0.14,0.0,0.0,25.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1,shooting
ESP-La Liga,2020,Athletic Club,Iñigo Martínez,ESP,DF,29,1991,28.0,1,18,7,38.9,0.64,0.25,0.06,0.14,19.3,1,0,0,1.1,1.1,0.07,-0.1,-0.1,shooting
ESP-La Liga,2020,Athletic Club,Iñigo Vicente,ESP,"FW,MF",22,1998,0.6,0,1,0,0.0,1.73,0.0,0.0,,23.8,0,0,0,0.0,0.0,0.03,0.0,0.0,shooting
ESP-La Liga,2020,Athletic Club,Jokin Ezkieta,ESP,GK,23,1996,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ESP-La Liga,2020,Athletic Club,Jon Morcillo,ESP,"MF,FW",21,1998,15.1,2,24,8,33.3,1.58,0.53,0.08,0.25,23.1,3,0,0,1.2,1.2,0.05,0.8,0.8,shooting
ESP-La Liga,2020,Athletic Club,Kenan Kodro,BIH,"FW,MF",26,1993,0.5,1,1,1,100.0,2.05,2.05,0.0,0.0,39.4,0,1,1,0.8,0.0,0.03,0.2,0.0,shooting
ESP-La Liga,2020,Athletic Club,Mikel Balenziaga,ESP,DF,32,1988,18.8,0,3,1,33.3,0.16,0.05,0.0,0.0,30.3,1,0,0,0.1,0.1,0.03,-0.1,-0.1,shooting
ESP-La Liga,2020,Athletic Club,Mikel Vesga,ESP,MF,27,1993,19.1,0,22,5,22.7,1.15,0.26,0.0,0.0,17.7,0,0,0,1.6,1.6,0.07,-1.6,-1.6,shooting
ESP-La Liga,2020,Athletic Club,Nico Williams,ESP,MF,18,2002,0.6,0,1,0,0.0,1.58,0.0,0.0,,14.0,0,0,0,0.0,0.0,0.05,0.0,0.0,shooting
ESP-La Liga,2020,Athletic Club,Oier Zarraga,ESP,MF,21,1999,1.1,0,1,0,0.0,0.9,0.0,0.0,,16.2,0,0,0,0.1,0.1,0.08,-0.1,-0.1,shooting
ESP-La Liga,2020,Athletic Club,Oihan Sancet,ESP,"FW,MF",20,2000,11.5,2,18,6,33.3,1.57,0.52,0.11,0.33,12.7,0,0,0,2.8,2.8,0.16,-0.8,-0.8,shooting
ESP-La Liga,2020,Athletic Club,Raúl García,ESP,"FW,MF",34,1986,19.4,5,44,11,25.0,2.27,0.57,0.07,0.27,17.2,0,2,3,6.1,3.7,0.08,-1.1,-0.7,shooting
ESP-La Liga,2020,Athletic Club,Unai López,ESP,MF,24,1995,15.8,3,25,10,40.0,1.58,0.63,0.12,0.3,25.2,5,0,0,1.1,1.1,0.05,1.9,1.9,shooting
ESP-La Liga,2020,Athletic Club,Unai Núñez,ESP,DF,23,1997,23.4,1,12,5,41.7,0.51,0.21,0.08,0.2,11.1,0,0,0,1.8,1.8,0.15,-0.8,-0.8,shooting
ESP-La Liga,2020,Athletic Club,Unai Simón,ESP,GK,23,1997,37.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ESP-La Liga,2020,Athletic Club,Unai Vencedor Paris,ESP,MF,19,2000,18.9,0,9,0,0.0,0.48,0.0,0.0,,23.9,0,0,0,0.3,0.3,0.04,-0.3,-0.3,shooting
ESP-La Liga,2020,Athletic Club,Yeray Álvarez,ESP,DF,25,1995,21.6,1,10,1,10.0,0.46,0.05,0.1,1.0,14.4,0,0,0,0.6,0.6,0.06,0.4,0.4,shooting
ESP-La Liga,2020,Athletic Club,Yuri Berchiche,ESP,DF,30,1990,18.7,1,16,6,37.5,0.86,0.32,0.06,0.17,19.5,0,0,0,0.9,0.9,0.06,0.1,0.1,shooting
ESP-La Liga,2020,Athletic Club,Álex Berenguer,ESP,"MF,FW",25,1995,25.3,8,48,15,31.3,1.9,0.59,0.17,0.53,17.4,4,0,0,6.2,6.2,0.13,1.8,1.8,shooting
ESP-La Liga,2020,Athletic Club,Óscar de Marcos,ESP,"DF,MF",31,1989,16.9,1,6,5,83.3,0.36,0.3,0.17,0.2,12.4,0,0,0,1.8,1.8,0.31,-0.8,-0.8,shooting
ESP-La Liga,2020,Atlético Madrid,Diego Costa,ESP,FW,31,1988,2.3,2,4,2,50.0,1.73,0.87,0.25,0.5,13.4,0,1,1,1.4,0.6,0.15,0.6,0.4,shooting
ESP-La Liga,2020,Atlético Madrid,Felipe,BRA,DF,31,1989,22.9,0,12,2,16.7,0.53,0.09,0.0,0.0,9.8,0,0,0,1.5,1.5,0.12,-1.5,-1.5,shooting
ESP-La Liga,2020,Atlético Madrid,Geoffrey Kondogbia,CTA,MF,27,1993,6.8,0,5,2,40.0,0.74,0.29,0.0,0.0,22.8,0,0,0,0.2,0.2,0.03,-0.2,-0.2,shooting
ESP-La Liga,2020,Atlético Madrid,Héctor Herrera,MEX,MF,30,1990,7.6,0,7,1,14.3,0.92,0.13,0.0,0.0,19.6,0,0,0,0.3,0.3,0.04,-0.3,-0.3,shooting
ESP-La Liga,2020,Atlético Madrid,Jan Oblak,SVN,GK,27,1993,38.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ESP-La Liga,2020,Atlético Madrid,José María Giménez,URU,DF,25,1995,19.6,0,14,5,35.7,0.71,0.25,0.0,0.0,13.1,0,0,0,1.1,1.1,0.08,-1.1,-1.1,shooting
ESP-La Liga,2020,Atlético Madrid,João Félix,POR,"FW,MF",20,1999,17.5,7,37,15,40.5,2.12,0.86,0.16,0.4,19.4,2,1,2,5.5,3.9,0.1,1.5,2.1,shooting
ESP-La Liga,2020,Atlético Madrid,Kieran Trippier,ENG,DF,29,1990,27.5,0,3,1,33.3,0.11,0.04,0.0,0.0,18.8,1,0,0,0.1,0.1,0.04,-0.1,-0.1,shooting
ESP-La Liga,2020,Atlético Madrid,Koke,ESP,MF,28,1992,33.6,1,17,7,41.2,0.51,0.21,0.06,0.14,20.7,0,0,0,2.0,2.0,0.12,-1.0,-1.0,shooting
ESP-La Liga,2020,Atlético Madrid,Lucas Torreira,URU,MF,24,1996,5.8,1,3,1,33.3,0.52,0.17,0.33,1.0,33.1,0,0,0,0.1,0.1,0.04,0.9,0.9,shooting
ESP-La Liga,2020,Atlético Madrid,Luis Suárez,URU,FW,33,1987,27.9,21,101,40,39.6,3.62,1.44,0.18,0.45,16.0,7,3,3,16.2,13.9,0.14,4.8,4.1,shooting
ESP-La Liga,2020,Atlético Madrid,Manu Sánchez,ESP,DF,19,2000,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ESP-La Liga,2020,Atlético Madrid,Marcos Llorente,ESP,"MF,FW",25,1995,32.8,12,49,22,44.9,1.49,0.67,0.24,0.55,18.6,0,0,0,3.4,3.4,0.07,8.6,8.6,shooting
ESP-La Liga,2020,Atlético Madrid,Mario Hermoso,ESP,DF,25,1995,28.6,1,18,4,22.2,0.63,0.14,0.06,0.25,20.6,0,0,0,1.1,1.1,0.06,-0.1,-0.1,shooting
ESP-La Liga,2020,Atlético Madrid,Moussa Dembélé,FRA,FW,24,1996,1.1,0,6,2,33.3,5.4,1.8,0.0,0.0,10.5,0,0,0,1.0,1.0,0.17,-1.0,-1.0,shooting
ESP-La Liga,2020,Atlético Madrid,Renan Lodi,BRA,"DF,FW",22,1998,12.5,1,11,3,27.3,0.88,0.24,0.09,0.33,18.6,0,0,0,0.8,0.8,0.07,0.2,0.2,shooting
ESP-La Liga,2020,Atlético Madrid,Ricard Sánchez,ESP,DF,20,2000,0.3,0,1,0,0.0,3.0,0.0,0.0,,17.3,0,0,0,0.0,0.0,0.04,0.0,0.0,shooting
