league,season,team,player,nation,pos,age,born,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP,stat_type
,,,,,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,,
ESP-La Liga,2021,Alavés,Abdallahi Mahmoud,MTN,MF,20,2000,0.7,13,15,86.7,214,86,6,6,100.0,6,6,100.0,1,2,50.0,0,0.0,0.0,0.0,1,2,0,0,1,passing
ESP-La Liga,2021,Alavés,Adrián Marín,ESP,"DF,MF",23,1997,1.0,38,55,69.1,574,293,21,24,87.5,15,19,78.9,2,8,25.0,0,0.0,0.1,0.0,1,2,1,1,6,passing
ESP-La Liga,2021,Alavés,Antonio Sivera,ESP,GK,23,1996,0.8,11,22,50.0,352,300,3,3,100.0,3,3,100.0,5,16,31.3,0,0.0,0.0,0.0,0,0,0,0,0,passing
ESP-La Liga,2021,Alavés,Borja Sainz,ESP,"MF,FW",19,2001,5.0,81,105,77.1,1256,259,47,54,87.0,25,32,78.1,8,11,72.7,0,0.8,0.2,-0.8,3,6,3,2,4,passing
ESP-La Liga,2021,Alavés,Burgui,ESP,MF,26,1993,0.2,9,10,90.0,118,31,5,5,100.0,3,3,100.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,1,passing
ESP-La Liga,2021,Alavés,Deyverson,BRA,FW,29,1991,9.7,150,299,50.2,2626,859,76,137,55.5,46,87,52.9,21,46,45.7,3,2.4,0.8,0.6,10,22,7,2,27,passing
ESP-La Liga,2021,Alavés,Facundo Pellistri,URU,"MF,FW",18,2001,6.0,73,120,60.8,915,216,54,75,72.0,14,29,48.3,1,1,100.0,0,0.1,0.1,-0.1,2,3,3,1,8,passing
ESP-La Liga,2021,Alavés,Fernando Pacheco,ESP,GK,28,1992,37.2,748,1083,69.1,25926,21077,118,119,99.2,259,267,97.0,368,686,53.6,0,0.0,0.1,0.0,0,24,0,0,0,passing
ESP-La Liga,2021,Alavés,Florian Lejeune,FRA,DF,29,1991,33.5,1130,1477,76.5,25072,11097,350,421,83.1,582,668,87.1,192,357,53.8,1,0.9,0.3,0.1,7,55,2,0,66,passing
ESP-La Liga,2021,Alavés,Iñigo Córdoba,ESP,MF,23,1997,2.4,46,80,57.5,744,339,22,30,73.3,15,22,68.2,6,16,37.5,0,0.1,0.3,-0.1,3,2,3,1,7,passing
ESP-La Liga,2021,Alavés,Javi López,ESP,"DF,MF",18,2002,2.8,109,146,74.7,1815,573,57,66,86.4,35,47,74.5,13,22,59.1,0,0.1,0.2,-0.1,3,4,5,3,7,passing
ESP-La Liga,2021,Alavés,John Guidetti,SWE,FW,28,1992,2.3,49,73,67.1,675,180,28,35,80.0,10,18,55.6,4,9,44.4,0,0.0,0.0,0.0,1,7,0,0,5,passing
ESP-La Liga,2021,Alavés,Joselu,ESP,FW,30,1990,33.6,600,1050,57.1,8740,2199,353,541,65.2,164,296,55.4,46,95,48.4,3,3.8,2.2,-0.8,30,66,19,5,99,passing
ESP-La Liga,2021,Alavés,Jota,ESP,MF,29,1991,15.5,352,498,70.7,5852,1735,181,206,87.9,129,169,76.3,30,80,37.5,2,2.8,1.3,-0.8,17,38,15,3,55,passing
ESP-La Liga,2021,Alavés,Lucas Pérez,ESP,FW,31,1988,19.5,416,667,62.4,7994,2771,172,219,78.5,153,225,68.0,75,169,44.4,4,4.6,4.0,-0.6,53,50,21,9,72,passing
ESP-La Liga,2021,Alavés,Luis Rioja,ESP,"MF,FW",26,1993,23.2,435,660,65.9,6391,1871,275,331,83.1,122,195,62.6,29,67,43.3,2,2.7,3.1,-0.7,25,31,19,13,42,passing
ESP-La Liga,2021,Alavés,Manu García,ESP,MF,34,1986,12.5,280,409,68.5,4533,1266,148,191,77.5,102,148,68.9,20,39,51.3,0,0.5,0.3,-0.5,6,32,3,1,28,passing
ESP-La Liga,2021,Alavés,Martin Agirregabiria,ESP,"DF,MF",24,1996,17.3,534,751,71.1,8856,4049,268,318,84.3,204,283,72.1,48,106,45.3,1,0.7,0.7,0.3,12,39,15,10,39,passing
ESP-La Liga,2021,Alavés,Pere Pons,ESP,MF,27,1993,13.2,270,349,77.4,3710,1000,164,190,86.3,74,92,80.4,13,29,44.8,0,1.1,0.6,-1.1,8,23,6,2,36,passing
ESP-La Liga,2021,Alavés,Rodrigo Battaglia,ARG,MF,29,1991,27.7,870,1039,83.7,14718,3574,396,450,88.0,362,406,89.2,77,117,65.8,0,0.2,0.4,-0.2,3,59,4,0,73,passing
ESP-La Liga,2021,Alavés,Rodrigo Ely,BRA,DF,26,1993,5.2,127,165,77.0,2821,1085,30,39,76.9,73,81,90.1,22,39,56.4,0,0.3,0.1,-0.3,3,3,0,0,3,passing
ESP-La Liga,2021,Alavés,Rubén Duarte,ESP,DF,24,1995,28.3,938,1348,69.6,16839,8824,468,541,86.5,335,468,71.6,119,279,42.7,1,2.8,2.7,-1.8,29,85,27,11,111,passing
ESP-La Liga,2021,Alavés,Sergi García,ESP,MF,21,1999,0.2,4,7,57.1,75,0,1,2,50.0,3,5,60.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,passing
ESP-La Liga,2021,Alavés,Stephane Keller,CMR,DF,18,2001,0.2,11,13,84.6,215,70,4,5,80.0,6,6,100.0,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,1,passing
ESP-La Liga,2021,Alavés,Tachi,ESP,DF,22,1997,9.4,269,368,73.1,6114,2856,72,87,82.8,139,158,88.0,55,112,49.1,0,0.2,0.2,-0.2,2,18,1,0,18,passing
ESP-La Liga,2021,Alavés,Tomás Pina Isla,ESP,MF,32,1987,28.6,752,918,81.9,11631,3990,417,485,86.0,284,324,87.7,33,62,53.2,1,1.0,0.7,0.0,7,88,4,1,94,passing
ESP-La Liga,2021,Alavés,Tomás Tavares,POR,"MF,DF",19,2001,0.7,17,21,81.0,216,78,12,13,92.3,3,5,60.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,3,passing
