league,season,team,player,nation,pos,age,born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,stat_type
ESP-La Liga,2022,Almería,Alejandro Pozo Pozo,ESP,DF,23,1999,20.9,37,19,17,17,3,27,53,50.9,26,30,5,25,26,63,45,1,defense
ESP-La Liga,2022,Almería,Arnau Puigmal,ESP,"MF,FW",21,2001,8.5,22,14,10,7,5,12,17,70.6,5,7,0,7,11,33,6,0,defense
ESP-La Liga,2022,Almería,Chumi,ESP,DF,23,1999,16.5,29,16,18,9,2,14,23,60.9,9,20,7,13,15,44,53,0,defense
ESP-La Liga,2022,Almería,Curro,ESP,MF,26,1996,0.5,2,0,1,1,0,1,2,50.0,1,0,0,0,0,2,0,0,defense
ESP-La Liga,2022,Almería,César de la Hoz,ESP,MF,30,1992,18.6,37,20,17,18,2,19,37,51.4,18,26,6,20,13,50,37,0,defense
ESP-La Liga,2022,Almería,Diego Mariño,ESP,GK,32,1990,0.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense
ESP-La Liga,2022,Almería,Dyego Sousa,POR,FW,32,1989,5.9,10,6,5,4,1,4,5,80.0,1,4,2,2,1,11,14,0,defense
ESP-La Liga,2022,Almería,El Bilal Touré,MLI,FW,20,2001,14.0,4,3,2,1,1,0,3,0.0,3,6,1,5,1,5,23,0,defense
ESP-La Liga,2022,Almería,Fernando,ESP,GK,32,1990,36.5,0,0,0,0,0,0,2,0.0,2,2,0,2,1,1,20,3,defense
ESP-La Liga,2022,Almería,Fernando Pacheco,ESP,GK,30,1992,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,defense
ESP-La Liga,2022,Almería,Francisco Portillo,ESP,"MF,FW",32,1990,8.0,13,6,4,5,4,3,16,18.8,13,7,1,6,7,20,8,0,defense
ESP-La Liga,2022,Almería,Gonzalo Melero,ESP,MF,28,1994,20.6,32,16,9,18,5,11,39,28.2,28,23,2,21,7,39,19,1,defense
ESP-La Liga,2022,Almería,Houboulang Mendes,GNB,DF,24,1998,9.8,19,11,16,3,0,11,27,40.7,16,12,2,10,7,26,23,1,defense
ESP-La Liga,2022,Almería,José Carlos Lazo,ESP,"MF,FW",26,1996,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense
ESP-La Liga,2022,Almería,Kaiky,BRA,DF,18,2004,6.5,5,5,5,0,0,3,7,42.9,4,18,10,8,11,16,28,0,defense
ESP-La Liga,2022,Almería,Largie Ramazani,BEL,"FW,MF",21,2001,15.6,15,9,6,3,6,8,27,29.6,19,11,0,11,15,30,10,0,defense
ESP-La Liga,2022,Almería,Lucas Robertone,ARG,MF,25,1997,31.6,50,28,20,21,9,28,64,43.8,36,45,7,38,46,96,46,1,defense
ESP-La Liga,2022,Almería,Luis Javier Suárez,COL,FW,24,1997,16.6,17,11,5,6,6,6,26,23.1,20,13,3,10,3,20,10,0,defense
ESP-La Liga,2022,Almería,Lázaro,BRA,"FW,MF",20,2002,8.0,4,3,3,0,1,3,15,20.0,12,16,1,15,2,6,1,0,defense
ESP-La Liga,2022,Almería,Léo Baptistão,BRA,"FW,MF",29,1992,19.2,32,20,13,16,3,13,33,39.4,20,17,2,15,19,51,12,0,defense
ESP-La Liga,2022,Almería,Marko Milovanović,SRB,FW,18,2003,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense
ESP-La Liga,2022,Almería,Rodrigo Ely,BRA,DF,28,1993,35.1,30,21,26,4,0,18,25,72.0,7,46,33,13,31,61,203,1,defense
ESP-La Liga,2022,Almería,Samu Costa,POR,MF,21,2000,22.1,61,31,35,20,6,29,61,47.5,32,29,7,22,37,98,64,4,defense
ESP-La Liga,2022,Almería,Sergio Akieme,ESP,DF,24,1997,25.5,27,16,19,6,2,12,22,54.5,10,22,6,16,14,41,41,0,defense
ESP-La Liga,2022,Almería,Srđan Babić,SRB,DF,26,1996,33.3,28,18,20,8,0,15,32,46.9,17,34,22,12,29,57,124,1,defense
ESP-La Liga,2022,Almería,Umar Sadiq,NGA,FW,25,1997,2.7,0,0,0,0,0,0,1,0.0,1,2,0,2,0,0,3,0,defense
ESP-La Liga,2022,Almería,Álex Centelles,ESP,DF,24,1997,12.5,22,14,16,3,3,16,22,72.7,6,13,2,11,11,33,40,0,defense
ESP-La Liga,2022,Almería,Íñigo Eguaras,ESP,MF,30,1992,10.7,11,8,4,6,1,5,18,27.8,13,9,3,6,6,17,15,0,defense
ESP-La Liga,2022,Athletic Club,Adu Ares,ESP,"FW,MF",20,2001,0.9,4,2,2,1,1,4,4,100.0,0,1,0,1,2,6,1,0,defense
ESP-La Liga,2022,Athletic Club,Aitor Paredes,ESP,DF,22,2000,9.5,7,6,4,2,1,6,11,54.5,5,11,7,4,14,21,26,0,defense
ESP-La Liga,2022,Athletic Club,Ander Capa,ESP,DF,30,1992,1.2,1,1,1,0,0,1,5,20.0,4,5,0,5,0,1,2,0,defense
ESP-La Liga,2022,Athletic Club,Ander Herrera,ESP,MF,32,1989,7.7,18,10,8,7,3,6,18,33.3,12,12,3,9,11,29,12,0,defense
ESP-La Liga,2022,Athletic Club,Asier Villalibre,ESP,FW,24,1997,1.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,defense
ESP-La Liga,2022,Athletic Club,Dani García,ESP,MF,32,1990,16.5,46,27,17,25,4,29,47,61.7,18,21,6,15,19,65,21,1,defense
ESP-La Liga,2022,Athletic Club,Daniel Vivian,ESP,DF,23,1999,26.4,57,32,36,16,5,36,45,80.0,9,27,14,13,24,81,90,3,defense
ESP-La Liga,2022,Athletic Club,Gorka Guruzeta,ESP,FW,25,1996,15.8,24,20,6,12,6,11,24,45.8,13,23,2,21,4,28,8,0,defense
ESP-La Liga,2022,Athletic Club,Iker Muniain,ESP,"MF,FW",29,1992,18.8,21,16,7,11,3,6,17,35.3,11,10,1,9,4,25,2,0,defense
ESP-La Liga,2022,Athletic Club,Iñaki Williams,GHA,FW,28,1994,31.5,22,16,5,14,3,9,24,37.5,15,18,3,15,7,29,34,0,defense
ESP-La Liga,2022,Athletic Club,Iñigo Lekue,ESP,DF,29,1993,14.7,24,17,20,4,0,12,19,63.2,7,16,2,14,13,37,31,1,defense
ESP-La Liga,2022,Athletic Club,Iñigo Martínez,ESP,DF,31,1991,14.9,18,8,11,7,0,6,9,66.7,3,17,11,6,18,36,55,0,defense
ESP-La Liga,2022,Athletic Club,Jon Morcillo,ESP,"FW,MF",23,1998,0.8,1,0,1,0,0,0,1,0.0,1,0,0,0,1,2,0,0,defense
ESP-La Liga,2022,Athletic Club,Julen Agirrezabala,ESP,GK,21,2000,7.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,defense
ESP-La Liga,2022,Athletic Club,Mikel Balenziaga,ESP,DF,34,1988,1.3,4,4,1,2,1,4,4,100.0,0,0,0,0,1,5,2,0,defense
ESP-La Liga,2022,Athletic Club,Mikel Vesga,ESP,MF,29,1993,28.6,57,35,21,31,5,25,68,36.8,43,39,8,31,36,93,39,3,defense
ESP-La Liga,2022,Athletic Club,Nico Williams,ESP,FW,20,2002,29.5,31,16,10,15,6,19,41,46.3,22,40,2,38,8,39,14,1,defense
ESP-La Liga,2022,Athletic Club,Oier Zarraga,ESP,MF,23,1999,9.5,14,9,5,7,2,8,20,40.0,12,7,0,7,10,24,5,0,defense
ESP-La Liga,2022,Athletic Club,Oihan Sancet,ESP,MF,22,2000,28.1,27,16,2,19,6,11,37,29.7,26,10,0,10,4,31,9,1,defense
ESP-La Liga,2022,Athletic Club,Raúl García,ESP,"FW,MF",36,1986,10.7,12,8,3,4,5,5,15,33.3,10,13,1,12,6,18,9,0,defense
ESP-La Liga,2022,Athletic Club,Unai Simón,ESP,GK,25,1997,30.5,2,0,2,0,0,1,1,100.0,0,1,0,1,0,2,9,3,defense
ESP-La Liga,2022,Athletic Club,Unai Vencedor Paris,ESP,MF,21,2000,2.1,3,1,0,3,0,1,6,16.7,5,5,0,5,1,4,1,0,defense
ESP-La Liga,2022,Athletic Club,Yeray Álvarez,ESP,DF,27,1995,25.9,34,23,26,7,1,24,31,77.4,7,23,13,10,48,82,101,0,defense
ESP-La Liga,2022,Athletic Club,Yuri Berchiche,ESP,DF,32,1990,26.7,56,32,28,20,8,35,59,59.3,24,37,12,25,40,96,59,1,defense
ESP-La Liga,2022,Athletic Club,Álex Berenguer,ESP,FW,27,1995,25.5,58,37,17,25,16,23,60,38.3,37,37,4,33,10,68,6,0,defense
ESP-La Liga,2022,Athletic Club,Óscar de Marcos,ESP,DF,33,1989,31.3,67,33,34,22,11,40,76,52.6,36,42,6,36,29,96,59,0,defense
ESP-La Liga,2022,Atlético Madrid,Antoine Griezmann,FRA,"FW,MF",31,1991,31.8,49,34,15,23,11,20,66,30.3,46,34,3,31,24,73,31,0,defense
ESP-La Liga,2022,Atlético Madrid,Antonio Gomis,ESP,GK,19,2003,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense
ESP-La Liga,2022,Atlético Madrid,Axel Witsel,BEL,"DF,MF",33,1989,25.1,36,22,22,11,3,17,31,54.8,14,20,11,9,23,59,76,0,defense
ESP-La Liga,2022,Atlético Madrid,Carlos Martín,ESP,"FW,MF",20,2002,0.3,2,2,0,2,0,2,3,66.7,1,0,0,0,1,3,0,0,defense
ESP-La Liga,2022,Atlético Madrid,Felipe,BRA,DF,33,1989,2.2,3,2,1,2,0,2,4,50.0,2,2,2,0,0,3,7,0,defense
ESP-La Liga,2022,Atlético Madrid,Geoffrey Kondogbia,CTA,MF,29,1993,11.2,40,23,19,20,1,17,25,68.0,8,9,1,8,26,66,12,1,defense
ESP-La Liga,2022,Atlético Madrid,Ivo Grbić,CRO,GK,26,1996,10.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,9,1,defense
ESP-La Liga,2022,Atlético Madrid,Jan Oblak,SVN,GK,29,1993,27.7,0,0,0,0,0,0,0,,0,0,0,0,1,1,8,0,defense
ESP-La Liga,2022,Atlético Madrid,José María Giménez,URU,DF,27,1995,26.9,43,25,28,14,1,24,35,68.6,11,37,17,20,24,67,138,1,defense
ESP-La Liga,2022,Atlético Madrid,João Félix,POR,"FW,MF",22,1999,7.2,10,7,2,3,5,1,6,16.7,5,1,0,1,3,13,2,0,defense
ESP-La Liga,2022,Atlético Madrid,Koke,ESP,MF,30,1992,28.3,55,38,23,25,7,28,72,38.9,44,35,13,22,20,75,19,0,defense
ESP-La Liga,2022,Atlético Madrid,Marcos Llorente,ESP,"MF,DF",27,1995,18.9,32,15,16,10,6,17,30,56.7,13,26,2,24,17,49,19,0,defense
ESP-La Liga,2022,Atlético Madrid,Mario Hermoso,ESP,DF,27,1995,23.4,22,15,14,6,2,9,30,30.0,21,19,9,10,19,41,85,1,defense
ESP-La Liga,2022,Atlético Madrid,Matheus Cunha,BRA,"FW,MF",23,1999,4.2,4,1,1,3,0,0,3,0.0,3,4,1,3,2,6,3,0,defense
ESP-La Liga,2022,Atlético Madrid,Matt Doherty,IRL,DF,30,1992,0.2,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0,defense
ESP-La Liga,2022,Atlético Madrid,Memphis,NED,FW,28,1994,3.0,1,0,0,0,1,0,1,0.0,1,0,0,0,0,1,0,0,defense
ESP-La Liga,2022,Atlético Madrid,Nahuel Molina,ARG,DF,24,1998,31.9,69,43,38,18,13,39,91,42.9,52,38,7,31,18,87,63,1,defense
ESP-La Liga,2022,Atlético Madrid,Pablo Barrios,ESP,MF,19,2003,8.0,19,10,3,10,6,8,15,53.3,7,12,2,10,9,28,6,1,defense
ESP-La Liga,2022,Atlético Madrid,Reinildo Mandava,MOZ,DF,28,1994,20.6,66,43,46,19,1,38,49,77.6,11,27,12,15,30,96,59,0,defense
ESP-La Liga,2022,Atlético Madrid,Rodrigo De Paul,ARG,MF,28,1994,21.4,35,21,11,18,6,18,35,51.4,17,20,3,17,8,43,7,0,defense
ESP-La Liga,2022,Atlético Madrid,Saúl Ñíguez,ESP,"MF,DF",27,1994,12.2,42,27,18,18,6,22,37,59.5,15,27,5,22,15,57,29,0,defense
ESP-La Liga,2022,Atlético Madrid,Sergio Reguilón,ESP,DF,25,1996,3.4,7,5,5,2,0,5,7,71.4,2,3,0,3,2,9,4,0,defense
ESP-La Liga,2022,Atlético Madrid,Stefan Savić,MNE,DF,31,1991,21.6,39,26,29,7,3,26,39,66.7,13,17,8,9,33,72,67,2,defense
ESP-La Liga,2022,Atlético Madrid,Thomas Lemar,FRA,MF,26,1995,13.9,30,18,10,13,7,10,28,35.7,18,12,3,9,7,37,12,0,defense
ESP-La Liga,2022,Atlético Madrid,Yannick Carrasco,BEL,"DF,MF",28,1993,25.7,35,14,21,10,4,23,54,42.6,31,23,1,22,12,47,19,0,defense
ESP-La Liga,2022,Atlético Madrid,Álvaro Morata,ESP,FW,29,1992,21.1,16,11,4,8,4,3,8,37.5,5,11,3,8,0,16,23,0,defense
ESP-La Liga,2022,Atlético Madrid,Ángel Correa,ARG,"FW,MF",27,1995,16.2,12,6,6,3,3,5,16,31.3,11,17,0,17,10,22,6,1,defense
ESP-La Liga,2022,Barcelona,Aleix Garrido,ESP,FW,18,2004,0.1,2,1,1,0,1,1,1,100.0,0,1,0,1,0,2,0,0,defense
ESP-La Liga,2022,Barcelona,Alejandro Balde,ESP,DF,18,2003,27.5,42,30,22,16,4,24,41,58.5,17,25,3,22,12,54,17,1,defense
ESP-La Liga,2022,Barcelona,Andreas Christensen,DEN,DF,26,1996,19.6,20,15,9,11,0,10,16,62.5,6,14,12,2,21,41,47,0,defense
ESP-La Liga,2022,Barcelona,Ansu Fati,ESP,FW,19,2002,15.5,16,9,8,4,4,5,18,27.8,13,19,0,19,5,21,6,0,defense
ESP-La Liga,2022,Barcelona,Chadi Riad,MAR,MF,19,2003,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense
ESP-La Liga,2022,Barcelona,Eric García,ESP,"DF,MF",21,2001,15.7,24,16,16,5,3,9,20,45.0,11,23,10,13,19,43,36,1,defense
ESP-La Liga,2022,Barcelona,Ferrán Torres,ESP,"FW,MF",22,2000,15.5,13,7,4,5,4,5,20,25.0,15,11,2,9,3,16,5,0,defense
ESP-La Liga,2022,Barcelona,Franck Kessié,CIV,MF,25,1996,11.0,15,9,6,6,3,8,18,44.4,10,10,2,8,12,27,11,2,defense
ESP-La Liga,2022,Barcelona,Frenkie de Jong,NED,MF,25,1997,28.2,46,26,16,21,9,17,41,41.5,24,11,1,10,35,81,22,1,defense
ESP-La Liga,2022,Barcelona,Gavi,ESP,"MF,FW",17,2004,28.1,47,31,7,30,10,21,55,38.2,34,32,5,27,18,65,22,0,defense
ESP-La Liga,2022,Barcelona,Gerard Piqué,ESP,DF,35,1987,4.3,5,4,1,4,0,4,4,100.0,0,2,1,1,2,7,19,0,defense
ESP-La Liga,2022,Barcelona,Héctor Bellerín,ESP,DF,27,1995,1.6,2,0,0,2,0,2,3,66.7,1,2,0,2,3,5,2,0,defense
ESP-La Liga,2022,Barcelona,Iñaki Peña,ESP,GK,23,1999,0.8,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,defense
ESP-La Liga,2022,Barcelona,Jordi Alba,ESP,DF,33,1989,15.8,25,18,13,11,1,12,28,42.9,16,12,5,7,11,36,23,0,defense
ESP-La Liga,2022,Barcelona,Jules Koundé,FRA,DF,23,1998,27.0,37,23,18,13,6,21,31,67.7,10,24,9,15,19,56,61,3,defense
ESP-La Liga,2022,Barcelona,Lamine Yamal,ESP,FW,15,2007,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense
ESP-La Liga,2022,Barcelona,Marc-André ter Stegen,GER,GK,30,1992,37.2,0,0,0,0,0,0,0,,0,0,0,0,1,1,7,3,defense
